436092-Sofras Cuaresma-20489.02
974379-Zulmira Becerra-16919.29
97309-Jussara Varanda-11621.71
339526-Quintino Alcantara-7051.94
975006-Oliveira Carmona-12265.82
395853-Esperada Cardoso-9331.17
690057-Letedcia Gago-18974.59
261207-Gaudancio Fiees-12394.39
139729-Celeste Duarte-21035.43
228985-Oliveira Carmona-14988.95
964163-Honorina Lira-11501.50
138546-Urbano Rodrigues-1586.41
95897-Tibofarcio Camacho-1617.38
234804-Ubaldo Mainha-17130.78
414283-Antonio Viegas-20700.53
736657-Sidfnio Frois-4969.65
699995-Neuza Francia-1681.71
134004-Tarrataca Soares-12684.33
596803-Tarrataca Soares-16605.72
130624-Cassandra Varejo-4353.18
367598-Angilica Galante-19472.82
994050-Danilo Olaio-8499.37
65446-Jorgina Bogalho-12350.32
824289-Liana Cardim-14552.67
777136-Odete Vasques-191.98
311746-Emedlio Pimentel-19509.35
479682-Antonio Viegas-19221.51
623202-Flamednia Leiria-7138.01
205691-Angelica Aranha-13153.98
363732-Jussara Varanda-20735.29
416352-Carminda Morais-9374.13
619060-Delfina Perdigon-3489.23
978938-Tarrataca Soares-19999.88
76943-Adelino Barra-6103.29
252602-Guida Juca-11801.06
513625-Aludsio Sosa-6409.34
739513-Angilica Galante-20734.14
620323-Moaci Mendoa-9325.54
966319-Quintiliano Sousa de Arronches-6052.76
884525-Marilda Leio-10476.39
120280-Adelina Quadros-16110.56
670451-Spnia ou Sonia Guerreiro-12981.91
640881-Odilia Bello-2676.86
676522-Gaudancio Fiees-8287.63
463123-Anind Zarco-3995.32
964023-Branco Saraba-10500.46
915879-Lina Andrade-11297.85
535038-Andreia Moita-8069.22
955504-Gaudancio Fiees-13498.88
290433-Neuza Francia-1242.89
154097-Taercio Mafra-18604.10
463149-Regina Barcellos-20630.80
178937-Jonatas Felgueiras-15822.37
399609-Delfim Higuera-16529.14
949456-Adelino Barra-15828.93
121964-Jorgina Bogalho-13913.74
745233-Moaci Mendoa-8818.06
782593-Judite Damasceno-19763.41
889951-Artur Grillo-10938.13
272997-Zungela Ipiranga-16971.03
295465-Basilio Pedroso-15647.74
406411-Sofras Cuaresma-16342.37
192191-Spnia ou Sonia Guerreiro-1069.32
180799-Liana Cardim-11303.32
449179-Leonidas Mafra-10197.98
733580-Edgar Carvalheiro-9554.36
580333-Sofras Cuaresma-15781.81
728951-Delfina Garcia de Gondim-6664.80
799758-Delfina Garcia de Gondim-13003.70
759072-Anfnia Seixas-19376.43
524123-Tibofarcio Camacho-14784.55
698839-Clara Alcantara-15338.61
986377-Tibofarcio Camacho-12545.70
511264-Celeste Duarte-9082.67
466376-Angilica Galante-13237.16
831186-Anfnia Seixas-7529.66
569719-Ximena Castilho-2460.63
630556-Rebeca Neto-9327.92
32385-Marilda Leio-14725.92
279765-Fulvio Villegas-10678.67
630426-Fulvio Villegas-19903.91
754817-Aludsio Sosa-18056.06
148791-Leonidas Mafra-4291.09
958582-Armanda Amorim-15906.20
616503-Ximena Castilho-5006.03
588362-Marilda Leio-8894.34
996124-Artur Grillo-20010.04
585021-Neuza Francia-4221.51
170352-Rodolfo Paz-2766.99
642068-Micaela Chavez-5109.79
273165-Daniel Vieyra-6746.10
359110-Polibe Olivares-1848.81
822666-Aludsio Sosa-6760.30
856025-Guida Juca-1075.05
672689-Neeamia Arruda-17571.21
721839-Polibe Olivares-2022.26
220702-Judite Damasceno-6932.22
298668-Eurico Siqueira-5133.23
684688-Armanda Amorim-3290.10
662169-Guida Juca-14406.52
22887-Antonio Castelo-14909.25
774612-Filomena Barrios-19582.84
165240-Branco Saraba-816.23
148444-Oliveira Senchez-14104.79
268192-Tabalipa Duarte-4106.68
507213-Marilda Leio-5533.90
180341-Marilda Leio-4441.27
373647-Emedlio Pimentel-3289.42
717688-Armindo Castalo-11406.27
761200-Antonio Castelo-568.06
300300-Oliveira Carmona-2928.28
932711-Guaraci Damasceno-16916.03
962306-Spnia ou Sonia Guerreiro-17637.68
21523-Joaquim Rufino-9384.33
101650-Antonio Castelo-8062.18
302838-Jonatas Felgueiras-18677.25
729802-Jonatas Felgueiras-7174.21
378665-Oliveira Senchez-15037.95
867153-Emedlia Silvera-3540.29
365618-Micaela Chavez-18397.90
516129-Rodolfo Paz-296.07
624555-Manuel Capiperibe-20405.40
17303-Domingos Pas-16150.18
33390-Guaraci Damasceno-15765.56
45195-Jonatas Felgueiras-20326.58
725406-Domingos Pas-4454.77
795862-Gaudancio Fiees-13122.07
509970-Manuel Capiperibe-10311.02
650046-Micaela Chavez-1154.85
933481-Celeste Duarte-10418.51
538798-Quintiliano Sousa de Arronches-9558.84
456180-Urbano Rodrigues-13485.08
492942-Oliveira Carmona-20305.25
814324-Delfim Higuera-9360.75
568771-Domingos Pas-16231.20
57179-Odilia Bello-2073.62
786762-Basilio Pedroso-15371.58
937860-Delfina Perdigon-17616.68
884122-Ubaldo Mainha-12098.34
375940-Regina Barcellos-10222.84
174513-Zulmira Becerra-12558.23
580142-Carminda Morais-557.96
525538-Urbano Rodrigues-12612.88
522064-Augusta Paio-1936.19
74891-Delfina Perdigon-20861.88
802022-Heleedsa Marins-13027.61
6294-Dulce Froes-18585.48
933863-Emedlio Pimentel-1760.02
963392-Estanislau Beserra-20538.87
994740-Cleusa Goes-14037.79
877172-Liana Cardim-654.70
643170-Oliveira Carmona-2160.50
433641-Dulce Froes-17485.75
265889-Basilio Pedroso-19830.97
173304-Odilia Camello-3486.89
717433-Antonio Viegas-10254.91
140034-Lina Andrade-1640.13
720618-Odete Vasques-12239.47
969154-Letedcia Gago-9414.27
84746-Emiliana Foquio-15794.22
484522-Daniel Vieyra-20322.99
707281-Letedcia Gago-11084.58
725555-Regina Barcellos-1564.08
548638-Neuza Francia-12066.74
990854-Guaraci Damasceno-9003.64
137328-Guida Juca-8605.98
561590-Ubaldo Mainha-12947.38
50402-Leonidas Mafra-15924.58
25274-Armindo Castalo-13679.44
919383-Lina Andrade-18310.29
592317-Rebeca Neto-18565.13
734942-Cassandra Varejo-5527.37
443752-Almerinda Palmeira-1229.79
727932-Oliveira Carmona-18285.27
625900-Jussara Varanda-15680.35
212547-Neeamia Arruda-14276.88
806247-Neeamia Arruda-5627.66
413295-Emedlio Pimentel-8318.17
967553-Lurdes Cotrim-2633.58
465118-Edgar Carvalheiro-9112.78
384378-Daniel Vieyra-20318.70
635209-Zungela Ipiranga-15431.21
344429-Regina Barcellos-18085.65
462031-Honorina Lira-2818.09
770258-Delfina Garcia de Gondim-10934.35
442413-Emiliana Foquio-2971.64
712282-Rodolfo Paz-10659.70
236251-Sara Lameiras-14163.83
734939-Liana Cardim-4248.67
177500-Camila Gabeira-11803.33
681384-Guaraci Damasceno-9672.33
698409-Nuno Balsemeo-18178.69
452208-Fulvio Villegas-5457.29
701040-Joaquim Rufino-16021.91
477191-Armanda Amorim-18989.62
804220-Cassandra Varejo-1889.20
335806-Oliveira Senchez-16276.33
633539-Quintiliano Sousa de Arronches-10673.85
747823-Edgar Carvalheiro-1006.37
736634-Letedcia Gago-953.30
3005-Lina Andrade-7350.12
655604-Cleusa Goes-17287.10
429374-Branco Saraba-14816.79
800771-Trajano Fagundes-1168.96
465023-Delfina Garcia de Gondim-16103.73
80736-Oliveira Senchez-10876.94
860456-Letedcia Gago-21240.30
126783-Telma Villalobos-9871.80
293012-Artur Grillo-6564.44
810344-Tibofarcio Camacho-13951.80
176601-Andreia Moita-19671.83
292513-Polibe Olivares-1093.55
276937-Liana Cardim-16597.85
507006-Sara Lameiras-19845.86
928399-Honorina Lira-13655.67
344079-Esperada Cardoso-8961.64
163755-Sidfnio Frois-8735.41
132412-Celeste Duarte-2161.84
2654-Rodolfo Paz-3404.77
993068-Delfim Higuera-16712.87
830212-Rebeca Neto-10939.80
679117-Emiliana Foquio-17232.73
754545-Basilio Pedroso-10820.66
25056-Basilio Pedroso-18635.73
675340-Flor Portella-13750.18
731643-Anind Zarco-15153.62
481833-Edgar Carvalheiro-3260.42
261717-Estanislau Beserra-15821.74
253890-Leonidas Mafra-20561.77
173471-Odilia Camello-18486.87
306151-Tarrataca Soares-10550.33
622230-Nuno Balsemeo-4102.28
293664-Eurico Siqueira-16429.83
266180-Basilio Pedroso-19400.08
340549-Tibefarcio Colao-14182.00
498145-Zungela Ipiranga-16879.31
819706-Lurdes Cotrim-16894.13
682038-Spnia ou Sonia Guerreiro-13991.91
728278-Mercia Caeira-18044.45
767788-Mercia Caeira-14141.35
610914-Regina Barcellos-16234.41
434255-Lurdes Cotrim-1045.80
530326-Eurico Siqueira-12618.73
725118-Oliveira Senchez-3126.56
492935-Almerinda Palmeira-13889.96
278527-Cassandra Varejo-15614.95
458678-Clarindo Areosa-17263.14
680791-Urbano Rodrigues-6095.13
77278-Lina Andrade-5747.57
167145-Ubaldo Mainha-19625.25
459812-Elisa Themes-16.52
301844-Adelino Barra-810.87
372358-Sofras Cuaresma-17766.17
942250-Henrique Bento-18753.42
520225-Basilio Pedroso-933.51
814327-Polibe Olivares-21006.30
556199-Trajano Fagundes-8226.05
227674-Heleedsa Marins-8802.86
90471-Spnia ou Sonia Guerreiro-17083.63
431183-Artur Grillo-10680.46
906930-Judite Damasceno-8080.23
823863-Henrique Bento-19833.25
836916-Odilia Bello-7092.13
723401-Micaela Chavez-7761.56
782204-Tibefarcio Colao-19766.76
837520-Zungela Ipiranga-14340.06
903848-Emedlia Silvera-8360.79
284542-Antonio Castelo-18723.07
694343-Basilio Pedroso-16469.13
861531-Mercia Caeira-19643.45
70245-Emiliana Foquio-20912.52
447751-Fulvio Villegas-15035.92
395602-Augusta Paio-3059.45
476826-Emiliana Foquio-19076.69
900191-Dulce Froes-1789.67
191336-Angelica Aranha-8038.05
628787-Rodolfo Paz-10487.08
671222-Romo Paranage-4925.09
515785-Angelica Aranha-18922.04
723402-Armindo Castalo-15275.82
493921-Henrique Bento-13611.68
803507-Almerinda Palmeira-13946.16
437652-Nuno Balsemeo-17090.12
801419-Tibofarcio Camacho-19334.88
804354-Branco Saraba-17959.05
515737-Marilda Leio-13896.12
749895-Anfnia Seixas-6677.58
63028-Zulmira Becerra-4529.45
199162-Romo Paranage-16254.61
248768-Ximena Castilho-15987.01
675733-Lurdes Cotrim-14407.11
354283-Polibe Olivares-19595.14
140985-Taercio Mafra-8434.69
872755-Silvio Mata-9492.70
305699-Odilia Camello-9055.91
189316-Heleedsa Marins-5416.23
877479-Antonio Castelo-12913.73
306740-Guida Juca-18434.36
728938-Clarindo Areosa-19226.35
871120-Honorina Lira-10284.00
111169-Jorgina Bogalho-11250.76
35682-Lurdes Cotrim-89.46
576059-Clara Alcantara-13310.87
644253-Almor Caiado-11024.76
717091-Feledcia Peassego-12307.82
211116-Branco Saraba-18949.71
317665-Eurico Siqueira-17513.65
698229-Estanislau Beserra-18486.72
24029-Jorgina Bogalho-5319.17
810852-Tabalipa Duarte-18407.88
331156-Aludsio Sosa-8604.16
562509-Jussara Varanda-10994.52
824770-Flor Portella-18050.28
555593-Feledcia Peassego-3911.88
72748-Sidfnio Frois-9389.05
180589-Urbano Rodrigues-9491.17
427558-Esperada Cardoso-18114.34
47198-Celeste Duarte-20461.32
618890-Flamednia Leiria-21061.56
341795-Ermelinda Quintela-14694.84
464683-Adelina Quadros-17348.15
179639-Zulmira Becerra-478.94
840947-Almor Caiado-5157.18
589591-Micaela Chavez-18342.74
331032-Moaci Mendoa-6578.63
370969-Emedlio Pimentel-395.60
382365-Carminda Morais-5209.88
791755-Sara Lameiras-12460.35
873177-Polibe Olivares-19106.54
871920-Oliveira Carmona-1425.12
175457-Delfina Garcia de Gondim-12649.76
411309-Tibofarcio Camacho-21081.56
98808-Daniel Vieyra-5335.13
330363-Almor Caiado-196.19
750229-Domingos Pas-16689.50
591847-Zulmira Becerra-2698.38
549983-Polibe Olivares-20122.20
458654-Adelino Barra-575.28
16089-Neuza Francia-5494.01
246318-Dulce Froes-18722.73
960192-Delfina Perdigon-15719.65
5221-Moaci Mendoa-5088.93
460264-Honorina Lira-19299.92
117389-Rebeca Neto-11978.38
81245-Tibofarcio Camacho-8511.05
908227-Odilia Camello-18286.97
778925-Odete Vasques-7847.63
153601-Daniel Vieyra-16782.22
79455-Jonatas Felgueiras-1127.54
659023-Liana Cardim-3420.01
266806-Odete Vasques-16879.61
851135-Trajano Fagundes-15904.82
108002-Oliveira Carmona-974.59
394705-Carminda Morais-20195.76
784484-Ximena Castilho-6011.74
641075-Clarindo Areosa-7950.82
335448-Edgar Carvalheiro-4933.77
282672-Guaraci Damasceno-2170.47
241797-Joaquim Rufino-12121.27
602354-Oliveira Senchez-10943.02
268965-Flamednia Leiria-60.85
900737-Dulce Froes-13599.37
425330-Emedlio Pimentel-8215.61
457904-Sara Lameiras-10719.56
845176-Danilo Olaio-21307.40
337373-Fulvio Villegas-13718.97
42696-Eurico Siqueira-12127.49
27480-Tarrataca Soares-15180.32
234028-Fulvio Villegas-1977.90
194780-Daniel Vieyra-20963.92
672408-Marilda Leio-4961.78
110751-Tabalipa Duarte-12640.78
547734-Basilio Pedroso-6140.20
443623-Adelina Quadros-4759.94
432158-Neeamia Arruda-20478.40
594584-Micaela Chavez-18856.93
839129-Anfnia Seixas-18182.52
977422-Quintino Alcantara-4827.96
163063-Flor Portella-17050.30
991861-Basilio Pedroso-13027.41
122838-Jorgina Bogalho-17654.14
339153-Regina Barcellos-4860.41
491941-Emedlio Pimentel-12025.89
721909-Heleedsa Marins-18650.32
423762-Telma Villalobos-1979.81
865631-Letedcia Gago-10975.75
721296-Odilia Bello-10639.31
842557-Mercia Caeira-5904.25
995735-Flamednia Leiria-20415.88
455331-Honorina Lira-1870.96
307347-Augusta Paio-4162.19
853453-Emiliana Foquio-5875.58
478033-Emedlia Silvera-20610.50
639121-Armanda Amorim-13632.88
794623-Gaudancio Fiees-17137.12
789713-Branco Saraba-9480.94
510822-Camila Gabeira-4383.31
484294-Tibefarcio Colao-13971.74
770314-Romo Paranage-10476.86
602909-Elisa Themes-17351.41
176860-Oliveira Carmona-12609.65
680927-Basilio Pedroso-1213.35
225861-Joaquim Rufino-17278.13
359396-Heleedsa Marins-2519.68
557860-Jonatas Felgueiras-4647.63
737059-Zulmira Becerra-1190.69
491576-Emedlio Pimentel-11005.80
176894-Sara Lameiras-9325.81
803139-Moaci Mendoa-978.67
533373-Elisa Themes-3014.70
359459-Zungela Ipiranga-6986.47
404233-Camila Gabeira-9073.28
523202-Nuno Balsemeo-14135.54
691954-Ubaldo Mainha-12724.30
665103-Urbano Rodrigues-2015.04
866411-Antonio Viegas-5462.41
161509-Gaudancio Fiees-12567.32
304397-Rodolfo Paz-12494.26
621280-Domingos Pas-11147.45
140599-Tabalipa Duarte-7467.95
801332-Angelica Aranha-3326.71
943531-Almor Caiado-2885.91
420649-Anfnia Seixas-12021.14
227071-Basilio Pedroso-8393.23
1918-Sara Lameiras-5635.04
539814-Anfnia Seixas-20883.71
663176-Marilda Leio-20670.48
850123-Armanda Amorim-9378.69
650356-Aludsio Sosa-980.07
801487-Nuno Balsemeo-5951.47
422775-Gaudancio Fiees-20169.49
207434-Lina Andrade-13294.09
320037-Cleusa Goes-8013.46
502799-Gaudancio Fiees-130.89
115115-Odete Vasques-13640.91
747550-Liana Cardim-10241.47
620811-Anind Zarco-12598.10
226474-Judite Damasceno-10241.77
774139-Elisa Themes-12498.27
66943-Antonio Viegas-20346.29
670965-Odilia Bello-15325.68
945664-Basilio Pedroso-4422.92
811624-Antonio Viegas-18186.12
308401-Danilo Olaio-6326.31
127947-Armindo Castalo-3042.62
451719-Mercia Caeira-10350.10
662478-Fulvio Villegas-12236.31
438087-Henrique Bento-21268.57
599293-Liana Cardim-6991.48
767378-Anind Zarco-2027.31
82941-Sidfnio Frois-13844.02
863665-Taercio Mafra-2818.64
53081-Trajano Fagundes-14786.75
104543-Tibefarcio Colao-18819.84
245122-Letedcia Gago-1836.28
993087-Daniel Vieyra-12420.80
888254-Honorina Lira-7032.59
593799-Aludsio Sosa-6342.13
992549-Guida Juca-19728.12
734861-Emedlio Pimentel-5220.96
622221-Tarrataca Soares-11721.79
77405-Antonio Viegas-16450.43
340551-Almor Caiado-11226.12
215344-Henrique Bento-4062.33
237288-Flor Portella-16564.78
5146-Anfnia Seixas-19424.71
815523-Joaquim Rufino-1408.76
256526-Emedlia Silvera-18064.70
554631-Marilda Leio-15209.79
33031-Celeste Duarte-5342.30
725967-Neeamia Arruda-8808.52
337108-Elisa Themes-19459.29
812118-Rebeca Neto-20242.70
478974-Odilia Camello-7870.02
129724-Emedlio Pimentel-10142.39
925020-Estanislau Beserra-8627.61
800229-Ximena Castilho-13675.76
450533-Angelica Aranha-16048.33
314020-Basilio Pedroso-15539.04
506335-Tabalipa Duarte-19139.37
794857-Edgar Carvalheiro-7401.79
262526-Domingos Pas-15645.16
805711-Domingos Pas-3738.44
961143-Delfim Higuera-7943.23
349716-Lurdes Cotrim-4129.70
732904-Flor Portella-15608.95
587444-Zungela Ipiranga-11852.11
834293-Edgar Carvalheiro-21366.62
67251-Guida Juca-7544.92
278867-Ubaldo Mainha-11589.98
236707-Antonio Viegas-17247.93
46640-Silvio Mata-14765.72
302422-Regina Barcellos-20593.78
344604-Guida Juca-3008.55
388532-Tibefarcio Colao-9022.05
187845-Anind Zarco-12249.38
747689-Andreia Moita-10640.42
399940-Emedlia Silvera-5603.92
884772-Silvio Mata-15204.60
305872-Daniel Vieyra-11702.55
663568-Neuza Francia-440.08
200178-Filomena Barrios-11700.54
769164-Delfim Higuera-518.73
698996-Jussara Varanda-8612.18
952296-Honorina Lira-901.23
658788-Zungela Ipiranga-9003.11
292548-Urbano Rodrigues-20070.58
137453-Sofras Cuaresma-4829.75
676741-Quintino Alcantara-803.76
191727-Esperada Cardoso-2056.82
221452-Letedcia Gago-6253.45
560773-Neeamia Arruda-20795.45
988567-Almerinda Palmeira-18378.31
794194-Eurico Siqueira-2740.46
971501-Manuel Capiperibe-3299.99
353852-Rodolfo Paz-2711.74
190503-Telma Villalobos-16584.66
68899-Estanislau Beserra-13821.20
856037-Armanda Amorim-15787.97
102815-Leonidas Mafra-8555.05
604453-Odilia Bello-3712.43
630362-Branco Saraba-18508.04
710831-Quintino Alcantara-3283.08
180986-Emedlia Silvera-106.19
352726-Tarrataca Soares-11985.90
163641-Sidfnio Frois-4994.61
285222-Rebeca Neto-12856.51
981512-Rebeca Neto-3262.36
168803-Celeste Duarte-3290.92
215516-Telma Villalobos-6671.95
943874-Marilda Leio-3633.16
533799-Manuel Capiperibe-16089.46
185468-Delfim Higuera-12791.74
668046-Estanislau Beserra-15733.54
713233-Almor Caiado-12052.24
756975-Cassandra Varejo-2649.04
974411-Tibefarcio Colao-18001.89
174442-Marilda Leio-13756.87
494521-Odilia Bello-16218.55
127742-Ubaldo Mainha-4715.87
782184-Cleusa Goes-2780.48
162948-Mercia Caeira-16665.81
379862-Trajano Fagundes-2742.83
905141-Judite Damasceno-864.68
532980-Fulvio Villegas-13771.81
783936-Quintiliano Sousa de Arronches-1814.54
979156-Sara Lameiras-10654.29
341848-Judite Damasceno-13926.03
940911-Quintiliano Sousa de Arronches-3976.14
148735-Carminda Morais-18067.42
551783-Emedlio Pimentel-330.40
754507-Aludsio Sosa-18902.03
936326-Eurico Siqueira-6390.99
291719-Oliveira Carmona-9030.04
518025-Filomena Barrios-5450.54
484322-Emedlio Pimentel-7638.38
837899-Taercio Mafra-20588.17
413035-Trajano Fagundes-14206.75
674889-Artur Grillo-13231.32
308618-Domingos Pas-20952.81
529738-Domingos Pas-1093.49
798474-Quintino Alcantara-236.20
164979-Tibefarcio Colao-12995.56
814719-Ubaldo Mainha-9213.65
448446-Dulce Froes-4623.99
746688-Jussara Varanda-11278.83
15476-Emedlia Silvera-10352.37
229222-Marilda Leio-19846.51
46016-Angilica Galante-10568.42
476730-Silvio Mata-20211.50
165460-Guida Juca-10541.96
894390-Neeamia Arruda-5815.11
342820-Neuza Francia-1221.93
890612-Silvio Mata-20980.07
959260-Romo Paranage-1529.72
81743-Jorgina Bogalho-21067.19
41999-Clarindo Areosa-16982.51
851886-Regina Barcellos-21404.80
820550-Quintino Alcantara-5310.42
954309-Ubaldo Mainha-15625.19
369195-Henrique Bento-5992.01
649695-Edgar Carvalheiro-19690.95
550316-Urbano Rodrigues-11199.54
7384-Delfina Garcia de Gondim-8383.61
828970-Antonio Viegas-20273.21
565805-Regina Barcellos-9369.19
702210-Delfim Higuera-4784.77
559733-Guida Juca-5633.29
100465-Ermelinda Quintela-4646.66
482943-Aludsio Sosa-15056.20
48491-Emedlio Pimentel-14865.06
294141-Angilica Galante-5166.72
567425-Almerinda Palmeira-7672.22
33322-Anfnia Seixas-13902.29
22902-Delfina Perdigon-11595.75
984613-Flor Portella-5376.57
