881732-Almor Caiado-12752.13
183045-Esperada Cardoso-8540.05
677126-Antonio Viegas-11529.09
43614-Elisa Themes-14991.74
489259-Clara Alcantara-17999.98
765998-Quintiliano Sousa de Arronches-13109.89
613899-Taercio Mafra-13994.82
564235-Jussara Varanda-8861.13
9595-Dulce Froes-20388.81
480986-Spnia ou Sonia Guerreiro-16309.34
238887-Telma Villalobos-3793.88
539444-Anind Zarco-1270.87
645883-Danilo Olaio-2727.64
842345-Manuel Capiperibe-14738.08
596430-Heleedsa Marins-4478.13
706853-Rodolfo Paz-11585.79
693730-Flor Portella-10347.10
139376-Jonatas Felgueiras-9597.90
741184-Clara Alcantara-16668.00
210967-Melinda Roserio-1357.97
783855-Gaudancio Fiees-12040.36
442845-Daniel Vieyra-4090.92
622853-Domingos Pas-3942.54
228231-Adelino Barra-10670.96
7793-Edgar Carvalheiro-11086.93
301342-Armindo Castalo-7279.16
100376-Trajano Fagundes-3511.26
897872-Armindo Castalo-16662.65
292228-Delfina Perdigon-4075.23
600703-Domingos Pas-4567.34
359119-Carminda Morais-6725.18
988765-Aludsio Sosa-1674.77
221742-Polibe Olivares-19431.00
218824-Feledcia Peassego-7098.44
23625-Tarrataca Soares-1143.69
158109-Telma Villalobos-19566.70
388274-Odilia Camello-11052.87
811668-Sofras Cuaresma-11071.84
57933-Regina Barcellos-7009.93
103962-Flamednia Leiria-19255.94
947093-Armindo Castalo-21169.53
826212-Delfina Garcia de Gondim-16544.58
313468-Guida Juca-6651.96
54744-Adelina Quadros-15694.15
408737-Ximena Castilho-15459.55
455527-Tabalipa Duarte-10426.29
418317-Jonatas Felgueiras-12180.18
23543-Guida Juca-9593.46
894228-Neuza Francia-12264.04
287908-Flor Portella-15385.08
931904-Esperada Cardoso-20314.55
93717-Henrique Bento-17617.97
732546-Almor Caiado-11386.27
987594-Elisa Themes-5561.98
603446-Eurico Siqueira-10816.07
71543-Jonatas Felgueiras-16760.62
725932-Zungela Ipiranga-9199.97
183340-Antonio Viegas-13120.21
341640-Angilica Galante-2234.31
976708-Artur Grillo-2092.35
238304-Moaci Mendoa-17261.67
452843-Romo Paranage-11517.77
158145-Camila Gabeira-8010.26
543248-Zulmira Becerra-4695.30
376033-Augusta Paio-8671.34
163773-Armanda Amorim-21082.05
580930-Quintino Alcantara-18544.48
532129-Emedlia Silvera-12111.47
345392-Odilia Bello-12854.89
562299-Neeamia Arruda-6309.82
803165-Clarindo Areosa-11732.20
15083-Gaudancio Fiees-7341.90
24265-Augusta Paio-9683.48
693235-Domingos Pas-3934.07
44033-Flor Portella-5787.83
518100-Almerinda Palmeira-9229.47
570964-Flamednia Leiria-3210.44
620942-Daniel Vieyra-21385.76
691577-Zulmira Becerra-8924.38
709801-Regina Barcellos-21040.01
963523-Carminda Morais-8693.20
900998-Adelina Quadros-13673.35
615944-Delfim Higuera-10648.76
873611-Angelica Aranha-11005.69
661593-Moaci Mendoa-20306.13
583338-Adelina Quadros-6416.47
226740-Basilio Pedroso-7572.18
834083-Artur Grillo-11498.39
105060-Jussara Varanda-9840.47
864959-Urbano Rodrigues-4832.73
123191-Adelino Barra-20042.37
601710-Filomena Barrios-8306.54
786063-Guaraci Damasceno-2617.87
801690-Eurico Siqueira-10986.60
257248-Micaela Chavez-16633.22
979714-Tibofarcio Camacho-6754.21
165567-Romo Paranage-2431.65
395735-Mercia Caeira-735.15
718701-Delfina Perdigon-13776.20
479857-Ximena Castilho-11460.01
757853-Tabalipa Duarte-96.41
872206-Quintiliano Sousa de Arronches-12892.43
321648-Manuel Capiperibe-14240.29
163148-Antonio Viegas-13823.47
89940-Adelina Quadros-15576.04
629705-Dulce Froes-3811.00
333249-Almor Caiado-9232.66
255183-Antonio Viegas-13576.61
16450-Delfina Perdigon-16753.80
341331-Anind Zarco-6213.76
939629-Domingos Pas-2996.50
807569-Artur Grillo-15795.23
813447-Antonio Viegas-15333.61
122261-Zungela Ipiranga-12260.40
91272-Ermelinda Quintela-17581.30
898424-Tarrataca Soares-8652.76
127055-Anind Zarco-13366.09
520258-Artur Grillo-17818.65
944820-Clara Alcantara-12033.97
989450-Spnia ou Sonia Guerreiro-5852.55
35458-Letedcia Gago-4107.11
238740-Silvio Mata-5365.19
684654-Augusta Paio-17933.32
675616-Tibefarcio Colao-1479.71
529668-Lurdes Cotrim-9940.62
987705-Emedlia Silvera-16999.60
545794-Antonio Castelo-7936.04
885854-Neeamia Arruda-6656.40
887268-Quintino Alcantara-13895.85
301443-Clara Alcantara-480.91
575530-Ubaldo Mainha-20821.26
16440-Ermelinda Quintela-10588.82
980026-Rebeca Neto-4150.83
820641-Romo Paranage-15747.58
217785-Letedcia Gago-16252.88
745046-Anind Zarco-21242.76
64833-Moaci Mendoa-13053.38
510396-Sara Lameiras-917.40
820566-Odilia Camello-19886.27
44496-Armanda Amorim-814.45
523518-Manuel Capiperibe-14340.21
229965-Honorina Lira-20510.37
938702-Guaraci Damasceno-13645.33
12233-Armanda Amorim-9078.70
540115-Flor Portella-19070.88
646324-Romo Paranage-18253.49
229284-Armindo Castalo-15279.31
416051-Honorina Lira-2039.57
759586-Anfnia Seixas-17827.78
688359-Antonio Viegas-10253.39
708172-Trajano Fagundes-6643.79
370834-Branco Saraba-11106.09
431437-Camila Gabeira-7530.64
58285-Lurdes Cotrim-13850.76
476049-Eurico Siqueira-10071.33
181693-Camila Gabeira-6132.95
195627-Rodolfo Paz-19035.24
30941-Eurico Siqueira-13764.57
122544-Moaci Mendoa-18452.16
357705-Tibofarcio Camacho-4044.21
37867-Emedlia Silvera-13971.29
254912-Ubaldo Mainha-4630.17
508929-Leonidas Mafra-8084.48
812648-Angilica Galante-7010.23
503061-Odete Vasques-17154.99
281601-Antonio Castelo-11821.97
442371-Tabalipa Duarte-12253.92
533852-Neuza Francia-10029.40
582793-Emedlia Silvera-6065.79
926111-Lurdes Cotrim-20249.36
608302-Antonio Castelo-10444.90
185589-Ubaldo Mainha-12467.45
371585-Basilio Pedroso-3877.71
137695-Delfim Higuera-19795.83
979802-Emiliana Foquio-4876.03
470725-Estanislau Beserra-21138.84
256789-Odilia Bello-938.43
567277-Fulvio Villegas-2503.77
367298-Augusta Paio-6399.60
383733-Feledcia Peassego-8978.86
337646-Spnia ou Sonia Guerreiro-20494.94
420857-Trajano Fagundes-4641.96
36904-Regina Barcellos-15475.68
584520-Neuza Francia-17577.05
671047-Neuza Francia-3322.01
772534-Nuno Balsemeo-4256.72
587025-Flor Portella-5039.29
793797-Nuno Balsemeo-3230.13
940143-Tarrataca Soares-12593.80
181310-Odete Vasques-8632.80
875003-Almor Caiado-16866.18
59090-Delfina Perdigon-8315.55
504835-Tabalipa Duarte-9085.92
721168-Ubaldo Mainha-5786.93
37088-Aludsio Sosa-5428.80
955656-Telma Villalobos-3691.69
274827-Artur Grillo-12397.56
436971-Mercia Caeira-850.66
492293-Nuno Balsemeo-555.23
990882-Angelica Aranha-17577.04
891553-Eurico Siqueira-7740.95
802608-Dulce Froes-2966.71
909638-Quintino Alcantara-15721.75
100578-Fulvio Villegas-6934.13
513125-Armanda Amorim-17874.50
127081-Micaela Chavez-10469.22
413172-Urbano Rodrigues-5857.13
628186-Cleusa Goes-4976.67
372105-Guaraci Damasceno-10331.59
495875-Edgar Carvalheiro-6846.66
899581-Cassandra Varejo-3500.74
953573-Honorina Lira-20788.77
46004-Nuno Balsemeo-20403.03
246482-Jonatas Felgueiras-17819.20
139527-Sara Lameiras-9139.49
428892-Camila Gabeira-19160.76
887109-Regina Barcellos-9190.06
101205-Micaela Chavez-5741.50
381329-Ubaldo Mainha-12045.22
700328-Angilica Galante-19220.18
723160-Cleusa Goes-14424.34
357533-Adelino Barra-14523.88
146184-Neeamia Arruda-6359.50
143006-Mercia Caeira-20491.96
36463-Telma Villalobos-19758.52
412698-Guaraci Damasceno-9587.98
711016-Delfina Garcia de Gondim-15146.85
722596-Ubaldo Mainha-5883.02
917113-Mercia Caeira-4122.00
270508-Moaci Mendoa-10419.00
290015-Zulmira Becerra-20876.23
899891-Almor Caiado-284.97
386392-Armanda Amorim-16036.44
208213-Jussara Varanda-19427.87
949580-Quintino Alcantara-17393.39
156323-Tibefarcio Colao-6332.68
439170-Neuza Francia-18189.79
243999-Henrique Bento-15872.18
715346-Armindo Castalo-4356.52
708966-Jonatas Felgueiras-15449.22
720732-Lina Andrade-13047.29
199283-Ximena Castilho-651.45
65486-Odete Vasques-20525.31
881699-Honorina Lira-7172.56
927106-Taercio Mafra-21362.05
824884-Estanislau Beserra-7808.78
36629-Guida Juca-7148.34
933097-Letedcia Gago-7095.94
648199-Rebeca Neto-13393.09
563264-Lurdes Cotrim-16610.18
378621-Antonio Viegas-14492.55
333781-Henrique Bento-21464.55
302631-Emiliana Foquio-9100.37
915002-Edgar Carvalheiro-5234.35
830253-Marilda Leio-8883.62
601199-Basilio Pedroso-18331.87
640538-Flor Portella-217.40
175638-Odete Vasques-12636.73
929095-Ximena Castilho-18523.21
850726-Emedlio Pimentel-524.00
211039-Armanda Amorim-12007.79
300049-Odete Vasques-9426.29
533999-Neeamia Arruda-14539.32
331985-Micaela Chavez-433.63
869518-Neuza Francia-8011.93
645233-Anind Zarco-11717.95
299101-Polibe Olivares-17884.35
786646-Taercio Mafra-1751.27
384569-Armanda Amorim-665.73
291866-Taercio Mafra-18984.23
733855-Ximena Castilho-7731.51
431267-Sofras Cuaresma-1429.67
616091-Jorgina Bogalho-730.18
837460-Oliveira Carmona-4683.50
493425-Adelino Barra-20462.19
27446-Oliveira Carmona-5003.81
264406-Esperada Cardoso-9066.80
724582-Estanislau Beserra-18324.66
373777-Tabalipa Duarte-18398.51
860189-Artur Grillo-1206.59
263435-Regina Barcellos-4833.93
929432-Gaudancio Fiees-823.41
741017-Melinda Roserio-10639.57
822-Carminda Morais-433.11
623849-Tibefarcio Colao-18388.04
440350-Zulmira Becerra-8963.48
567876-Andreia Moita-11966.12
130614-Antonio Castelo-6138.53
336906-Silvio Mata-4117.43
599494-Delfim Higuera-2951.20
318160-Cleusa Goes-3163.83
187592-Eurico Siqueira-16763.12
24191-Zungela Ipiranga-10225.70
878307-Camila Gabeira-19565.71
81926-Artur Grillo-2267.11
20918-Letedcia Gago-9291.51
340516-Letedcia Gago-9407.19
856173-Eurico Siqueira-20498.50
354536-Joaquim Rufino-1367.03
703822-Andreia Moita-17103.03
228602-Trajano Fagundes-791.37
146378-Micaela Chavez-3113.25
888418-Angilica Galante-4023.49
619869-Odete Vasques-4252.27
145487-Sidfnio Frois-8483.09
991401-Guaraci Damasceno-15703.30
701410-Esperada Cardoso-9441.87
23568-Flor Portella-20240.43
198808-Jonatas Felgueiras-1999.14
633613-Manuel Capiperibe-16066.18
188170-Rodolfo Paz-20698.46
125916-Flor Portella-20729.93
892633-Gaudancio Fiees-16983.98
229340-Jussara Varanda-20100.17
653211-Telma Villalobos-9036.79
788095-Ubaldo Mainha-2181.87
590694-Neuza Francia-8498.88
112533-Manuel Capiperibe-18479.12
577-Ximena Castilho-16786.27
591734-Almor Caiado-7537.77
1848-Manuel Capiperibe-15159.65
549081-Adelina Quadros-21340.91
421025-Angilica Galante-21369.84
641871-Sidfnio Frois-3997.30
89926-Guaraci Damasceno-10263.83
363468-Melinda Roserio-20961.71
483415-Flor Portella-2432.78
790283-Tibofarcio Camacho-7033.90
656598-Zungela Ipiranga-12313.91
436895-Cassandra Varejo-19639.83
351350-Melinda Roserio-3165.01
628565-Clarindo Areosa-6630.50
898565-Basilio Pedroso-11674.71
598824-Henrique Bento-846.29
316508-Ubaldo Mainha-21347.19
229808-Spnia ou Sonia Guerreiro-17235.99
330124-Oliveira Carmona-4215.99
835220-Gaudancio Fiees-13203.89
252312-Flor Portella-15.62
812911-Delfim Higuera-9599.99
150632-Liana Cardim-15073.50
969996-Daniel Vieyra-15659.79
396919-Melinda Roserio-10613.94
324036-Danilo Olaio-16919.93
497038-Mercia Caeira-11728.25
536433-Delfina Perdigon-4075.72
779372-Angelica Aranha-17619.02
300199-Camila Gabeira-17907.37
211445-Delfina Perdigon-1945.06
30041-Emedlia Silvera-7993.19
831369-Flamednia Leiria-639.85
649980-Branco Saraba-16519.55
518605-Jussara Varanda-12548.69
374621-Nuno Balsemeo-10097.09
859900-Taercio Mafra-13162.06
64367-Delfina Perdigon-10532.59
900548-Tarrataca Soares-1695.55
819154-Camila Gabeira-10558.55
159525-Antonio Viegas-1205.83
545554-Moaci Mendoa-7426.13
446841-Judite Damasceno-5909.60
698384-Telma Villalobos-21296.10
445101-Gaudancio Fiees-17266.45
101909-Feledcia Peassego-5495.36
751279-Clarindo Areosa-8303.96
742425-Feledcia Peassego-4089.77
821507-Edgar Carvalheiro-10088.78
802296-Clara Alcantara-9042.13
520014-Antonio Viegas-14153.73
259677-Tibofarcio Camacho-3964.34
834195-Feledcia Peassego-9548.81
877850-Clarindo Areosa-3030.96
393340-Marilda Leio-70.57
293938-Daniel Vieyra-11281.59
903680-Silvio Mata-10634.27
235955-Carminda Morais-9856.86
827196-Heleedsa Marins-13025.07
973129-Ermelinda Quintela-16283.10
490303-Zulmira Becerra-16063.46
590165-Micaela Chavez-14311.22
302756-Daniel Vieyra-19019.56
492149-Neeamia Arruda-9353.50
291973-Mercia Caeira-1832.60
769888-Oliveira Carmona-9005.54
267813-Micaela Chavez-19494.58
678352-Rodolfo Paz-3512.10
65871-Jonatas Felgueiras-14540.37
847272-Delfim Higuera-11325.27
841709-Micaela Chavez-4425.33
725059-Regina Barcellos-16521.23
526524-Flamednia Leiria-12089.43
242001-Angilica Galante-18514.35
537171-Armanda Amorim-14142.43
406190-Jonatas Felgueiras-16240.13
434617-Dulce Froes-8827.97
890082-Manuel Capiperibe-209.92
547715-Feledcia Peassego-15950.58
229023-Heleedsa Marins-1714.21
219950-Melinda Roserio-9492.63
73216-Trajano Fagundes-10489.88
564848-Sara Lameiras-8670.31
12691-Clara Alcantara-13582.73
327299-Emiliana Foquio-6783.27
902011-Silvio Mata-9817.33
547119-Aludsio Sosa-12491.67
649951-Oliveira Carmona-3965.74
479165-Basilio Pedroso-15571.22
345606-Romo Paranage-17383.50
255107-Anfnia Seixas-4210.87
697971-Flor Portella-13591.60
780717-Anind Zarco-16887.25
806100-Celeste Duarte-11642.54
298974-Anfnia Seixas-7210.98
518608-Emedlia Silvera-5425.16
783946-Dulce Froes-15290.63
846451-Anind Zarco-13352.29
900825-Jorgina Bogalho-3122.25
529293-Neuza Francia-20615.71
579127-Esperada Cardoso-12733.42
892037-Odilia Bello-5375.56
709433-Angilica Galante-15063.37
557841-Sofras Cuaresma-10936.59
195614-Manuel Capiperibe-11509.58
159923-Almerinda Palmeira-9449.93
373311-Artur Grillo-20997.77
754042-Quintiliano Sousa de Arronches-12031.40
708550-Anfnia Seixas-4235.57
300903-Guaraci Damasceno-13560.87
760124-Tibefarcio Colao-20246.66
306162-Lurdes Cotrim-12310.74
528587-Zulmira Becerra-243.00
992246-Tabalipa Duarte-14188.58
709831-Zungela Ipiranga-3305.70
524993-Clarindo Areosa-17327.30
372447-Trajano Fagundes-1646.19
282962-Artur Grillo-11703.73
939191-Armanda Amorim-8515.98
820301-Jonatas Felgueiras-7654.15
304600-Delfina Garcia de Gondim-5026.92
614493-Tabalipa Duarte-4845.14
997006-Romo Paranage-20700.43
232856-Camila Gabeira-5055.52
128144-Cassandra Varejo-12502.62
498196-Ximena Castilho-7303.03
861619-Silvio Mata-16356.75
518712-Neuza Francia-12004.75
832278-Adelino Barra-7599.30
186790-Filomena Barrios-6262.67
660599-Angelica Aranha-7135.71
800127-Sofras Cuaresma-1477.02
530115-Almor Caiado-16136.99
559998-Mercia Caeira-1754.48
963968-Artur Grillo-12215.77
937640-Judite Damasceno-16080.75
157289-Taercio Mafra-1324.53
479875-Ubaldo Mainha-10419.71
208496-Tibefarcio Colao-12448.04
18997-Telma Villalobos-11645.07
761339-Tarrataca Soares-96.84
711998-Edgar Carvalheiro-19524.84
660783-Emiliana Foquio-17815.30
168987-Tibefarcio Colao-16686.07
745206-Gaudancio Fiees-8850.87
582921-Ximena Castilho-19090.25
239827-Moaci Mendoa-306.98
572021-Guida Juca-18571.78
895169-Liana Cardim-21163.87
664813-Lurdes Cotrim-16599.22
184904-Artur Grillo-12532.00
792745-Gaudancio Fiees-13989.12
102829-Gaudancio Fiees-4340.89
628515-Ubaldo Mainha-4287.74
602659-Armindo Castalo-18885.20
153406-Clara Alcantara-17686.19
295303-Celeste Duarte-7993.75
889969-Guida Juca-6164.63
972469-Nuno Balsemeo-2728.75
858729-Filomena Barrios-5285.40
768242-Judite Damasceno-20097.25
361609-Augusta Paio-11350.34
438955-Lina Andrade-1996.53
79453-Flor Portella-8172.81
326749-Spnia ou Sonia Guerreiro-10158.84
177514-Almerinda Palmeira-20170.38
569388-Fulvio Villegas-11338.49
143310-Artur Grillo-6462.55
928210-Honorina Lira-15962.28
99880-Almerinda Palmeira-9336.03
226375-Anfnia Seixas-19703.71
36329-Armindo Castalo-4212.49
790796-Guaraci Damasceno-3862.04
634209-Urbano Rodrigues-14992.84
735553-Jonatas Felgueiras-11341.27
389092-Odete Vasques-1758.21
177747-Tibefarcio Colao-5333.90
341344-Sara Lameiras-900.50
968258-Urbano Rodrigues-7029.78
470010-Ermelinda Quintela-1935.94
27764-Odilia Camello-2218.21
826426-Nuno Balsemeo-20408.57
658739-Clarindo Areosa-6071.64
143886-Delfina Perdigon-6497.98
910382-Tabalipa Duarte-4500.50
77239-Lurdes Cotrim-18964.39
797862-Clara Alcantara-3151.34
883906-Gaudancio Fiees-8004.75
225342-Dulce Froes-18214.43
794638-Ximena Castilho-15034.29
483227-Esperada Cardoso-3749.74
59353-Lina Andrade-4458.00
884623-Rebeca Neto-7034.59
914346-Angelica Aranha-13476.03
744327-Tibofarcio Camacho-10480.29
217667-Neeamia Arruda-8206.23
511880-Trajano Fagundes-5349.37
680003-Manuel Capiperibe-13248.21
414401-Filomena Barrios-16890.46
126932-Sara Lameiras-10763.57
950182-Tarrataca Soares-4203.57
77820-Celeste Duarte-16914.16
578881-Trajano Fagundes-10158.17
760512-Almor Caiado-9272.48
740570-Ubaldo Mainha-7775.09
770962-Dulce Froes-17007.26
757131-Delfina Garcia de Gondim-17252.38
876824-Sidfnio Frois-13844.35
987739-Domingos Pas-7683.65
541781-Camila Gabeira-5800.09
41664-Emiliana Foquio-10129.59
31506-Judite Damasceno-1415.53
305027-Zulmira Becerra-66.48
553672-Trajano Fagundes-12154.09
404975-Augusta Paio-1226.66
802023-Jonatas Felgueiras-14734.37
338406-Quintino Alcantara-7217.10
295634-Almor Caiado-3301.03
590319-Elisa Themes-10990.91
447801-Urbano Rodrigues-5551.49
179072-Tibefarcio Colao-2017.07
751006-Anfnia Seixas-4137.39
772012-Liana Cardim-16370.44
610363-Celeste Duarte-2801.14
696756-Angelica Aranha-19855.19
808223-Aludsio Sosa-13588.37
646079-Emiliana Foquio-13681.75
238558-Eurico Siqueira-4009.88
782013-Ermelinda Quintela-19295.78
207199-Augusta Paio-12005.42
124695-Anfnia Seixas-14377.21
517387-Antonio Viegas-9139.88
463097-Telma Villalobos-13207.60
57056-Filomena Barrios-15263.71
576130-Clara Alcantara-3105.84
760888-Quintiliano Sousa de Arronches-5983.92
382292-Esperada Cardoso-19430.38
230178-Emiliana Foquio-17747.93
181370-Adelina Quadros-14780.92
223607-Neuza Francia-18212.99
931374-Lina Andrade-12369.40
346336-Leonidas Mafra-7379.73
499998-Celeste Duarte-4659.53
213740-Gaudancio Fiees-4275.26
524882-Delfina Garcia de Gondim-18381.02
387457-Edgar Carvalheiro-5253.80
603486-Neuza Francia-1102.78
995025-Artur Grillo-13145.08
374059-Oliveira Carmona-1732.06
847259-Sidfnio Frois-20804.30
378780-Filomena Barrios-11488.78
631340-Spnia ou Sonia Guerreiro-18752.24
388651-Rodolfo Paz-3782.40
906372-Emedlia Silvera-4424.54
311218-Neuza Francia-2004.95
816298-Tibefarcio Colao-16378.83
197131-Anfnia Seixas-18184.86
648851-Andreia Moita-21104.81
893666-Clarindo Areosa-7673.72
746292-Adelina Quadros-18662.19
413928-Aludsio Sosa-1651.14
21270-Flor Portella-13967.45
118409-Romo Paranage-326.50
168442-Lina Andrade-16885.57
744778-Odilia Camello-14483.84
939898-Taercio Mafra-17702.01
514690-Almerinda Palmeira-11049.14
367800-Emedlia Silvera-13955.63
245757-Delfim Higuera-1219.73
329932-Dulce Froes-9097.19
360284-Artur Grillo-12851.33
784541-Telma Villalobos-3376.71
432685-Branco Saraba-9527.89
837420-Neuza Francia-14489.58
179780-Esperada Cardoso-1062.19
533705-Leonidas Mafra-9101.59
286652-Lurdes Cotrim-911.90
525754-Marilda Leio-20545.57
278742-Sidfnio Frois-16723.20
403321-Guida Juca-12651.66
746752-Tarrataca Soares-7660.42
720519-Andreia Moita-13238.27
439609-Quintino Alcantara-5187.76
325379-Fulvio Villegas-8766.13
767847-Tibofarcio Camacho-6923.10
110937-Emiliana Foquio-1663.60
654595-Cassandra Varejo-9366.46
145008-Leonidas Mafra-5266.88
198324-Andreia Moita-10469.67
708208-Emedlio Pimentel-11173.71
970008-Joaquim Rufino-4566.34
364950-Lina Andrade-13773.54
430655-Judite Damasceno-9813.10
285533-Neuza Francia-14486.36
130730-Augusta Paio-1729.20
678321-Odete Vasques-7500.31
384556-Delfim Higuera-6552.02
796828-Tarrataca Soares-9933.47
