713369-Silvio Mata-19818.61
780210-Trajano Fagundes-9842.21
649151-Spnia ou Sonia Guerreiro-5544.07
150551-Trajano Fagundes-12668.75
827169-Sofras Cuaresma-326.67
487998-Edgar Carvalheiro-9646.06
299872-Dulce Froes-18603.59
29072-Silvio Mata-17351.27
680196-Ermelinda Quintela-867.69
442916-Rebeca Neto-8015.85
617871-Filomena Barrios-20019.21
145866-Sofras Cuaresma-922.18
27611-Elisa Themes-6118.67
979550-Tabalipa Duarte-13330.17
191743-Odilia Bello-18018.45
313180-Angilica Galante-16998.49
790013-Oliveira Senchez-3516.65
688944-Armindo Castalo-4716.94
704583-Romo Paranage-1208.91
372420-Quintino Alcantara-11193.34
6999-Silvio Mata-7004.68
874542-Andreia Moita-3571.30
479279-Delfim Higuera-15361.58
975112-Guida Juca-3286.54
378352-Telma Villalobos-19608.46
932524-Sara Lameiras-12166.75
608984-Guaraci Damasceno-9249.81
644659-Sidfnio Frois-6891.87
840325-Neeamia Arruda-13198.91
288507-Clara Alcantara-887.80
837737-Gaudancio Fiees-14537.87
824575-Tabalipa Duarte-6771.78
29232-Taercio Mafra-8906.57
100859-Henrique Bento-5011.49
706359-Adelino Barra-7755.27
156550-Sofras Cuaresma-17464.60
488485-Romo Paranage-835.85
969332-Polibe Olivares-19422.29
660869-Aludsio Sosa-4675.86
243290-Jorgina Bogalho-413.91
159513-Jorgina Bogalho-14652.29
60111-Ubaldo Mainha-2985.70
90952-Basilio Pedroso-9285.99
279646-Judite Damasceno-18197.00
638448-Trajano Fagundes-99.23
842749-Anind Zarco-15960.79
754787-Angilica Galante-18355.68
131869-Branco Saraba-10800.53
211997-Jorgina Bogalho-19487.14
699754-Guaraci Damasceno-2674.74
451207-Dulce Froes-14506.33
506060-Telma Villalobos-19036.93
255207-Rodolfo Paz-19837.84
661575-Sidfnio Frois-10795.80
216630-Guaraci Damasceno-16672.19
815075-Antonio Castelo-14125.78
873083-Lurdes Cotrim-15323.33
32342-Flamednia Leiria-8039.81
421159-Gaudancio Fiees-20641.93
912564-Estanislau Beserra-1904.09
278712-Zulmira Becerra-17138.60
390043-Neuza Francia-16458.83
587485-Telma Villalobos-6636.54
383918-Leonidas Mafra-18053.16
880203-Danilo Olaio-12770.49
815402-Ubaldo Mainha-20018.64
829713-Adelina Quadros-14312.53
444326-Quintino Alcantara-17962.86
595869-Jorgina Bogalho-7442.23
494267-Sara Lameiras-8901.36
866459-Odete Vasques-1279.31
871957-Cassandra Varejo-20703.21
603577-Rebeca Neto-5734.25
119567-Artur Grillo-8608.09
732277-Rebeca Neto-4572.05
80155-Odete Vasques-15200.21
5950-Zulmira Becerra-13503.67
780802-Mercia Caeira-17838.11
536580-Urbano Rodrigues-17529.23
1634-Tarrataca Soares-10589.34
392069-Gaudancio Fiees-21168.00
642740-Zulmira Becerra-20821.88
292412-Spnia ou Sonia Guerreiro-7113.08
596292-Filomena Barrios-21354.28
732306-Jorgina Bogalho-9916.77
433438-Branco Saraba-10947.57
998409-Guaraci Damasceno-17097.63
849360-Joaquim Rufino-740.60
985927-Domingos Pas-12865.96
345623-Delfim Higuera-9691.14
357364-Sidfnio Frois-14595.07
299862-Heleedsa Marins-1766.66
79512-Tibefarcio Colao-9139.58
283799-Jorgina Bogalho-400.71
812994-Flor Portella-15078.03
547299-Ermelinda Quintela-1517.53
302116-Elisa Themes-1212.68
939864-Edgar Carvalheiro-7001.17
904868-Antonio Castelo-15371.03
309350-Delfina Garcia de Gondim-12289.65
647577-Artur Grillo-6658.39
302361-Eurico Siqueira-21231.38
178363-Rebeca Neto-12287.34
846455-Manuel Capiperibe-7035.34
975260-Aludsio Sosa-14083.47
780704-Sara Lameiras-16528.95
342942-Cleusa Goes-8097.13
700627-Daniel Vieyra-2291.69
601859-Angelica Aranha-16950.74
615922-Manuel Capiperibe-5179.00
744450-Romo Paranage-20515.47
895864-Branco Saraba-19703.66
229257-Micaela Chavez-2090.61
4336-Basilio Pedroso-17739.07
366451-Anfnia Seixas-2103.99
531555-Jorgina Bogalho-8051.80
449438-Micaela Chavez-3580.39
151215-Filomena Barrios-5787.40
969892-Silvio Mata-15413.42
891398-Sofras Cuaresma-2374.74
294060-Lurdes Cotrim-19312.18
535243-Henrique Bento-16396.30
947512-Almor Caiado-16868.60
94029-Antonio Viegas-8393.80
774945-Romo Paranage-12847.47
319606-Angilica Galante-2357.95
275311-Daniel Vieyra-21392.44
944177-Odete Vasques-6739.12
782419-Delfina Perdigon-8348.82
211257-Anfnia Seixas-20117.73
540042-Tibofarcio Camacho-11385.83
932703-Telma Villalobos-10286.35
207954-Gaudancio Fiees-16575.83
544157-Estanislau Beserra-21066.77
304119-Emiliana Foquio-9319.68
463102-Sofras Cuaresma-16892.88
318161-Danilo Olaio-17365.63
695886-Romo Paranage-18835.07
329610-Domingos Pas-2118.06
821191-Delfina Perdigon-5640.17
786552-Feledcia Peassego-13105.57
970143-Ubaldo Mainha-2080.06
816886-Artur Grillo-13742.14
523332-Marilda Leio-7232.75
610171-Anfnia Seixas-290.95
960206-Anfnia Seixas-16495.58
621343-Odilia Camello-20948.76
526669-Artur Grillo-17230.88
860103-Oliveira Carmona-11129.35
558833-Tibefarcio Colao-18057.56
63315-Aludsio Sosa-18915.42
667608-Carminda Morais-11540.29
906955-Feledcia Peassego-12328.46
728870-Carminda Morais-16673.69
260085-Neeamia Arruda-11494.96
759194-Odilia Camello-9639.72
62155-Esperada Cardoso-13465.93
444281-Filomena Barrios-1416.36
333395-Jussara Varanda-1704.97
544622-Armanda Amorim-1205.72
772866-Cassandra Varejo-20036.35
558170-Odilia Bello-5158.19
865941-Manuel Capiperibe-9807.26
387782-Sofras Cuaresma-7609.71
700554-Rebeca Neto-19632.31
108375-Sara Lameiras-12245.07
74349-Quintino Alcantara-2340.85
432987-Taercio Mafra-7285.30
912881-Micaela Chavez-2963.79
810937-Neeamia Arruda-12969.24
497401-Feledcia Peassego-21466.97
726121-Cassandra Varejo-20087.71
499946-Jussara Varanda-10911.54
635760-Melinda Roserio-7680.58
140545-Leonidas Mafra-17627.58
657176-Gaudancio Fiees-19568.67
145859-Filomena Barrios-8524.57
744289-Nuno Balsemeo-5444.07
979135-Taercio Mafra-6083.20
710500-Eurico Siqueira-96.47
13570-Aludsio Sosa-5541.44
468011-Telma Villalobos-19858.71
741431-Nuno Balsemeo-11638.87
257139-Edgar Carvalheiro-14685.22
744003-Adelina Quadros-2721.79
978462-Flamednia Leiria-8718.37
236060-Emedlio Pimentel-20839.82
578954-Neuza Francia-9602.43
451425-Elisa Themes-19372.22
703219-Emedlio Pimentel-8904.49
395312-Estanislau Beserra-879.79
784216-Basilio Pedroso-15334.47
977159-Estanislau Beserra-14477.05
323729-Oliveira Senchez-8114.78
244413-Jonatas Felgueiras-3857.39
923413-Micaela Chavez-21337.17
501808-Emiliana Foquio-8374.70
21244-Trajano Fagundes-10260.48
463764-Estanislau Beserra-12805.00
225898-Sofras Cuaresma-18972.03
151286-Judite Damasceno-20255.98
704625-Sofras Cuaresma-16648.99
161094-Adelina Quadros-6763.92
504285-Judite Damasceno-1512.33
369960-Melinda Roserio-8574.77
931368-Spnia ou Sonia Guerreiro-2629.17
329334-Clarindo Areosa-3244.19
226068-Manuel Capiperibe-18944.40
882213-Quintiliano Sousa de Arronches-12224.20
760552-Armanda Amorim-10641.62
604290-Liana Cardim-14293.13
426996-Clarindo Areosa-7245.34
213033-Heleedsa Marins-9356.96
703834-Andreia Moita-10792.00
189240-Odilia Camello-4760.86
413256-Angilica Galante-15460.18
870696-Adelino Barra-8658.63
797619-Spnia ou Sonia Guerreiro-5196.06
289333-Filomena Barrios-14674.88
280911-Ubaldo Mainha-13517.65
508275-Silvio Mata-10628.85
334035-Almor Caiado-6888.29
575110-Micaela Chavez-17630.42
208659-Lurdes Cotrim-14382.62
74764-Clara Alcantara-5259.67
934190-Zungela Ipiranga-15593.81
710349-Artur Grillo-2297.68
905050-Ximena Castilho-16695.65
55889-Gaudancio Fiees-4623.71
626632-Guida Juca-361.68
875879-Flamednia Leiria-1406.77
954918-Emedlia Silvera-6540.11
568373-Armanda Amorim-10935.86
877338-Oliveira Senchez-21357.94
902452-Quintino Alcantara-17843.86
13674-Telma Villalobos-8968.36
658725-Zulmira Becerra-18835.46
683291-Danilo Olaio-7739.68
797088-Tibofarcio Camacho-16100.24
915035-Mercia Caeira-13191.67
314035-Camila Gabeira-9655.59
598378-Andreia Moita-19785.14
227765-Jorgina Bogalho-7875.99
898877-Lurdes Cotrim-4759.92
864604-Emiliana Foquio-21228.95
281483-Adelina Quadros-19094.25
595473-Basilio Pedroso-13816.00
677272-Rodolfo Paz-14052.83
840850-Tabalipa Duarte-3525.97
375541-Delfim Higuera-18385.12
594960-Henrique Bento-7723.42
974678-Telma Villalobos-3644.57
365083-Aludsio Sosa-13036.84
857637-Anind Zarco-10581.00
177350-Basilio Pedroso-10659.64
366284-Henrique Bento-18532.46
424037-Lurdes Cotrim-6843.58
28253-Marilda Leio-20840.35
116686-Jorgina Bogalho-12793.92
228875-Dulce Froes-8802.84
24154-Flamednia Leiria-9228.79
378404-Silvio Mata-15478.54
762895-Guaraci Damasceno-12617.35
262351-Sofras Cuaresma-11581.09
754111-Rebeca Neto-12252.86
656979-Letedcia Gago-11001.69
500981-Anind Zarco-16795.93
944842-Sara Lameiras-5521.38
188205-Anind Zarco-6392.54
28158-Quintino Alcantara-14034.83
896089-Jonatas Felgueiras-20165.07
622385-Melinda Roserio-12964.02
805423-Anind Zarco-12216.81
672970-Tarrataca Soares-4324.60
640255-Odilia Camello-15522.14
604587-Feledcia Peassego-2613.88
814744-Zulmira Becerra-6168.89
382552-Anind Zarco-18528.33
501635-Jonatas Felgueiras-10795.38
529195-Delfina Garcia de Gondim-7970.83
357125-Angelica Aranha-6964.95
64033-Eurico Siqueira-15501.17
624597-Nuno Balsemeo-15749.23
436606-Judite Damasceno-20745.96
874047-Zulmira Becerra-19597.52
597920-Odilia Bello-1488.73
7213-Regina Barcellos-6426.88
9611-Delfina Perdigon-19780.71
666071-Sidfnio Frois-19440.89
576928-Heleedsa Marins-18201.34
487408-Angilica Galante-3390.08
421666-Zungela Ipiranga-5710.72
758106-Moaci Mendoa-19166.96
292328-Almor Caiado-13426.49
286683-Guida Juca-70.40
495281-Regina Barcellos-12826.37
607805-Jonatas Felgueiras-19746.45
608885-Emedlio Pimentel-16151.71
959715-Almor Caiado-7563.53
364851-Branco Saraba-374.46
852452-Jonatas Felgueiras-8619.34
834959-Regina Barcellos-9513.55
451110-Henrique Bento-16021.14
506328-Delfina Perdigon-18884.06
157232-Jonatas Felgueiras-952.09
593132-Jonatas Felgueiras-20697.04
902265-Neeamia Arruda-16308.28
899373-Trajano Fagundes-15429.54
967010-Trajano Fagundes-15114.30
155865-Celeste Duarte-4683.11
995135-Letedcia Gago-13581.63
325591-Antonio Castelo-5825.15
760324-Cassandra Varejo-18389.66
374874-Anfnia Seixas-2599.88
671255-Rodolfo Paz-676.62
7164-Silvio Mata-10742.55
980520-Guida Juca-12811.57
114889-Guida Juca-13310.57
936234-Marilda Leio-10545.40
110628-Elisa Themes-2482.12
731349-Almor Caiado-7322.07
285807-Sofras Cuaresma-6980.49
712018-Delfina Perdigon-7168.10
768090-Adelino Barra-5577.01
746351-Leonidas Mafra-15633.72
933484-Zungela Ipiranga-15933.79
824770-Andreia Moita-19303.60
577071-Edgar Carvalheiro-2539.91
282919-Oliveira Carmona-3269.27
934735-Rodolfo Paz-7580.38
897368-Clarindo Areosa-15847.69
23272-Anind Zarco-15215.71
180109-Nuno Balsemeo-15198.00
818990-Andreia Moita-10340.84
446243-Guida Juca-19528.31
735453-Jussara Varanda-762.80
796104-Domingos Pas-17691.05
14109-Zulmira Becerra-721.99
288842-Heleedsa Marins-8234.82
136368-Delfim Higuera-12394.16
679849-Angilica Galante-17883.14
947124-Taercio Mafra-16808.53
747432-Aludsio Sosa-14995.50
390154-Jonatas Felgueiras-9358.85
217460-Liana Cardim-2498.48
449660-Guaraci Damasceno-16565.83
61216-Angelica Aranha-19353.79
548998-Spnia ou Sonia Guerreiro-2199.10
27897-Eurico Siqueira-21361.98
434146-Polibe Olivares-1488.51
878373-Elisa Themes-9485.31
124633-Armindo Castalo-9724.78
942379-Jussara Varanda-9187.42
559983-Silvio Mata-15041.32
294591-Armindo Castalo-11388.66
859851-Gaudancio Fiees-13863.16
705598-Sara Lameiras-16923.77
172956-Delfina Perdigon-18399.26
838996-Nuno Balsemeo-20829.54
986636-Quintino Alcantara-6009.04
66965-Tabalipa Duarte-2992.99
977350-Neeamia Arruda-6154.24
741063-Emedlia Silvera-9233.66
87270-Anind Zarco-5954.42
802257-Tibefarcio Colao-6657.37
881322-Sofras Cuaresma-9395.97
59920-Gaudancio Fiees-14933.02
617803-Angelica Aranha-19484.75
601785-Manuel Capiperibe-2298.31
784355-Micaela Chavez-14558.17
334585-Trajano Fagundes-4234.01
415973-Angelica Aranha-10683.78
491995-Gaudancio Fiees-7766.35
310082-Clara Alcantara-10477.23
260390-Filomena Barrios-6700.41
109435-Lina Andrade-20409.23
757820-Delfina Perdigon-3744.99
815819-Jussara Varanda-19011.17
316077-Polibe Olivares-3982.35
770139-Silvio Mata-1495.36
644856-Lurdes Cotrim-13038.70
818601-Silvio Mata-5148.02
416007-Rebeca Neto-9022.94
379454-Telma Villalobos-12376.05
301628-Antonio Viegas-8773.81
960770-Aludsio Sosa-9604.91
733083-Carminda Morais-7257.65
807812-Telma Villalobos-18655.81
390619-Ximena Castilho-19248.97
287796-Lina Andrade-8391.83
518682-Anind Zarco-13568.28
150244-Rodolfo Paz-16296.47
676182-Almerinda Palmeira-1255.79
837561-Jorgina Bogalho-20629.59
238003-Zulmira Becerra-15947.77
163413-Delfim Higuera-15342.54
44170-Regina Barcellos-6735.03
423841-Joaquim Rufino-5058.27
436583-Heleedsa Marins-8322.18
684181-Tarrataca Soares-18825.06
467341-Emiliana Foquio-8175.41
637001-Elisa Themes-2082.07
609134-Estanislau Beserra-11228.83
875736-Honorina Lira-432.37
263241-Flamednia Leiria-1644.75
548392-Leonidas Mafra-91.55
324271-Jonatas Felgueiras-16181.99
865051-Carminda Morais-10711.40
502903-Jorgina Bogalho-2690.92
553904-Sara Lameiras-17577.77
788193-Ubaldo Mainha-13917.60
366980-Aludsio Sosa-4749.14
108865-Guaraci Damasceno-16695.23
429856-Honorina Lira-15829.15
709407-Liana Cardim-14526.95
798202-Elisa Themes-87.59
140661-Polibe Olivares-3590.84
502569-Micaela Chavez-10819.49
175388-Esperada Cardoso-18954.52
582441-Flamednia Leiria-4295.22
11524-Telma Villalobos-18183.10
497672-Feledcia Peassego-9761.93
674776-Oliveira Senchez-16803.02
251723-Henrique Bento-19087.32
66074-Camila Gabeira-15769.58
355834-Quintino Alcantara-1322.72
317119-Anfnia Seixas-12564.13
961395-Flamednia Leiria-13279.16
777913-Delfina Garcia de Gondim-8526.07
170551-Celeste Duarte-6627.06
372546-Jussara Varanda-4932.34
334888-Oliveira Carmona-11617.32
210930-Letedcia Gago-7289.23
126157-Ximena Castilho-3176.91
956307-Flamednia Leiria-21187.57
513677-Flor Portella-20016.29
313955-Leonidas Mafra-21229.46
714116-Filomena Barrios-19534.24
62859-Artur Grillo-4167.18
379439-Rebeca Neto-20768.89
217760-Odilia Camello-1017.78
882368-Spnia ou Sonia Guerreiro-1781.13
740242-Delfina Perdigon-6333.23
416599-Zulmira Becerra-9894.50
341296-Filomena Barrios-6819.22
740092-Carminda Morais-11634.36
411188-Neuza Francia-2952.66
11599-Melinda Roserio-5839.80
527541-Daniel Vieyra-9640.43
650755-Ermelinda Quintela-11834.23
996386-Ubaldo Mainha-16716.40
575960-Filomena Barrios-20995.23
403499-Carminda Morais-12957.79
153781-Judite Damasceno-9407.12
594879-Adelina Quadros-7955.70
309221-Odete Vasques-2898.26
168993-Henrique Bento-17032.38
491313-Zulmira Becerra-19972.49
237577-Jorgina Bogalho-3522.93
734754-Zungela Ipiranga-19159.44
120691-Judite Damasceno-9084.57
284286-Delfina Perdigon-21180.33
560429-Zulmira Becerra-2639.52
160048-Mercia Caeira-3701.06
725654-Emedlio Pimentel-6067.01
213554-Ximena Castilho-9450.10
653778-Zulmira Becerra-12391.79
360280-Zungela Ipiranga-14646.71
47178-Eurico Siqueira-14274.25
293683-Tarrataca Soares-15441.59
962883-Cleusa Goes-17442.80
788889-Odete Vasques-21295.64
654071-Branco Saraba-7306.41
815021-Fulvio Villegas-3283.17
688340-Aludsio Sosa-19120.43
131676-Edgar Carvalheiro-18687.73
917825-Angelica Aranha-13619.43
941624-Eurico Siqueira-6868.20
731023-Jonatas Felgueiras-4273.83
813563-Daniel Vieyra-15476.77
872704-Silvio Mata-9361.56
872128-Elisa Themes-2644.61
936851-Anfnia Seixas-16321.16
954021-Sofras Cuaresma-20399.31
77418-Neuza Francia-2811.35
901922-Leonidas Mafra-14462.67
253106-Quintiliano Sousa de Arronches-15301.85
783612-Quintiliano Sousa de Arronches-886.43
501105-Anind Zarco-12663.74
159513-Oliveira Carmona-11207.04
977238-Clarindo Areosa-15675.76
591324-Armindo Castalo-13679.65
286057-Delfim Higuera-4924.18
138218-Manuel Capiperibe-13523.72
307856-Ermelinda Quintela-229.66
520624-Feledcia Peassego-14058.68
22782-Odete Vasques-36.37
984460-Cleusa Goes-13504.21
282289-Adelino Barra-4684.38
447097-Fulvio Villegas-9325.98
321623-Feledcia Peassego-21395.75
836046-Nuno Balsemeo-15386.83
328312-Honorina Lira-12594.85
452491-Aludsio Sosa-20326.23
507253-Polibe Olivares-20389.31
213642-Celeste Duarte-10429.68
186984-Odilia Camello-9135.07
861455-Esperada Cardoso-8650.08
695031-Liana Cardim-15842.90
386032-Gaudancio Fiees-13512.54
297077-Odete Vasques-17135.76
300871-Odilia Bello-14599.28
785893-Dulce Froes-8547.73
688996-Lurdes Cotrim-15302.25
964201-Gaudancio Fiees-12312.49
721629-Anind Zarco-2389.79
346850-Jorgina Bogalho-21471.66
609324-Anfnia Seixas-20435.43
809014-Angilica Galante-167.55
447025-Jussara Varanda-16281.41
682871-Danilo Olaio-15559.54
10142-Flamednia Leiria-13677.71
536515-Quintiliano Sousa de Arronches-2840.74
64398-Heleedsa Marins-9447.63
732011-Rebeca Neto-4072.43
330858-Honorina Lira-8419.65
414266-Liana Cardim-15073.12
521371-Oliveira Carmona-2594.38
636633-Cassandra Varejo-5962.47
558692-Honorina Lira-8386.93
734647-Lina Andrade-19193.76
2473-Flamednia Leiria-16829.03
714569-Cassandra Varejo-16679.56
199246-Gaudancio Fiees-9865.37
425347-Odilia Bello-16712.69
900126-Delfina Garcia de Gondim-14661.16
869929-Silvio Mata-14140.46
5388-Neuza Francia-2810.84
717014-Melinda Roserio-10797.21
667135-Ermelinda Quintela-10992.79
274486-Romo Paranage-16910.14
352498-Nuno Balsemeo-2735.33
718394-Polibe Olivares-4542.47
158066-Elisa Themes-9404.47
360512-Henrique Bento-11148.72
806285-Delfina Garcia de Gondim-612.89
733365-Daniel Vieyra-1661.58
488603-Taercio Mafra-14291.64
164971-Ubaldo Mainha-15988.81
604187-Feledcia Peassego-6920.64
736924-Emedlia Silvera-3368.55
762407-Almerinda Palmeira-20892.08
207129-Esperada Cardoso-8744.42
123957-Odilia Bello-12716.00
577291-Adelino Barra-20779.61
815493-Anfnia Seixas-15532.84
685773-Guaraci Damasceno-5395.33
602399-Daniel Vieyra-5440.22
119445-Branco Saraba-18261.87
840840-Fulvio Villegas-6873.07
874334-Antonio Castelo-1135.61
921869-Delfim Higuera-20243.23
502271-Esperada Cardoso-16600.47
846461-Mercia Caeira-6886.87
637333-Anind Zarco-967.81
816586-Spnia ou Sonia Guerreiro-15555.96
767996-Domingos Pas-887.98
394195-Quintiliano Sousa de Arronches-14054.01
184220-Gaudancio Fiees-14915.20
371437-Almor Caiado-14268.77
622982-Emedlio Pimentel-1632.68
246045-Delfina Garcia de Gondim-15391.90
76773-Adelino Barra-15332.08
866263-Dulce Froes-5995.71
772582-Andreia Moita-18262.09
639890-Clarindo Areosa-20330.25
823529-Augusta Paio-12813.09
24160-Leonidas Mafra-18847.04
763089-Gaudancio Fiees-9774.04
688935-Oliveira Senchez-1582.92
438590-Tarrataca Soares-1194.31
748978-Daniel Vieyra-11976.77
898858-Sara Lameiras-11872.71
95359-Almor Caiado-9626.53
495143-Angilica Galante-17954.26
675500-Zulmira Becerra-14685.82
968275-Sofras Cuaresma-15354.06
59243-Carminda Morais-3879.46
550801-Daniel Vieyra-7177.09
78748-Neeamia Arruda-559.14
275-Guaraci Damasceno-12373.53
189716-Nuno Balsemeo-806.18
85293-Odete Vasques-7575.17
189277-Emiliana Foquio-6331.29
864480-Edgar Carvalheiro-3961.40
780939-Odilia Bello-1433.32
722538-Feledcia Peassego-14303.01
489975-Odete Vasques-508.76
477447-Tarrataca Soares-17054.27
869172-Ubaldo Mainha-14430.22
69293-Flor Portella-6905.39
184440-Odete Vasques-17587.28
493363-Jonatas Felgueiras-18918.14
72834-Andreia Moita-4755.19
821820-Ximena Castilho-2569.00
512904-Feledcia Peassego-9146.81
302328-Lurdes Cotrim-1869.20
497270-Oliveira Senchez-15024.10
638241-Flamednia Leiria-3034.04
4682-Antonio Castelo-18622.73
285530-Judite Damasceno-20423.42
919374-Moaci Mendoa-9630.43
687897-Odete Vasques-19695.36
457253-Jorgina Bogalho-19541.26
871859-Mercia Caeira-18794.64
426856-Odilia Bello-13934.93
830450-Basilio Pedroso-19647.95
534563-Emedlia Silvera-8338.09
114790-Andreia Moita-5359.63
121934-Guaraci Damasceno-17889.68
183797-Dulce Froes-3537.70
267952-Lina Andrade-17626.89
113170-Honorina Lira-18013.77
772041-Delfina Perdigon-12273.51
466546-Rebeca Neto-6737.39
61165-Elisa Themes-5366.82
336837-Neuza Francia-9595.13
532453-Daniel Vieyra-12250.47
654340-Clarindo Areosa-13841.62
696297-Jonatas Felgueiras-9948.00
11145-Camila Gabeira-14999.84
668176-Angilica Galante-14427.69
400888-Eurico Siqueira-4343.98
669940-Dulce Froes-3666.86
580869-Rodolfo Paz-17151.53
988200-Tibefarcio Colao-4417.31
372133-Adelina Quadros-17560.67
584054-Cleusa Goes-15501.16
604879-Silvio Mata-13262.87
589203-Silvio Mata-13879.83
58059-Dulce Froes-14499.94
813329-Elisa Themes-14071.79
258036-Aludsio Sosa-750.96
596429-Neeamia Arruda-15707.66
285760-Dulce Froes-14058.63
230594-Liana Cardim-14598.51
857786-Polibe Olivares-9787.40
514138-Zulmira Becerra-19273.24
217862-Armindo Castalo-8444.45
600100-Oliveira Carmona-4135.51
782786-Dulce Froes-2761.25
466070-Branco Saraba-7859.38
917903-Tibefarcio Colao-15581.96
284159-Angelica Aranha-993.09
336880-Taercio Mafra-19315.95
58964-Rodolfo Paz-12863.42
511575-Almerinda Palmeira-8477.16
547903-Delfina Perdigon-15752.30
700401-Emedlio Pimentel-3989.65
656115-Heleedsa Marins-8505.65
111341-Clara Alcantara-17773.47
77224-Cleusa Goes-3843.30
221942-Artur Grillo-2617.64
462734-Emiliana Foquio-18440.48
985892-Moaci Mendoa-12029.01
372286-Tibefarcio Colao-534.77
126468-Anind Zarco-9849.88
136922-Manuel Capiperibe-14585.36
987704-Rebeca Neto-8767.53
283692-Ximena Castilho-5659.25
130441-Jorgina Bogalho-19140.37
102363-Rebeca Neto-20761.14
529139-Lina Andrade-3118.52
152454-Joaquim Rufino-9913.15
85088-Quintiliano Sousa de Arronches-13903.01
645506-Moaci Mendoa-7671.90
547950-Domingos Pas-5818.32
166558-Heleedsa Marins-18129.69
531820-Nuno Balsemeo-20929.57
861600-Letedcia Gago-1187.57
272349-Esperada Cardoso-5988.88
30502-Flamednia Leiria-16619.90
634833-Filomena Barrios-19465.19
3245-Clarindo Areosa-8631.88
419897-Guida Juca-6587.89
254375-Lina Andrade-11174.35
81993-Tibefarcio Colao-13779.83
381624-Zungela Ipiranga-1406.66
250225-Anfnia Seixas-11281.97
355495-Armanda Amorim-4445.75
902605-Jonatas Felgueiras-10878.48
2895-Augusta Paio-5403.95
733590-Artur Grillo-13340.29
316632-Mercia Caeira-15830.33
731107-Armanda Amorim-9839.69
446555-Antonio Castelo-7397.40
351616-Armanda Amorim-9038.22
605460-Odete Vasques-3137.20
828659-Almor Caiado-4279.70
41621-Emiliana Foquio-21233.25
11685-Augusta Paio-16707.44
352941-Adelino Barra-9842.64
716808-Neeamia Arruda-21399.97
116075-Elisa Themes-11548.30
703194-Ubaldo Mainha-11675.61
79607-Emedlio Pimentel-14210.08
407170-Carminda Morais-5348.76
717483-Quintiliano Sousa de Arronches-12384.81
209806-Lurdes Cotrim-10498.26
899609-Trajano Fagundes-20618.68
164844-Rodolfo Paz-983.96
794211-Branco Saraba-532.65
818212-Filomena Barrios-14409.82
871681-Adelina Quadros-19130.98
990567-Basilio Pedroso-1853.18
78414-Emedlio Pimentel-12113.97
905951-Polibe Olivares-18138.04
555170-Daniel Vieyra-12230.38
440399-Ermelinda Quintela-17272.48
295513-Nuno Balsemeo-1596.64
992358-Tabalipa Duarte-12598.29
949891-Zungela Ipiranga-18206.23
171008-Camila Gabeira-2349.58
905651-Micaela Chavez-21318.29
986803-Angelica Aranha-5043.36
629219-Angelica Aranha-6314.15
795808-Polibe Olivares-11053.21
838184-Domingos Pas-6823.92
878161-Filomena Barrios-18238.33
744398-Marilda Leio-6626.44
994868-Rodolfo Paz-14696.37
