480977-Adelino Barra-9024.04
162617-Angelica Aranha-8642.69
896517-Letedcia Gago-15557.80
315607-Tibefarcio Colao-8603.06
204657-Silvio Mata-8080.47
198326-Danilo Olaio-14138.29
281406-Polibe Olivares-19597.35
699574-Sara Lameiras-9328.78
711915-Oliveira Senchez-20885.65
790667-Zulmira Becerra-7482.05
877785-Carminda Morais-21472.57
652111-Tibofarcio Camacho-649.36
749469-Mercia Caeira-13178.33
426826-Moaci Mendoa-226.65
998970-Melinda Roserio-5108.69
4957-Joaquim Rufino-9690.68
893735-Polibe Olivares-19183.49
298512-Adelina Quadros-19890.49
99047-Artur Grillo-8012.77
762274-Tibefarcio Colao-5515.84
418472-Trajano Fagundes-4149.78
666843-Antonio Castelo-1391.47
183935-Gaudancio Fiees-10168.96
997302-Eurico Siqueira-9348.39
633220-Flamednia Leiria-19568.38
799985-Celeste Duarte-14853.59
828489-Leonidas Mafra-18222.53
591865-Neeamia Arruda-12950.68
750017-Ubaldo Mainha-2446.83
989583-Eurico Siqueira-12754.46
434575-Oliveira Senchez-2673.81
653168-Celeste Duarte-11890.47
807979-Emedlio Pimentel-6097.48
311877-Rodolfo Paz-852.61
480469-Fulvio Villegas-4758.95
518412-Neeamia Arruda-4422.11
624034-Delfina Perdigon-13980.39
111444-Jorgina Bogalho-10081.48
647513-Cleusa Goes-2054.14
976860-Nuno Balsemeo-10784.04
890152-Eurico Siqueira-803.54
781528-Andreia Moita-15060.08
819449-Angelica Aranha-11253.32
269738-Lina Andrade-2561.60
559219-Spnia ou Sonia Guerreiro-10686.41
203216-Zungela Ipiranga-19261.59
206686-Adelina Quadros-16503.00
496067-Nuno Balsemeo-119.27
853521-Letedcia Gago-11475.75
894445-Delfim Higuera-15635.52
897467-Polibe Olivares-18114.42
281059-Feledcia Peassego-1587.40
228417-Tarrataca Soares-10395.59
407123-Artur Grillo-11758.29
363535-Anind Zarco-15023.88
214523-Mercia Caeira-18285.91
792774-Antonio Castelo-14923.14
410427-Adelina Quadros-1683.27
175697-Jorgina Bogalho-12991.80
354955-Augusta Paio-8345.91
454134-Rodolfo Paz-500.05
424163-Oliveira Senchez-13602.86
885504-Nuno Balsemeo-16595.14
711546-Joaquim Rufino-15574.38
181460-Andreia Moita-11393.18
808421-Oliveira Carmona-8810.49
110840-Romo Paranage-12248.41
712751-Letedcia Gago-14212.52
758303-Jorgina Bogalho-3309.44
378657-Zulmira Becerra-3068.15
67024-Antonio Castelo-2797.86
197205-Sidfnio Frois-3302.10
583432-Daniel Vieyra-19640.95
528802-Filomena Barrios-20118.07
819406-Taercio Mafra-7295.05
498111-Odilia Camello-13333.13
800838-Oliveira Carmona-14544.24
417920-Jussara Varanda-5956.53
361777-Elisa Themes-9164.11
485930-Camila Gabeira-14167.90
233880-Tarrataca Soares-15128.57
470392-Cleusa Goes-8685.71
992876-Augusta Paio-17901.54
62453-Joaquim Rufino-10221.99
569895-Adelino Barra-18880.19
911441-Cassandra Varejo-15950.33
301614-Domingos Pas-19718.34
49541-Tibefarcio Colao-2157.68
49296-Antonio Viegas-7901.30
509281-Edgar Carvalheiro-6991.32
268099-Dulce Froes-7773.66
328940-Emiliana Foquio-10748.37
599616-Clara Alcantara-8043.46
481983-Melinda Roserio-16254.08
687587-Armanda Amorim-8004.94
397889-Odilia Bello-16164.06
937661-Clara Alcantara-6592.24
901391-Tibefarcio Colao-13012.73
34536-Tibofarcio Camacho-6688.39
579046-Cassandra Varejo-12403.48
429930-Domingos Pas-11751.33
654213-Sara Lameiras-7529.78
449100-Armindo Castalo-3040.94
914374-Guida Juca-17925.76
578838-Quintino Alcantara-7877.80
778250-Almerinda Palmeira-1666.94
527075-Trajano Fagundes-12626.32
626149-Odilia Bello-12350.50
493394-Adelina Quadros-6796.00
490585-Lina Andrade-5126.96
620006-Odilia Bello-36.42
631888-Cleusa Goes-6652.96
996623-Flor Portella-12187.46
707088-Adelina Quadros-13066.60
825736-Flor Portella-19512.39
955167-Delfina Garcia de Gondim-7455.33
6821-Danilo Olaio-14320.60
282314-Augusta Paio-16876.87
347539-Flor Portella-17281.80
735439-Carminda Morais-1961.87
504351-Polibe Olivares-20858.07
406023-Guaraci Damasceno-17319.55
285747-Nuno Balsemeo-2094.68
775844-Mercia Caeira-4701.75
841944-Henrique Bento-19920.01
204340-Tabalipa Duarte-12804.72
260921-Guida Juca-20994.79
949347-Antonio Viegas-8132.78
203714-Moaci Mendoa-8706.25
574910-Anind Zarco-7928.77
125629-Angilica Galante-18203.82
834857-Guaraci Damasceno-8333.04
840457-Antonio Viegas-7321.06
591527-Lurdes Cotrim-18208.82
518795-Adelino Barra-15972.40
201097-Lina Andrade-8489.61
416685-Feledcia Peassego-18902.22
208986-Emedlio Pimentel-16886.88
204148-Clara Alcantara-14794.08
895567-Guaraci Damasceno-19419.82
257475-Oliveira Senchez-14416.24
458934-Delfim Higuera-21294.59
615481-Rebeca Neto-3758.16
756443-Danilo Olaio-16944.08
72557-Nuno Balsemeo-9494.43
389558-Jussara Varanda-921.60
211671-Armanda Amorim-20155.77
513012-Neeamia Arruda-17093.02
92248-Tibofarcio Camacho-8610.23
813270-Cleusa Goes-11989.18
927869-Sofras Cuaresma-7716.92
424044-Jonatas Felgueiras-16651.51
740524-Emedlio Pimentel-13162.83
163055-Tibefarcio Colao-20820.39
467481-Gaudancio Fiees-1376.28
44804-Zulmira Becerra-17700.18
583011-Tabalipa Duarte-18172.29
859375-Augusta Paio-2312.59
823244-Tibofarcio Camacho-21203.51
227388-Silvio Mata-19126.81
614012-Jonatas Felgueiras-4011.25
141449-Armindo Castalo-15535.49
644558-Honorina Lira-19082.89
963794-Sidfnio Frois-499.69
207038-Oliveira Senchez-20944.37
893085-Polibe Olivares-10489.98
739383-Guida Juca-20575.80
195323-Edgar Carvalheiro-5679.56
953539-Basilio Pedroso-4162.96
734530-Clara Alcantara-9345.23
950217-Ximena Castilho-19171.37
858073-Neuza Francia-5107.95
949738-Melinda Roserio-9924.40
807989-Artur Grillo-15904.03
738326-Zulmira Becerra-18516.11
296953-Silvio Mata-5780.20
389781-Ermelinda Quintela-92.76
712129-Melinda Roserio-134.71
809713-Estanislau Beserra-1524.25
258429-Henrique Bento-12871.59
420603-Daniel Vieyra-3216.26
191400-Heleedsa Marins-1750.00
543920-Sidfnio Frois-3649.50
185984-Lurdes Cotrim-602.74
796999-Delfina Garcia de Gondim-13430.12
360797-Elisa Themes-558.26
438536-Celeste Duarte-1162.16
613225-Edgar Carvalheiro-11939.28
744241-Sara Lameiras-13727.37
171180-Melinda Roserio-6255.12
637782-Artur Grillo-8649.33
241707-Tarrataca Soares-3446.41
157109-Jussara Varanda-6181.84
512193-Antonio Castelo-14463.70
787106-Tibefarcio Colao-7316.84
188886-Rebeca Neto-5685.61
610619-Gaudancio Fiees-20059.99
308040-Ubaldo Mainha-6591.29
476473-Jonatas Felgueiras-13908.73
69456-Guaraci Damasceno-3225.61
337872-Eurico Siqueira-5361.99
231938-Silvio Mata-18014.40
126079-Aludsio Sosa-3341.14
970035-Judite Damasceno-14216.26
88146-Anind Zarco-2119.29
735090-Liana Cardim-7041.18
207821-Zulmira Becerra-13287.29
379768-Manuel Capiperibe-20950.37
512115-Cassandra Varejo-8690.30
381871-Liana Cardim-20980.99
763818-Regina Barcellos-6269.53
594911-Lina Andrade-10721.85
66549-Henrique Bento-14613.12
722653-Sidfnio Frois-117.98
265559-Daniel Vieyra-10788.86
492267-Joaquim Rufino-17106.21
796278-Henrique Bento-19628.29
99776-Tarrataca Soares-19517.25
48691-Adelino Barra-7237.54
870911-Celeste Duarte-17991.35
770322-Micaela Chavez-15084.16
868354-Ubaldo Mainha-7165.27
406715-Letedcia Gago-19155.93
575217-Jorgina Bogalho-14288.32
886053-Urbano Rodrigues-7026.14
609978-Rodolfo Paz-4686.23
968582-Spnia ou Sonia Guerreiro-12954.19
56133-Artur Grillo-8940.35
213374-Jussara Varanda-20710.84
400428-Cassandra Varejo-19224.71
203101-Jonatas Felgueiras-7707.58
959267-Almerinda Palmeira-12996.26
900862-Henrique Bento-10155.49
186671-Almerinda Palmeira-2526.41
754025-Artur Grillo-4325.27
723773-Gaudancio Fiees-17671.37
314654-Anind Zarco-6656.22
767193-Gaudancio Fiees-6041.94
944807-Delfina Garcia de Gondim-15304.08
392315-Odilia Camello-183.25
491587-Eurico Siqueira-3135.28
6443-Artur Grillo-8954.87
564498-Jussara Varanda-6889.04
715948-Armindo Castalo-11550.91
732502-Daniel Vieyra-1583.61
847017-Mercia Caeira-9250.85
100815-Tibofarcio Camacho-8709.16
773823-Adelino Barra-19586.83
998521-Ermelinda Quintela-18451.44
823601-Adelino Barra-12540.53
119974-Moaci Mendoa-19845.45
690667-Honorina Lira-12500.67
404033-Zulmira Becerra-19146.32
666789-Basilio Pedroso-15988.64
570502-Melinda Roserio-17315.97
517579-Edgar Carvalheiro-8679.60
601646-Angilica Galante-16240.61
307638-Delfim Higuera-10003.51
724391-Angelica Aranha-20383.50
65280-Jorgina Bogalho-3666.90
214381-Spnia ou Sonia Guerreiro-553.26
407499-Melinda Roserio-18750.16
87550-Tibefarcio Colao-6829.37
671748-Carminda Morais-17896.04
863117-Heleedsa Marins-11526.91
415681-Urbano Rodrigues-13522.08
569565-Antonio Viegas-20078.10
639424-Guaraci Damasceno-16376.34
392451-Leonidas Mafra-8458.75
322510-Nuno Balsemeo-11629.40
305563-Anind Zarco-4596.71
349550-Moaci Mendoa-11970.78
977266-Anfnia Seixas-21231.66
753210-Tarrataca Soares-17793.54
393330-Oliveira Senchez-13207.33
146479-Feledcia Peassego-9056.65
376028-Judite Damasceno-14592.35
666438-Aludsio Sosa-17048.74
824238-Henrique Bento-14537.83
847948-Clarindo Areosa-4036.22
561170-Domingos Pas-19559.27
83878-Tabalipa Duarte-16527.93
655796-Urbano Rodrigues-7442.87
164605-Andreia Moita-11450.40
793446-Dulce Froes-1589.50
629174-Filomena Barrios-16650.96
673015-Carminda Morais-889.89
42969-Neuza Francia-13496.55
563026-Odilia Bello-49.96
957576-Spnia ou Sonia Guerreiro-2408.44
808251-Basilio Pedroso-2764.05
329433-Guida Juca-1670.05
928621-Gaudancio Fiees-17876.61
726070-Angelica Aranha-15263.42
877175-Ximena Castilho-11726.52
277759-Carminda Morais-18792.81
859853-Neeamia Arruda-7034.70
676672-Letedcia Gago-18005.13
367640-Emedlio Pimentel-3655.92
874265-Manuel Capiperibe-15395.50
2704-Antonio Castelo-428.75
58520-Esperada Cardoso-6302.04
940320-Lurdes Cotrim-2036.49
592666-Taercio Mafra-8863.75
317825-Danilo Olaio-1627.69
476422-Dulce Froes-15010.46
247641-Joaquim Rufino-15119.06
7510-Ubaldo Mainha-16545.83
938819-Marilda Leio-14864.67
865807-Lina Andrade-3138.58
636422-Anind Zarco-6878.60
811833-Tarrataca Soares-2694.35
992271-Flor Portella-7113.75
349884-Neeamia Arruda-6104.84
565631-Oliveira Carmona-11118.02
432957-Sofras Cuaresma-2267.95
97388-Almerinda Palmeira-17680.43
231941-Tibefarcio Colao-15295.67
912288-Clara Alcantara-8610.22
668751-Celeste Duarte-19148.88
491611-Odilia Bello-6370.40
189119-Ubaldo Mainha-15988.52
607061-Estanislau Beserra-6723.61
157705-Judite Damasceno-17927.11
599827-Feledcia Peassego-437.93
810601-Almor Caiado-8932.26
584138-Letedcia Gago-19253.23
780293-Oliveira Carmona-16960.71
559385-Antonio Viegas-20059.84
321759-Andreia Moita-10731.69
941680-Clarindo Areosa-4371.77
421852-Daniel Vieyra-1408.82
853499-Zungela Ipiranga-8144.89
144239-Anfnia Seixas-5141.63
435793-Henrique Bento-1262.79
45986-Adelina Quadros-19610.90
451241-Esperada Cardoso-10771.91
899199-Camila Gabeira-11339.71
946425-Ermelinda Quintela-16385.30
499035-Lina Andrade-19298.52
971892-Ubaldo Mainha-1743.10
485067-Adelino Barra-13547.32
850393-Neuza Francia-14455.85
92844-Flor Portella-11582.46
562305-Guida Juca-11031.98
824407-Aludsio Sosa-2447.60
312107-Zungela Ipiranga-9572.12
639145-Estanislau Beserra-7136.27
553815-Armanda Amorim-10435.74
968405-Urbano Rodrigues-6605.89
551665-Lina Andrade-14795.61
827912-Delfina Garcia de Gondim-19900.46
469913-Urbano Rodrigues-16434.13
117433-Almerinda Palmeira-11120.22
928178-Angelica Aranha-411.01
534678-Urbano Rodrigues-6219.25
231182-Delfim Higuera-16002.37
118182-Manuel Capiperibe-6063.93
8673-Neeamia Arruda-14839.46
912986-Melinda Roserio-19439.15
701934-Almor Caiado-9119.83
800847-Anfnia Seixas-9728.11
147927-Lurdes Cotrim-1197.97
80323-Jonatas Felgueiras-13149.14
774978-Anfnia Seixas-7773.59
667684-Cassandra Varejo-7808.94
837132-Spnia ou Sonia Guerreiro-11391.25
701859-Almor Caiado-7817.59
226473-Romo Paranage-8427.68
808343-Carminda Morais-8131.97
495559-Odilia Camello-4754.16
260014-Spnia ou Sonia Guerreiro-37.33
586775-Mercia Caeira-7528.81
326236-Elisa Themes-20209.61
603945-Polibe Olivares-6712.52
982206-Henrique Bento-21019.20
285426-Judite Damasceno-1152.74
342065-Tibefarcio Colao-21109.75
791268-Jussara Varanda-2127.18
703203-Andreia Moita-19065.27
46274-Feledcia Peassego-14105.38
372147-Polibe Olivares-2043.15
25086-Telma Villalobos-2779.02
958654-Delfina Garcia de Gondim-11272.28
839339-Flor Portella-17168.32
562615-Urbano Rodrigues-20878.14
212217-Regina Barcellos-7146.16
470271-Polibe Olivares-13449.58
4015-Fulvio Villegas-2902.66
822123-Anfnia Seixas-11819.69
321228-Sidfnio Frois-16690.15
752321-Odilia Camello-5159.03
916249-Ermelinda Quintela-8429.29
477291-Esperada Cardoso-6224.04
999420-Emedlio Pimentel-11692.43
773964-Eurico Siqueira-11133.22
501313-Clarindo Areosa-12355.34
502245-Carminda Morais-5275.21
478621-Emedlia Silvera-19185.25
689618-Angilica Galante-19563.47
427227-Joaquim Rufino-14541.84
736063-Fulvio Villegas-8874.53
843436-Cleusa Goes-2598.86
852474-Lurdes Cotrim-3243.63
605764-Sofras Cuaresma-9543.62
707253-Delfina Garcia de Gondim-6736.53
139145-Ermelinda Quintela-15841.54
186868-Nuno Balsemeo-16536.56
708839-Nuno Balsemeo-8456.51
496327-Trajano Fagundes-15203.41
252534-Urbano Rodrigues-12892.84
540086-Cassandra Varejo-15630.21
247483-Ximena Castilho-3983.80
367107-Armindo Castalo-2207.49
923020-Henrique Bento-98.71
205505-Almor Caiado-14825.79
326234-Celeste Duarte-2842.34
497423-Sidfnio Frois-14244.21
189345-Neeamia Arruda-19531.30
922367-Daniel Vieyra-131.42
518612-Lina Andrade-10813.95
299308-Angelica Aranha-3844.51
49480-Trajano Fagundes-5856.99
685377-Judite Damasceno-3805.82
684291-Edgar Carvalheiro-3915.05
561993-Manuel Capiperibe-17877.11
92448-Telma Villalobos-13875.53
776969-Estanislau Beserra-4265.67
150505-Delfim Higuera-15797.57
175327-Filomena Barrios-3231.95
541052-Flamednia Leiria-7607.14
707612-Domingos Pas-515.30
411070-Adelino Barra-12305.79
494864-Edgar Carvalheiro-2627.81
327818-Sara Lameiras-17674.65
32050-Tibofarcio Camacho-2565.43
831165-Silvio Mata-6986.36
864307-Aludsio Sosa-3829.29
834698-Carminda Morais-9630.80
934825-Almerinda Palmeira-11372.55
693719-Zulmira Becerra-2783.12
847562-Judite Damasceno-18230.20
452793-Filomena Barrios-8919.47
273246-Anind Zarco-309.59
159678-Branco Saraba-16082.86
67813-Carminda Morais-13388.35
203157-Neeamia Arruda-7051.82
891943-Eurico Siqueira-21390.47
664299-Neeamia Arruda-6223.98
193218-Odilia Bello-2558.49
917421-Edgar Carvalheiro-10525.43
871871-Honorina Lira-19463.90
355877-Fulvio Villegas-11743.59
418919-Almor Caiado-14696.33
779080-Edgar Carvalheiro-10653.09
604297-Antonio Castelo-3528.93
489269-Liana Cardim-11200.96
493738-Artur Grillo-4595.04
943731-Neuza Francia-9451.69
989752-Adelina Quadros-20093.62
290776-Honorina Lira-18277.96
904208-Basilio Pedroso-11611.84
54012-Delfim Higuera-610.56
151257-Sidfnio Frois-19054.75
207161-Carminda Morais-5147.70
65893-Cassandra Varejo-19513.75
275856-Domingos Pas-293.80
668215-Sara Lameiras-18898.74
623629-Emedlia Silvera-14733.34
976798-Leonidas Mafra-18903.24
695250-Jorgina Bogalho-21306.15
956353-Odilia Bello-3250.35
124021-Mercia Caeira-4440.89
651048-Emiliana Foquio-12322.40
327032-Rodolfo Paz-5729.64
828004-Quintino Alcantara-745.46
705424-Flamednia Leiria-10758.22
195155-Zungela Ipiranga-21344.90
705490-Silvio Mata-10946.30
384378-Quintiliano Sousa de Arronches-7261.23
941388-Fulvio Villegas-12848.19
293941-Celeste Duarte-16757.75
862965-Lurdes Cotrim-16978.99
971633-Angelica Aranha-3780.66
71567-Micaela Chavez-13333.93
941849-Neuza Francia-13342.21
219479-Regina Barcellos-7334.43
361022-Angelica Aranha-6511.55
892922-Manuel Capiperibe-15468.60
275260-Cassandra Varejo-707.61
497790-Polibe Olivares-3797.02
334935-Ermelinda Quintela-65.13
723608-Cassandra Varejo-1123.76
201469-Honorina Lira-7583.47
436127-Moaci Mendoa-17024.19
634744-Emiliana Foquio-13118.77
379565-Domingos Pas-15380.96
946445-Rodolfo Paz-2629.74
36303-Oliveira Carmona-15238.67
756418-Gaudancio Fiees-3516.58
599938-Andreia Moita-7841.56
778467-Leonidas Mafra-6570.07
248356-Quintiliano Sousa de Arronches-2952.47
617276-Delfina Garcia de Gondim-1429.65
568979-Zungela Ipiranga-14324.01
914146-Odete Vasques-4415.52
997132-Clara Alcantara-15399.32
523362-Urbano Rodrigues-15083.95
720695-Tibofarcio Camacho-3339.48
