727932-Romo Paranage-15482.28
298342-Emedlia Silvera-1901.98
586419-Letedcia Gago-3123.98
205823-Lurdes Cotrim-19693.34
399866-Mercia Caeira-10435.72
262026-Delfina Garcia de Gondim-2537.16
179103-Camila Gabeira-9461.06
944331-Manuel Capiperibe-8135.83
529871-Judite Damasceno-17768.84
421930-Angilica Galante-12895.24
63404-Artur Grillo-3637.96
365751-Trajano Fagundes-21090.95
364238-Quintino Alcantara-8331.97
438095-Nuno Balsemeo-299.20
759308-Leonidas Mafra-2803.19
356327-Telma Villalobos-19455.81
586356-Sara Lameiras-8592.77
497926-Oliveira Carmona-20722.21
528288-Anind Zarco-13422.67
617494-Spnia ou Sonia Guerreiro-3472.06
765001-Romo Paranage-19452.69
563915-Odete Vasques-3431.51
561208-Regina Barcellos-3625.16
956887-Melinda Roserio-74.70
719009-Artur Grillo-6112.29
536768-Flamednia Leiria-8125.86
586910-Danilo Olaio-19111.72
742893-Tarrataca Soares-8051.86
998219-Delfina Garcia de Gondim-20657.15
137427-Urbano Rodrigues-2688.48
316914-Celeste Duarte-13136.13
292696-Zulmira Becerra-2596.94
395820-Micaela Chavez-15922.55
180000-Delfim Higuera-13287.28
400117-Zulmira Becerra-14384.47
423331-Ximena Castilho-8175.00
60726-Almor Caiado-18670.87
975053-Emedlio Pimentel-12383.46
626994-Anind Zarco-18923.45
62774-Delfim Higuera-13109.98
187971-Ubaldo Mainha-7838.32
615044-Domingos Pas-6746.41
193394-Danilo Olaio-9450.37
287259-Lurdes Cotrim-2807.33
851087-Judite Damasceno-8591.33
644185-Camila Gabeira-8130.73
539234-Trajano Fagundes-20881.33
606238-Lina Andrade-12486.25
375826-Zungela Ipiranga-3667.68
376286-Camila Gabeira-7848.31
225113-Honorina Lira-7025.35
203660-Edgar Carvalheiro-20651.50
875843-Silvio Mata-9208.60
802869-Eurico Siqueira-19271.47
974331-Antonio Castelo-7965.15
109237-Branco Saraba-2876.75
744355-Henrique Bento-12132.14
982948-Emedlio Pimentel-11893.37
84261-Neeamia Arruda-10212.29
530160-Delfina Garcia de Gondim-6271.22
7130-Leonidas Mafra-2758.63
799381-Sidfnio Frois-12810.67
748666-Andreia Moita-17549.43
734452-Esperada Cardoso-11422.62
453092-Anfnia Seixas-7717.53
821055-Moaci Mendoa-20818.62
261672-Leonidas Mafra-15951.23
352023-Tibofarcio Camacho-11786.22
583511-Honorina Lira-20707.06
583132-Adelino Barra-18687.53
413660-Melinda Roserio-18837.60
295770-Tabalipa Duarte-7520.76
328155-Angilica Galante-12958.24
736912-Guida Juca-1650.75
809302-Carminda Morais-19355.28
396412-Regina Barcellos-10238.66
658778-Guida Juca-3906.44
651988-Melinda Roserio-21239.96
498632-Taercio Mafra-10300.96
574535-Emedlio Pimentel-17706.79
772336-Anind Zarco-8356.09
833500-Manuel Capiperibe-10749.04
478041-Emiliana Foquio-2587.49
581800-Leonidas Mafra-14554.86
947648-Danilo Olaio-1498.12
582620-Adelino Barra-14332.08
595952-Heleedsa Marins-12983.83
732000-Odete Vasques-9585.51
6416-Andreia Moita-16030.50
503462-Cleusa Goes-21056.25
269650-Almor Caiado-9459.13
795759-Aludsio Sosa-5472.63
913873-Lurdes Cotrim-432.58
372660-Romo Paranage-11888.39
390218-Andreia Moita-8313.03
968697-Feledcia Peassego-18898.86
412798-Liana Cardim-39.98
500547-Micaela Chavez-10637.30
100319-Jonatas Felgueiras-19527.37
311976-Rodolfo Paz-4467.56
718652-Ubaldo Mainha-5620.26
734007-Anfnia Seixas-20348.22
653812-Basilio Pedroso-13222.52
322573-Clarindo Areosa-18676.25
509907-Sara Lameiras-16885.31
992412-Marilda Leio-5730.16
199205-Ubaldo Mainha-16924.29
789064-Delfim Higuera-11424.46
446682-Delfina Garcia de Gondim-10470.63
670690-Tibofarcio Camacho-2888.91
35623-Jonatas Felgueiras-6386.10
313818-Rodolfo Paz-7843.44
855127-Rebeca Neto-18009.97
170295-Tarrataca Soares-17998.36
324771-Neeamia Arruda-888.63
782554-Guaraci Damasceno-11128.55
158970-Oliveira Senchez-20100.54
17265-Henrique Bento-19313.60
122145-Heleedsa Marins-18353.23
963673-Cleusa Goes-11775.10
78016-Honorina Lira-20635.46
218472-Esperada Cardoso-11443.76
697153-Ermelinda Quintela-11147.47
944284-Anfnia Seixas-20179.17
332525-Eurico Siqueira-7477.59
252095-Emedlio Pimentel-2830.57
704394-Ermelinda Quintela-3662.16
585869-Judite Damasceno-10012.34
429771-Angelica Aranha-11043.56
336420-Guaraci Damasceno-4808.36
650496-Melinda Roserio-17249.14
574300-Joaquim Rufino-11036.49
841838-Mercia Caeira-6518.62
623276-Delfina Perdigon-16918.06
757537-Marilda Leio-17961.39
754530-Jussara Varanda-5059.07
606666-Micaela Chavez-5416.12
545855-Eurico Siqueira-14481.98
844809-Armindo Castalo-731.44
982915-Leonidas Mafra-17584.80
147215-Odilia Bello-3506.47
856979-Leonidas Mafra-7832.21
975083-Adelino Barra-16930.63
323950-Quintiliano Sousa de Arronches-5862.03
622932-Dulce Froes-14099.60
680447-Rebeca Neto-21057.15
795402-Oliveira Carmona-16388.38
126767-Sofras Cuaresma-20193.84
208159-Cassandra Varejo-8837.45
645372-Delfina Garcia de Gondim-672.44
434783-Edgar Carvalheiro-7473.91
138055-Tabalipa Duarte-6927.65
6365-Romo Paranage-10477.40
736866-Jorgina Bogalho-7795.80
790196-Armindo Castalo-19062.03
498879-Honorina Lira-8804.00
115010-Liana Cardim-1327.12
342984-Clara Alcantara-293.55
285022-Gaudancio Fiees-15715.63
370894-Silvio Mata-15687.25
453374-Feledcia Peassego-5016.76
182958-Delfina Garcia de Gondim-953.30
133946-Henrique Bento-14533.37
664529-Clara Alcantara-9325.90
397982-Rebeca Neto-2248.96
608195-Romo Paranage-11263.95
49698-Tibefarcio Colao-19955.10
845509-Neuza Francia-12263.70
541483-Aludsio Sosa-2671.71
982429-Branco Saraba-13385.42
667616-Armanda Amorim-19039.95
260609-Augusta Paio-1666.95
102037-Emiliana Foquio-12048.28
716039-Cassandra Varejo-2690.09
393862-Judite Damasceno-929.24
307493-Carminda Morais-20865.32
621027-Ubaldo Mainha-19130.98
646219-Angilica Galante-12114.60
26188-Feledcia Peassego-20010.01
485444-Neeamia Arruda-8705.00
669361-Cleusa Goes-346.84
45426-Esperada Cardoso-2409.45
751693-Henrique Bento-345.63
794527-Tibofarcio Camacho-4632.79
943500-Moaci Mendoa-1591.89
988806-Tabalipa Duarte-10284.97
945678-Lina Andrade-18041.18
412773-Feledcia Peassego-4712.80
765780-Letedcia Gago-13543.07
289721-Judite Damasceno-17297.92
871842-Neuza Francia-10189.78
965519-Tibofarcio Camacho-18710.23
237357-Almor Caiado-862.91
370359-Jussara Varanda-14130.86
996350-Celeste Duarte-3415.46
546016-Edgar Carvalheiro-13915.34
660256-Carminda Morais-13944.80
872416-Delfina Perdigon-1984.09
60709-Oliveira Senchez-11771.75
766618-Branco Saraba-3029.81
972572-Odilia Camello-10618.53
862540-Almor Caiado-10628.18
213483-Domingos Pas-4725.72
611087-Elisa Themes-4959.42
804094-Spnia ou Sonia Guerreiro-14019.39
670016-Adelina Quadros-11360.01
549048-Tibofarcio Camacho-17846.61
62219-Jussara Varanda-9660.50
855748-Zungela Ipiranga-20391.11
472175-Basilio Pedroso-5623.94
396945-Delfina Garcia de Gondim-17013.66
299418-Angelica Aranha-11957.45
741374-Gaudancio Fiees-14339.59
474504-Tibefarcio Colao-3030.86
809689-Feledcia Peassego-4138.90
690429-Andreia Moita-19255.60
105529-Quintino Alcantara-15716.26
517021-Moaci Mendoa-11562.04
337676-Basilio Pedroso-11505.76
849628-Emedlia Silvera-7615.65
342596-Oliveira Senchez-17189.62
688424-Lina Andrade-7467.78
368983-Delfina Garcia de Gondim-18635.19
621629-Sara Lameiras-8605.10
333073-Edgar Carvalheiro-12983.20
983314-Henrique Bento-13710.10
634720-Neuza Francia-3226.32
980250-Andreia Moita-16951.49
375968-Ubaldo Mainha-13920.03
882584-Lurdes Cotrim-5903.69
299420-Clarindo Areosa-17407.12
599047-Aludsio Sosa-16099.16
644007-Antonio Castelo-12608.02
680487-Clarindo Areosa-11659.40
286870-Polibe Olivares-18212.73
783603-Leonidas Mafra-3337.72
357053-Neeamia Arruda-21344.07
72621-Judite Damasceno-4179.04
508878-Augusta Paio-4452.80
521574-Jonatas Felgueiras-21081.62
99235-Fulvio Villegas-16739.78
671510-Antonio Castelo-8440.93
505115-Armanda Amorim-8142.54
890478-Filomena Barrios-8709.34
785753-Zulmira Becerra-13172.21
629-Neuza Francia-4195.21
741887-Antonio Viegas-1033.94
115057-Almerinda Palmeira-19404.67
153511-Artur Grillo-6444.92
711278-Antonio Castelo-16610.14
637986-Delfina Garcia de Gondim-14566.29
792583-Ximena Castilho-17503.01
863495-Odilia Camello-11413.22
252407-Emedlio Pimentel-14932.13
97302-Clara Alcantara-15189.99
214900-Antonio Castelo-3695.16
621220-Andreia Moita-15632.58
950982-Odilia Bello-11278.89
184436-Nuno Balsemeo-7585.59
697550-Tarrataca Soares-18472.70
889262-Guida Juca-6894.24
58990-Branco Saraba-11732.17
354839-Adelino Barra-6135.97
388112-Augusta Paio-2713.66
872001-Sara Lameiras-13124.63
93375-Rodolfo Paz-12631.94
835839-Camila Gabeira-4573.32
456444-Armanda Amorim-10292.83
576869-Celeste Duarte-12494.67
189639-Jonatas Felgueiras-15631.65
332680-Rodolfo Paz-19310.54
621580-Ermelinda Quintela-18796.29
211497-Trajano Fagundes-1055.01
640250-Jonatas Felgueiras-17178.89
281966-Celeste Duarte-11452.77
438749-Telma Villalobos-18523.71
627582-Rebeca Neto-21112.06
74000-Almerinda Palmeira-20251.79
925764-Anfnia Seixas-13872.72
336385-Camila Gabeira-8419.78
533493-Telma Villalobos-20503.11
155074-Aludsio Sosa-264.49
510064-Letedcia Gago-8156.60
461957-Clarindo Areosa-12643.01
779513-Taercio Mafra-7180.99
76386-Feledcia Peassego-6960.54
567476-Danilo Olaio-15676.82
390355-Anind Zarco-6012.72
528709-Liana Cardim-10721.98
617918-Jorgina Bogalho-15915.34
904588-Delfina Garcia de Gondim-18590.68
245278-Sara Lameiras-4167.39
731682-Emedlia Silvera-5852.49
718640-Telma Villalobos-8307.11
110615-Antonio Castelo-14244.91
295962-Emiliana Foquio-15315.67
851703-Tibofarcio Camacho-2676.51
130029-Guida Juca-2375.57
620090-Clara Alcantara-3230.86
382401-Romo Paranage-17737.04
122955-Emedlia Silvera-18576.09
690783-Manuel Capiperibe-3583.70
223818-Judite Damasceno-13031.02
900853-Almerinda Palmeira-5023.37
911196-Basilio Pedroso-18214.48
504107-Augusta Paio-21107.44
667393-Tibofarcio Camacho-10751.12
28636-Odilia Camello-8257.58
661837-Micaela Chavez-12403.78
492759-Danilo Olaio-15587.60
374141-Polibe Olivares-4754.00
839476-Andreia Moita-406.07
560191-Neuza Francia-2808.31
13645-Odete Vasques-20117.32
694499-Feledcia Peassego-551.59
382267-Oliveira Carmona-15716.63
636983-Anfnia Seixas-8148.47
542474-Quintino Alcantara-14998.76
521799-Sofras Cuaresma-20805.38
587316-Gaudancio Fiees-14815.47
356943-Lurdes Cotrim-12944.37
251619-Armanda Amorim-12307.93
32976-Regina Barcellos-17073.53
916344-Judite Damasceno-11618.83
653067-Cleusa Goes-4250.94
837409-Judite Damasceno-9214.76
281683-Quintiliano Sousa de Arronches-20351.13
353944-Tabalipa Duarte-18861.72
184223-Ermelinda Quintela-7122.10
392608-Ximena Castilho-9837.97
394206-Zulmira Becerra-1796.71
279268-Regina Barcellos-1574.39
287632-Jorgina Bogalho-12754.72
126764-Odete Vasques-5419.04
213871-Feledcia Peassego-6065.58
943795-Domingos Pas-11433.95
369701-Almerinda Palmeira-21156.77
642630-Adelina Quadros-3035.47
791219-Ximena Castilho-8277.31
510008-Antonio Castelo-6336.40
775405-Odilia Bello-12800.34
994255-Jorgina Bogalho-10948.30
6036-Antonio Viegas-1186.34
887289-Marilda Leio-7797.61
168013-Emedlio Pimentel-7949.75
542706-Moaci Mendoa-2194.35
393636-Dulce Froes-6248.04
874138-Feledcia Peassego-6784.47
43038-Daniel Vieyra-18802.38
938487-Camila Gabeira-20157.48
631451-Nuno Balsemeo-4190.40
995223-Tarrataca Soares-5320.34
797776-Trajano Fagundes-14380.40
588438-Armindo Castalo-5494.44
283554-Joaquim Rufino-11756.12
536190-Esperada Cardoso-15941.55
700109-Danilo Olaio-5790.65
540640-Ximena Castilho-1654.55
444433-Silvio Mata-920.15
595711-Edgar Carvalheiro-10709.53
870729-Silvio Mata-19385.84
696399-Flor Portella-7270.96
868341-Telma Villalobos-18888.94
674186-Danilo Olaio-2569.99
240699-Oliveira Carmona-6682.82
781751-Rodolfo Paz-15818.18
273841-Clarindo Areosa-19935.19
570320-Jonatas Felgueiras-18715.75
313817-Domingos Pas-15195.36
811903-Eurico Siqueira-17651.32
574587-Jorgina Bogalho-10945.19
377274-Telma Villalobos-7877.32
730570-Jussara Varanda-19396.00
124161-Leonidas Mafra-3737.91
961687-Neuza Francia-11650.31
927513-Basilio Pedroso-8133.29
564346-Daniel Vieyra-16856.03
265822-Danilo Olaio-1116.90
422430-Armindo Castalo-10650.04
593560-Antonio Castelo-21308.16
717701-Estanislau Beserra-10299.07
459006-Nuno Balsemeo-3288.00
779996-Telma Villalobos-5595.31
27503-Adelina Quadros-10126.55
273614-Letedcia Gago-901.33
801882-Neeamia Arruda-11150.60
664850-Nuno Balsemeo-13866.25
46275-Flor Portella-14838.91
35853-Silvio Mata-15723.13
561667-Edgar Carvalheiro-17439.07
252130-Moaci Mendoa-9221.41
945269-Daniel Vieyra-10456.00
886539-Angilica Galante-6938.96
944281-Zulmira Becerra-17559.24
792681-Delfina Garcia de Gondim-1937.14
188790-Cleusa Goes-9705.15
914359-Artur Grillo-13731.80
759582-Quintino Alcantara-12477.43
294778-Odilia Bello-3182.95
833764-Danilo Olaio-1043.73
704797-Romo Paranage-2236.25
998815-Urbano Rodrigues-17705.71
93092-Angelica Aranha-12379.74
718200-Odilia Bello-5654.34
514650-Joaquim Rufino-1267.43
444131-Artur Grillo-10869.32
434155-Quintino Alcantara-21118.46
