983827-Esperada Cardoso-6673.52
651574-Antonio Castelo-21166.23
249013-Basilio Pedroso-568.47
493998-Spnia ou Sonia Guerreiro-956.50
98302-Flamednia Leiria-3215.09
505339-Carminda Morais-10135.74
671220-Emedlio Pimentel-9797.57
636324-Tibefarcio Colao-10231.94
731094-Quintiliano Sousa de Arronches-17092.34
374573-Sidfnio Frois-2686.93
78319-Angilica Galante-7050.49
706143-Henrique Bento-17317.00
591154-Jorgina Bogalho-14884.66
728422-Delfina Perdigon-8304.76
61010-Domingos Pas-40.90
674153-Estanislau Beserra-15325.96
78924-Zungela Ipiranga-11357.83
379813-Adelino Barra-2799.36
135005-Quintiliano Sousa de Arronches-3356.67
882983-Liana Cardim-20720.42
295419-Joaquim Rufino-1866.36
921727-Carminda Morais-20173.43
203629-Zungela Ipiranga-17654.50
815882-Rodolfo Paz-7266.95
594964-Micaela Chavez-19907.56
883246-Tarrataca Soares-16049.46
745885-Esperada Cardoso-7125.42
365985-Antonio Viegas-15659.21
696786-Quintiliano Sousa de Arronches-12085.73
777515-Neeamia Arruda-8829.72
551527-Regina Barcellos-18402.68
890431-Spnia ou Sonia Guerreiro-16527.06
929450-Adelina Quadros-2894.26
950301-Emedlia Silvera-21022.42
446982-Elisa Themes-7443.53
34147-Emedlio Pimentel-8322.36
733489-Marilda Leio-12319.82
216227-Jonatas Felgueiras-7758.64
151389-Angelica Aranha-4870.77
753718-Estanislau Beserra-20748.55
397787-Flamednia Leiria-15129.23
194620-Delfim Higuera-16538.13
850359-Eurico Siqueira-20817.43
956159-Spnia ou Sonia Guerreiro-21376.93
273146-Zungela Ipiranga-5046.56
862331-Anind Zarco-14816.91
914219-Honorina Lira-1589.40
507735-Sara Lameiras-19671.56
22691-Almerinda Palmeira-7438.24
626797-Tabalipa Duarte-11195.78
719388-Adelino Barra-8714.92
595883-Ximena Castilho-1862.03
178010-Flamednia Leiria-10810.53
185750-Telma Villalobos-10265.26
467690-Carminda Morais-7493.15
586089-Guaraci Damasceno-926.94
456897-Micaela Chavez-6616.08
826001-Lurdes Cotrim-10211.16
59384-Guaraci Damasceno-5896.55
370186-Aludsio Sosa-5757.98
52274-Guida Juca-18625.18
173527-Melinda Roserio-19951.14
624376-Tibofarcio Camacho-4788.08
334271-Quintiliano Sousa de Arronches-18979.94
737161-Armindo Castalo-19124.62
312732-Rodolfo Paz-12665.64
95132-Neeamia Arruda-7925.37
301497-Flamednia Leiria-17223.63
697110-Anfnia Seixas-5369.39
917010-Clarindo Areosa-20183.09
714914-Quintino Alcantara-17988.78
521314-Basilio Pedroso-13915.67
530830-Melinda Roserio-3027.08
593821-Augusta Paio-6140.42
699150-Jonatas Felgueiras-1682.96
636315-Esperada Cardoso-16176.09
751297-Camila Gabeira-12.20
991018-Henrique Bento-19205.22
346861-Mercia Caeira-7527.35
357870-Clarindo Areosa-15366.52
683546-Andreia Moita-10968.83
526924-Artur Grillo-3049.21
516592-Joaquim Rufino-14944.52
797856-Artur Grillo-14515.62
105524-Ermelinda Quintela-12027.78
874580-Flor Portella-14974.14
723819-Sidfnio Frois-2806.82
110137-Odilia Bello-3616.73
892239-Odete Vasques-6140.20
96807-Edgar Carvalheiro-16273.77
126730-Angilica Galante-18300.61
66987-Guida Juca-9371.04
58401-Odete Vasques-9436.21
274406-Mercia Caeira-1809.35
49272-Armindo Castalo-5470.41
603809-Delfim Higuera-18069.15
283453-Ermelinda Quintela-9321.55
183337-Moaci Mendoa-8627.82
121310-Jonatas Felgueiras-11736.74
310833-Neuza Francia-2542.87
152566-Delfim Higuera-1229.30
877773-Anfnia Seixas-4309.97
40474-Emedlio Pimentel-4225.72
171497-Carminda Morais-4003.63
864665-Danilo Olaio-9784.12
335478-Micaela Chavez-1775.32
252957-Polibe Olivares-17628.16
335695-Clarindo Areosa-14405.15
607413-Antonio Viegas-11311.53
898621-Anind Zarco-15874.64
567189-Emedlio Pimentel-511.33
329368-Honorina Lira-19140.11
195730-Cassandra Varejo-10385.67
682866-Gaudancio Fiees-10667.39
621337-Ximena Castilho-13026.04
600315-Jonatas Felgueiras-8014.55
494380-Celeste Duarte-10607.08
60056-Cleusa Goes-2135.60
923832-Eurico Siqueira-7691.68
461594-Telma Villalobos-11940.66
286503-Angelica Aranha-9681.50
41639-Urbano Rodrigues-19214.79
793991-Marilda Leio-6961.91
634663-Polibe Olivares-3833.91
838061-Angelica Aranha-11640.12
453458-Augusta Paio-14376.12
601015-Elisa Themes-8636.23
80536-Gaudancio Fiees-3741.99
591712-Odilia Bello-8321.23
255853-Odete Vasques-12635.85
900143-Liana Cardim-19228.71
677150-Neuza Francia-7854.29
980998-Liana Cardim-4297.40
368513-Basilio Pedroso-12783.74
494842-Antonio Viegas-15842.12
224648-Odete Vasques-1781.82
926115-Armindo Castalo-15327.83
852200-Augusta Paio-9683.80
822246-Ximena Castilho-20729.72
476370-Daniel Vieyra-16827.44
196841-Andreia Moita-13851.60
583553-Delfina Garcia de Gondim-12313.54
965873-Filomena Barrios-9878.51
539533-Odete Vasques-16932.20
503749-Anfnia Seixas-1192.31
996212-Leonidas Mafra-18634.56
617235-Oliveira Carmona-12848.98
861200-Rebeca Neto-15917.50
304515-Urbano Rodrigues-8500.89
871012-Moaci Mendoa-19765.65
538638-Sara Lameiras-18702.79
593895-Almor Caiado-14993.78
78423-Cassandra Varejo-6378.61
818917-Almor Caiado-21294.00
933688-Delfina Garcia de Gondim-20624.20
777149-Judite Damasceno-16009.33
802760-Ubaldo Mainha-350.66
611534-Tabalipa Duarte-3759.28
316713-Delfina Garcia de Gondim-8502.32
26361-Tibofarcio Camacho-1426.20
963627-Guaraci Damasceno-16641.58
94063-Anind Zarco-8952.68
578466-Filomena Barrios-7688.63
914186-Manuel Capiperibe-17146.82
502442-Sara Lameiras-7161.32
805370-Neuza Francia-15049.09
80324-Tabalipa Duarte-21117.12
769771-Anfnia Seixas-19218.40
725912-Zulmira Becerra-19036.73
770992-Zungela Ipiranga-19826.99
381383-Esperada Cardoso-16941.79
302982-Polibe Olivares-2757.90
119342-Ermelinda Quintela-11063.68
279985-Mercia Caeira-8787.99
873499-Sofras Cuaresma-12863.01
403634-Aludsio Sosa-3006.23
866602-Sidfnio Frois-19327.03
912342-Henrique Bento-10249.89
369352-Rodolfo Paz-13167.15
574850-Oliveira Carmona-15104.86
399849-Ubaldo Mainha-14353.84
899339-Romo Paranage-8142.03
183567-Sidfnio Frois-11463.23
814604-Polibe Olivares-9221.19
160423-Leonidas Mafra-1235.09
122008-Manuel Capiperibe-8129.12
25564-Flamednia Leiria-2962.95
641148-Guida Juca-7562.08
129350-Armanda Amorim-4210.94
290532-Celeste Duarte-1411.85
667406-Moaci Mendoa-591.01
739953-Trajano Fagundes-18390.00
602236-Artur Grillo-20811.84
349072-Celeste Duarte-15545.15
894648-Quintino Alcantara-19736.75
741406-Nuno Balsemeo-19073.13
727420-Mercia Caeira-7128.55
933016-Jussara Varanda-5020.13
127964-Guaraci Damasceno-10491.42
554528-Feledcia Peassego-21104.33
467350-Emedlio Pimentel-13736.17
280516-Clara Alcantara-5328.73
813361-Oliveira Senchez-20114.75
668875-Sidfnio Frois-4733.41
643396-Basilio Pedroso-10922.35
643127-Anind Zarco-8594.93
555349-Micaela Chavez-757.37
763016-Clara Alcantara-6736.70
178472-Rodolfo Paz-15307.98
687419-Odilia Camello-18163.52
897413-Odete Vasques-8933.36
208301-Oliveira Carmona-1971.33
519424-Moaci Mendoa-5419.46
47051-Rodolfo Paz-9266.15
89436-Trajano Fagundes-1257.75
323352-Artur Grillo-4104.18
387161-Jonatas Felgueiras-4459.73
822778-Artur Grillo-5287.36
755000-Tabalipa Duarte-14149.15
345881-Estanislau Beserra-13781.19
885954-Flamednia Leiria-5595.32
558977-Melinda Roserio-11657.41
104904-Fulvio Villegas-7407.76
642322-Judite Damasceno-13658.24
520303-Lina Andrade-3004.29
633496-Tibefarcio Colao-16657.53
756011-Oliveira Carmona-9266.56
131619-Odilia Bello-9434.79
660634-Taercio Mafra-707.50
503722-Spnia ou Sonia Guerreiro-15050.96
215413-Taercio Mafra-9144.98
263057-Almerinda Palmeira-18200.57
959873-Esperada Cardoso-4596.79
86518-Odilia Camello-9923.21
344573-Heleedsa Marins-17438.41
893785-Daniel Vieyra-16589.91
344577-Moaci Mendoa-15972.63
285003-Elisa Themes-16343.95
445375-Joaquim Rufino-2965.72
553221-Aludsio Sosa-12620.76
779609-Antonio Castelo-20522.91
538303-Guida Juca-14130.71
553957-Tabalipa Duarte-16890.30
345995-Almor Caiado-12746.33
477820-Celeste Duarte-10964.94
38869-Emedlia Silvera-12803.88
868846-Micaela Chavez-892.49
354912-Artur Grillo-1165.34
836197-Ximena Castilho-18909.79
67701-Judite Damasceno-3850.49
395306-Daniel Vieyra-12718.29
737669-Jorgina Bogalho-8158.83
653769-Angelica Aranha-1829.54
248510-Domingos Pas-1138.16
164213-Danilo Olaio-19742.94
437534-Lina Andrade-17698.49
218321-Odete Vasques-11662.34
778938-Sofras Cuaresma-10901.05
734652-Delfim Higuera-3374.58
778801-Tibofarcio Camacho-11265.26
898756-Augusta Paio-6674.37
826281-Flamednia Leiria-20221.75
340787-Rebeca Neto-5683.45
402145-Marilda Leio-10605.94
96875-Carminda Morais-1962.74
802254-Urbano Rodrigues-18667.12
895714-Cassandra Varejo-12884.46
238185-Lurdes Cotrim-587.42
631022-Zungela Ipiranga-19594.76
3250-Telma Villalobos-8447.71
424441-Tabalipa Duarte-1241.87
190556-Angilica Galante-18500.13
356251-Ubaldo Mainha-9928.70
959131-Gaudancio Fiees-13892.72
894246-Anfnia Seixas-188.85
123065-Angilica Galante-1256.88
717161-Domingos Pas-8425.83
61734-Tibofarcio Camacho-1113.38
28047-Letedcia Gago-1959.69
935946-Daniel Vieyra-8399.72
885836-Adelina Quadros-2809.13
789376-Anfnia Seixas-19381.04
867883-Letedcia Gago-1849.76
291479-Zungela Ipiranga-16469.35
825025-Neuza Francia-21428.29
149086-Flamednia Leiria-14994.69
184845-Regina Barcellos-14867.02
666975-Judite Damasceno-11232.80
407119-Henrique Bento-14993.08
623576-Ximena Castilho-8047.61
127853-Tabalipa Duarte-1661.63
818706-Sidfnio Frois-2509.52
38767-Emedlio Pimentel-9338.20
128825-Moaci Mendoa-6356.28
7376-Ubaldo Mainha-4169.69
771296-Eurico Siqueira-4741.19
222839-Zungela Ipiranga-5263.03
774071-Tibefarcio Colao-18619.71
146825-Sidfnio Frois-2448.94
4827-Clara Alcantara-19295.17
834976-Heleedsa Marins-13181.62
578065-Aludsio Sosa-6824.97
941001-Telma Villalobos-18725.35
280037-Anind Zarco-15861.81
70656-Almerinda Palmeira-12127.04
207103-Emedlia Silvera-7709.92
812443-Manuel Capiperibe-3867.31
636543-Basilio Pedroso-9025.05
257487-Tarrataca Soares-2821.68
703324-Telma Villalobos-8691.73
393646-Fulvio Villegas-13560.08
763347-Antonio Viegas-20235.86
85451-Flamednia Leiria-5150.44
744194-Adelina Quadros-13103.24
514702-Esperada Cardoso-17613.94
771056-Odete Vasques-18636.02
662344-Urbano Rodrigues-9689.30
340706-Flamednia Leiria-5640.83
505822-Basilio Pedroso-17723.41
81163-Basilio Pedroso-17980.44
173953-Flor Portella-14459.54
944751-Esperada Cardoso-8822.34
212261-Elisa Themes-3578.35
531604-Branco Saraba-8065.80
547957-Leonidas Mafra-7166.11
268695-Adelino Barra-5048.98
497818-Tabalipa Duarte-6455.60
458166-Nuno Balsemeo-16649.01
923810-Tibefarcio Colao-11299.23
74278-Ermelinda Quintela-14330.05
398046-Rodolfo Paz-2086.95
730090-Odilia Camello-9226.40
681180-Neuza Francia-21098.52
159613-Anfnia Seixas-13479.00
994483-Joaquim Rufino-2229.64
223741-Almor Caiado-20952.33
570842-Zungela Ipiranga-12932.47
848231-Joaquim Rufino-3512.22
725153-Regina Barcellos-1716.62
459097-Camila Gabeira-10367.36
237035-Manuel Capiperibe-16681.34
485316-Anfnia Seixas-12743.80
483641-Camila Gabeira-18790.62
801109-Dulce Froes-18497.38
214618-Andreia Moita-3492.48
755222-Oliveira Carmona-12864.72
677626-Lurdes Cotrim-825.59
676877-Mercia Caeira-20014.08
93681-Emedlia Silvera-11646.49
433861-Elisa Themes-14921.08
294932-Quintiliano Sousa de Arronches-4868.62
850846-Armanda Amorim-17423.47
46356-Rebeca Neto-18458.30
610074-Antonio Castelo-11551.48
589957-Delfim Higuera-4768.79
533962-Emedlia Silvera-5276.34
227136-Silvio Mata-18123.12
683649-Cassandra Varejo-6815.05
361669-Anind Zarco-9475.99
701356-Fulvio Villegas-15930.33
776990-Branco Saraba-19033.28
502967-Letedcia Gago-20871.78
125731-Estanislau Beserra-9197.41
326462-Dulce Froes-5108.67
264774-Fulvio Villegas-609.74
967853-Delfina Perdigon-19405.08
143088-Tibefarcio Colao-18022.51
877675-Dulce Froes-9394.51
52547-Joaquim Rufino-18508.13
360155-Spnia ou Sonia Guerreiro-4130.31
808652-Jorgina Bogalho-19578.08
118721-Moaci Mendoa-17108.27
775679-Emedlia Silvera-9464.69
295870-Romo Paranage-15437.95
447701-Silvio Mata-10575.77
511198-Aludsio Sosa-19845.45
692528-Antonio Viegas-13162.04
702020-Moaci Mendoa-12825.98
732903-Filomena Barrios-17376.50
362508-Oliveira Senchez-16985.27
24695-Henrique Bento-5098.52
47100-Fulvio Villegas-8059.71
247867-Odete Vasques-342.63
706054-Antonio Castelo-405.59
548089-Danilo Olaio-19800.06
847575-Fulvio Villegas-20345.18
171180-Andreia Moita-7317.26
262390-Eurico Siqueira-20314.29
321208-Oliveira Senchez-1726.78
192951-Branco Saraba-3980.40
95326-Antonio Castelo-55.81
838029-Rebeca Neto-8986.28
407674-Danilo Olaio-8693.93
962697-Flor Portella-8376.15
313208-Augusta Paio-13141.63
756686-Sidfnio Frois-2125.27
260984-Romo Paranage-16206.98
969189-Honorina Lira-8984.77
791682-Cleusa Goes-11327.98
781009-Andreia Moita-20269.91
297326-Elisa Themes-18466.03
181989-Artur Grillo-4019.57
553721-Lurdes Cotrim-15513.65
671847-Augusta Paio-19463.27
348591-Antonio Viegas-9831.57
548006-Rodolfo Paz-18669.14
781291-Sara Lameiras-1396.91
257325-Polibe Olivares-14126.60
161776-Domingos Pas-5259.68
260253-Emiliana Foquio-13647.49
882558-Branco Saraba-13325.63
602444-Delfina Perdigon-9392.61
950658-Mercia Caeira-9908.15
691419-Henrique Bento-15214.87
563487-Gaudancio Fiees-4243.52
114949-Delfina Garcia de Gondim-18269.00
677030-Taercio Mafra-13211.97
969966-Heleedsa Marins-17864.55
739794-Tibofarcio Camacho-9591.33
307724-Tarrataca Soares-11593.93
383059-Camila Gabeira-6377.92
577476-Emedlio Pimentel-15473.95
729006-Delfim Higuera-4918.62
761673-Micaela Chavez-4880.69
638176-Ubaldo Mainha-2261.49
188074-Sidfnio Frois-10202.64
651702-Marilda Leio-9354.58
806396-Cassandra Varejo-15924.28
137697-Andreia Moita-17421.67
437288-Tibofarcio Camacho-3699.91
2530-Spnia ou Sonia Guerreiro-16503.74
647100-Regina Barcellos-9874.68
552988-Domingos Pas-9307.14
273915-Aludsio Sosa-8839.92
998080-Micaela Chavez-6461.46
74076-Polibe Olivares-12003.34
566260-Celeste Duarte-1185.02
772275-Regina Barcellos-18353.09
949447-Sofras Cuaresma-13209.63
259552-Augusta Paio-12489.16
962843-Jonatas Felgueiras-8364.35
974583-Oliveira Carmona-14160.82
897215-Adelino Barra-17796.35
681397-Almerinda Palmeira-7704.26
534902-Sara Lameiras-20574.24
537567-Silvio Mata-17700.14
804343-Flamednia Leiria-17350.97
44964-Guida Juca-11263.85
229396-Almor Caiado-17303.35
97434-Gaudancio Fiees-2111.11
956801-Clarindo Areosa-20230.74
190558-Guida Juca-13615.64
408884-Armindo Castalo-19214.62
340785-Fulvio Villegas-20471.43
780640-Letedcia Gago-791.94
366623-Gaudancio Fiees-5387.32
803162-Zulmira Becerra-1510.53
741957-Quintino Alcantara-19990.98
505758-Judite Damasceno-12328.43
232261-Silvio Mata-17419.41
391459-Lurdes Cotrim-17488.97
985882-Cassandra Varejo-7566.04
178982-Fulvio Villegas-19000.13
7395-Neuza Francia-18148.71
777740-Trajano Fagundes-13851.67
488097-Silvio Mata-12570.50
728895-Oliveira Carmona-4833.70
582746-Quintino Alcantara-13301.12
821924-Dulce Froes-13376.18
912230-Camila Gabeira-18268.50
113216-Jussara Varanda-18992.41
904078-Jorgina Bogalho-2437.44
775750-Emedlio Pimentel-4239.23
109095-Jonatas Felgueiras-20719.30
618216-Basilio Pedroso-16632.24
805309-Almor Caiado-12552.29
240647-Jorgina Bogalho-4704.74
728573-Armanda Amorim-10440.57
830404-Quintiliano Sousa de Arronches-19548.79
775535-Jussara Varanda-6383.07
177754-Tibefarcio Colao-16004.20
993861-Antonio Castelo-4218.41
414414-Armanda Amorim-6116.16
881002-Lina Andrade-19437.26
218058-Adelina Quadros-228.60
722574-Tarrataca Soares-13706.65
310230-Oliveira Carmona-834.22
751483-Andreia Moita-6071.51
820995-Armindo Castalo-6459.81
24524-Almor Caiado-14327.57
594331-Letedcia Gago-4144.51
405523-Filomena Barrios-14874.45
476686-Delfina Garcia de Gondim-11133.76
954098-Antonio Viegas-11922.57
394210-Anind Zarco-13914.75
574762-Basilio Pedroso-9487.14
983851-Clarindo Areosa-11210.24
866726-Jussara Varanda-2442.92
322483-Eurico Siqueira-17961.13
173048-Armanda Amorim-6716.54
330651-Esperada Cardoso-8452.48
424861-Daniel Vieyra-20686.54
359755-Domingos Pas-2906.46
911083-Esperada Cardoso-2301.17
704294-Jorgina Bogalho-18115.11
357602-Gaudancio Fiees-2556.02
192670-Branco Saraba-11125.86
450145-Clarindo Areosa-5579.69
858601-Polibe Olivares-17832.92
248441-Jorgina Bogalho-3009.81
427905-Armindo Castalo-10443.12
542043-Urbano Rodrigues-13187.37
617420-Micaela Chavez-15460.96
68450-Sidfnio Frois-1905.24
292489-Micaela Chavez-13432.28
507594-Anind Zarco-7321.02
436340-Judite Damasceno-18752.95
905309-Delfim Higuera-5612.61
665984-Emedlia Silvera-16921.20
539360-Tibofarcio Camacho-16188.85
582665-Zungela Ipiranga-17743.12
390230-Cassandra Varejo-4253.71
