449851-Lurdes Cotrim-1627.45
885820-Ubaldo Mainha-4087.52
694213-Tabalipa Duarte-10641.41
871372-Delfim Higuera-2820.57
947200-Heleedsa Marins-3190.07
706594-Eurico Siqueira-18282.70
164289-Gaudancio Fiees-18001.00
929758-Angilica Galante-17050.46
305686-Adelino Barra-5744.90
192250-Adelino Barra-9726.61
969740-Guida Juca-9270.16
689840-Edgar Carvalheiro-1474.19
440987-Zulmira Becerra-2701.13
211827-Tibefarcio Colao-865.00
438054-Filomena Barrios-8844.48
349603-Guida Juca-2696.71
73795-Spnia ou Sonia Guerreiro-743.51
169293-Domingos Pas-11192.81
177500-Jorgina Bogalho-10871.03
834201-Odilia Bello-728.12
50055-Emedlia Silvera-3247.81
278703-Nuno Balsemeo-7654.71
776187-Camila Gabeira-11899.12
414137-Tibofarcio Camacho-14451.24
109081-Basilio Pedroso-330.78
811423-Emedlia Silvera-18084.28
299923-Ubaldo Mainha-7660.18
404662-Moaci Mendoa-12251.88
555892-Clarindo Areosa-8718.81
713298-Sara Lameiras-7942.32
532070-Romo Paranage-4047.98
883557-Oliveira Carmona-3445.93
653579-Almerinda Palmeira-10223.70
536349-Anfnia Seixas-13547.84
919592-Nuno Balsemeo-16238.93
750508-Spnia ou Sonia Guerreiro-12.21
768395-Adelina Quadros-4625.20
621191-Leonidas Mafra-5129.25
271357-Basilio Pedroso-18574.81
540933-Delfina Garcia de Gondim-7757.11
622168-Zungela Ipiranga-3877.59
968450-Odilia Camello-16206.43
818677-Emiliana Foquio-3268.13
64779-Sidfnio Frois-10713.49
467640-Augusta Paio-17932.69
432610-Neeamia Arruda-12295.35
341998-Gaudancio Fiees-17973.04
785950-Silvio Mata-14234.41
417408-Nuno Balsemeo-12272.29
930224-Joaquim Rufino-1482.86
191305-Jonatas Felgueiras-4069.08
250704-Neeamia Arruda-1803.93
419830-Lurdes Cotrim-2342.12
442164-Judite Damasceno-17582.77
280901-Eurico Siqueira-19027.45
12416-Emedlia Silvera-7006.93
964486-Quintiliano Sousa de Arronches-21080.35
437032-Manuel Capiperibe-4483.38
351070-Aludsio Sosa-12417.55
746140-Edgar Carvalheiro-10652.02
368244-Rebeca Neto-7129.09
749452-Quintiliano Sousa de Arronches-5896.76
289673-Joaquim Rufino-10400.96
642486-Leonidas Mafra-9390.55
344241-Aludsio Sosa-16413.36
347233-Lurdes Cotrim-4758.64
369268-Mercia Caeira-17388.29
727797-Cleusa Goes-15977.82
527659-Eurico Siqueira-5656.50
72916-Rodolfo Paz-4999.12
904500-Rebeca Neto-287.97
644579-Silvio Mata-16875.46
777957-Nuno Balsemeo-6543.52
639661-Clarindo Areosa-15509.95
778120-Daniel Vieyra-11538.55
177324-Guida Juca-12562.03
269885-Aludsio Sosa-9400.88
430505-Ximena Castilho-20028.16
412429-Lurdes Cotrim-15728.60
665769-Neeamia Arruda-8774.49
637103-Celeste Duarte-648.70
517734-Danilo Olaio-16895.15
74720-Anfnia Seixas-16368.09
244243-Quintino Alcantara-1409.65
468466-Tabalipa Duarte-11077.43
544644-Sara Lameiras-21449.21
485192-Guaraci Damasceno-18057.07
770948-Lurdes Cotrim-506.54
355298-Silvio Mata-16230.66
589311-Delfim Higuera-13222.48
735480-Cassandra Varejo-2134.02
678401-Flor Portella-11569.19
683880-Quintino Alcantara-4475.10
41589-Odilia Camello-12727.55
910367-Tabalipa Duarte-2767.39
150807-Rebeca Neto-12482.84
593790-Anind Zarco-3682.86
641290-Filomena Barrios-15230.57
504751-Letedcia Gago-20154.12
744537-Taercio Mafra-2635.18
949916-Elisa Themes-10622.53
25388-Angilica Galante-1454.48
615532-Judite Damasceno-13481.32
531010-Ubaldo Mainha-10296.90
927835-Almor Caiado-7411.16
551423-Angilica Galante-16362.67
128155-Almor Caiado-6763.77
927915-Adelina Quadros-9490.18
381210-Taercio Mafra-1620.40
900467-Adelina Quadros-20357.84
184161-Sofras Cuaresma-10052.50
869395-Cleusa Goes-14302.76
990254-Ubaldo Mainha-7054.08
621460-Jussara Varanda-4674.55
7256-Silvio Mata-8573.83
648811-Odilia Bello-8354.51
574419-Jorgina Bogalho-3990.95
785622-Odete Vasques-13540.23
86074-Trajano Fagundes-16034.04
798369-Almor Caiado-6228.21
28169-Romo Paranage-18820.05
510954-Urbano Rodrigues-12993.91
957831-Guaraci Damasceno-318.98
536326-Anfnia Seixas-6745.19
320734-Angelica Aranha-2050.43
221420-Domingos Pas-10476.92
905545-Antonio Viegas-1557.82
966898-Andreia Moita-450.84
563121-Manuel Capiperibe-911.70
198966-Esperada Cardoso-1619.69
135322-Cleusa Goes-5209.97
322104-Anfnia Seixas-830.24
784700-Heleedsa Marins-11409.82
687700-Heleedsa Marins-7480.35
529409-Letedcia Gago-20813.55
270367-Delfina Garcia de Gondim-15870.93
461997-Carminda Morais-9015.15
748807-Sidfnio Frois-7009.98
575064-Clarindo Areosa-19345.61
321978-Edgar Carvalheiro-4692.77
890017-Anfnia Seixas-4884.12
979693-Trajano Fagundes-8497.34
460403-Lina Andrade-8360.35
355104-Judite Damasceno-11527.23
768905-Elisa Themes-1197.69
225414-Sofras Cuaresma-7420.39
373442-Romo Paranage-17075.01
820113-Rodolfo Paz-12677.66
834697-Almerinda Palmeira-7768.58
535973-Tarrataca Soares-18381.79
689605-Zulmira Becerra-7795.86
356466-Antonio Castelo-16305.66
47512-Delfina Garcia de Gondim-13955.42
720572-Taercio Mafra-1064.14
944678-Cassandra Varejo-5851.83
40564-Moaci Mendoa-8894.08
229649-Anfnia Seixas-20667.82
450184-Liana Cardim-21256.02
185417-Quintino Alcantara-11109.53
482119-Cleusa Goes-12614.89
55608-Telma Villalobos-5916.95
557558-Henrique Bento-17700.51
793721-Armindo Castalo-5846.15
65150-Edgar Carvalheiro-3238.52
575896-Anind Zarco-17357.97
855368-Gaudancio Fiees-4593.54
173934-Rebeca Neto-2291.00
509943-Daniel Vieyra-19465.50
128555-Neuza Francia-20177.35
604833-Ermelinda Quintela-2297.34
777109-Antonio Viegas-13467.89
535400-Almerinda Palmeira-15623.47
375750-Angelica Aranha-17261.41
274916-Emedlia Silvera-5267.22
588000-Taercio Mafra-12642.98
83909-Neeamia Arruda-19111.53
988055-Trajano Fagundes-10618.44
190234-Judite Damasceno-4238.70
26911-Regina Barcellos-12649.99
816432-Delfina Perdigon-671.20
94769-Emedlia Silvera-8158.97
584231-Joaquim Rufino-21434.32
124934-Telma Villalobos-13853.24
797092-Quintino Alcantara-20845.99
321279-Artur Grillo-527.04
158525-Moaci Mendoa-1697.87
349394-Letedcia Gago-11777.75
639888-Tibefarcio Colao-8484.82
996542-Elisa Themes-13075.09
604774-Anind Zarco-15183.25
946703-Trajano Fagundes-5949.37
594291-Delfina Perdigon-12765.21
588743-Neuza Francia-10381.62
756485-Clarindo Areosa-4644.76
129963-Rebeca Neto-20267.97
317777-Flamednia Leiria-10184.72
175295-Marilda Leio-463.37
392805-Clara Alcantara-14869.77
963897-Eurico Siqueira-8444.90
49830-Filomena Barrios-1366.11
771791-Armindo Castalo-17405.58
874184-Mercia Caeira-5606.69
441465-Jonatas Felgueiras-3067.74
333034-Feledcia Peassego-5575.30
856509-Andreia Moita-18396.60
567188-Ubaldo Mainha-11224.94
65332-Edgar Carvalheiro-3171.86
855347-Anind Zarco-4855.79
127469-Delfim Higuera-20515.43
424961-Odete Vasques-19851.09
564255-Odete Vasques-3533.97
640120-Manuel Capiperibe-1197.88
236788-Adelina Quadros-12802.29
511896-Odete Vasques-9250.78
778889-Letedcia Gago-11389.35
842694-Cassandra Varejo-19745.02
378190-Dulce Froes-14540.84
767474-Zulmira Becerra-7554.55
134082-Antonio Castelo-7270.99
507261-Leonidas Mafra-5290.41
491785-Guida Juca-16796.05
34356-Clara Alcantara-4787.61
761971-Lurdes Cotrim-3505.15
263371-Estanislau Beserra-1855.43
811395-Oliveira Carmona-4483.22
19652-Heleedsa Marins-10181.64
722273-Anfnia Seixas-7660.59
127256-Basilio Pedroso-18858.26
111054-Flor Portella-15694.77
153917-Esperada Cardoso-6615.00
822027-Emedlio Pimentel-14459.92
887175-Leonidas Mafra-13685.43
739897-Neuza Francia-9898.21
338011-Danilo Olaio-6166.01
14550-Odilia Camello-8064.12
142376-Moaci Mendoa-12514.32
772325-Henrique Bento-9266.71
518786-Liana Cardim-1493.14
204402-Almor Caiado-15524.25
505699-Anfnia Seixas-7450.96
847637-Honorina Lira-18599.18
310825-Henrique Bento-9553.21
51735-Cleusa Goes-2985.77
790803-Nuno Balsemeo-11699.15
72629-Antonio Viegas-1994.46
192454-Jussara Varanda-6735.89
476621-Odilia Camello-2718.77
336023-Zungela Ipiranga-4483.96
21782-Edgar Carvalheiro-19586.00
700686-Emiliana Foquio-12346.23
396347-Antonio Castelo-9529.87
84198-Neuza Francia-6458.14
314949-Clarindo Areosa-7918.65
399625-Tabalipa Duarte-17416.56
568895-Anind Zarco-15332.45
666858-Honorina Lira-6149.54
196813-Odilia Bello-49.47
913739-Regina Barcellos-4692.83
944890-Filomena Barrios-17463.05
917674-Jussara Varanda-11105.22
986008-Andreia Moita-13709.18
488272-Elisa Themes-18260.02
311640-Heleedsa Marins-16968.34
712363-Neuza Francia-19732.33
544804-Basilio Pedroso-11243.19
339864-Clarindo Areosa-21039.85
207215-Honorina Lira-18686.99
468240-Almerinda Palmeira-13451.29
609020-Tabalipa Duarte-6825.90
383014-Liana Cardim-14335.08
779569-Domingos Pas-480.10
679026-Zungela Ipiranga-5334.98
392212-Branco Saraba-16978.10
970861-Armanda Amorim-16920.39
722129-Jussara Varanda-16861.00
234997-Jonatas Felgueiras-18794.40
701921-Clarindo Areosa-7981.63
115872-Delfina Garcia de Gondim-8616.31
329227-Delfina Garcia de Gondim-3707.57
847415-Honorina Lira-12841.40
403826-Emiliana Foquio-5414.36
878456-Feledcia Peassego-12431.15
871855-Emedlio Pimentel-18875.07
215324-Zungela Ipiranga-11189.94
308489-Camila Gabeira-6792.33
236596-Adelino Barra-21014.68
150153-Adelina Quadros-17056.86
278676-Telma Villalobos-16443.18
52256-Adelino Barra-2391.64
415785-Daniel Vieyra-13840.11
803288-Clarindo Areosa-18944.15
200774-Ubaldo Mainha-9938.10
96515-Dulce Froes-5081.98
318503-Regina Barcellos-21344.13
95455-Leonidas Mafra-14032.38
488525-Sofras Cuaresma-15864.75
321227-Silvio Mata-4931.41
833479-Antonio Castelo-21394.20
977169-Marilda Leio-14279.89
877670-Domingos Pas-11889.21
434348-Oliveira Senchez-7082.40
426771-Delfina Perdigon-339.57
50318-Estanislau Beserra-18470.54
697201-Daniel Vieyra-14028.89
338281-Joaquim Rufino-3935.01
212039-Clarindo Areosa-5049.89
586176-Adelina Quadros-14693.10
646262-Aludsio Sosa-19371.44
540873-Branco Saraba-6226.37
599236-Mercia Caeira-440.31
185118-Andreia Moita-14854.66
702346-Neeamia Arruda-11934.09
29375-Adelina Quadros-4109.76
554414-Spnia ou Sonia Guerreiro-10256.73
525491-Delfina Garcia de Gondim-20090.11
734743-Ubaldo Mainha-18927.39
418767-Feledcia Peassego-6308.42
760419-Moaci Mendoa-20764.88
38375-Lurdes Cotrim-14315.46
821245-Quintino Alcantara-10826.61
524812-Ubaldo Mainha-2663.62
985070-Sara Lameiras-8770.65
886439-Feledcia Peassego-17610.94
874492-Joaquim Rufino-12791.65
751379-Flor Portella-15656.91
128907-Delfim Higuera-18764.25
495603-Silvio Mata-16503.60
205396-Lina Andrade-13806.37
59063-Lina Andrade-10591.92
550124-Urbano Rodrigues-21140.13
72602-Almerinda Palmeira-14390.54
577197-Angilica Galante-18900.39
7032-Emedlia Silvera-13534.42
412425-Rodolfo Paz-16763.17
490577-Carminda Morais-21140.68
96121-Adelino Barra-9127.13
957448-Heleedsa Marins-7247.25
177086-Celeste Duarte-8719.31
884947-Neuza Francia-11439.90
654607-Armanda Amorim-160.56
601655-Cassandra Varejo-18271.29
394857-Zungela Ipiranga-16202.22
769264-Neeamia Arruda-5887.46
754251-Rebeca Neto-12911.58
420585-Cassandra Varejo-4581.65
777404-Cassandra Varejo-987.78
75805-Cleusa Goes-21057.35
250907-Polibe Olivares-6674.28
63128-Estanislau Beserra-78.30
583548-Quintino Alcantara-15584.84
633412-Odete Vasques-21070.86
253884-Armindo Castalo-19199.97
430035-Spnia ou Sonia Guerreiro-18742.83
48304-Esperada Cardoso-15835.53
499535-Moaci Mendoa-1794.90
535107-Mercia Caeira-13752.68
283928-Neuza Francia-6048.60
274304-Jussara Varanda-16661.11
195280-Filomena Barrios-16446.90
105919-Spnia ou Sonia Guerreiro-15997.90
589049-Tabalipa Duarte-14979.40
200920-Zulmira Becerra-6307.10
67785-Cleusa Goes-8881.40
163972-Almerinda Palmeira-14761.89
934610-Branco Saraba-19236.88
386628-Tarrataca Soares-497.39
99795-Moaci Mendoa-10620.23
64263-Almerinda Palmeira-13902.98
973470-Camila Gabeira-19064.93
712364-Emiliana Foquio-16071.15
935552-Manuel Capiperibe-5082.21
761040-Quintino Alcantara-4369.38
616390-Quintino Alcantara-8660.06
754514-Emedlia Silvera-2366.86
962369-Delfim Higuera-19876.21
660538-Danilo Olaio-1345.24
626427-Judite Damasceno-12186.24
968545-Ermelinda Quintela-9032.04
937799-Adelino Barra-20031.78
597317-Sara Lameiras-2314.06
563351-Carminda Morais-14413.42
985665-Oliveira Carmona-12976.19
118144-Augusta Paio-17202.36
907174-Rebeca Neto-2885.06
884709-Angelica Aranha-7334.69
66636-Lina Andrade-10871.29
504415-Manuel Capiperibe-5772.72
449269-Danilo Olaio-19562.41
724558-Armindo Castalo-4476.95
492859-Micaela Chavez-19912.92
892795-Cassandra Varejo-17443.72
513414-Neuza Francia-12048.74
71988-Andreia Moita-10035.08
152655-Letedcia Gago-20284.15
919387-Quintino Alcantara-14608.17
823145-Esperada Cardoso-12244.00
250557-Delfina Perdigon-13689.04
301419-Micaela Chavez-8088.70
72698-Adelino Barra-9345.94
537863-Angilica Galante-15050.87
409280-Basilio Pedroso-19799.80
622501-Telma Villalobos-7200.10
487621-Armindo Castalo-3095.98
588326-Antonio Viegas-16147.51
195484-Basilio Pedroso-5771.86
271462-Marilda Leio-13320.09
993152-Odilia Camello-18662.60
986981-Jonatas Felgueiras-12510.78
254199-Gaudancio Fiees-3896.67
699900-Guaraci Damasceno-12852.05
954107-Flamednia Leiria-20216.14
96523-Jorgina Bogalho-18927.53
629166-Almor Caiado-487.57
670179-Lurdes Cotrim-3573.45
643089-Angelica Aranha-9595.41
948957-Guida Juca-4413.28
654421-Guida Juca-20373.22
780246-Mercia Caeira-20298.25
292055-Tabalipa Duarte-2275.96
398053-Cassandra Varejo-13732.95
591100-Sofras Cuaresma-10157.66
280343-Almor Caiado-8993.79
495548-Filomena Barrios-815.24
308703-Anind Zarco-17131.95
388817-Anfnia Seixas-13803.54
655275-Odilia Camello-5438.19
931224-Filomena Barrios-4279.90
499924-Flor Portella-2542.87
146443-Fulvio Villegas-8315.79
459831-Zulmira Becerra-9469.77
977951-Liana Cardim-21055.68
142789-Urbano Rodrigues-19923.64
576844-Henrique Bento-13273.76
251387-Emedlio Pimentel-4202.01
787447-Manuel Capiperibe-8855.90
864156-Gaudancio Fiees-11532.46
785682-Almor Caiado-4076.93
28824-Antonio Castelo-5151.93
613268-Celeste Duarte-5793.39
309565-Sofras Cuaresma-9897.99
301263-Adelina Quadros-8842.94
58823-Antonio Castelo-1369.53
711471-Celeste Duarte-6405.30
888373-Emedlia Silvera-2962.97
776061-Moaci Mendoa-16090.85
533976-Daniel Vieyra-12434.65
594722-Angilica Galante-17882.51
161778-Artur Grillo-9857.96
15389-Augusta Paio-8659.26
963962-Urbano Rodrigues-16562.35
372847-Edgar Carvalheiro-4350.53
382200-Letedcia Gago-3656.28
272363-Danilo Olaio-1998.56
538884-Emedlia Silvera-192.61
523172-Filomena Barrios-15370.37
97690-Angelica Aranha-18385.71
917715-Aludsio Sosa-14676.82
947175-Quintino Alcantara-8523.60
169641-Cassandra Varejo-2468.92
731556-Rebeca Neto-4828.56
609104-Almerinda Palmeira-3597.45
780236-Zungela Ipiranga-19831.27
904093-Cassandra Varejo-9029.16
73872-Moaci Mendoa-5939.71
24607-Daniel Vieyra-14764.94
576449-Lurdes Cotrim-1411.08
109908-Odete Vasques-20360.26
410664-Liana Cardim-11264.89
507543-Tabalipa Duarte-751.75
46515-Rebeca Neto-16089.07
820795-Clara Alcantara-2750.32
164349-Armindo Castalo-12528.13
136000-Odete Vasques-3842.33
447220-Artur Grillo-4573.07
535438-Regina Barcellos-17683.31
176716-Ermelinda Quintela-16314.24
388677-Manuel Capiperibe-12900.51
798748-Lurdes Cotrim-3849.78
85059-Judite Damasceno-20494.85
746647-Jussara Varanda-7070.48
780178-Lina Andrade-1613.85
558501-Judite Damasceno-8475.50
980166-Filomena Barrios-9836.86
833890-Adelino Barra-7696.49
142204-Cassandra Varejo-2247.01
460984-Eurico Siqueira-8858.78
404274-Neuza Francia-2967.83
373436-Melinda Roserio-20725.81
348349-Aludsio Sosa-6231.83
498655-Liana Cardim-4904.46
72262-Lurdes Cotrim-97.42
161923-Armanda Amorim-16883.01
96929-Augusta Paio-10667.97
748671-Estanislau Beserra-11956.31
223725-Judite Damasceno-5212.90
546697-Emedlio Pimentel-5202.67
294037-Urbano Rodrigues-13336.71
608357-Jussara Varanda-7025.61
900321-Oliveira Carmona-19009.10
193825-Tibofarcio Camacho-7089.25
535384-Estanislau Beserra-8829.97
778497-Eurico Siqueira-5506.75
571161-Lina Andrade-9647.72
49377-Branco Saraba-3620.37
693068-Dulce Froes-13472.61
521322-Elisa Themes-13938.08
259911-Letedcia Gago-21331.02
264807-Celeste Duarte-5602.26
367462-Romo Paranage-13551.27
169288-Almor Caiado-1248.37
416932-Emedlia Silvera-18713.72
890571-Feledcia Peassego-3136.67
697764-Delfina Perdigon-5942.38
302324-Tarrataca Soares-15492.88
54493-Daniel Vieyra-18009.81
96476-Angilica Galante-15740.18
405609-Quintiliano Sousa de Arronches-17542.78
902518-Letedcia Gago-4910.59
960639-Angelica Aranha-20044.27
444674-Edgar Carvalheiro-4751.12
853277-Ubaldo Mainha-6885.29
775064-Jonatas Felgueiras-5069.36
371958-Domingos Pas-16186.34
740887-Delfina Perdigon-7954.53
663228-Guida Juca-13805.07
846354-Filomena Barrios-17476.04
353313-Guaraci Damasceno-2695.26
478142-Liana Cardim-4274.28
829199-Silvio Mata-7763.89
306805-Adelino Barra-10698.33
137490-Guida Juca-20166.87
856637-Nuno Balsemeo-2049.78
242745-Andreia Moita-4803.50
866975-Mercia Caeira-16600.91
295056-Odete Vasques-19587.54
703705-Aludsio Sosa-5761.17
163299-Gaudancio Fiees-10534.70
901047-Leonidas Mafra-12289.48
698106-Leonidas Mafra-16627.78
954644-Edgar Carvalheiro-15626.01
807245-Emedlio Pimentel-10532.55
705545-Aludsio Sosa-20061.11
540116-Romo Paranage-4398.70
525073-Ubaldo Mainha-12437.37
479092-Tarrataca Soares-16720.32
940316-Tarrataca Soares-13782.52
5220-Henrique Bento-19364.16
112118-Angelica Aranha-8058.33
647176-Anfnia Seixas-6250.48
87387-Celeste Duarte-12510.02
361071-Polibe Olivares-10113.26
321507-Neuza Francia-5945.48
776463-Andreia Moita-5076.04
97897-Camila Gabeira-2216.46
993993-Eurico Siqueira-5321.25
677034-Camila Gabeira-6720.65
477024-Urbano Rodrigues-2415.87
263626-Celeste Duarte-16576.99
998632-Andreia Moita-10528.62
27593-Sofras Cuaresma-13509.50
173667-Antonio Viegas-14743.11
574343-Sofras Cuaresma-12921.49
602611-Polibe Olivares-10094.41
17568-Tibefarcio Colao-11065.39
653487-Adelino Barra-10960.50
354479-Quintiliano Sousa de Arronches-7892.43
824249-Oliveira Carmona-7622.36
709746-Eurico Siqueira-20685.00
428367-Sara Lameiras-16420.15
710924-Micaela Chavez-11455.59
512061-Mercia Caeira-21417.33
639024-Regina Barcellos-13888.23
313709-Jonatas Felgueiras-8929.42
592586-Romo Paranage-10939.60
33430-Adelino Barra-10881.30
598983-Liana Cardim-4000.01
229561-Eurico Siqueira-4078.25
446735-Adelina Quadros-9005.35
878975-Fulvio Villegas-5364.79
689811-Sara Lameiras-20881.90
450276-Eurico Siqueira-3642.19
521443-Tibefarcio Colao-6708.58
773875-Jussara Varanda-14551.71
467684-Esperada Cardoso-10772.80
700766-Anfnia Seixas-19063.14
499820-Manuel Capiperibe-1794.29
541879-Armindo Castalo-8636.59
336671-Antonio Viegas-20531.05
147824-Rebeca Neto-11105.01
973969-Cassandra Varejo-12361.90
875404-Danilo Olaio-16336.41
25796-Andreia Moita-16296.78
999488-Fulvio Villegas-3689.69
431795-Odete Vasques-10084.36
340285-Rebeca Neto-3596.54
378446-Odete Vasques-16661.53
417109-Polibe Olivares-14222.12
280522-Melinda Roserio-3900.65
194785-Edgar Carvalheiro-6382.12
588264-Antonio Viegas-16611.87
688236-Armindo Castalo-3095.78
