593447-Neuza Francia-16382.95
425867-Gaudancio Fiees-16176.56
734322-Honorina Lira-6763.83
192065-Oliveira Carmona-18681.53
549302-Lurdes Cotrim-4201.53
588797-Ubaldo Mainha-12840.86
411032-Anind Zarco-12658.71
508633-Zulmira Becerra-9586.82
370547-Moaci Mendoa-5548.25
529268-Domingos Pas-10754.89
411797-Romo Paranage-14568.97
734983-Sara Lameiras-4858.39
570481-Guaraci Damasceno-5315.73
936232-Antonio Castelo-3332.82
492058-Odete Vasques-11218.31
525071-Oliveira Senchez-20004.20
400566-Angilica Galante-4903.47
820826-Ximena Castilho-3383.72
584124-Fulvio Villegas-8887.43
291643-Romo Paranage-4107.88
663773-Celeste Duarte-12612.00
691055-Delfim Higuera-4584.52
890790-Jussara Varanda-17850.22
473238-Adelino Barra-14474.75
241501-Adelina Quadros-19919.67
646573-Ximena Castilho-2280.08
654000-Daniel Vieyra-929.25
532807-Estanislau Beserra-6667.46
609656-Joaquim Rufino-14733.30
511201-Elisa Themes-15476.22
418335-Marilda Leio-9408.02
222356-Polibe Olivares-6510.09
381835-Clara Alcantara-1484.16
114742-Adelina Quadros-1094.06
129495-Tabalipa Duarte-2546.47
975396-Guaraci Damasceno-10042.94
273945-Cleusa Goes-14949.48
403470-Regina Barcellos-8449.97
421661-Anfnia Seixas-131.23
182713-Edgar Carvalheiro-17016.34
248598-Delfina Perdigon-5435.69
514761-Sofras Cuaresma-1433.08
232537-Dulce Froes-9866.90
488759-Neuza Francia-14578.04
736011-Angelica Aranha-18899.34
949999-Branco Saraba-12574.25
688498-Regina Barcellos-15607.00
352075-Almerinda Palmeira-11426.19
761555-Regina Barcellos-3415.57
17416-Liana Cardim-462.56
411301-Quintiliano Sousa de Arronches-6675.05
90630-Honorina Lira-13190.20
811867-Lina Andrade-3117.69
433098-Marilda Leio-15782.57
460266-Manuel Capiperibe-1235.10
651224-Letedcia Gago-869.76
136193-Heleedsa Marins-16966.65
85525-Melinda Roserio-7505.33
32027-Eurico Siqueira-628.11
101707-Rodolfo Paz-11068.28
322118-Celeste Duarte-11352.40
111595-Oliveira Senchez-10888.47
208846-Moaci Mendoa-16186.59
512058-Neuza Francia-7256.08
619622-Romo Paranage-6665.85
177384-Guida Juca-16962.36
677094-Armanda Amorim-5238.88
876343-Jussara Varanda-7919.74
211307-Jorgina Bogalho-11980.06
619999-Neuza Francia-17551.08
768781-Emedlio Pimentel-20174.30
422602-Emiliana Foquio-3810.58
128929-Honorina Lira-12842.67
87595-Mercia Caeira-14187.79
820064-Jorgina Bogalho-949.15
62346-Marilda Leio-13500.92
280794-Mercia Caeira-21467.69
680258-Ximena Castilho-18981.62
612813-Angelica Aranha-17468.89
872719-Clara Alcantara-20345.09
444687-Andreia Moita-6597.95
289076-Tabalipa Duarte-4377.34
980162-Micaela Chavez-5398.62
329814-Joaquim Rufino-12779.50
803833-Manuel Capiperibe-20827.70
862486-Anind Zarco-9303.49
673349-Guida Juca-551.46
888969-Dulce Froes-11538.26
562166-Danilo Olaio-6819.55
274024-Celeste Duarte-8498.28
93546-Guida Juca-6167.89
859204-Quintino Alcantara-11180.78
682592-Esperada Cardoso-12950.58
772557-Fulvio Villegas-6189.05
673861-Basilio Pedroso-19627.08
973423-Elisa Themes-16980.87
881331-Ximena Castilho-15212.77
74679-Odilia Bello-19561.66
946163-Lina Andrade-16472.44
223441-Mercia Caeira-17925.18
526514-Micaela Chavez-19996.12
624163-Tabalipa Duarte-21384.71
455341-Daniel Vieyra-4426.70
665331-Polibe Olivares-3439.59
825376-Armanda Amorim-11136.33
271892-Silvio Mata-6991.23
67226-Anfnia Seixas-4505.20
524875-Judite Damasceno-3671.11
808747-Basilio Pedroso-1995.74
48007-Almor Caiado-16947.97
631726-Emedlio Pimentel-4448.40
4592-Odilia Camello-14044.64
972032-Almerinda Palmeira-7164.36
997857-Eurico Siqueira-10681.01
928233-Tibofarcio Camacho-15899.27
599697-Moaci Mendoa-697.15
358383-Daniel Vieyra-17327.82
910344-Augusta Paio-1918.23
628198-Cassandra Varejo-8956.32
623167-Camila Gabeira-2311.97
136570-Dulce Froes-11958.28
294658-Liana Cardim-1113.49
923931-Delfina Perdigon-2433.21
223333-Romo Paranage-7393.19
998125-Antonio Castelo-707.64
405816-Elisa Themes-2003.63
452535-Elisa Themes-6787.22
19612-Anfnia Seixas-8796.32
181727-Edgar Carvalheiro-6117.77
434099-Artur Grillo-15224.00
169-Oliveira Senchez-11090.53
406453-Delfina Garcia de Gondim-13713.47
793464-Armindo Castalo-1527.88
616545-Jussara Varanda-435.27
541027-Romo Paranage-13875.25
424991-Angelica Aranha-10034.48
507624-Micaela Chavez-17379.00
888858-Branco Saraba-18939.20
93567-Carminda Morais-18386.18
446851-Eurico Siqueira-17715.68
480365-Sara Lameiras-12400.85
858541-Edgar Carvalheiro-6890.08
102321-Melinda Roserio-15228.01
151035-Rodolfo Paz-1629.34
35242-Oliveira Senchez-19724.75
683177-Sofras Cuaresma-20989.00
694535-Sara Lameiras-6119.24
427701-Tibefarcio Colao-13918.13
793018-Rodolfo Paz-3354.23
451389-Cassandra Varejo-4858.70
25981-Delfina Perdigon-20743.50
653364-Ubaldo Mainha-20017.25
144548-Oliveira Carmona-3793.44
907112-Henrique Bento-17454.95
713445-Andreia Moita-3970.46
561672-Joaquim Rufino-6997.29
857609-Oliveira Senchez-7064.24
53792-Aludsio Sosa-10958.52
202537-Joaquim Rufino-6001.61
969218-Almor Caiado-19786.12
336990-Carminda Morais-3111.55
789672-Delfina Perdigon-10018.08
250067-Lina Andrade-11269.53
27993-Quintino Alcantara-8393.76
739995-Esperada Cardoso-1826.06
443453-Polibe Olivares-5441.68
563357-Heleedsa Marins-7800.25
607332-Oliveira Senchez-4805.95
980588-Carminda Morais-15397.98
776692-Aludsio Sosa-15012.83
442495-Nuno Balsemeo-21366.21
974714-Joaquim Rufino-3909.26
748243-Domingos Pas-12481.76
865403-Cleusa Goes-19362.04
993581-Marilda Leio-4704.61
684372-Oliveira Carmona-9709.04
588248-Taercio Mafra-12414.68
432449-Antonio Castelo-18940.75
644676-Armindo Castalo-255.72
501595-Ermelinda Quintela-2663.49
3651-Joaquim Rufino-9547.91
660473-Esperada Cardoso-20177.66
125425-Flor Portella-11620.30
59407-Flor Portella-9144.12
369531-Estanislau Beserra-8729.22
285594-Spnia ou Sonia Guerreiro-14346.07
885620-Flor Portella-11517.11
510866-Elisa Themes-7306.60
731478-Antonio Viegas-12673.05
266343-Rebeca Neto-12143.23
84681-Flamednia Leiria-4028.43
556185-Odilia Camello-12915.03
437823-Zungela Ipiranga-5871.45
528720-Delfina Perdigon-15642.04
824164-Flor Portella-7670.90
580503-Rebeca Neto-5258.92
757542-Moaci Mendoa-13847.78
918638-Almerinda Palmeira-19762.88
154771-Moaci Mendoa-6335.36
962881-Daniel Vieyra-10438.03
636012-Estanislau Beserra-4134.04
583955-Oliveira Carmona-8789.60
330480-Silvio Mata-6839.14
623832-Letedcia Gago-10764.43
813061-Antonio Castelo-18452.67
957157-Liana Cardim-13133.64
707788-Delfim Higuera-4516.38
169554-Armindo Castalo-5015.56
807608-Domingos Pas-12097.11
750274-Esperada Cardoso-4541.90
531851-Rebeca Neto-6488.26
155990-Letedcia Gago-6009.27
799516-Leonidas Mafra-1807.74
587854-Edgar Carvalheiro-5503.97
580411-Branco Saraba-4767.27
179422-Antonio Viegas-8326.84
186833-Flor Portella-9053.92
971912-Branco Saraba-18465.61
45525-Armanda Amorim-918.85
688207-Tarrataca Soares-12036.35
617245-Delfina Perdigon-21011.67
466376-Daniel Vieyra-10398.40
275433-Jorgina Bogalho-14586.39
514944-Armindo Castalo-17972.27
197276-Silvio Mata-14723.24
662945-Neuza Francia-12510.20
492455-Silvio Mata-16592.06
476052-Antonio Viegas-19341.78
16021-Filomena Barrios-19047.40
783485-Adelina Quadros-569.45
224974-Anfnia Seixas-17295.62
9204-Anind Zarco-8935.45
236481-Oliveira Senchez-5753.37
720934-Urbano Rodrigues-14588.51
119099-Delfina Garcia de Gondim-3255.65
244037-Silvio Mata-11682.28
52905-Quintiliano Sousa de Arronches-10052.37
769843-Regina Barcellos-2882.29
48053-Anind Zarco-16662.45
727847-Guida Juca-20540.29
43147-Romo Paranage-19057.70
42156-Urbano Rodrigues-18702.96
397216-Flamednia Leiria-4010.49
391491-Spnia ou Sonia Guerreiro-19737.70
129187-Angelica Aranha-6964.05
707067-Odete Vasques-13406.49
820905-Urbano Rodrigues-4442.18
141182-Odilia Bello-10599.88
156162-Clara Alcantara-7395.52
427722-Letedcia Gago-17222.80
644071-Camila Gabeira-9168.40
938805-Sidfnio Frois-4243.98
778301-Emiliana Foquio-12847.96
954344-Carminda Morais-6617.03
14583-Almerinda Palmeira-3523.49
123590-Oliveira Senchez-18290.56
977013-Joaquim Rufino-20478.77
67309-Odilia Camello-5205.34
903234-Henrique Bento-13286.91
984456-Clarindo Areosa-20821.18
610813-Gaudancio Fiees-6902.79
523631-Danilo Olaio-10302.17
248467-Odilia Camello-18479.96
21802-Armanda Amorim-15714.67
80921-Tarrataca Soares-16594.81
61275-Silvio Mata-2901.21
690550-Spnia ou Sonia Guerreiro-7790.98
538003-Odete Vasques-19841.65
889828-Neuza Francia-20460.69
794078-Tabalipa Duarte-4835.69
978601-Rebeca Neto-14981.80
35600-Oliveira Senchez-5532.20
974526-Cleusa Goes-16664.69
225299-Nuno Balsemeo-9440.07
695763-Zungela Ipiranga-3596.04
998753-Camila Gabeira-6096.65
390391-Henrique Bento-8873.56
658878-Flor Portella-16368.94
978101-Odilia Bello-17707.84
987870-Jonatas Felgueiras-20285.78
632258-Andreia Moita-19850.73
71690-Silvio Mata-4096.25
728617-Silvio Mata-20215.99
381342-Eurico Siqueira-16633.41
533264-Augusta Paio-21440.37
166263-Micaela Chavez-16685.52
436633-Moaci Mendoa-20659.42
805035-Clara Alcantara-10891.17
338780-Angelica Aranha-14060.96
973804-Neeamia Arruda-506.00
178213-Sofras Cuaresma-12522.32
79170-Adelino Barra-14063.04
200308-Ubaldo Mainha-15430.32
790094-Eurico Siqueira-13629.30
419386-Heleedsa Marins-2899.80
136401-Marilda Leio-21311.46
518767-Neuza Francia-7340.99
773385-Joaquim Rufino-11729.04
438260-Tarrataca Soares-11367.59
403218-Urbano Rodrigues-5242.49
945987-Lurdes Cotrim-19664.27
594224-Neeamia Arruda-5190.23
350825-Taercio Mafra-10302.23
739372-Lurdes Cotrim-8715.30
468813-Urbano Rodrigues-9869.49
267614-Filomena Barrios-17360.85
618178-Daniel Vieyra-15811.21
427246-Tibofarcio Camacho-14094.10
353698-Filomena Barrios-7103.65
408339-Ximena Castilho-12547.68
546335-Branco Saraba-7762.30
432649-Angilica Galante-12598.25
622618-Leonidas Mafra-9676.92
