888512-Polibe Olivares-13349.24
594790-Lina Andrade-19298.16
178119-Flamednia Leiria-21100.21
903270-Adelina Quadros-9054.48
382736-Almerinda Palmeira-12163.46
624048-Cassandra Varejo-5094.35
782389-Guaraci Damasceno-8687.35
2107-Guida Juca-11515.23
816558-Flor Portella-12329.36
262142-Lurdes Cotrim-13488.54
57212-Judite Damasceno-17012.84
876628-Lurdes Cotrim-7943.95
892288-Manuel Capiperibe-15235.73
374483-Henrique Bento-5119.93
27383-Sofras Cuaresma-5383.75
479138-Daniel Vieyra-2735.16
528758-Melinda Roserio-18482.98
244905-Angilica Galante-168.17
451953-Regina Barcellos-9056.33
643049-Feledcia Peassego-3294.12
553062-Anfnia Seixas-12454.69
694416-Mercia Caeira-19333.46
168230-Ximena Castilho-18427.54
179544-Urbano Rodrigues-9526.45
639194-Edgar Carvalheiro-6771.89
961731-Neuza Francia-15126.68
719757-Fulvio Villegas-5177.13
728773-Delfina Perdigon-17969.58
260981-Cleusa Goes-11349.26
729161-Lina Andrade-1430.86
84554-Anfnia Seixas-4786.39
723764-Ermelinda Quintela-9323.33
757931-Angelica Aranha-12865.01
881528-Antonio Castelo-15036.81
514177-Zungela Ipiranga-3418.36
522261-Quintiliano Sousa de Arronches-11647.98
529829-Armindo Castalo-1870.34
868326-Angelica Aranha-4247.63
23507-Joaquim Rufino-8820.24
811931-Zungela Ipiranga-6442.70
12092-Anind Zarco-10603.54
197553-Sofras Cuaresma-16840.78
728590-Feledcia Peassego-11623.52
46549-Tibefarcio Colao-10187.50
9560-Esperada Cardoso-17652.64
161359-Neuza Francia-17927.87
497436-Judite Damasceno-13748.33
62901-Artur Grillo-2122.17
586307-Angilica Galante-4692.41
35959-Lurdes Cotrim-9040.53
87610-Nuno Balsemeo-18460.65
777970-Taercio Mafra-2457.79
801455-Almerinda Palmeira-1840.24
842648-Estanislau Beserra-13560.70
81093-Aludsio Sosa-4195.96
155983-Dulce Froes-1992.74
29051-Silvio Mata-602.88
452758-Odilia Bello-5203.51
123172-Armindo Castalo-12289.37
333980-Sofras Cuaresma-11734.89
330693-Almerinda Palmeira-4970.93
681515-Odete Vasques-18258.71
110210-Sara Lameiras-17971.89
923764-Urbano Rodrigues-16975.48
971003-Neeamia Arruda-8831.45
315160-Jorgina Bogalho-18433.01
445791-Daniel Vieyra-14478.47
925429-Zulmira Becerra-20313.00
622401-Domingos Pas-18709.39
560214-Odilia Camello-18487.89
67152-Danilo Olaio-4616.36
155306-Adelino Barra-9173.18
505877-Edgar Carvalheiro-6049.45
396513-Augusta Paio-6868.68
357409-Flamednia Leiria-343.56
430831-Judite Damasceno-4126.71
778136-Branco Saraba-14671.17
896762-Telma Villalobos-2775.58
882312-Tabalipa Duarte-13511.81
321095-Branco Saraba-8622.57
249068-Eurico Siqueira-18623.24
270195-Dulce Froes-19024.80
678796-Dulce Froes-12285.02
792680-Urbano Rodrigues-244.15
970847-Branco Saraba-17937.72
294390-Ximena Castilho-5137.19
435645-Celeste Duarte-6784.98
940014-Oliveira Carmona-2009.11
260257-Regina Barcellos-17487.93
519545-Adelino Barra-1086.30
600914-Danilo Olaio-7488.80
802355-Letedcia Gago-20191.50
838086-Camila Gabeira-14503.45
818317-Tibofarcio Camacho-8396.54
183166-Oliveira Carmona-18846.25
903635-Tibefarcio Colao-11734.36
294884-Ubaldo Mainha-5493.88
802705-Antonio Castelo-14603.28
385231-Tibefarcio Colao-16425.88
148512-Neuza Francia-8196.24
685465-Armindo Castalo-8402.25
546892-Aludsio Sosa-185.43
920801-Flor Portella-14193.81
796719-Micaela Chavez-13527.16
87511-Sofras Cuaresma-5054.16
666937-Guaraci Damasceno-10593.19
965830-Jussara Varanda-12796.14
762325-Delfina Perdigon-4859.33
985888-Anind Zarco-11033.18
2481-Emedlio Pimentel-1879.83
649549-Danilo Olaio-7496.69
692514-Cleusa Goes-3557.32
401571-Liana Cardim-9086.53
455515-Armanda Amorim-14894.50
679732-Emedlia Silvera-21225.37
528717-Feledcia Peassego-3067.20
845917-Sidfnio Frois-8506.86
34272-Edgar Carvalheiro-1379.65
66501-Antonio Castelo-5169.51
202861-Angilica Galante-15889.53
962897-Basilio Pedroso-13151.19
463875-Neeamia Arruda-4443.28
991799-Oliveira Senchez-9957.29
933811-Heleedsa Marins-1247.01
591875-Silvio Mata-8183.81
665511-Lurdes Cotrim-6664.26
58352-Branco Saraba-8422.72
97988-Zungela Ipiranga-18953.06
554420-Neeamia Arruda-9908.89
845584-Odilia Bello-19190.92
119991-Cleusa Goes-12045.71
579459-Ubaldo Mainha-18350.35
254528-Sofras Cuaresma-16815.43
98703-Flamednia Leiria-159.94
908705-Sofras Cuaresma-3385.85
772043-Flor Portella-10072.51
355656-Celeste Duarte-9338.26
625374-Celeste Duarte-13979.24
859873-Oliveira Senchez-7379.94
561394-Ermelinda Quintela-573.56
216066-Adelino Barra-16914.76
506142-Eurico Siqueira-20950.56
124138-Domingos Pas-16238.27
471623-Edgar Carvalheiro-11864.42
36818-Anfnia Seixas-1248.67
983103-Ximena Castilho-5616.39
355548-Feledcia Peassego-6559.94
516421-Clara Alcantara-12586.20
499994-Delfina Garcia de Gondim-3599.96
372769-Branco Saraba-6245.57
853959-Henrique Bento-14937.73
906460-Tarrataca Soares-21352.80
26852-Lurdes Cotrim-8459.20
690582-Tabalipa Duarte-7689.08
347814-Cassandra Varejo-20289.45
590423-Ubaldo Mainha-11494.44
600272-Delfim Higuera-9443.16
435714-Sofras Cuaresma-1083.49
711088-Basilio Pedroso-5368.49
980816-Feledcia Peassego-10732.22
606834-Sidfnio Frois-14890.76
225484-Nuno Balsemeo-8414.99
416225-Fulvio Villegas-9655.25
949938-Flor Portella-13952.16
441678-Artur Grillo-21465.64
283798-Spnia ou Sonia Guerreiro-14106.71
281046-Armanda Amorim-1947.87
756373-Leonidas Mafra-15802.23
884211-Zulmira Becerra-5224.50
8079-Lina Andrade-20544.31
689373-Delfina Perdigon-19385.54
144157-Manuel Capiperibe-18662.96
911279-Ubaldo Mainha-17852.29
598525-Marilda Leio-11716.95
193869-Fulvio Villegas-12121.37
766835-Henrique Bento-20314.21
784174-Edgar Carvalheiro-20437.02
117786-Polibe Olivares-19049.74
800444-Armindo Castalo-7263.75
848495-Moaci Mendoa-10153.83
118355-Jorgina Bogalho-12490.72
980337-Delfina Garcia de Gondim-7737.33
340899-Regina Barcellos-17246.44
743247-Clarindo Areosa-6527.59
361610-Trajano Fagundes-4744.69
576507-Armindo Castalo-10712.36
462009-Rebeca Neto-14450.20
134742-Nuno Balsemeo-3926.54
30418-Odilia Camello-1699.71
892831-Angilica Galante-13138.20
702797-Manuel Capiperibe-6024.54
583502-Quintino Alcantara-16724.35
276782-Oliveira Carmona-10702.92
715215-Ubaldo Mainha-19090.35
848738-Esperada Cardoso-12889.13
635383-Neuza Francia-13564.90
842596-Cassandra Varejo-13749.52
784127-Antonio Castelo-15390.86
699998-Honorina Lira-12816.33
507123-Elisa Themes-11250.42
213582-Clarindo Areosa-9762.62
476044-Almerinda Palmeira-6263.61
504074-Elisa Themes-19416.38
176249-Antonio Viegas-2648.70
607444-Zulmira Becerra-10627.18
24234-Flor Portella-12523.54
677102-Guida Juca-7177.13
866575-Gaudancio Fiees-15024.97
194086-Augusta Paio-12167.13
9137-Augusta Paio-5867.37
160223-Basilio Pedroso-6279.50
765698-Cassandra Varejo-4419.43
322253-Liana Cardim-8024.47
170786-Armanda Amorim-12866.23
570896-Jonatas Felgueiras-3997.47
400546-Edgar Carvalheiro-7637.71
719891-Jonatas Felgueiras-13024.48
507291-Liana Cardim-13133.15
897490-Armindo Castalo-11890.25
920905-Tarrataca Soares-10995.51
503072-Guida Juca-2112.27
346788-Judite Damasceno-12739.93
551909-Sara Lameiras-16653.15
427920-Lurdes Cotrim-3080.02
657332-Tabalipa Duarte-12585.73
121589-Ximena Castilho-15109.74
456073-Lina Andrade-2742.10
503381-Guaraci Damasceno-10707.17
563992-Cleusa Goes-11446.15
337905-Esperada Cardoso-17775.36
848595-Delfina Garcia de Gondim-19470.39
825995-Neuza Francia-4819.02
746149-Lurdes Cotrim-1559.70
629485-Eurico Siqueira-7633.98
135898-Mercia Caeira-4215.72
389186-Tarrataca Soares-1932.10
413583-Judite Damasceno-13306.66
402544-Marilda Leio-2566.86
222643-Anfnia Seixas-6212.50
67967-Armindo Castalo-14935.88
980357-Tabalipa Duarte-13129.52
120037-Joaquim Rufino-7072.95
769057-Quintiliano Sousa de Arronches-1185.57
733318-Oliveira Carmona-3491.87
699958-Aludsio Sosa-5383.23
756226-Oliveira Carmona-10857.12
302667-Nuno Balsemeo-6076.42
59174-Gaudancio Fiees-4065.61
533037-Augusta Paio-17957.83
138098-Filomena Barrios-16693.68
795263-Marilda Leio-11268.64
491252-Sidfnio Frois-3795.01
605556-Judite Damasceno-7012.70
690086-Anfnia Seixas-16100.03
172760-Manuel Capiperibe-12662.19
743616-Judite Damasceno-9284.92
7891-Domingos Pas-21077.95
454361-Adelino Barra-7833.70
102759-Neuza Francia-1734.20
484375-Jorgina Bogalho-14225.58
486169-Urbano Rodrigues-20133.53
924032-Delfina Perdigon-17453.61
689368-Odete Vasques-11004.82
495622-Dulce Froes-2346.89
488631-Henrique Bento-20588.62
320646-Zungela Ipiranga-5521.22
864500-Basilio Pedroso-2026.46
566482-Angelica Aranha-1936.17
312784-Silvio Mata-7817.19
875104-Basilio Pedroso-4407.20
805057-Anfnia Seixas-6642.06
115706-Jussara Varanda-6176.47
927087-Lurdes Cotrim-10083.36
8258-Jorgina Bogalho-19548.32
608889-Letedcia Gago-16588.37
945292-Quintino Alcantara-6586.74
773691-Filomena Barrios-400.54
913107-Carminda Morais-4106.21
422714-Anind Zarco-294.50
868252-Odete Vasques-6923.25
871468-Aludsio Sosa-19211.30
743977-Odilia Camello-5477.62
493384-Leonidas Mafra-12466.89
725245-Camila Gabeira-4242.14
162350-Manuel Capiperibe-18378.23
461108-Honorina Lira-3112.85
397838-Trajano Fagundes-10680.58
980433-Camila Gabeira-19209.71
179604-Quintino Alcantara-15059.10
98112-Ubaldo Mainha-21437.79
253036-Branco Saraba-9621.67
97840-Heleedsa Marins-21219.10
621965-Basilio Pedroso-9259.20
965723-Fulvio Villegas-6221.62
173794-Antonio Castelo-14453.24
218456-Oliveira Carmona-11593.02
936707-Polibe Olivares-3162.16
225753-Ermelinda Quintela-12661.96
135723-Micaela Chavez-20553.76
979401-Flor Portella-13179.90
180948-Tibefarcio Colao-16422.43
512717-Neeamia Arruda-15448.58
606766-Domingos Pas-16434.79
906534-Feledcia Peassego-7989.62
420279-Honorina Lira-9661.35
273243-Odilia Bello-16563.54
410717-Edgar Carvalheiro-13808.07
606393-Quintiliano Sousa de Arronches-1795.49
806082-Delfim Higuera-6106.85
916147-Tarrataca Soares-5561.80
321192-Estanislau Beserra-7083.61
892684-Rodolfo Paz-8408.74
407305-Tabalipa Duarte-15014.81
842087-Camila Gabeira-17893.87
438629-Flamednia Leiria-21288.08
875632-Oliveira Senchez-625.97
130556-Mercia Caeira-1970.08
84889-Armanda Amorim-14526.14
751766-Regina Barcellos-14554.20
827145-Almerinda Palmeira-17113.37
376434-Cleusa Goes-691.74
201725-Antonio Castelo-17860.67
884506-Branco Saraba-3939.91
563094-Leonidas Mafra-11138.33
719565-Quintino Alcantara-2727.88
11360-Feledcia Peassego-14636.63
656935-Celeste Duarte-15507.94
625703-Taercio Mafra-8503.95
659767-Adelino Barra-6286.63
862148-Jonatas Felgueiras-7934.90
761302-Almor Caiado-5153.83
538178-Silvio Mata-14365.85
672789-Oliveira Carmona-8069.86
320959-Henrique Bento-2700.65
356517-Leonidas Mafra-6247.85
716095-Guaraci Damasceno-6897.96
672936-Flor Portella-21214.53
637757-Domingos Pas-20055.95
733303-Silvio Mata-5217.71
765656-Emedlio Pimentel-4281.50
134613-Odilia Camello-1334.27
194068-Spnia ou Sonia Guerreiro-3459.65
320355-Angilica Galante-19066.38
953481-Oliveira Carmona-20219.59
419183-Leonidas Mafra-3338.32
672442-Henrique Bento-11185.48
588889-Domingos Pas-1437.37
331785-Melinda Roserio-19013.75
469667-Moaci Mendoa-14016.25
270653-Neuza Francia-999.07
78242-Polibe Olivares-18550.41
752515-Antonio Viegas-2937.52
44254-Silvio Mata-14970.72
321613-Cassandra Varejo-15640.26
664040-Odilia Bello-16084.45
791098-Camila Gabeira-19031.17
230501-Jorgina Bogalho-17642.23
122831-Urbano Rodrigues-5950.71
642847-Ubaldo Mainha-13935.40
933966-Henrique Bento-4933.27
374686-Nuno Balsemeo-8354.06
242663-Leonidas Mafra-7876.75
76073-Judite Damasceno-17867.19
64059-Rebeca Neto-3445.57
527580-Estanislau Beserra-10262.21
823152-Filomena Barrios-1615.28
183222-Sofras Cuaresma-5877.59
764375-Artur Grillo-1313.98
753424-Lurdes Cotrim-7980.41
367319-Manuel Capiperibe-9619.75
404421-Andreia Moita-10513.49
482991-Mercia Caeira-11995.92
313449-Dulce Froes-17526.68
732503-Armindo Castalo-3222.49
693634-Romo Paranage-10777.76
616026-Almerinda Palmeira-581.16
655768-Clarindo Areosa-5292.99
434453-Rebeca Neto-4875.80
