856871-Jussara Varanda-10168.52
182511-Oliveira Carmona-7796.29
869390-Estanislau Beserra-3733.09
613489-Cleusa Goes-3504.90
243787-Sara Lameiras-15156.48
679896-Adelino Barra-6206.34
679206-Guida Juca-9958.81
374326-Almerinda Palmeira-20962.72
167612-Oliveira Senchez-10058.50
157939-Angelica Aranha-4410.28
968861-Ubaldo Mainha-19483.56
965595-Quintino Alcantara-13600.55
640222-Mercia Caeira-2614.40
705161-Melinda Roserio-10340.54
474438-Sofras Cuaresma-18732.98
419721-Antonio Viegas-8914.94
775223-Rebeca Neto-736.90
955623-Ximena Castilho-16300.64
667525-Leonidas Mafra-19532.31
159900-Ubaldo Mainha-15979.06
483759-Cleusa Goes-11233.91
794406-Branco Saraba-8018.73
733584-Zungela Ipiranga-21425.13
498203-Odete Vasques-17127.35
236267-Romo Paranage-20262.09
654904-Filomena Barrios-14801.45
191414-Anind Zarco-12964.37
641545-Joaquim Rufino-19053.92
364142-Jonatas Felgueiras-6855.76
936601-Aludsio Sosa-3862.53
53848-Melinda Roserio-10097.36
43324-Cassandra Varejo-16325.31
87541-Henrique Bento-8867.81
88593-Taercio Mafra-12932.79
143616-Oliveira Senchez-10550.31
12751-Domingos Pas-16876.86
375893-Anind Zarco-16643.94
428601-Lurdes Cotrim-19810.36
61553-Eurico Siqueira-4389.16
442361-Clarindo Areosa-1913.69
245317-Armindo Castalo-16794.23
439282-Lurdes Cotrim-4089.83
506202-Trajano Fagundes-20350.70
119005-Regina Barcellos-3766.75
466499-Emiliana Foquio-7628.19
55826-Flor Portella-7718.31
790357-Celeste Duarte-12952.07
961665-Flor Portella-2591.52
558079-Anfnia Seixas-14412.14
730771-Delfim Higuera-3521.73
155994-Fulvio Villegas-7374.18
317507-Spnia ou Sonia Guerreiro-15728.57
526068-Clarindo Areosa-15128.80
31613-Joaquim Rufino-5525.15
815993-Zulmira Becerra-4044.98
148179-Gaudancio Fiees-9475.54
683075-Emedlio Pimentel-15143.44
612097-Domingos Pas-12538.22
93141-Danilo Olaio-20713.80
6702-Emedlia Silvera-3576.27
773029-Armindo Castalo-7937.83
478674-Clara Alcantara-946.17
683313-Ermelinda Quintela-20401.43
958137-Letedcia Gago-10746.91
424441-Regina Barcellos-6390.24
709491-Quintiliano Sousa de Arronches-17881.72
826038-Sidfnio Frois-19148.55
666326-Jonatas Felgueiras-5359.83
658956-Liana Cardim-17800.76
381834-Elisa Themes-17910.83
277321-Jorgina Bogalho-7603.73
590735-Regina Barcellos-3673.68
277709-Delfim Higuera-10210.51
360798-Spnia ou Sonia Guerreiro-4615.25
442655-Flor Portella-12129.50
55187-Delfina Garcia de Gondim-18906.59
705164-Estanislau Beserra-11190.02
215648-Adelina Quadros-1931.84
64656-Heleedsa Marins-15198.43
810267-Jorgina Bogalho-977.42
183252-Ermelinda Quintela-5740.19
339605-Urbano Rodrigues-15386.10
629537-Neuza Francia-2694.04
62764-Delfina Perdigon-4267.64
703603-Sara Lameiras-4157.23
368047-Delfina Perdigon-6407.79
720627-Armindo Castalo-20494.84
444419-Delfim Higuera-18612.16
151519-Gaudancio Fiees-13297.97
451420-Honorina Lira-3791.23
350825-Delfina Perdigon-15143.07
622763-Tibofarcio Camacho-12341.63
262259-Armindo Castalo-17807.92
468979-Silvio Mata-8993.71
201060-Armindo Castalo-18120.75
882943-Delfina Garcia de Gondim-8629.59
256825-Liana Cardim-19876.80
632390-Telma Villalobos-6586.41
192318-Domingos Pas-17067.92
111916-Esperada Cardoso-4697.60
256667-Zulmira Becerra-8861.11
936596-Mercia Caeira-15687.34
742439-Oliveira Carmona-7375.12
951905-Gaudancio Fiees-15609.81
925791-Odilia Camello-2056.99
139456-Guaraci Damasceno-320.98
615384-Adelino Barra-7833.55
607795-Danilo Olaio-14309.87
815986-Nuno Balsemeo-206.96
337316-Emedlia Silvera-2198.08
982054-Daniel Vieyra-21260.64
449804-Domingos Pas-20185.17
596524-Taercio Mafra-14357.76
535398-Tarrataca Soares-6472.44
361896-Flor Portella-796.86
263269-Taercio Mafra-1488.26
640269-Nuno Balsemeo-14954.41
213522-Tabalipa Duarte-18740.49
943801-Cleusa Goes-9983.81
466271-Polibe Olivares-1982.35
748706-Guaraci Damasceno-20002.17
141931-Moaci Mendoa-14761.83
301413-Quintiliano Sousa de Arronches-20077.80
456707-Trajano Fagundes-10808.32
625848-Joaquim Rufino-17421.94
977192-Neuza Francia-15089.73
942739-Cassandra Varejo-12441.30
262961-Mercia Caeira-7878.60
86601-Adelino Barra-7988.03
89625-Almor Caiado-8362.70
416653-Antonio Castelo-13700.18
324352-Polibe Olivares-11386.77
749318-Micaela Chavez-17109.78
466696-Jorgina Bogalho-16769.51
944741-Tarrataca Soares-4500.93
109246-Gaudancio Fiees-3835.87
583314-Odilia Camello-15095.30
531386-Danilo Olaio-3163.09
528553-Delfina Garcia de Gondim-3823.96
423506-Jorgina Bogalho-17284.85
553561-Elisa Themes-2794.18
900773-Heleedsa Marins-3087.43
464001-Quintino Alcantara-16874.92
807067-Artur Grillo-15564.75
498072-Almor Caiado-5629.36
898913-Sofras Cuaresma-9340.45
272859-Andreia Moita-6711.45
292884-Tibofarcio Camacho-12696.76
688862-Daniel Vieyra-3087.21
371890-Ermelinda Quintela-9341.45
840944-Adelino Barra-11966.98
844729-Camila Gabeira-9491.15
525178-Andreia Moita-16675.79
700056-Tabalipa Duarte-10649.03
342423-Basilio Pedroso-2219.17
78126-Estanislau Beserra-8808.16
917063-Delfim Higuera-2556.05
285621-Judite Damasceno-17378.98
963112-Emiliana Foquio-18205.87
36137-Odilia Bello-13024.75
110674-Cassandra Varejo-10198.33
603376-Fulvio Villegas-1951.94
354946-Cassandra Varejo-21147.19
598351-Micaela Chavez-20469.35
832991-Sara Lameiras-16687.94
3607-Armindo Castalo-14303.89
219446-Jussara Varanda-17153.06
96526-Emiliana Foquio-18855.91
166232-Oliveira Senchez-1100.71
440766-Leonidas Mafra-10661.07
376338-Silvio Mata-397.34
526511-Ubaldo Mainha-16053.37
792056-Emiliana Foquio-17766.92
153328-Romo Paranage-938.07
417394-Andreia Moita-2606.40
598677-Angilica Galante-6926.43
112442-Cassandra Varejo-1763.79
231550-Angelica Aranha-15304.76
765236-Aludsio Sosa-17296.42
402363-Tibofarcio Camacho-10825.99
514821-Jorgina Bogalho-5234.92
459907-Flamednia Leiria-12490.18
115054-Delfim Higuera-20608.10
5441-Moaci Mendoa-3314.80
347475-Flor Portella-14208.98
483581-Domingos Pas-12560.12
524588-Artur Grillo-7176.41
387560-Polibe Olivares-613.89
358118-Nuno Balsemeo-10251.54
399374-Domingos Pas-11345.57
547465-Regina Barcellos-16920.72
945771-Taercio Mafra-15700.48
681314-Melinda Roserio-9636.79
625394-Manuel Capiperibe-19876.85
376360-Angilica Galante-2465.49
767205-Delfina Garcia de Gondim-17040.32
317887-Urbano Rodrigues-13480.73
731501-Artur Grillo-8939.77
137277-Neuza Francia-798.51
701447-Ermelinda Quintela-11632.51
381129-Polibe Olivares-9153.15
552661-Danilo Olaio-15232.60
742555-Romo Paranage-2974.58
259219-Regina Barcellos-11620.83
772334-Jorgina Bogalho-20634.60
182941-Angilica Galante-11147.43
122421-Jorgina Bogalho-11560.61
703218-Liana Cardim-2163.09
673232-Spnia ou Sonia Guerreiro-19734.46
314053-Ermelinda Quintela-17146.64
511690-Aludsio Sosa-5225.62
297318-Ubaldo Mainha-10681.14
130844-Adelina Quadros-3053.73
160027-Honorina Lira-2951.49
390307-Manuel Capiperibe-13689.21
685512-Rebeca Neto-6526.20
12871-Emiliana Foquio-15497.43
413324-Tibofarcio Camacho-4829.62
307135-Polibe Olivares-18086.36
52422-Lurdes Cotrim-1094.66
564911-Oliveira Carmona-8149.78
392067-Heleedsa Marins-13222.75
479662-Sidfnio Frois-10539.22
541714-Esperada Cardoso-9735.99
687265-Danilo Olaio-9215.05
325380-Liana Cardim-11441.91
706911-Lurdes Cotrim-11982.04
149745-Silvio Mata-2841.33
901736-Tibofarcio Camacho-14434.41
132865-Adelino Barra-4610.09
28226-Jorgina Bogalho-6475.74
485300-Odilia Bello-7709.66
573102-Eurico Siqueira-2069.62
34186-Emiliana Foquio-14005.04
160476-Eurico Siqueira-12187.08
207954-Andreia Moita-17250.33
875913-Taercio Mafra-18867.40
803126-Angelica Aranha-7124.06
692812-Angelica Aranha-5658.24
734555-Delfim Higuera-12729.57
242408-Lina Andrade-2535.02
728062-Armanda Amorim-1775.03
5186-Danilo Olaio-21130.76
204626-Jussara Varanda-20706.27
519113-Judite Damasceno-3453.04
855305-Edgar Carvalheiro-4535.12
382362-Clara Alcantara-9003.88
113156-Letedcia Gago-10881.91
493715-Regina Barcellos-14998.83
314821-Celeste Duarte-17966.18
145248-Spnia ou Sonia Guerreiro-20878.61
66260-Angelica Aranha-10411.05
953572-Rebeca Neto-21261.10
319551-Telma Villalobos-21018.31
189558-Quintiliano Sousa de Arronches-19418.66
767212-Camila Gabeira-4202.38
894245-Cleusa Goes-8286.21
277567-Andreia Moita-702.50
583276-Henrique Bento-5767.44
713108-Henrique Bento-16440.59
799929-Liana Cardim-15857.20
388317-Domingos Pas-10493.03
996275-Eurico Siqueira-8057.73
680555-Delfina Garcia de Gondim-10620.92
24397-Rodolfo Paz-10712.82
155575-Estanislau Beserra-20520.49
314745-Antonio Castelo-14344.60
377822-Eurico Siqueira-11052.54
115227-Sidfnio Frois-17768.37
768829-Adelino Barra-18675.50
40479-Carminda Morais-5028.66
688939-Ximena Castilho-837.71
958621-Zungela Ipiranga-7877.67
854713-Andreia Moita-4329.64
98193-Branco Saraba-10899.88
208174-Trajano Fagundes-9566.60
72665-Mercia Caeira-4864.92
557677-Liana Cardim-5798.69
809069-Polibe Olivares-1775.01
287854-Jorgina Bogalho-7792.70
341555-Liana Cardim-20343.10
631774-Emedlia Silvera-17355.15
741123-Esperada Cardoso-9239.90
623175-Urbano Rodrigues-17258.45
597480-Almor Caiado-19479.43
369949-Silvio Mata-13846.68
707794-Moaci Mendoa-4562.57
505261-Cassandra Varejo-21388.15
72621-Adelino Barra-601.40
993149-Antonio Castelo-12394.28
979954-Joaquim Rufino-8782.86
832965-Sofras Cuaresma-5624.34
456852-Estanislau Beserra-13411.75
847890-Leonidas Mafra-18727.98
719338-Odete Vasques-10719.12
579242-Liana Cardim-97.98
99528-Basilio Pedroso-7385.06
627646-Henrique Bento-3975.28
25066-Jorgina Bogalho-921.17
923367-Antonio Castelo-15991.10
607730-Delfina Garcia de Gondim-3436.06
602282-Carminda Morais-11234.39
628667-Silvio Mata-18748.96
161858-Polibe Olivares-12382.60
540217-Henrique Bento-17939.79
894640-Odilia Camello-3370.75
916951-Tibofarcio Camacho-21191.75
196167-Oliveira Carmona-11843.19
806317-Quintino Alcantara-2598.60
556471-Dulce Froes-16707.83
250834-Telma Villalobos-19013.91
230962-Moaci Mendoa-8385.10
161333-Ubaldo Mainha-2176.55
266720-Augusta Paio-9628.17
686648-Daniel Vieyra-5048.73
18599-Quintiliano Sousa de Arronches-7917.68
665224-Anfnia Seixas-10606.85
817967-Estanislau Beserra-17678.81
498441-Emedlia Silvera-7572.04
295619-Henrique Bento-2362.77
202650-Ubaldo Mainha-14445.27
232192-Clara Alcantara-9652.75
217211-Neeamia Arruda-15084.36
98206-Delfim Higuera-1202.19
755773-Adelino Barra-8209.06
909250-Basilio Pedroso-3874.41
137879-Emedlia Silvera-9771.06
57540-Celeste Duarte-11809.24
295879-Cleusa Goes-13964.22
910666-Honorina Lira-17157.18
308916-Marilda Leio-15904.37
614711-Esperada Cardoso-13641.85
946686-Zulmira Becerra-129.19
933507-Quintino Alcantara-15590.17
737034-Angelica Aranha-7982.89
413836-Esperada Cardoso-16721.99
374904-Filomena Barrios-2228.53
20839-Micaela Chavez-7169.10
64160-Quintino Alcantara-437.23
827537-Marilda Leio-6106.33
867440-Henrique Bento-19409.42
434703-Delfina Perdigon-16410.73
276641-Odilia Bello-5495.36
587291-Odilia Camello-10314.70
600669-Guaraci Damasceno-19022.07
36128-Cleusa Goes-15191.37
912266-Rodolfo Paz-6740.28
410660-Domingos Pas-4275.66
832925-Leonidas Mafra-4001.46
677504-Jorgina Bogalho-13489.74
272719-Branco Saraba-13628.41
304869-Flor Portella-18862.76
38850-Letedcia Gago-17370.69
691874-Quintiliano Sousa de Arronches-2761.72
362147-Sidfnio Frois-19187.73
838147-Rebeca Neto-10433.25
29123-Rebeca Neto-1847.54
72956-Nuno Balsemeo-3201.65
27186-Daniel Vieyra-4829.98
704045-Moaci Mendoa-20696.75
14198-Zulmira Becerra-3534.64
299267-Emiliana Foquio-12197.69
657611-Melinda Roserio-17378.08
552268-Sofras Cuaresma-19205.00
433098-Delfim Higuera-11793.78
37134-Zulmira Becerra-3127.33
778214-Silvio Mata-9927.62
63945-Emedlia Silvera-12948.35
915167-Lurdes Cotrim-19358.62
912392-Tibofarcio Camacho-8120.83
399510-Eurico Siqueira-6816.13
243961-Leonidas Mafra-13379.12
364095-Quintino Alcantara-1270.86
69259-Odilia Camello-18936.38
946744-Neuza Francia-12265.88
113572-Anfnia Seixas-281.41
122222-Oliveira Carmona-19649.20
884960-Guida Juca-12685.00
296095-Anind Zarco-5139.32
737608-Armindo Castalo-1013.60
854299-Neuza Francia-13797.60
435239-Flamednia Leiria-14170.04
301649-Domingos Pas-20993.68
976028-Ermelinda Quintela-8689.54
182953-Filomena Barrios-1494.17
768221-Elisa Themes-18595.30
86331-Tibofarcio Camacho-6001.69
166405-Fulvio Villegas-8510.54
114105-Mercia Caeira-7848.66
923913-Elisa Themes-8846.04
816226-Lurdes Cotrim-10724.58
837947-Honorina Lira-17018.93
288342-Emedlio Pimentel-18451.95
308672-Regina Barcellos-10926.87
261-Celeste Duarte-13648.70
279855-Silvio Mata-16936.38
700941-Odilia Camello-2442.41
41732-Odilia Camello-1569.24
915229-Neuza Francia-5790.38
720248-Odete Vasques-12989.62
369181-Danilo Olaio-9812.94
810595-Celeste Duarte-3076.49
255746-Armindo Castalo-6159.37
585082-Ermelinda Quintela-20332.46
867862-Artur Grillo-107.62
83536-Lurdes Cotrim-700.42
829322-Flamednia Leiria-917.43
260148-Dulce Froes-20407.85
744621-Cleusa Goes-7432.17
611541-Domingos Pas-10079.37
565812-Mercia Caeira-7888.22
10791-Honorina Lira-14656.33
349012-Quintino Alcantara-1604.05
398477-Delfina Perdigon-11199.90
135214-Feledcia Peassego-9183.74
258528-Anfnia Seixas-18524.58
536642-Camila Gabeira-14868.03
55885-Antonio Castelo-4215.80
15368-Silvio Mata-16553.25
496492-Letedcia Gago-16779.36
455875-Armindo Castalo-13740.18
709742-Armindo Castalo-18160.29
128746-Antonio Viegas-4108.94
484876-Filomena Barrios-11512.93
603157-Emedlio Pimentel-8349.45
483850-Camila Gabeira-8267.19
890460-Oliveira Carmona-6727.72
556630-Rebeca Neto-6173.45
524094-Jonatas Felgueiras-8173.60
708080-Oliveira Senchez-18518.56
345189-Angelica Aranha-7248.29
804602-Regina Barcellos-5650.55
413267-Moaci Mendoa-16801.84
426930-Rodolfo Paz-3911.85
430672-Antonio Viegas-8787.88
325060-Odete Vasques-10062.72
677278-Oliveira Senchez-8436.79
865704-Basilio Pedroso-4827.52
117783-Quintiliano Sousa de Arronches-19642.76
210840-Rebeca Neto-17365.00
756415-Lina Andrade-8073.62
836673-Sidfnio Frois-21131.66
462405-Andreia Moita-6770.96
466271-Almor Caiado-9545.23
795804-Letedcia Gago-19179.54
553514-Artur Grillo-1907.95
546985-Dulce Froes-19204.72
829212-Dulce Froes-38.54
939728-Polibe Olivares-13049.72
926606-Judite Damasceno-10366.99
286337-Odilia Bello-8769.72
474798-Trajano Fagundes-523.25
234434-Romo Paranage-3787.87
177639-Adelina Quadros-1197.70
821994-Flamednia Leiria-4265.66
737952-Fulvio Villegas-21341.19
958418-Quintino Alcantara-17741.83
857502-Augusta Paio-195.28
991833-Spnia ou Sonia Guerreiro-17824.68
434561-Adelina Quadros-14379.11
893767-Dulce Froes-8377.14
714640-Emedlio Pimentel-7067.05
218133-Fulvio Villegas-16099.39
817515-Quintino Alcantara-9326.33
456068-Artur Grillo-12134.55
564463-Branco Saraba-11837.09
467760-Letedcia Gago-18496.68
843238-Anfnia Seixas-19075.25
589305-Filomena Barrios-18400.34
307393-Rodolfo Paz-14639.84
241045-Manuel Capiperibe-3683.95
146676-Eurico Siqueira-15081.09
377312-Andreia Moita-5538.44
911710-Anfnia Seixas-3301.78
699788-Liana Cardim-17916.34
570054-Manuel Capiperibe-4137.15
559671-Emedlia Silvera-6821.82
764680-Antonio Viegas-2225.42
981590-Nuno Balsemeo-11861.31
182832-Flamednia Leiria-5829.55
811366-Sidfnio Frois-15971.96
669880-Branco Saraba-8108.59
716820-Sidfnio Frois-4237.53
735677-Camila Gabeira-8146.64
387738-Odilia Bello-21033.64
494998-Tarrataca Soares-4214.51
828112-Moaci Mendoa-505.27
345499-Emiliana Foquio-6172.91
904661-Lina Andrade-21412.73
497431-Quintino Alcantara-21099.72
591074-Taercio Mafra-19613.00
595711-Silvio Mata-3854.86
709628-Taercio Mafra-2367.19
667312-Lurdes Cotrim-9774.55
318982-Mercia Caeira-13928.43
604354-Delfina Garcia de Gondim-5488.54
120595-Armindo Castalo-17766.82
819114-Quintino Alcantara-4835.44
59500-Sofras Cuaresma-7244.49
431060-Polibe Olivares-444.62
273891-Silvio Mata-20550.54
829037-Delfim Higuera-6821.66
243175-Tarrataca Soares-17288.75
409969-Delfina Perdigon-14540.59
241130-Liana Cardim-1878.94
469150-Spnia ou Sonia Guerreiro-18694.98
631378-Rebeca Neto-4701.35
836543-Nuno Balsemeo-9669.54
332973-Clara Alcantara-14350.14
618610-Letedcia Gago-9129.61
392639-Camila Gabeira-21312.35
982777-Flamednia Leiria-2445.81
58904-Urbano Rodrigues-3588.24
854194-Lurdes Cotrim-7502.34
