60615-Leonidas Mafra-15728.91
851458-Filomena Barrios-12704.35
297678-Emedlio Pimentel-11163.12
999887-Andreia Moita-5399.82
302732-Tarrataca Soares-8905.79
524934-Adelina Quadros-10238.94
718207-Clara Alcantara-233.93
84165-Flor Portella-3870.92
241530-Oliveira Carmona-15465.40
352896-Guida Juca-12609.73
393468-Odete Vasques-9078.78
121407-Almor Caiado-15507.29
395749-Branco Saraba-4185.43
863038-Edgar Carvalheiro-410.59
611143-Ubaldo Mainha-12473.62
122232-Rodolfo Paz-4254.04
401384-Leonidas Mafra-8871.22
713206-Oliveira Carmona-15942.06
469602-Armanda Amorim-7439.64
299777-Emedlia Silvera-16913.17
622877-Henrique Bento-12192.26
607401-Odilia Bello-16813.48
27404-Polibe Olivares-2642.60
792473-Mercia Caeira-8891.23
23605-Telma Villalobos-18557.34
350153-Adelina Quadros-15683.73
570434-Neeamia Arruda-16707.74
183392-Honorina Lira-20104.87
888066-Mercia Caeira-1944.73
649479-Regina Barcellos-16357.73
900466-Lurdes Cotrim-5329.12
29216-Almerinda Palmeira-14645.20
403541-Tibefarcio Colao-14060.63
321117-Odilia Bello-14738.56
298185-Flamednia Leiria-603.96
153827-Henrique Bento-2037.46
412979-Feledcia Peassego-7803.17
793848-Esperada Cardoso-18135.00
896951-Esperada Cardoso-15429.04
963819-Mercia Caeira-15150.70
863699-Oliveira Carmona-8434.87
506413-Elisa Themes-4360.33
13367-Ximena Castilho-18434.36
263959-Silvio Mata-11892.73
153931-Regina Barcellos-6620.88
294426-Delfina Garcia de Gondim-15092.42
324028-Antonio Viegas-20086.55
127769-Emedlio Pimentel-8999.65
935207-Rodolfo Paz-19248.62
732298-Letedcia Gago-15323.42
302465-Zungela Ipiranga-14137.22
784939-Antonio Viegas-6407.45
819825-Armindo Castalo-8947.58
401822-Silvio Mata-2925.39
872460-Flor Portella-18706.93
222640-Romo Paranage-10425.03
835220-Zungela Ipiranga-15238.27
764282-Melinda Roserio-6904.72
709571-Elisa Themes-5529.23
559152-Odilia Camello-13056.55
995210-Armindo Castalo-2894.74
434561-Neeamia Arruda-1847.76
906423-Feledcia Peassego-3085.95
814337-Clarindo Areosa-20669.97
512123-Tarrataca Soares-4913.86
814320-Edgar Carvalheiro-20846.09
358402-Joaquim Rufino-6079.60
73701-Flor Portella-11367.25
270417-Flor Portella-11894.34
329151-Filomena Barrios-1615.10
762776-Antonio Viegas-17155.05
402289-Branco Saraba-2524.56
819511-Heleedsa Marins-5033.62
478752-Jussara Varanda-166.93
193027-Celeste Duarte-21292.05
599916-Rebeca Neto-10605.36
26549-Leonidas Mafra-4674.10
796953-Odilia Bello-2110.00
38897-Aludsio Sosa-11912.71
720294-Feledcia Peassego-10381.16
57088-Eurico Siqueira-12838.79
868098-Adelino Barra-11947.98
454615-Ermelinda Quintela-14116.17
636464-Antonio Viegas-6816.12
331819-Leonidas Mafra-14448.05
929492-Delfim Higuera-12769.22
135772-Heleedsa Marins-12204.65
818582-Daniel Vieyra-6517.78
225854-Nuno Balsemeo-2613.33
583511-Moaci Mendoa-6020.53
450704-Telma Villalobos-8321.10
338997-Jonatas Felgueiras-12409.79
682950-Rodolfo Paz-20134.33
388987-Manuel Capiperibe-13105.86
787797-Carminda Morais-11994.34
907855-Urbano Rodrigues-238.80
79834-Clara Alcantara-20160.16
145784-Andreia Moita-13413.51
728461-Sofras Cuaresma-12840.93
98283-Lina Andrade-8861.93
584401-Clarindo Areosa-3091.60
949591-Emedlio Pimentel-12684.99
628848-Micaela Chavez-18691.82
441681-Antonio Castelo-4670.87
866844-Polibe Olivares-13738.75
613715-Sofras Cuaresma-2762.99
282211-Carminda Morais-3823.79
931585-Spnia ou Sonia Guerreiro-120.41
358790-Anfnia Seixas-15237.70
119075-Guaraci Damasceno-18138.68
449087-Tarrataca Soares-19204.52
889562-Delfina Garcia de Gondim-9799.18
308599-Neeamia Arruda-1870.63
193516-Heleedsa Marins-9535.05
664427-Oliveira Carmona-18133.72
85855-Angelica Aranha-20639.86
870941-Daniel Vieyra-8347.84
704512-Delfina Garcia de Gondim-14937.16
888799-Tibefarcio Colao-3975.91
682360-Tibofarcio Camacho-21027.10
668707-Tibofarcio Camacho-7686.75
331248-Sara Lameiras-15225.65
492628-Danilo Olaio-13103.90
835797-Zungela Ipiranga-21455.83
782446-Neuza Francia-10437.64
120372-Joaquim Rufino-13518.50
757431-Guaraci Damasceno-9462.37
773456-Rebeca Neto-18429.42
830585-Adelino Barra-10883.47
173629-Honorina Lira-21140.29
384521-Tabalipa Duarte-15112.14
80364-Estanislau Beserra-17365.46
694399-Filomena Barrios-19110.38
371826-Lurdes Cotrim-17563.91
554325-Angilica Galante-17396.89
625094-Lurdes Cotrim-10873.26
714198-Jonatas Felgueiras-756.00
71146-Augusta Paio-12343.73
176577-Daniel Vieyra-2807.20
356579-Urbano Rodrigues-8858.94
279282-Oliveira Carmona-5687.95
877422-Joaquim Rufino-12498.75
40561-Liana Cardim-17615.69
110003-Basilio Pedroso-1434.58
795616-Odete Vasques-16440.12
729124-Zulmira Becerra-16341.54
545437-Anfnia Seixas-303.84
82794-Delfina Garcia de Gondim-19624.55
594761-Edgar Carvalheiro-3341.48
453787-Micaela Chavez-19855.05
858583-Cleusa Goes-4293.00
994209-Ubaldo Mainha-7291.78
675561-Branco Saraba-1127.35
427973-Moaci Mendoa-20378.45
570889-Tibefarcio Colao-601.57
919460-Melinda Roserio-16658.86
110410-Emiliana Foquio-17644.31
901171-Honorina Lira-13020.30
65199-Heleedsa Marins-21216.25
949431-Danilo Olaio-10165.95
243849-Sofras Cuaresma-1009.70
332973-Moaci Mendoa-8859.64
813520-Lina Andrade-8131.56
863537-Antonio Viegas-17935.84
887555-Quintiliano Sousa de Arronches-12886.71
923547-Carminda Morais-10381.07
629311-Zungela Ipiranga-21292.18
719046-Odilia Camello-3426.35
780249-Lurdes Cotrim-12077.00
989498-Spnia ou Sonia Guerreiro-7101.66
219724-Ximena Castilho-18834.10
750209-Augusta Paio-10012.59
974727-Zungela Ipiranga-14610.73
933839-Aludsio Sosa-7294.53
737550-Almerinda Palmeira-10973.40
214179-Armanda Amorim-20612.64
576498-Elisa Themes-9604.10
886298-Daniel Vieyra-21201.29
742723-Basilio Pedroso-10604.25
740536-Flamednia Leiria-2629.31
333524-Mercia Caeira-17131.51
412973-Neuza Francia-15454.17
940388-Tarrataca Soares-4889.08
656740-Guida Juca-8038.42
957296-Manuel Capiperibe-2330.96
929299-Oliveira Senchez-9843.10
524911-Joaquim Rufino-4284.03
854544-Oliveira Senchez-3298.06
819369-Guaraci Damasceno-19905.48
938-Neeamia Arruda-10898.05
348681-Mercia Caeira-7916.55
622801-Danilo Olaio-11970.68
672621-Armanda Amorim-10445.25
795311-Telma Villalobos-11471.82
370759-Branco Saraba-11511.39
802873-Cleusa Goes-1975.85
15200-Rodolfo Paz-14721.10
637053-Eurico Siqueira-6614.81
420180-Nuno Balsemeo-2558.16
628480-Feledcia Peassego-14628.17
251449-Emedlio Pimentel-6976.82
57869-Jonatas Felgueiras-19913.05
797947-Micaela Chavez-20499.78
930060-Micaela Chavez-1872.89
937102-Antonio Viegas-14276.60
523919-Leonidas Mafra-4259.79
421043-Moaci Mendoa-13909.94
237676-Clara Alcantara-9881.48
860116-Guaraci Damasceno-13375.68
547439-Antonio Castelo-13521.96
556532-Lina Andrade-12949.64
704569-Antonio Viegas-7315.39
953577-Rodolfo Paz-12073.36
727594-Melinda Roserio-10637.83
683360-Andreia Moita-11047.20
294522-Odilia Bello-15632.44
490381-Tibofarcio Camacho-12761.81
312199-Augusta Paio-6719.35
614521-Mercia Caeira-803.12
733068-Joaquim Rufino-14918.59
185131-Silvio Mata-17014.16
319391-Trajano Fagundes-15006.37
275001-Ubaldo Mainha-20865.90
724583-Manuel Capiperibe-2088.34
463447-Quintino Alcantara-13095.18
378704-Moaci Mendoa-973.28
273228-Henrique Bento-10648.19
162219-Antonio Viegas-13891.31
715434-Esperada Cardoso-17317.46
353054-Leonidas Mafra-2009.95
187206-Antonio Viegas-4071.80
502044-Dulce Froes-9005.00
871789-Rodolfo Paz-15247.75
61684-Danilo Olaio-350.15
67198-Sara Lameiras-9134.79
792729-Marilda Leio-12928.58
762195-Clarindo Areosa-15991.31
429345-Emedlia Silvera-10758.09
548207-Mercia Caeira-7110.41
462546-Neuza Francia-18423.94
752504-Adelino Barra-15270.98
974614-Quintiliano Sousa de Arronches-10601.16
349797-Almerinda Palmeira-11729.88
831630-Marilda Leio-9255.66
147709-Clara Alcantara-13816.33
981392-Emiliana Foquio-14984.26
143555-Delfim Higuera-6917.04
640931-Tibofarcio Camacho-2376.50
785718-Tarrataca Soares-8081.98
676085-Taercio Mafra-3361.77
77806-Aludsio Sosa-3134.46
143307-Marilda Leio-2939.37
224684-Antonio Viegas-17782.87
596938-Filomena Barrios-4106.35
984653-Daniel Vieyra-6947.83
851276-Sidfnio Frois-17927.64
91862-Flamednia Leiria-16544.24
979641-Guida Juca-13445.81
676832-Lina Andrade-1048.83
415222-Nuno Balsemeo-18145.59
64216-Emedlio Pimentel-2321.54
327372-Cassandra Varejo-598.13
223087-Heleedsa Marins-505.54
106798-Armanda Amorim-17291.51
556540-Elisa Themes-8356.52
155865-Zulmira Becerra-4310.20
697502-Camila Gabeira-18081.12
943645-Oliveira Carmona-1236.08
356345-Guaraci Damasceno-7482.84
451105-Leonidas Mafra-982.16
239527-Oliveira Senchez-157.97
474115-Honorina Lira-20281.24
645835-Marilda Leio-7528.63
620836-Moaci Mendoa-16579.70
230749-Clara Alcantara-13740.43
623282-Leonidas Mafra-12827.15
296180-Aludsio Sosa-7349.29
909350-Flor Portella-4223.89
620076-Neeamia Arruda-5827.46
214076-Augusta Paio-20241.97
367434-Domingos Pas-7879.52
190662-Neeamia Arruda-14824.27
310713-Ubaldo Mainha-1065.89
501329-Odilia Bello-5862.10
359447-Feledcia Peassego-11844.40
353369-Oliveira Senchez-4485.80
883427-Basilio Pedroso-1713.93
41483-Almerinda Palmeira-20073.02
807180-Elisa Themes-8584.38
373701-Clara Alcantara-11246.52
639916-Estanislau Beserra-3255.36
702746-Clarindo Areosa-8407.27
922267-Filomena Barrios-5825.54
488863-Zulmira Becerra-17490.55
58387-Jussara Varanda-17744.15
671028-Taercio Mafra-14942.84
999003-Micaela Chavez-13396.84
772519-Estanislau Beserra-9712.42
451573-Tarrataca Soares-5125.66
359807-Mercia Caeira-7119.39
497381-Rebeca Neto-16675.79
71120-Angelica Aranha-12477.98
104195-Gaudancio Fiees-14807.21
209738-Mercia Caeira-9717.26
41288-Sara Lameiras-13787.84
313244-Odilia Bello-19284.55
681590-Eurico Siqueira-17559.71
442508-Tibofarcio Camacho-15962.59
505347-Oliveira Senchez-18717.11
522888-Antonio Castelo-10175.87
709207-Melinda Roserio-10580.85
915386-Melinda Roserio-6336.72
364792-Sara Lameiras-12267.76
884490-Micaela Chavez-7965.02
459457-Silvio Mata-20765.44
965492-Emedlia Silvera-19563.73
755964-Estanislau Beserra-8845.71
263356-Marilda Leio-11800.14
496448-Armindo Castalo-5550.35
811475-Celeste Duarte-20155.58
582138-Liana Cardim-2437.84
932003-Clara Alcantara-20076.99
80167-Delfina Garcia de Gondim-17055.80
981602-Cleusa Goes-20674.65
92467-Lina Andrade-5474.41
20205-Trajano Fagundes-10674.06
403140-Neuza Francia-8266.78
272979-Zungela Ipiranga-11649.42
918595-Rodolfo Paz-9059.55
791560-Honorina Lira-5622.82
251681-Delfina Garcia de Gondim-8458.65
312693-Flamednia Leiria-12767.97
45715-Honorina Lira-9553.93
71295-Almerinda Palmeira-13623.75
599171-Manuel Capiperibe-13219.83
186983-Manuel Capiperibe-655.20
147976-Rebeca Neto-16689.23
712796-Andreia Moita-14457.12
774895-Quintino Alcantara-9921.47
905028-Dulce Froes-324.55
593379-Nuno Balsemeo-17317.07
65507-Melinda Roserio-7055.36
753151-Daniel Vieyra-18825.82
537454-Eurico Siqueira-471.69
786556-Clara Alcantara-2907.69
992618-Lurdes Cotrim-3949.56
121133-Tibefarcio Colao-1686.20
928064-Judite Damasceno-4963.33
676769-Armanda Amorim-4106.24
896400-Rodolfo Paz-4665.29
914783-Sidfnio Frois-5321.22
281353-Regina Barcellos-8511.88
960817-Flamednia Leiria-12839.41
549694-Adelino Barra-13884.78
513234-Domingos Pas-10847.81
976608-Ubaldo Mainha-9202.90
960021-Emedlio Pimentel-19624.12
866613-Odilia Camello-7428.56
518419-Leonidas Mafra-5740.49
317683-Odilia Bello-2144.62
55965-Branco Saraba-2263.77
534001-Branco Saraba-14556.58
548134-Celeste Duarte-8841.35
660429-Delfim Higuera-16146.85
942183-Trajano Fagundes-7147.14
992565-Quintino Alcantara-16536.91
998560-Guida Juca-2021.67
624496-Sara Lameiras-1765.50
99522-Tibofarcio Camacho-8750.69
682180-Zungela Ipiranga-11423.86
310204-Telma Villalobos-10109.59
60621-Silvio Mata-650.09
515291-Zungela Ipiranga-11575.57
911012-Leonidas Mafra-18762.18
301591-Honorina Lira-1206.76
473584-Aludsio Sosa-4766.69
452315-Quintino Alcantara-11916.67
842563-Branco Saraba-2868.08
605098-Oliveira Senchez-4059.08
416689-Neeamia Arruda-19595.90
206440-Delfina Garcia de Gondim-11194.16
856430-Trajano Fagundes-5649.93
680716-Estanislau Beserra-11475.09
156467-Mercia Caeira-20034.20
317025-Quintino Alcantara-2262.38
708328-Jussara Varanda-11957.11
790632-Flor Portella-15371.63
556662-Delfina Perdigon-10655.22
356679-Ermelinda Quintela-5236.44
741807-Quintiliano Sousa de Arronches-4855.77
29728-Odilia Camello-11657.83
276409-Tibofarcio Camacho-6431.56
532202-Adelina Quadros-3733.53
345241-Odilia Camello-12405.10
408661-Ermelinda Quintela-5643.43
631939-Esperada Cardoso-12070.51
40346-Jorgina Bogalho-5273.58
116090-Edgar Carvalheiro-8749.15
20-Manuel Capiperibe-2787.88
308009-Sofras Cuaresma-17615.30
205886-Urbano Rodrigues-230.76
36559-Telma Villalobos-3693.52
377003-Andreia Moita-7178.85
226155-Emedlia Silvera-787.46
495029-Filomena Barrios-3281.55
517918-Domingos Pas-15867.87
252056-Honorina Lira-363.44
182462-Silvio Mata-11634.60
118994-Adelina Quadros-9599.76
215808-Oliveira Carmona-19792.84
889593-Polibe Olivares-18860.06
863142-Spnia ou Sonia Guerreiro-17995.59
992884-Adelina Quadros-1374.52
475889-Angelica Aranha-1946.79
468624-Oliveira Carmona-18271.74
320819-Elisa Themes-9662.08
740801-Esperada Cardoso-9549.76
519204-Silvio Mata-11831.59
212690-Judite Damasceno-5687.94
694291-Sara Lameiras-17830.10
222165-Henrique Bento-10164.16
826041-Delfina Perdigon-15822.79
298680-Antonio Viegas-19762.72
139580-Guaraci Damasceno-4242.64
243038-Micaela Chavez-3142.49
501364-Almerinda Palmeira-630.86
546497-Zungela Ipiranga-8778.27
451488-Angelica Aranha-11383.46
816074-Liana Cardim-17195.59
156629-Odilia Camello-7527.70
813864-Elisa Themes-21469.92
477315-Romo Paranage-16303.34
216244-Neuza Francia-17196.33
924006-Urbano Rodrigues-9852.89
794054-Guida Juca-16535.32
354119-Odete Vasques-19050.33
638473-Ubaldo Mainha-11790.96
899172-Polibe Olivares-16595.47
835030-Urbano Rodrigues-2148.80
48690-Antonio Viegas-21000.37
305015-Telma Villalobos-7043.67
977248-Manuel Capiperibe-613.61
444883-Marilda Leio-19705.77
700803-Guaraci Damasceno-1270.17
220899-Nuno Balsemeo-11678.11
990147-Leonidas Mafra-4776.82
362070-Flamednia Leiria-11703.20
44766-Neuza Francia-20532.19
106494-Mercia Caeira-145.71
727242-Guida Juca-20656.19
117653-Trajano Fagundes-13994.41
16243-Andreia Moita-11799.34
765405-Armindo Castalo-8418.96
663820-Delfim Higuera-2141.13
851068-Guida Juca-18683.34
602890-Tabalipa Duarte-18238.40
387948-Jorgina Bogalho-1437.19
269091-Tibofarcio Camacho-20007.63
214159-Lina Andrade-20908.70
555579-Camila Gabeira-21335.97
933627-Urbano Rodrigues-7342.31
194872-Oliveira Senchez-397.64
816629-Emedlio Pimentel-16805.29
15142-Jorgina Bogalho-9337.09
747121-Clara Alcantara-9320.77
806621-Telma Villalobos-11816.79
31409-Delfina Garcia de Gondim-14400.67
92663-Sofras Cuaresma-7388.53
889554-Emedlio Pimentel-7375.83
257114-Delfina Perdigon-16511.39
760385-Polibe Olivares-12845.89
220733-Branco Saraba-3423.00
615408-Basilio Pedroso-10331.17
905645-Emedlio Pimentel-10326.48
824950-Delfim Higuera-4679.12
594224-Letedcia Gago-5067.18
203614-Tabalipa Duarte-16267.50
531543-Antonio Viegas-7033.59
655480-Ubaldo Mainha-19372.48
649216-Lina Andrade-10480.22
272697-Honorina Lira-1012.99
610873-Mercia Caeira-4965.19
229043-Marilda Leio-12661.35
376259-Almerinda Palmeira-11045.57
749047-Artur Grillo-2258.98
714827-Zungela Ipiranga-4984.92
360136-Filomena Barrios-15986.96
72924-Joaquim Rufino-15227.44
154986-Branco Saraba-1239.16
820482-Urbano Rodrigues-16405.65
141342-Armanda Amorim-17638.38
567545-Lurdes Cotrim-12279.65
293964-Odete Vasques-727.10
137228-Quintino Alcantara-21260.86
145182-Emedlio Pimentel-18793.52
64948-Camila Gabeira-2645.83
703147-Moaci Mendoa-6109.43
607542-Leonidas Mafra-635.32
870794-Rodolfo Paz-15086.87
415163-Odilia Camello-13890.24
465059-Manuel Capiperibe-13556.82
329923-Polibe Olivares-5457.66
714137-Emiliana Foquio-14490.60
749460-Almor Caiado-8037.13
341539-Carminda Morais-17898.59
831675-Mercia Caeira-5804.40
814093-Zungela Ipiranga-19771.43
8759-Angilica Galante-11642.67
463569-Judite Damasceno-9926.54
834003-Sara Lameiras-12520.69
285628-Leonidas Mafra-8430.51
574790-Rebeca Neto-20143.80
345066-Basilio Pedroso-9676.11
341852-Rodolfo Paz-11163.60
425055-Regina Barcellos-14177.02
376427-Delfim Higuera-20975.34
910794-Odilia Camello-15068.64
388293-Artur Grillo-12443.89
914552-Heleedsa Marins-6853.69
128207-Zungela Ipiranga-21012.03
366090-Anfnia Seixas-6900.05
318601-Ubaldo Mainha-3630.96
520580-Neeamia Arruda-2009.58
