145489-Clarindo Areosa-9985.97
569816-Fulvio Villegas-19947.67
548334-Guaraci Damasceno-11922.76
240993-Augusta Paio-6329.85
896152-Augusta Paio-18972.34
116354-Sara Lameiras-7042.13
823298-Letedcia Gago-10143.25
482131-Lurdes Cotrim-17972.51
915895-Tibofarcio Camacho-12248.63
824859-Branco Saraba-7473.28
16522-Domingos Pas-6431.59
840146-Tibofarcio Camacho-16897.29
80843-Quintiliano Sousa de Arronches-2767.94
137590-Henrique Bento-9270.35
13405-Elisa Themes-8644.47
199372-Antonio Viegas-17965.63
321408-Moaci Mendoa-17819.03
10417-Micaela Chavez-5999.02
879630-Urbano Rodrigues-3783.34
806073-Adelina Quadros-3851.59
461191-Telma Villalobos-936.92
751173-Urbano Rodrigues-8295.32
807764-Emedlio Pimentel-8836.13
173294-Neeamia Arruda-16017.50
7144-Angelica Aranha-14922.80
108129-Heleedsa Marins-12059.96
905839-Flamednia Leiria-6088.33
544405-Neuza Francia-18568.44
950070-Tibefarcio Colao-3022.40
734918-Cleusa Goes-8430.46
847471-Domingos Pas-20395.07
119161-Sara Lameiras-5057.75
636158-Dulce Froes-3840.99
946794-Branco Saraba-7192.72
808416-Armindo Castalo-21442.79
117174-Emiliana Foquio-1139.04
505776-Manuel Capiperibe-17748.09
313871-Lina Andrade-16988.70
23591-Tabalipa Duarte-16833.37
67183-Tarrataca Soares-8055.88
269508-Emiliana Foquio-19604.36
163438-Aludsio Sosa-14960.71
105473-Esperada Cardoso-11022.24
660104-Mercia Caeira-10556.87
481274-Tibofarcio Camacho-1360.11
98739-Fulvio Villegas-13551.29
711873-Tarrataca Soares-671.51
158436-Tibofarcio Camacho-2014.65
965196-Marilda Leio-2104.88
528136-Letedcia Gago-4725.55
136977-Clarindo Areosa-13728.25
252911-Henrique Bento-8575.05
659815-Estanislau Beserra-19036.10
681806-Clara Alcantara-10997.87
459473-Danilo Olaio-477.84
549016-Joaquim Rufino-2398.83
25861-Angelica Aranha-7345.95
344903-Dulce Froes-21407.53
534194-Guaraci Damasceno-20202.35
576509-Zulmira Becerra-6752.79
206766-Angelica Aranha-10964.16
788789-Jonatas Felgueiras-10281.85
958091-Rebeca Neto-9763.62
867182-Angilica Galante-13250.43
462857-Lurdes Cotrim-6460.19
69883-Jussara Varanda-10835.68
321787-Oliveira Carmona-6041.11
207993-Delfina Perdigon-9824.55
75076-Regina Barcellos-17699.90
430275-Odete Vasques-3550.82
340773-Spnia ou Sonia Guerreiro-18382.89
592431-Carminda Morais-17375.94
348687-Mercia Caeira-15490.69
231367-Odilia Bello-2274.52
900574-Honorina Lira-9759.15
870288-Zulmira Becerra-17829.85
722895-Angelica Aranha-18563.07
170269-Camila Gabeira-12630.31
887198-Oliveira Senchez-2046.23
355230-Filomena Barrios-10390.53
102501-Delfim Higuera-20913.94
782340-Jorgina Bogalho-4395.02
647660-Clarindo Areosa-12358.51
390979-Polibe Olivares-20890.82
177751-Sofras Cuaresma-19515.00
500154-Domingos Pas-8708.86
390852-Lurdes Cotrim-12346.09
392059-Esperada Cardoso-16297.79
365029-Telma Villalobos-20496.66
843956-Camila Gabeira-2195.38
405350-Odete Vasques-11096.41
255977-Jussara Varanda-15214.23
733683-Rebeca Neto-3355.87
280206-Nuno Balsemeo-6759.78
279082-Tabalipa Duarte-17201.56
709520-Trajano Fagundes-19666.56
641402-Gaudancio Fiees-3515.63
880163-Mercia Caeira-17739.55
666501-Emedlia Silvera-7738.36
591844-Emedlio Pimentel-12686.80
53762-Spnia ou Sonia Guerreiro-14660.86
942085-Domingos Pas-10568.58
332892-Elisa Themes-17785.92
574872-Augusta Paio-8853.88
932094-Adelina Quadros-7521.84
788782-Eurico Siqueira-2074.10
47928-Elisa Themes-10340.51
916074-Emedlio Pimentel-7934.48
79841-Neeamia Arruda-7486.30
426428-Antonio Viegas-11042.22
311065-Adelino Barra-7517.92
352604-Nuno Balsemeo-17827.34
817034-Oliveira Carmona-3415.84
384719-Sofras Cuaresma-19591.59
413934-Romo Paranage-1346.07
631486-Zungela Ipiranga-11143.96
504827-Camila Gabeira-14744.44
457512-Aludsio Sosa-3018.76
881600-Tibefarcio Colao-13739.56
625769-Polibe Olivares-2978.99
83031-Clara Alcantara-15882.10
626033-Andreia Moita-20595.62
543455-Rodolfo Paz-10858.96
52630-Regina Barcellos-11502.81
466467-Oliveira Carmona-7812.11
64049-Honorina Lira-16988.42
587600-Angilica Galante-15748.63
645818-Esperada Cardoso-7608.37
184274-Manuel Capiperibe-10307.19
836767-Artur Grillo-10108.61
227843-Sidfnio Frois-19699.44
411266-Letedcia Gago-10790.86
361823-Micaela Chavez-15426.30
379704-Flamednia Leiria-8441.99
72485-Jonatas Felgueiras-20166.65
888611-Angilica Galante-15172.46
100514-Ermelinda Quintela-17008.33
756122-Rebeca Neto-14539.96
804212-Celeste Duarte-15701.80
808274-Ermelinda Quintela-6505.33
227440-Sofras Cuaresma-19467.61
856424-Micaela Chavez-19156.88
564182-Jorgina Bogalho-1925.67
684099-Odete Vasques-14139.46
84542-Anind Zarco-10965.35
695798-Gaudancio Fiees-15224.24
182057-Sidfnio Frois-16585.24
531794-Tibefarcio Colao-8317.97
718873-Clarindo Areosa-14916.01
141247-Cleusa Goes-7169.26
941036-Branco Saraba-9531.53
684921-Regina Barcellos-16410.09
31639-Mercia Caeira-5450.90
8292-Antonio Viegas-8987.74
700216-Telma Villalobos-17048.59
573876-Delfina Perdigon-15970.71
209675-Emedlia Silvera-1267.69
678859-Augusta Paio-10163.01
659952-Jussara Varanda-7315.36
337227-Odilia Camello-3031.94
547451-Regina Barcellos-7421.35
34821-Marilda Leio-18708.20
726953-Delfina Garcia de Gondim-4733.68
985672-Tibefarcio Colao-2398.92
707034-Henrique Bento-20145.93
963524-Liana Cardim-13716.83
