848-Dulce Froes-13384.93
775610-Emedlia Silvera-15756.58
936539-Lurdes Cotrim-18419.59
289905-Marilda Leio-309.93
329544-Sara Lameiras-2530.59
206304-Jorgina Bogalho-18701.89
652941-Angilica Galante-6947.06
587270-Filomena Barrios-16984.91
653666-Esperada Cardoso-10709.16
134053-Quintino Alcantara-9797.28
390613-Celeste Duarte-7868.47
865404-Angilica Galante-3581.39
42340-Regina Barcellos-15080.76
901653-Feledcia Peassego-6948.82
55516-Andreia Moita-17472.12
76299-Leonidas Mafra-7849.34
822104-Danilo Olaio-4871.03
361263-Polibe Olivares-2682.07
614206-Guida Juca-16178.61
79696-Anfnia Seixas-255.11
559075-Joaquim Rufino-13989.02
641296-Andreia Moita-16377.67
897455-Henrique Bento-11883.26
628488-Adelino Barra-14282.27
352181-Guida Juca-20412.83
135238-Zungela Ipiranga-20398.76
624149-Flamednia Leiria-18462.14
818575-Antonio Viegas-9480.92
20403-Taercio Mafra-7002.22
138152-Edgar Carvalheiro-13393.02
500613-Emedlia Silvera-3483.77
710265-Flamednia Leiria-20140.19
575422-Telma Villalobos-14694.33
516273-Flamednia Leiria-5565.77
339074-Antonio Castelo-14539.30
406074-Dulce Froes-1195.81
890873-Angelica Aranha-5712.05
995468-Fulvio Villegas-13560.24
307130-Filomena Barrios-20250.44
995877-Tabalipa Duarte-15016.99
195761-Anind Zarco-7657.16
297397-Quintiliano Sousa de Arronches-6039.42
682540-Judite Damasceno-13745.18
909882-Camila Gabeira-2905.50
364725-Basilio Pedroso-1944.06
135289-Joaquim Rufino-6858.12
781520-Ermelinda Quintela-4022.19
158226-Heleedsa Marins-19782.14
143024-Melinda Roserio-13870.38
350118-Edgar Carvalheiro-2465.50
859206-Basilio Pedroso-7297.46
262067-Moaci Mendoa-20880.44
199996-Telma Villalobos-16642.42
570450-Spnia ou Sonia Guerreiro-6466.69
518269-Antonio Viegas-4635.50
428337-Angilica Galante-10086.85
403189-Delfina Perdigon-269.83
99678-Odete Vasques-15121.41
820027-Urbano Rodrigues-21172.84
100991-Zulmira Becerra-3951.51
597075-Manuel Capiperibe-19800.10
808892-Oliveira Carmona-7777.88
479410-Rebeca Neto-9499.88
667700-Moaci Mendoa-18185.59
406387-Romo Paranage-17925.93
550897-Emedlio Pimentel-1785.38
23656-Lurdes Cotrim-13909.41
715537-Micaela Chavez-17060.41
138360-Trajano Fagundes-3323.77
599257-Eurico Siqueira-14424.78
126807-Fulvio Villegas-955.92
400421-Branco Saraba-13524.00
717496-Ermelinda Quintela-15218.80
309627-Anind Zarco-19785.48
570345-Guida Juca-8654.70
380727-Quintiliano Sousa de Arronches-5245.38
392415-Guaraci Damasceno-16415.61
870577-Ubaldo Mainha-3237.93
522494-Nuno Balsemeo-6969.32
458488-Tarrataca Soares-20005.31
61380-Sara Lameiras-1861.74
674025-Neeamia Arruda-2785.74
591194-Branco Saraba-708.08
496531-Micaela Chavez-12271.18
476840-Adelina Quadros-992.04
566740-Emedlio Pimentel-14455.85
194570-Polibe Olivares-19799.78
279869-Letedcia Gago-17293.65
405965-Gaudancio Fiees-584.03
425587-Fulvio Villegas-12318.62
923376-Honorina Lira-13499.23
12759-Quintino Alcantara-2451.14
18980-Judite Damasceno-8427.05
421449-Anind Zarco-19452.01
371514-Anind Zarco-10761.95
308266-Emedlia Silvera-282.78
298954-Delfina Perdigon-11274.72
850882-Jorgina Bogalho-14697.52
195939-Odete Vasques-6136.74
472486-Delfina Perdigon-10391.00
312483-Augusta Paio-20410.23
810034-Domingos Pas-15675.53
398264-Spnia ou Sonia Guerreiro-9710.88
278318-Delfim Higuera-17735.09
308879-Anind Zarco-16583.97
27587-Rodolfo Paz-14912.22
847874-Polibe Olivares-17965.21
162155-Eurico Siqueira-20683.72
841008-Nuno Balsemeo-4830.84
439631-Spnia ou Sonia Guerreiro-20325.56
900160-Edgar Carvalheiro-1273.85
800327-Tarrataca Soares-13961.95
814157-Delfim Higuera-18225.94
532844-Moaci Mendoa-14773.88
485624-Odete Vasques-15876.97
632984-Ubaldo Mainha-1052.41
541665-Oliveira Carmona-6230.89
955293-Emedlia Silvera-8262.51
121033-Emedlia Silvera-2966.08
961203-Oliveira Carmona-12400.48
417742-Ubaldo Mainha-5934.65
414027-Honorina Lira-18542.65
962816-Clarindo Areosa-9725.95
115795-Micaela Chavez-9386.45
294413-Spnia ou Sonia Guerreiro-15501.30
870185-Ubaldo Mainha-17357.63
700432-Quintino Alcantara-15238.21
51406-Basilio Pedroso-20417.77
290341-Moaci Mendoa-4644.14
613177-Urbano Rodrigues-17003.75
8751-Estanislau Beserra-3463.09
789546-Lurdes Cotrim-5907.23
281949-Tibefarcio Colao-18536.86
884224-Neuza Francia-8113.18
874690-Cassandra Varejo-13846.13
594929-Jonatas Felgueiras-9369.99
39824-Letedcia Gago-9597.00
573602-Almor Caiado-11017.51
874770-Emedlia Silvera-12840.41
784337-Camila Gabeira-19896.54
258285-Guaraci Damasceno-9561.80
196776-Joaquim Rufino-4584.85
400137-Daniel Vieyra-18927.68
231582-Trajano Fagundes-6391.68
191250-Delfim Higuera-3225.59
313823-Gaudancio Fiees-3831.54
199579-Henrique Bento-9261.94
422889-Anind Zarco-4272.84
939044-Liana Cardim-18601.58
869079-Tabalipa Duarte-12264.59
174197-Mercia Caeira-19137.18
304845-Fulvio Villegas-2204.31
675049-Daniel Vieyra-1483.47
731274-Delfina Perdigon-5225.79
105667-Delfim Higuera-1342.86
125347-Almerinda Palmeira-5336.00
627793-Adelino Barra-13088.00
346143-Jussara Varanda-18362.23
331803-Edgar Carvalheiro-20101.62
358763-Ximena Castilho-1475.47
556551-Guida Juca-962.38
450270-Polibe Olivares-550.59
313116-Trajano Fagundes-6147.34
976093-Tibefarcio Colao-14814.65
807074-Trajano Fagundes-13190.87
197101-Camila Gabeira-15122.12
741103-Oliveira Carmona-8503.57
995256-Carminda Morais-2932.19
533164-Anind Zarco-9425.51
745948-Quintiliano Sousa de Arronches-19349.10
417945-Urbano Rodrigues-9649.83
323794-Antonio Castelo-11364.33
660270-Polibe Olivares-7602.62
860215-Moaci Mendoa-17292.38
122507-Polibe Olivares-3875.62
187452-Rodolfo Paz-13527.59
852522-Sidfnio Frois-7130.16
833648-Domingos Pas-15420.12
37367-Rebeca Neto-21195.45
919076-Flor Portella-108.07
864205-Antonio Castelo-7372.25
530601-Ximena Castilho-19175.49
772165-Honorina Lira-16247.25
231241-Henrique Bento-71.02
188159-Clarindo Areosa-18822.25
232236-Heleedsa Marins-9419.28
5169-Quintino Alcantara-20147.81
134753-Basilio Pedroso-21146.14
483483-Branco Saraba-9301.68
899515-Mercia Caeira-4716.04
741611-Manuel Capiperibe-8864.68
566322-Almor Caiado-1235.15
823920-Moaci Mendoa-3852.87
860223-Flor Portella-1390.35
651326-Rodolfo Paz-8662.23
4301-Nuno Balsemeo-17384.55
632603-Emiliana Foquio-21204.60
760981-Guaraci Damasceno-7151.11
933749-Rebeca Neto-21105.95
167719-Spnia ou Sonia Guerreiro-8070.11
692486-Adelina Quadros-8867.52
958700-Mercia Caeira-11673.19
290155-Honorina Lira-6376.59
863473-Polibe Olivares-580.35
538869-Lurdes Cotrim-11576.87
438850-Elisa Themes-292.07
783572-Oliveira Senchez-1728.40
425559-Odete Vasques-1541.17
198458-Almerinda Palmeira-15150.51
139637-Adelina Quadros-20802.19
200876-Letedcia Gago-18604.28
213676-Tabalipa Duarte-15929.03
257696-Eurico Siqueira-10477.09
105099-Mercia Caeira-18495.73
470776-Cassandra Varejo-18581.12
575589-Danilo Olaio-8080.67
135422-Tabalipa Duarte-17888.50
671798-Dulce Froes-3727.92
835821-Clarindo Areosa-8219.91
110975-Spnia ou Sonia Guerreiro-19191.30
396775-Tabalipa Duarte-19883.31
951184-Filomena Barrios-19160.61
824172-Henrique Bento-18258.35
356012-Sidfnio Frois-21029.40
923279-Silvio Mata-7389.27
693651-Estanislau Beserra-7475.03
671430-Basilio Pedroso-17196.38
489218-Joaquim Rufino-14808.27
940701-Zulmira Becerra-7461.79
926924-Rodolfo Paz-16262.90
164663-Eurico Siqueira-6332.03
346404-Delfim Higuera-8011.54
430846-Antonio Castelo-11499.78
740848-Gaudancio Fiees-1698.51
139884-Anfnia Seixas-662.90
650471-Anfnia Seixas-19969.84
744162-Sara Lameiras-16961.72
204530-Anind Zarco-14841.77
457134-Jorgina Bogalho-15151.18
216784-Danilo Olaio-11565.61
106765-Odilia Camello-3412.42
844305-Andreia Moita-9295.89
159432-Lurdes Cotrim-2195.36
826195-Delfina Perdigon-14062.77
949693-Delfina Perdigon-20444.17
702-Elisa Themes-18445.83
71163-Camila Gabeira-16148.44
780147-Clara Alcantara-9965.65
832155-Quintino Alcantara-3625.38
579360-Antonio Castelo-5347.55
616386-Anind Zarco-12848.62
372712-Anind Zarco-3062.23
766817-Angilica Galante-16623.82
171930-Angelica Aranha-7367.25
911359-Tarrataca Soares-17796.74
457441-Urbano Rodrigues-12351.91
987474-Basilio Pedroso-19982.62
205592-Mercia Caeira-14935.59
117366-Almor Caiado-12019.07
663497-Cleusa Goes-18694.87
770908-Lurdes Cotrim-8276.20
636968-Aludsio Sosa-8569.92
575377-Dulce Froes-6112.75
566036-Jorgina Bogalho-12404.47
349794-Celeste Duarte-7668.75
550183-Flor Portella-14043.33
366731-Domingos Pas-8548.36
27248-Marilda Leio-8145.58
252615-Jussara Varanda-6201.92
532670-Angilica Galante-17868.55
567846-Gaudancio Fiees-11761.43
464908-Heleedsa Marins-12767.80
100864-Neeamia Arruda-8708.71
635147-Carminda Morais-1779.54
377600-Elisa Themes-6043.04
826974-Emedlia Silvera-20468.54
467618-Basilio Pedroso-20552.21
887048-Tarrataca Soares-967.64
381763-Edgar Carvalheiro-14630.17
300270-Celeste Duarte-740.66
705577-Clara Alcantara-7596.34
246776-Estanislau Beserra-5096.15
780225-Esperada Cardoso-17777.16
589095-Odilia Bello-19313.51
361666-Adelino Barra-17072.45
9299-Micaela Chavez-7375.88
505787-Lina Andrade-2575.72
354955-Aludsio Sosa-1179.76
246044-Artur Grillo-18123.57
845476-Ubaldo Mainha-1001.74
816749-Clarindo Areosa-11458.80
447123-Manuel Capiperibe-14821.26
857215-Artur Grillo-19659.07
138753-Melinda Roserio-10610.12
374125-Mercia Caeira-78.90
429478-Flor Portella-17208.99
854995-Tibofarcio Camacho-11619.21
501056-Telma Villalobos-13332.76
427612-Adelina Quadros-9020.39
887278-Edgar Carvalheiro-4884.01
896374-Taercio Mafra-18792.17
55449-Dulce Froes-19556.64
829411-Taercio Mafra-19945.22
835477-Joaquim Rufino-7191.77
192442-Delfina Perdigon-4550.67
826961-Letedcia Gago-18064.97
49658-Odilia Bello-3778.68
844501-Taercio Mafra-3718.85
614892-Lina Andrade-18853.13
258944-Angelica Aranha-20862.00
76929-Almerinda Palmeira-10486.13
774423-Nuno Balsemeo-16796.69
114554-Aludsio Sosa-1940.14
877549-Flor Portella-5168.50
168853-Anfnia Seixas-2845.59
350134-Aludsio Sosa-12043.86
430691-Ubaldo Mainha-18664.35
949015-Taercio Mafra-3807.96
743709-Letedcia Gago-11604.11
93521-Zungela Ipiranga-17226.70
360280-Artur Grillo-202.63
844382-Dulce Froes-14940.38
509304-Liana Cardim-11836.68
212261-Basilio Pedroso-10550.62
92005-Basilio Pedroso-217.48
39014-Quintiliano Sousa de Arronches-2390.98
515470-Guida Juca-12805.29
343666-Cassandra Varejo-129.94
573712-Ermelinda Quintela-20647.38
116870-Zulmira Becerra-18953.47
893121-Tabalipa Duarte-21407.08
282487-Adelino Barra-3850.68
340418-Odilia Bello-7315.78
929029-Trajano Fagundes-8797.90
367446-Carminda Morais-15488.82
880814-Dulce Froes-10464.37
263391-Sara Lameiras-11789.53
113891-Almor Caiado-1768.13
760463-Sidfnio Frois-5593.87
818000-Esperada Cardoso-20645.04
61798-Odilia Camello-3359.13
85138-Telma Villalobos-7171.95
146091-Marilda Leio-5930.52
875564-Gaudancio Fiees-1574.98
183809-Sofras Cuaresma-20748.65
239680-Estanislau Beserra-1872.62
393311-Augusta Paio-21415.26
591747-Letedcia Gago-12141.56
267650-Antonio Castelo-20809.16
713786-Tabalipa Duarte-16072.51
507324-Sofras Cuaresma-15158.29
41249-Nuno Balsemeo-18269.14
127239-Quintino Alcantara-18870.60
307303-Augusta Paio-7324.52
793701-Henrique Bento-15656.36
162086-Zungela Ipiranga-1133.92
484177-Tibofarcio Camacho-9097.85
759092-Oliveira Carmona-9403.77
846849-Odilia Bello-2181.61
837513-Clarindo Areosa-8078.75
331601-Daniel Vieyra-3098.98
254938-Micaela Chavez-8649.40
373661-Urbano Rodrigues-7105.83
544539-Tibefarcio Colao-5784.07
212954-Guida Juca-13482.00
779056-Sofras Cuaresma-2738.79
90955-Elisa Themes-5493.63
444746-Regina Barcellos-12061.22
470672-Quintiliano Sousa de Arronches-2734.85
929196-Lina Andrade-4583.23
154672-Carminda Morais-16776.54
208897-Regina Barcellos-21199.09
693362-Rodolfo Paz-3547.99
754158-Emedlio Pimentel-12703.44
783202-Fulvio Villegas-7290.73
447951-Eurico Siqueira-8058.52
504436-Armanda Amorim-16879.43
862321-Delfina Perdigon-12219.04
597001-Urbano Rodrigues-6218.91
492478-Oliveira Senchez-19688.21
778890-Anind Zarco-4274.92
447209-Rebeca Neto-18087.01
571390-Antonio Castelo-14969.10
795023-Emiliana Foquio-13791.81
425411-Antonio Castelo-404.80
256256-Flor Portella-11939.28
965996-Sidfnio Frois-6579.49
555161-Clara Alcantara-14898.11
266490-Edgar Carvalheiro-3349.25
979538-Telma Villalobos-17064.17
499114-Celeste Duarte-21171.96
705874-Adelina Quadros-18771.60
822053-Taercio Mafra-18512.47
254016-Gaudancio Fiees-6025.59
29950-Joaquim Rufino-8569.84
879161-Manuel Capiperibe-18152.40
97057-Angilica Galante-16037.23
774593-Danilo Olaio-7717.94
356515-Fulvio Villegas-5255.77
346199-Ubaldo Mainha-11385.57
156489-Emiliana Foquio-9215.72
974762-Emedlia Silvera-15522.78
493563-Quintino Alcantara-8556.16
438957-Flor Portella-13338.71
81455-Clara Alcantara-21099.00
204259-Anind Zarco-17652.96
255321-Filomena Barrios-11059.09
771781-Esperada Cardoso-18196.84
99607-Polibe Olivares-8335.57
868504-Aludsio Sosa-9169.03
54599-Guaraci Damasceno-18910.59
953134-Augusta Paio-20360.34
44021-Ermelinda Quintela-10130.44
382300-Danilo Olaio-3189.99
279344-Moaci Mendoa-13330.81
676918-Camila Gabeira-19482.85
314926-Delfina Garcia de Gondim-12110.57
708421-Romo Paranage-19268.29
379859-Aludsio Sosa-12904.45
144787-Odilia Bello-17843.13
982743-Romo Paranage-8198.84
876490-Jussara Varanda-5143.54
80958-Telma Villalobos-5973.98
901847-Spnia ou Sonia Guerreiro-7727.80
109525-Silvio Mata-16430.59
217591-Ximena Castilho-19177.36
654262-Romo Paranage-12645.67
242-Guaraci Damasceno-12872.76
30124-Cassandra Varejo-6101.72
649480-Heleedsa Marins-19063.17
655453-Quintiliano Sousa de Arronches-20193.00
753587-Flor Portella-18706.92
885942-Regina Barcellos-8652.90
578785-Basilio Pedroso-20061.91
271072-Guida Juca-1848.17
560610-Zungela Ipiranga-18060.35
135308-Quintiliano Sousa de Arronches-452.06
283190-Delfim Higuera-3032.06
776037-Ermelinda Quintela-1047.52
229809-Sofras Cuaresma-2834.02
513010-Quintiliano Sousa de Arronches-17560.57
163888-Armanda Amorim-21188.11
200984-Aludsio Sosa-12602.13
119264-Urbano Rodrigues-1933.08
333732-Armindo Castalo-13845.79
607380-Odilia Camello-18721.40
649832-Urbano Rodrigues-14567.92
259661-Lina Andrade-13495.91
145288-Jorgina Bogalho-13298.83
719277-Oliveira Senchez-5406.30
126415-Heleedsa Marins-7661.43
833092-Marilda Leio-6788.23
264856-Odilia Bello-7930.24
986313-Micaela Chavez-17061.43
415661-Sara Lameiras-20434.77
662426-Antonio Castelo-13006.01
460551-Guaraci Damasceno-13952.51
947947-Quintiliano Sousa de Arronches-14445.10
157560-Urbano Rodrigues-5881.72
635865-Daniel Vieyra-15838.91
999640-Micaela Chavez-20430.17
937042-Urbano Rodrigues-18373.67
201657-Lina Andrade-6901.48
679429-Estanislau Beserra-16141.35
981847-Honorina Lira-1730.66
863630-Flamednia Leiria-8467.29
401741-Carminda Morais-11461.89
247840-Jonatas Felgueiras-11166.54
201469-Rodolfo Paz-10613.28
38665-Emedlio Pimentel-10849.64
505591-Angelica Aranha-14709.63
631608-Neeamia Arruda-18279.00
580604-Tibefarcio Colao-21271.02
553564-Polibe Olivares-14812.98
186104-Daniel Vieyra-837.96
811955-Guida Juca-14666.59
554850-Clara Alcantara-10595.78
64621-Guida Juca-3193.42
84577-Emiliana Foquio-5955.43
276358-Esperada Cardoso-10705.82
875595-Romo Paranage-1376.04
8701-Neuza Francia-7102.35
25122-Antonio Castelo-13198.16
189714-Sidfnio Frois-6118.86
5142-Jonatas Felgueiras-2925.88
887067-Antonio Viegas-2579.17
14267-Andreia Moita-18084.71
330942-Flor Portella-20445.36
301390-Adelina Quadros-2631.37
115877-Clara Alcantara-13474.13
893915-Silvio Mata-4388.05
667849-Antonio Castelo-17278.14
342017-Tabalipa Duarte-6093.56
634428-Elisa Themes-20685.45
224513-Sara Lameiras-12770.67
126821-Estanislau Beserra-5554.70
204984-Zulmira Becerra-7504.85
344389-Quintiliano Sousa de Arronches-8608.16
341934-Emiliana Foquio-20031.17
399086-Heleedsa Marins-9437.49
38160-Marilda Leio-9151.59
281099-Danilo Olaio-12408.27
759510-Basilio Pedroso-16011.69
570350-Celeste Duarte-19758.04
267183-Neuza Francia-16985.45
552466-Silvio Mata-8531.88
754506-Cassandra Varejo-9063.93
460856-Urbano Rodrigues-7702.53
703433-Augusta Paio-7641.12
83167-Manuel Capiperibe-14835.11
392768-Daniel Vieyra-18515.49
507831-Tabalipa Duarte-20058.30
953410-Branco Saraba-5091.06
754626-Danilo Olaio-8286.76
133899-Adelina Quadros-14289.43
63667-Guaraci Damasceno-4550.12
980054-Delfim Higuera-3122.83
897326-Guida Juca-6617.44
630075-Angilica Galante-14004.47
479690-Adelina Quadros-6440.47
594752-Angelica Aranha-18874.40
385529-Antonio Castelo-12744.64
3518-Danilo Olaio-5329.34
307087-Flamednia Leiria-2722.05
930665-Tibefarcio Colao-4133.39
615117-Antonio Castelo-859.19
487264-Emedlio Pimentel-19928.99
752091-Branco Saraba-4423.12
786691-Sara Lameiras-5899.42
932998-Branco Saraba-1439.38
106451-Odilia Bello-480.49
345209-Antonio Viegas-12174.35
414021-Leonidas Mafra-5979.55
105099-Sidfnio Frois-19382.62
472443-Antonio Viegas-7717.09
299587-Jonatas Felgueiras-9443.24
138998-Angilica Galante-11618.11
777886-Sofras Cuaresma-1830.80
644403-Telma Villalobos-9258.67
991038-Sofras Cuaresma-20067.99
868256-Sofras Cuaresma-6144.22
217880-Artur Grillo-7477.68
31390-Armindo Castalo-1176.98
778548-Honorina Lira-13808.03
730332-Angelica Aranha-10707.92
536995-Danilo Olaio-6166.08
745851-Manuel Capiperibe-4732.63
886010-Telma Villalobos-9530.41
338448-Antonio Viegas-5702.02
733238-Regina Barcellos-7251.93
66424-Adelino Barra-20620.61
449109-Sara Lameiras-257.95
783175-Spnia ou Sonia Guerreiro-1858.27
72140-Telma Villalobos-9276.05
139443-Eurico Siqueira-3758.52
915749-Quintiliano Sousa de Arronches-10913.89
532527-Basilio Pedroso-10126.51
960689-Tarrataca Soares-21325.37
468680-Branco Saraba-5983.92
359542-Emedlia Silvera-12951.25
49922-Antonio Viegas-717.08
678975-Melinda Roserio-12711.57
591910-Anfnia Seixas-18159.40
686397-Adelino Barra-1565.29
100239-Quintino Alcantara-3786.68
822231-Almerinda Palmeira-11065.84
635608-Quintiliano Sousa de Arronches-11371.16
228424-Augusta Paio-16320.77
378565-Adelina Quadros-6270.62
214082-Polibe Olivares-11954.22
275070-Polibe Olivares-10489.88
397080-Ermelinda Quintela-8021.83
314344-Odilia Camello-12027.75
58253-Heleedsa Marins-2209.78
407355-Neuza Francia-13850.78
124685-Emedlio Pimentel-14709.00
230888-Sara Lameiras-10950.52
504517-Cassandra Varejo-7307.97
831584-Emedlio Pimentel-13311.76
550537-Ubaldo Mainha-13189.06
394613-Rebeca Neto-14191.81
462942-Estanislau Beserra-15465.78
688279-Lurdes Cotrim-17268.93
370153-Regina Barcellos-21459.51
580702-Tibofarcio Camacho-15838.75
459371-Romo Paranage-4165.16
438259-Sofras Cuaresma-18827.46
49895-Armanda Amorim-5527.67
738615-Letedcia Gago-7065.99
489451-Sofras Cuaresma-7951.50
178298-Emiliana Foquio-21135.44
855078-Melinda Roserio-4385.23
231469-Esperada Cardoso-13362.12
899382-Micaela Chavez-1800.98
28862-Guida Juca-14216.79
752854-Cassandra Varejo-11446.55
893588-Delfina Garcia de Gondim-4556.09
86673-Letedcia Gago-4916.59
593237-Carminda Morais-7373.98
275495-Camila Gabeira-18198.87
380232-Sara Lameiras-6395.82
182518-Feledcia Peassego-3929.53
563082-Delfim Higuera-18821.85
352620-Camila Gabeira-20150.84
609386-Melinda Roserio-10126.29
257086-Regina Barcellos-2598.99
420406-Lina Andrade-12277.92
846586-Sara Lameiras-7163.95
40143-Celeste Duarte-16039.88
832663-Marilda Leio-9267.80
291033-Almor Caiado-36.77
809868-Daniel Vieyra-2538.59
852110-Melinda Roserio-10764.22
622389-Ermelinda Quintela-20507.75
974508-Cleusa Goes-10279.01
38224-Moaci Mendoa-17391.58
756556-Guaraci Damasceno-3060.95
84117-Almerinda Palmeira-7589.41
70800-Gaudancio Fiees-15029.81
971574-Sofras Cuaresma-10973.30
759537-Anind Zarco-3371.38
645692-Heleedsa Marins-13359.48
485117-Daniel Vieyra-2373.16
25633-Clara Alcantara-5249.38
166622-Aludsio Sosa-2314.29
936946-Daniel Vieyra-7784.68
122164-Honorina Lira-11632.24
99512-Melinda Roserio-18413.08
472014-Odilia Bello-11568.95
349260-Ubaldo Mainha-19948.67
523097-Honorina Lira-18801.43
857405-Polibe Olivares-14523.05
567406-Marilda Leio-11043.06
699832-Tibefarcio Colao-5708.48
123654-Delfina Garcia de Gondim-18670.15
964610-Tarrataca Soares-17104.68
963435-Leonidas Mafra-3611.07
573239-Flor Portella-11942.06
124255-Domingos Pas-6311.95
656627-Flamednia Leiria-2760.60
35722-Flor Portella-10555.83
68925-Telma Villalobos-8259.57
49754-Joaquim Rufino-19885.25
346669-Adelina Quadros-13247.41
582061-Celeste Duarte-8853.81
246790-Feledcia Peassego-16983.45
895431-Danilo Olaio-12078.25
768189-Oliveira Carmona-18673.98
465533-Ermelinda Quintela-1410.39
574615-Antonio Castelo-18266.96
550658-Emedlia Silvera-15792.48
702255-Marilda Leio-18833.17
158745-Henrique Bento-19273.66
437949-Celeste Duarte-19487.13
49149-Gaudancio Fiees-3248.11
708023-Emiliana Foquio-15820.58
351516-Letedcia Gago-564.70
101794-Odete Vasques-12062.38
58369-Eurico Siqueira-4302.20
209606-Tabalipa Duarte-10327.95
937469-Antonio Viegas-7138.62
248704-Letedcia Gago-13535.64
33420-Liana Cardim-1092.39
342670-Domingos Pas-2326.77
425344-Manuel Capiperibe-1472.43
372390-Sofras Cuaresma-17199.51
181124-Filomena Barrios-2188.18
331333-Ermelinda Quintela-2999.20
396256-Basilio Pedroso-10099.79
500148-Marilda Leio-8327.04
815988-Neeamia Arruda-441.58
379498-Rodolfo Paz-18474.07
775956-Estanislau Beserra-6259.57
571467-Gaudancio Fiees-5158.16
79997-Judite Damasceno-6942.41
399959-Esperada Cardoso-20466.14
294496-Esperada Cardoso-19763.11
659039-Edgar Carvalheiro-16911.59
