408227-Delfina Garcia de Gondim-6230.44
496252-Odilia Bello-18887.88
794594-Clara Alcantara-16898.36
111727-Aludsio Sosa-20298.32
436813-Ermelinda Quintela-9545.70
776735-Taercio Mafra-2616.38
150423-Oliveira Senchez-409.09
257574-Oliveira Carmona-15461.29
139959-Neuza Francia-10788.75
984406-Leonidas Mafra-10767.87
320751-Andreia Moita-2444.67
971083-Sofras Cuaresma-12113.38
633810-Oliveira Carmona-14551.32
991333-Clara Alcantara-8577.60
569137-Basilio Pedroso-1027.13
131227-Filomena Barrios-340.06
458673-Odete Vasques-226.73
51249-Jussara Varanda-11479.31
51275-Tibefarcio Colao-2275.87
258195-Aludsio Sosa-18915.71
683153-Odilia Camello-9214.09
245458-Adelino Barra-13053.80
732243-Odete Vasques-15110.13
571817-Odilia Bello-18830.05
759440-Silvio Mata-4000.90
33608-Tabalipa Duarte-9512.21
946002-Micaela Chavez-11856.80
250673-Basilio Pedroso-6742.48
200728-Quintino Alcantara-13122.99
542372-Zulmira Becerra-15855.57
187328-Celeste Duarte-57.57
782501-Polibe Olivares-11410.02
231502-Taercio Mafra-7652.51
328925-Flor Portella-5683.39
186497-Edgar Carvalheiro-4326.15
757384-Guaraci Damasceno-13126.48
334672-Tabalipa Duarte-13225.94
585137-Quintiliano Sousa de Arronches-5033.61
282705-Taercio Mafra-4010.78
567335-Angelica Aranha-20946.21
939785-Odete Vasques-2183.25
720806-Ubaldo Mainha-14591.07
881483-Mercia Caeira-5858.55
88329-Jonatas Felgueiras-12011.84
299973-Ermelinda Quintela-20153.70
118258-Quintino Alcantara-9836.44
158057-Neeamia Arruda-2874.95
878045-Sofras Cuaresma-20970.80
362175-Elisa Themes-11178.79
145369-Judite Damasceno-18724.47
2175-Aludsio Sosa-19573.86
132098-Jussara Varanda-1466.24
747894-Armanda Amorim-20405.05
130861-Flamednia Leiria-5601.10
369169-Cleusa Goes-18834.10
705906-Eurico Siqueira-21155.28
207384-Delfina Perdigon-602.02
819605-Angelica Aranha-11980.80
793242-Tarrataca Soares-19084.43
845375-Leonidas Mafra-13561.04
34730-Armindo Castalo-11266.23
548634-Oliveira Carmona-12257.55
685941-Nuno Balsemeo-6470.19
194505-Ubaldo Mainha-1556.66
370549-Fulvio Villegas-3200.36
949625-Judite Damasceno-15727.42
172765-Cassandra Varejo-9314.65
890994-Sara Lameiras-18662.85
722153-Clara Alcantara-5855.94
916242-Delfina Perdigon-17854.40
589652-Basilio Pedroso-11179.91
165817-Heleedsa Marins-9490.56
849191-Regina Barcellos-5902.58
70313-Odilia Bello-6274.53
401160-Elisa Themes-1143.40
141706-Joaquim Rufino-10662.89
442912-Jussara Varanda-1719.78
946484-Augusta Paio-20138.69
530467-Branco Saraba-991.08
73389-Gaudancio Fiees-19880.24
236971-Leonidas Mafra-9631.30
23387-Almor Caiado-11292.96
81088-Filomena Barrios-4856.61
157968-Esperada Cardoso-10727.32
417592-Sara Lameiras-13031.33
196425-Jorgina Bogalho-9127.91
233077-Eurico Siqueira-20172.34
251284-Oliveira Carmona-3816.97
554299-Lurdes Cotrim-14992.27
968068-Filomena Barrios-8358.17
337966-Delfina Garcia de Gondim-18950.54
698724-Rebeca Neto-15085.94
115328-Odilia Camello-9021.91
306422-Elisa Themes-7228.65
950160-Almerinda Palmeira-11262.83
933443-Regina Barcellos-2849.96
722248-Odete Vasques-19192.29
489340-Fulvio Villegas-5179.96
125715-Estanislau Beserra-950.67
386228-Clarindo Areosa-12360.35
187123-Delfina Perdigon-14313.73
118051-Oliveira Senchez-17990.72
344830-Anind Zarco-11407.04
749355-Manuel Capiperibe-465.26
885589-Liana Cardim-12914.76
671043-Romo Paranage-6949.26
763775-Elisa Themes-14706.48
90346-Neeamia Arruda-16431.38
113592-Jussara Varanda-10787.80
396683-Manuel Capiperibe-20241.66
980306-Sara Lameiras-248.70
650488-Regina Barcellos-3389.88
914263-Leonidas Mafra-19483.33
369071-Letedcia Gago-10435.98
205585-Branco Saraba-8450.00
841397-Clarindo Areosa-5081.88
956579-Danilo Olaio-9459.51
333264-Celeste Duarte-20280.42
190033-Sara Lameiras-19886.72
630241-Odilia Camello-1795.85
621955-Spnia ou Sonia Guerreiro-17315.65
470438-Honorina Lira-20972.15
423470-Zulmira Becerra-6376.46
596380-Adelina Quadros-4025.31
779238-Ubaldo Mainha-21147.37
954907-Elisa Themes-4580.95
56830-Gaudancio Fiees-125.68
323608-Leonidas Mafra-5499.01
244581-Artur Grillo-4406.07
945464-Judite Damasceno-19272.38
845190-Joaquim Rufino-19508.60
98177-Esperada Cardoso-19428.46
338828-Spnia ou Sonia Guerreiro-15547.86
428326-Antonio Castelo-19273.83
632378-Celeste Duarte-9596.78
836573-Delfina Garcia de Gondim-20906.33
744658-Moaci Mendoa-17202.06
87705-Neeamia Arruda-13190.46
505115-Letedcia Gago-3828.07
110482-Esperada Cardoso-21377.53
300488-Oliveira Carmona-181.14
55440-Adelina Quadros-4912.12
58530-Guida Juca-17485.51
707669-Quintiliano Sousa de Arronches-14434.96
888280-Flor Portella-6196.45
322302-Nuno Balsemeo-1219.97
851130-Rebeca Neto-4587.42
947697-Urbano Rodrigues-4283.46
461618-Zulmira Becerra-20588.51
582927-Micaela Chavez-8964.78
941865-Clara Alcantara-14157.79
193091-Jonatas Felgueiras-10533.50
290691-Odete Vasques-19064.09
690839-Armanda Amorim-3176.33
989917-Emedlia Silvera-9845.21
483513-Edgar Carvalheiro-17268.44
610184-Tabalipa Duarte-8552.11
975815-Adelina Quadros-5296.75
871311-Regina Barcellos-13001.37
606661-Filomena Barrios-14597.20
94627-Flor Portella-7881.78
696749-Esperada Cardoso-12363.71
511206-Antonio Viegas-4521.78
393177-Jussara Varanda-21378.69
287341-Delfina Perdigon-17783.75
826076-Jonatas Felgueiras-3333.75
362309-Artur Grillo-20409.85
640697-Odilia Camello-314.77
781649-Zulmira Becerra-20663.49
773930-Almerinda Palmeira-20859.55
760724-Odete Vasques-805.66
42521-Sara Lameiras-3632.63
674759-Silvio Mata-12777.74
232322-Rodolfo Paz-2776.84
422877-Flor Portella-9539.71
651058-Celeste Duarte-17787.97
722815-Emiliana Foquio-7266.76
521981-Manuel Capiperibe-4038.33
996255-Jorgina Bogalho-12386.15
607253-Angelica Aranha-9949.05
970608-Sofras Cuaresma-5691.82
995479-Artur Grillo-13772.24
907663-Adelino Barra-1774.16
514201-Micaela Chavez-10236.48
989582-Nuno Balsemeo-20860.71
872779-Aludsio Sosa-542.38
614600-Gaudancio Fiees-9499.61
857935-Telma Villalobos-13334.83
94949-Dulce Froes-17344.79
680603-Angelica Aranha-13056.03
254261-Andreia Moita-15065.73
877846-Quintino Alcantara-9780.85
764461-Antonio Viegas-9565.09
458014-Melinda Roserio-18940.23
318980-Guaraci Damasceno-16335.29
151050-Tarrataca Soares-19534.02
813006-Gaudancio Fiees-10395.33
150805-Ermelinda Quintela-9329.07
321495-Romo Paranage-16650.02
623078-Elisa Themes-10071.99
829484-Eurico Siqueira-10454.54
217789-Dulce Froes-18603.31
346867-Sidfnio Frois-16676.12
891477-Tibofarcio Camacho-17450.70
600293-Elisa Themes-2229.06
379841-Jorgina Bogalho-2025.73
913882-Oliveira Carmona-13153.86
408881-Emiliana Foquio-21405.37
386818-Tibefarcio Colao-9343.75
876652-Jonatas Felgueiras-10829.98
969286-Domingos Pas-14338.27
151678-Almerinda Palmeira-4085.61
419309-Spnia ou Sonia Guerreiro-15319.08
196194-Silvio Mata-6863.16
29237-Moaci Mendoa-10429.16
391670-Guida Juca-3928.12
672624-Tabalipa Duarte-9377.26
3050-Emiliana Foquio-14801.35
240885-Oliveira Carmona-12060.38
997429-Fulvio Villegas-18499.15
953285-Guaraci Damasceno-4224.01
879067-Tibofarcio Camacho-5775.52
652621-Jussara Varanda-11459.72
38408-Urbano Rodrigues-9366.84
527147-Romo Paranage-18437.13
405113-Antonio Viegas-12056.21
372413-Odilia Bello-9758.10
725701-Marilda Leio-463.30
132135-Polibe Olivares-14975.71
913210-Feledcia Peassego-5520.85
208355-Trajano Fagundes-3645.54
847054-Clarindo Areosa-19804.33
47098-Artur Grillo-8176.02
671705-Adelina Quadros-6911.57
612353-Oliveira Senchez-11986.84
469335-Odilia Bello-4156.06
655197-Taercio Mafra-6919.78
567469-Camila Gabeira-11957.04
615032-Rebeca Neto-19198.36
733760-Neeamia Arruda-16512.65
767602-Urbano Rodrigues-14729.90
202195-Flamednia Leiria-6713.54
705570-Armanda Amorim-18024.01
180684-Trajano Fagundes-21030.72
340084-Neeamia Arruda-1122.01
245711-Antonio Viegas-11676.70
772884-Basilio Pedroso-13673.26
110578-Odete Vasques-16488.93
294548-Artur Grillo-13450.25
49327-Carminda Morais-16617.58
405048-Dulce Froes-1540.42
798644-Zulmira Becerra-15392.44
658240-Artur Grillo-20999.50
120104-Emedlio Pimentel-8346.47
738997-Antonio Viegas-8275.03
558418-Cassandra Varejo-17747.49
983480-Regina Barcellos-5870.38
386596-Anfnia Seixas-3876.65
9819-Nuno Balsemeo-12229.60
468934-Flor Portella-2955.26
226205-Cassandra Varejo-3049.31
973637-Flamednia Leiria-16157.29
590987-Emedlio Pimentel-19133.87
609001-Artur Grillo-20155.08
215737-Regina Barcellos-4657.63
539900-Letedcia Gago-6103.21
534472-Carminda Morais-7173.05
854652-Antonio Viegas-14786.92
100613-Almerinda Palmeira-19427.01
371036-Cassandra Varejo-18816.87
399680-Spnia ou Sonia Guerreiro-7994.29
986853-Henrique Bento-1689.19
334748-Jorgina Bogalho-6615.10
632585-Anind Zarco-19321.19
93751-Melinda Roserio-17888.51
58331-Silvio Mata-3439.07
804740-Tabalipa Duarte-9124.42
73159-Esperada Cardoso-5668.13
6870-Angilica Galante-9559.13
933124-Marilda Leio-12772.84
868544-Cleusa Goes-10452.00
734531-Oliveira Carmona-4137.04
846081-Marilda Leio-9220.38
377786-Adelino Barra-3751.87
417046-Rodolfo Paz-17552.81
219210-Lurdes Cotrim-15948.56
342696-Moaci Mendoa-16686.61
287336-Clarindo Areosa-4162.50
439726-Fulvio Villegas-3727.73
293334-Joaquim Rufino-6137.06
349797-Flamednia Leiria-14345.75
351673-Spnia ou Sonia Guerreiro-9928.26
272599-Rebeca Neto-9041.88
703562-Anfnia Seixas-9345.66
769915-Feledcia Peassego-9519.83
203749-Letedcia Gago-14222.02
28610-Armindo Castalo-8080.61
328028-Delfina Garcia de Gondim-19743.49
923951-Moaci Mendoa-21047.88
466049-Delfim Higuera-9945.98
776301-Sofras Cuaresma-5254.64
803444-Delfim Higuera-14968.16
50683-Henrique Bento-19300.89
336414-Liana Cardim-3393.09
809575-Mercia Caeira-8040.78
563917-Silvio Mata-8182.82
206826-Adelino Barra-7258.27
510339-Aludsio Sosa-14391.55
580319-Emiliana Foquio-13775.96
907285-Zulmira Becerra-14970.62
457065-Marilda Leio-9273.54
98202-Heleedsa Marins-7136.74
565229-Silvio Mata-12697.25
220579-Sofras Cuaresma-13700.61
958391-Joaquim Rufino-13898.71
195710-Augusta Paio-9369.51
635396-Feledcia Peassego-16061.58
136497-Guida Juca-7711.84
19054-Leonidas Mafra-9957.65
690088-Micaela Chavez-5051.88
475639-Quintiliano Sousa de Arronches-20606.45
725502-Elisa Themes-6542.60
791352-Cleusa Goes-15738.25
978490-Quintiliano Sousa de Arronches-14285.62
474128-Leonidas Mafra-11530.37
48180-Jonatas Felgueiras-16992.33
420747-Edgar Carvalheiro-1943.84
104089-Zungela Ipiranga-17415.21
975289-Emiliana Foquio-18725.40
441947-Angelica Aranha-5447.46
486464-Ubaldo Mainha-9002.22
885141-Esperada Cardoso-13169.47
474126-Liana Cardim-11442.55
787750-Melinda Roserio-1647.50
678779-Liana Cardim-8652.24
956790-Branco Saraba-19022.72
185698-Odilia Bello-19466.93
572331-Polibe Olivares-17243.13
659730-Emiliana Foquio-5268.05
28216-Regina Barcellos-18792.47
585074-Camila Gabeira-8362.50
787369-Angelica Aranha-4726.51
766008-Henrique Bento-15021.26
86219-Sidfnio Frois-8994.30
484935-Guaraci Damasceno-346.25
920547-Feledcia Peassego-2975.82
588764-Sara Lameiras-4777.67
157688-Moaci Mendoa-338.56
763816-Esperada Cardoso-18845.16
909850-Anfnia Seixas-5830.60
318583-Flor Portella-9296.45
949301-Cleusa Goes-6899.49
43859-Quintino Alcantara-5182.31
909961-Silvio Mata-19883.18
9745-Oliveira Carmona-863.19
850044-Honorina Lira-2602.39
479038-Delfim Higuera-20618.28
801121-Silvio Mata-13905.02
469440-Delfina Garcia de Gondim-21352.66
426578-Silvio Mata-18736.92
663540-Nuno Balsemeo-11505.27
150436-Cleusa Goes-8659.93
288761-Esperada Cardoso-1895.53
68991-Cleusa Goes-2654.63
278878-Fulvio Villegas-12584.73
113552-Armindo Castalo-18863.23
46155-Ximena Castilho-19038.02
229683-Clara Alcantara-11101.19
785521-Melinda Roserio-12295.89
373401-Anind Zarco-6415.32
505187-Emedlia Silvera-12251.95
315010-Mercia Caeira-16693.46
557534-Leonidas Mafra-2991.51
547825-Antonio Viegas-7642.20
372101-Liana Cardim-18164.99
515298-Adelino Barra-13431.29
381611-Elisa Themes-17891.75
108860-Estanislau Beserra-14849.21
854735-Edgar Carvalheiro-4642.23
866699-Anind Zarco-6115.96
603659-Odilia Bello-3626.18
867846-Daniel Vieyra-6469.33
124913-Esperada Cardoso-70.06
935071-Ubaldo Mainha-11085.54
724633-Quintino Alcantara-16449.26
986992-Branco Saraba-17024.42
88546-Armanda Amorim-15413.40
508331-Feledcia Peassego-10759.65
47470-Tibefarcio Colao-16968.20
691755-Fulvio Villegas-12442.03
867763-Ermelinda Quintela-15918.06
755388-Tibofarcio Camacho-17426.74
505065-Rebeca Neto-4153.15
405555-Trajano Fagundes-20942.51
525851-Liana Cardim-6024.92
661181-Cleusa Goes-14934.79
925099-Zungela Ipiranga-2110.83
396463-Estanislau Beserra-8065.92
788604-Artur Grillo-951.56
403397-Tabalipa Duarte-14538.47
130594-Odilia Camello-12292.31
959031-Aludsio Sosa-6465.03
752774-Guida Juca-13750.08
36653-Augusta Paio-15664.14
874846-Augusta Paio-19849.40
672158-Lina Andrade-1521.17
911182-Henrique Bento-17060.42
6233-Odilia Bello-19934.39
66173-Branco Saraba-3517.44
462087-Neuza Francia-15401.47
577028-Emedlia Silvera-18752.78
498301-Telma Villalobos-17197.53
126458-Manuel Capiperibe-17205.06
553706-Esperada Cardoso-18845.42
264174-Basilio Pedroso-11729.34
949789-Polibe Olivares-12306.06
146601-Spnia ou Sonia Guerreiro-16125.17
910452-Lurdes Cotrim-17125.23
782376-Eurico Siqueira-4591.06
809845-Mercia Caeira-16965.68
200966-Tarrataca Soares-2266.61
823501-Trajano Fagundes-19361.60
949192-Cassandra Varejo-21252.86
115806-Joaquim Rufino-12093.56
179844-Romo Paranage-12826.20
216213-Carminda Morais-8000.86
369741-Tarrataca Soares-12552.33
81881-Trajano Fagundes-7116.60
232742-Nuno Balsemeo-21234.42
643634-Spnia ou Sonia Guerreiro-12907.68
717954-Dulce Froes-18149.69
69943-Delfina Perdigon-6303.09
691336-Sofras Cuaresma-5307.75
334908-Adelina Quadros-7438.90
37312-Emedlio Pimentel-6885.87
673395-Moaci Mendoa-2023.19
431666-Gaudancio Fiees-15846.89
223307-Delfina Perdigon-992.87
538201-Feledcia Peassego-20345.20
475223-Honorina Lira-12996.80
496462-Danilo Olaio-15823.98
662594-Almor Caiado-4629.84
20975-Cleusa Goes-18086.76
665361-Aludsio Sosa-8975.27
182161-Delfina Garcia de Gondim-17615.64
835549-Branco Saraba-12787.54
575316-Zungela Ipiranga-6797.02
64414-Marilda Leio-15769.25
213295-Celeste Duarte-13879.80
804337-Micaela Chavez-5719.71
196440-Armanda Amorim-8254.68
557866-Jorgina Bogalho-2276.47
744822-Sara Lameiras-7146.68
706498-Oliveira Carmona-1168.49
558702-Quintiliano Sousa de Arronches-17910.32
513982-Oliveira Senchez-5773.83
272199-Tibofarcio Camacho-15709.59
752151-Moaci Mendoa-17320.23
3014-Ubaldo Mainha-17722.37
806587-Guaraci Damasceno-16675.57
290152-Lurdes Cotrim-5612.70
688016-Oliveira Carmona-2683.44
70122-Antonio Viegas-14190.89
127805-Liana Cardim-2493.12
745031-Celeste Duarte-17978.71
926408-Edgar Carvalheiro-3109.01
861683-Armanda Amorim-2856.90
15226-Andreia Moita-11594.42
610345-Filomena Barrios-8839.61
185240-Cassandra Varejo-14937.68
247839-Esperada Cardoso-21410.58
778252-Delfim Higuera-1132.62
955426-Sofras Cuaresma-1683.32
800336-Taercio Mafra-19674.60
11047-Leonidas Mafra-21132.05
253368-Aludsio Sosa-2196.48
395553-Jorgina Bogalho-18605.10
496565-Almerinda Palmeira-12730.41
137170-Basilio Pedroso-341.68
530665-Nuno Balsemeo-16793.53
997737-Polibe Olivares-3381.17
734828-Zulmira Becerra-11308.96
816155-Flamednia Leiria-21378.51
502892-Fulvio Villegas-19261.68
501539-Quintino Alcantara-6126.95
370797-Cassandra Varejo-21359.48
657353-Zulmira Becerra-6308.60
633406-Judite Damasceno-19633.57
567460-Jussara Varanda-14230.10
462529-Guida Juca-7820.57
125199-Regina Barcellos-17080.55
878327-Melinda Roserio-4673.06
893577-Delfim Higuera-16231.22
241072-Rebeca Neto-1521.42
48617-Quintino Alcantara-5986.43
93948-Ximena Castilho-4655.30
787120-Clara Alcantara-637.04
989818-Antonio Castelo-18263.38
266324-Odete Vasques-4704.21
194279-Adelina Quadros-11748.84
991627-Augusta Paio-11385.25
906207-Lurdes Cotrim-3549.20
232624-Antonio Castelo-10848.14
926303-Andreia Moita-13490.55
787582-Telma Villalobos-9676.20
860212-Odilia Bello-20537.14
397562-Liana Cardim-5320.17
795184-Aludsio Sosa-4105.23
65995-Antonio Viegas-8147.90
863519-Ximena Castilho-17789.84
718419-Sara Lameiras-6874.92
144786-Guida Juca-259.14
877448-Flamednia Leiria-9251.47
248911-Leonidas Mafra-12280.73
762068-Taercio Mafra-7133.77
918458-Rebeca Neto-21412.38
121582-Sidfnio Frois-12051.51
512441-Liana Cardim-6834.63
273497-Antonio Castelo-3920.45
939508-Tibofarcio Camacho-17539.09
5705-Almerinda Palmeira-12561.44
113641-Cassandra Varejo-6068.05
141641-Marilda Leio-2731.99
983284-Lurdes Cotrim-18784.47
395994-Feledcia Peassego-12797.26
944741-Silvio Mata-12231.61
207120-Fulvio Villegas-267.99
2956-Tabalipa Duarte-20493.11
805715-Rebeca Neto-5271.01
914427-Eurico Siqueira-2255.57
523370-Odilia Camello-1720.79
140524-Trajano Fagundes-15051.92
155744-Armanda Amorim-2848.50
834359-Ubaldo Mainha-18908.34
586320-Ximena Castilho-12297.46
231914-Leonidas Mafra-14166.91
631352-Joaquim Rufino-2104.14
182198-Eurico Siqueira-2904.17
195986-Daniel Vieyra-20672.23
771417-Nuno Balsemeo-20606.54
772010-Odilia Bello-20496.93
916183-Neuza Francia-5743.50
865076-Andreia Moita-19555.06
528841-Quintino Alcantara-6758.57
640036-Zulmira Becerra-1109.59
993433-Angilica Galante-9741.91
23843-Eurico Siqueira-11118.23
336496-Quintiliano Sousa de Arronches-17290.05
992888-Romo Paranage-13617.17
750165-Micaela Chavez-4020.05
547835-Odete Vasques-6037.77
940659-Adelina Quadros-10756.93
42279-Danilo Olaio-2770.75
994336-Armanda Amorim-6286.04
296467-Nuno Balsemeo-18612.44
344665-Taercio Mafra-9597.53
600025-Camila Gabeira-12947.77
269665-Trajano Fagundes-7456.30
356543-Judite Damasceno-13616.23
182725-Emedlio Pimentel-15223.73
178990-Quintiliano Sousa de Arronches-14534.37
385061-Adelino Barra-13268.94
941462-Andreia Moita-5004.53
36640-Zungela Ipiranga-14064.47
472252-Regina Barcellos-16407.44
383674-Ubaldo Mainha-2856.05
486468-Angelica Aranha-9052.05
411987-Armanda Amorim-15624.74
375132-Liana Cardim-4003.47
55538-Camila Gabeira-16335.30
740974-Branco Saraba-8802.25
203451-Delfim Higuera-1901.27
875504-Basilio Pedroso-1375.85
622210-Taercio Mafra-5306.21
488761-Spnia ou Sonia Guerreiro-20450.94
598841-Henrique Bento-4969.94
978589-Sofras Cuaresma-11554.80
135495-Esperada Cardoso-8374.08
438759-Emiliana Foquio-12717.83
364918-Angilica Galante-16728.39
180489-Odete Vasques-2950.96
949658-Guida Juca-20373.00
613085-Estanislau Beserra-15326.92
729401-Nuno Balsemeo-12058.30
809296-Angelica Aranha-16853.19
149235-Neeamia Arruda-5374.34
93885-Guida Juca-8694.13
759623-Camila Gabeira-18285.48
899761-Neuza Francia-20129.87
903548-Anind Zarco-6368.68
437355-Clara Alcantara-13700.49
196526-Eurico Siqueira-13709.98
598826-Augusta Paio-19666.12
585717-Zungela Ipiranga-15098.57
193840-Ximena Castilho-14071.83
411798-Emedlio Pimentel-11518.48
623267-Basilio Pedroso-10294.59
314715-Tibofarcio Camacho-19452.18
930833-Daniel Vieyra-11666.34
846753-Quintino Alcantara-12415.38
118013-Cassandra Varejo-16559.75
969236-Odilia Bello-11426.88
152928-Anfnia Seixas-20392.87
28243-Adelina Quadros-1883.89
250095-Silvio Mata-4155.83
790892-Armanda Amorim-4709.95
282180-Cleusa Goes-8516.18
186196-Antonio Viegas-5654.49
671139-Antonio Viegas-4498.96
143064-Angelica Aranha-17767.43
483243-Antonio Viegas-19238.61
388515-Tibefarcio Colao-11863.47
808540-Adelina Quadros-16015.00
840049-Danilo Olaio-4070.44
245149-Tibefarcio Colao-9562.94
349488-Letedcia Gago-6396.01
818652-Feledcia Peassego-21418.84
230176-Eurico Siqueira-20375.86
892739-Daniel Vieyra-77.74
706101-Basilio Pedroso-2129.17
57460-Cassandra Varejo-11424.00
384170-Lina Andrade-20187.89
431814-Regina Barcellos-20655.97
766514-Flor Portella-11019.54
490341-Jussara Varanda-6377.15
797133-Leonidas Mafra-20800.64
615042-Trajano Fagundes-1383.99
50983-Polibe Olivares-1371.46
452376-Zulmira Becerra-18740.39
233701-Sofras Cuaresma-732.61
274417-Moaci Mendoa-2713.19
208889-Marilda Leio-19767.03
490001-Guida Juca-20371.35
270682-Spnia ou Sonia Guerreiro-3444.18
611878-Oliveira Senchez-13819.08
247334-Almor Caiado-12702.21
644-Sara Lameiras-4803.53
637638-Tibefarcio Colao-20114.04
893566-Tibefarcio Colao-21338.56
406865-Taercio Mafra-12976.06
353302-Jussara Varanda-12793.97
699768-Estanislau Beserra-18556.06
351132-Emedlio Pimentel-20650.96
115932-Guida Juca-13618.83
834219-Jorgina Bogalho-1530.11
783846-Flor Portella-15422.58
314301-Quintiliano Sousa de Arronches-18742.59
244237-Fulvio Villegas-11434.13
320181-Telma Villalobos-13873.07
434874-Emedlio Pimentel-4662.30
327120-Almor Caiado-7405.83
538027-Lina Andrade-12052.83
968118-Carminda Morais-17316.34
49207-Antonio Castelo-902.66
547807-Romo Paranage-16781.00
954261-Spnia ou Sonia Guerreiro-6904.01
98405-Tarrataca Soares-13547.15
111634-Regina Barcellos-16619.59
528579-Silvio Mata-17492.79
834321-Lurdes Cotrim-13432.31
746209-Silvio Mata-5170.74
55013-Regina Barcellos-16896.12
485973-Letedcia Gago-3950.97
45444-Mercia Caeira-8181.46
487756-Heleedsa Marins-11556.94
941138-Quintiliano Sousa de Arronches-6421.64
169278-Leonidas Mafra-5477.79
656467-Quintiliano Sousa de Arronches-13528.91
589399-Quintiliano Sousa de Arronches-7739.36
312586-Honorina Lira-9447.70
298299-Heleedsa Marins-10155.16
350786-Clara Alcantara-1180.87
202518-Moaci Mendoa-1080.90
204627-Neeamia Arruda-9031.35
473047-Delfina Garcia de Gondim-17176.23
841996-Honorina Lira-5570.81
128025-Regina Barcellos-11112.50
645435-Taercio Mafra-9594.23
122112-Tabalipa Duarte-12450.12
394589-Aludsio Sosa-12078.41
414092-Rodolfo Paz-13141.39
507741-Odete Vasques-1570.06
729916-Silvio Mata-10892.09
48734-Gaudancio Fiees-15474.13
513404-Artur Grillo-16218.87
188084-Celeste Duarte-8432.45
27035-Letedcia Gago-20493.73
161367-Lurdes Cotrim-1525.35
186362-Basilio Pedroso-11096.57
146950-Anfnia Seixas-2275.68
393806-Heleedsa Marins-9969.82
156787-Delfina Garcia de Gondim-17874.90
523610-Polibe Olivares-21412.20
463897-Adelina Quadros-3057.85
55795-Clarindo Areosa-13942.98
787062-Taercio Mafra-1200.02
598835-Telma Villalobos-14200.29
660392-Clara Alcantara-15471.91
660905-Moaci Mendoa-18543.77
189773-Honorina Lira-9680.41
559582-Rodolfo Paz-19804.34
68632-Jorgina Bogalho-16121.08
100412-Eurico Siqueira-21286.31
341088-Manuel Capiperibe-14906.11
511641-Tabalipa Duarte-6011.83
85116-Henrique Bento-11779.71
903511-Adelina Quadros-16305.69
611201-Branco Saraba-9227.46
853623-Urbano Rodrigues-139.23
269241-Daniel Vieyra-1491.13
252645-Armindo Castalo-3886.73
217926-Feledcia Peassego-20467.41
189179-Rebeca Neto-9853.58
896320-Artur Grillo-4412.16
388082-Guida Juca-19617.27
694223-Trajano Fagundes-7263.29
2825-Cleusa Goes-18732.32
340925-Guida Juca-10093.60
902594-Domingos Pas-4347.30
841490-Ermelinda Quintela-12589.99
820916-Oliveira Carmona-15622.52
267381-Urbano Rodrigues-1939.86
821322-Delfina Perdigon-10891.75
39053-Almor Caiado-20940.71
351767-Nuno Balsemeo-13669.76
880668-Angelica Aranha-3021.86
863761-Adelina Quadros-11671.89
448937-Adelina Quadros-10870.46
780238-Cleusa Goes-16089.49
34920-Feledcia Peassego-2923.07
402757-Honorina Lira-2526.44
443331-Tibofarcio Camacho-13229.12
741627-Liana Cardim-8202.49
