245777-Gaudancio Fiees-4897.48
798731-Carminda Morais-19702.28
876915-Telma Villalobos-10524.30
421256-Armindo Castalo-12709.88
778662-Moaci Mendoa-10372.12
468523-Guaraci Damasceno-4086.51
314918-Tibefarcio Colao-6773.80
55372-Aludsio Sosa-8574.17
779860-Dulce Froes-6716.57
716483-Rodolfo Paz-19908.74
908740-Almor Caiado-4763.49
313145-Spnia ou Sonia Guerreiro-10681.48
599416-Marilda Leio-3385.41
555506-Silvio Mata-16449.62
340319-Zungela Ipiranga-20867.41
797538-Antonio Viegas-8307.26
504685-Flamednia Leiria-2295.57
374677-Lurdes Cotrim-10326.12
910333-Artur Grillo-1789.08
192216-Odilia Camello-16726.25
314297-Heleedsa Marins-3470.50
408153-Angilica Galante-6643.63
730040-Rodolfo Paz-7629.63
998703-Armanda Amorim-1300.34
772042-Letedcia Gago-20693.75
757741-Quintiliano Sousa de Arronches-14546.89
394851-Augusta Paio-11677.10
928347-Daniel Vieyra-10486.01
878508-Guida Juca-4430.27
485422-Andreia Moita-8212.20
998848-Almor Caiado-15895.34
344697-Zulmira Becerra-16449.42
354404-Leonidas Mafra-8101.88
904886-Polibe Olivares-1377.03
933750-Micaela Chavez-8984.75
219659-Fulvio Villegas-19822.33
747488-Anfnia Seixas-16501.45
315803-Jussara Varanda-5795.89
12680-Emedlia Silvera-17754.68
617980-Dulce Froes-16144.70
364538-Polibe Olivares-20874.68
644741-Oliveira Senchez-15233.29
320792-Artur Grillo-9902.00
443050-Anind Zarco-8266.21
116078-Ximena Castilho-5300.71
163843-Delfim Higuera-398.07
932940-Anind Zarco-1865.55
411702-Feledcia Peassego-11998.71
491157-Romo Paranage-19648.83
597992-Fulvio Villegas-5130.18
440775-Anfnia Seixas-6643.82
333804-Celeste Duarte-6185.43
168879-Esperada Cardoso-10398.64
708745-Fulvio Villegas-5438.24
952105-Almerinda Palmeira-14079.40
671002-Nuno Balsemeo-14066.20
139529-Danilo Olaio-19945.53
268890-Ermelinda Quintela-444.81
503783-Delfina Perdigon-8999.72
206365-Adelino Barra-7090.86
378410-Antonio Castelo-2930.43
51471-Artur Grillo-12413.77
570245-Manuel Capiperibe-9040.62
289135-Liana Cardim-912.88
629381-Spnia ou Sonia Guerreiro-10882.40
557435-Antonio Viegas-4984.27
776606-Celeste Duarte-3040.83
67084-Spnia ou Sonia Guerreiro-78.68
228322-Manuel Capiperibe-1893.72
789351-Delfina Perdigon-4765.78
884504-Cleusa Goes-3364.73
845615-Oliveira Senchez-18565.25
866481-Andreia Moita-1176.11
267895-Edgar Carvalheiro-4049.00
976555-Branco Saraba-13975.30
657594-Aludsio Sosa-14780.87
958504-Odilia Bello-6863.80
328577-Sara Lameiras-13564.47
179516-Polibe Olivares-3931.92
2478-Spnia ou Sonia Guerreiro-19089.81
428160-Anind Zarco-21218.66
897336-Joaquim Rufino-16962.28
743812-Filomena Barrios-12506.11
169169-Mercia Caeira-18248.79
882154-Daniel Vieyra-18153.71
351223-Moaci Mendoa-4825.45
731027-Camila Gabeira-13805.04
710151-Almerinda Palmeira-613.49
557486-Lina Andrade-8645.28
776815-Celeste Duarte-3950.47
574502-Silvio Mata-15094.75
845310-Camila Gabeira-2058.89
157062-Sara Lameiras-20206.33
80004-Tibefarcio Colao-14153.18
419623-Lina Andrade-6287.17
288948-Oliveira Carmona-7490.68
245415-Eurico Siqueira-1273.15
614685-Emedlio Pimentel-12150.25
914787-Adelina Quadros-18725.83
923099-Filomena Barrios-1418.76
428972-Fulvio Villegas-7944.51
316910-Tabalipa Duarte-20192.96
432528-Flamednia Leiria-13779.69
675011-Mercia Caeira-11355.66
312256-Zulmira Becerra-16969.85
837168-Almor Caiado-1647.91
907343-Emedlio Pimentel-1645.52
997635-Cassandra Varejo-2351.67
920271-Filomena Barrios-17330.82
887471-Regina Barcellos-7565.21
418066-Odete Vasques-13619.50
423863-Odilia Camello-13762.67
318551-Ermelinda Quintela-3482.16
362294-Anfnia Seixas-16758.91
724261-Andreia Moita-7417.20
319311-Henrique Bento-15085.57
498667-Lurdes Cotrim-1639.81
477003-Leonidas Mafra-2359.78
997175-Trajano Fagundes-17858.98
616669-Delfina Garcia de Gondim-13833.02
112301-Silvio Mata-15707.20
58573-Almor Caiado-17101.44
817146-Honorina Lira-20074.63
61435-Liana Cardim-1883.41
871444-Delfim Higuera-19630.66
183150-Armanda Amorim-15179.01
801852-Tibofarcio Camacho-17494.00
456613-Leonidas Mafra-6373.93
278471-Fulvio Villegas-15443.91
214917-Angilica Galante-20480.07
156345-Emedlia Silvera-1426.36
564431-Danilo Olaio-9176.94
756086-Basilio Pedroso-20975.12
163838-Aludsio Sosa-7650.89
979049-Adelino Barra-2034.77
513977-Artur Grillo-21096.60
122141-Taercio Mafra-2059.79
710884-Quintiliano Sousa de Arronches-10994.35
277843-Spnia ou Sonia Guerreiro-7302.30
259640-Mercia Caeira-8314.45
543747-Guida Juca-121.18
64582-Almerinda Palmeira-17816.82
246008-Judite Damasceno-10739.54
406576-Trajano Fagundes-3846.35
908580-Polibe Olivares-13896.14
992633-Manuel Capiperibe-5356.44
494400-Zungela Ipiranga-14787.66
912546-Henrique Bento-879.93
207724-Quintiliano Sousa de Arronches-8942.71
926163-Neuza Francia-13885.31
651830-Letedcia Gago-8065.91
529730-Delfina Perdigon-7191.72
102084-Estanislau Beserra-6889.34
702390-Tabalipa Duarte-5758.57
392083-Silvio Mata-5682.82
558960-Micaela Chavez-4817.91
418874-Elisa Themes-18342.86
740973-Ermelinda Quintela-20801.98
14576-Ermelinda Quintela-18569.22
518153-Cleusa Goes-5613.65
982973-Marilda Leio-2415.33
565382-Sara Lameiras-10400.63
829811-Melinda Roserio-17271.65
565051-Cleusa Goes-1053.83
451291-Micaela Chavez-12347.75
434877-Tibofarcio Camacho-10238.51
95194-Neeamia Arruda-15822.70
5327-Trajano Fagundes-9685.27
425216-Taercio Mafra-2820.58
116353-Leonidas Mafra-2530.92
854730-Aludsio Sosa-17130.75
700445-Elisa Themes-3791.57
201728-Guaraci Damasceno-1805.03
153644-Honorina Lira-435.85
962769-Esperada Cardoso-3530.36
570386-Telma Villalobos-3509.87
969129-Marilda Leio-5730.82
653398-Artur Grillo-3506.04
568443-Feledcia Peassego-19190.29
405637-Odilia Camello-18776.62
123847-Dulce Froes-16150.33
858552-Odete Vasques-19377.34
688537-Oliveira Carmona-14174.52
683184-Rodolfo Paz-7431.22
61235-Quintino Alcantara-4906.01
214774-Andreia Moita-12281.71
735464-Quintiliano Sousa de Arronches-12901.40
42179-Quintiliano Sousa de Arronches-3633.10
392246-Fulvio Villegas-5278.78
283887-Camila Gabeira-14932.84
784313-Clara Alcantara-16734.08
360144-Clara Alcantara-13097.83
609467-Almor Caiado-14424.71
845741-Delfina Perdigon-16511.54
183074-Delfim Higuera-20412.16
556405-Lina Andrade-16999.47
916962-Odilia Camello-16511.99
359939-Sofras Cuaresma-13297.57
407016-Eurico Siqueira-17041.49
516113-Sidfnio Frois-9089.50
287232-Polibe Olivares-13447.34
607806-Cassandra Varejo-4296.11
178280-Judite Damasceno-6902.20
200384-Odilia Bello-1595.82
860465-Daniel Vieyra-10287.65
121292-Jorgina Bogalho-15033.22
69604-Guida Juca-19342.39
158178-Oliveira Senchez-7471.15
556763-Guida Juca-4400.38
350155-Anfnia Seixas-7845.54
427639-Emiliana Foquio-15108.42
429416-Aludsio Sosa-20864.49
730388-Eurico Siqueira-1541.44
19094-Nuno Balsemeo-14263.44
462366-Delfim Higuera-2037.21
637792-Emedlio Pimentel-12718.43
276497-Lina Andrade-15639.12
113945-Oliveira Senchez-2225.87
741373-Angelica Aranha-19061.43
518321-Honorina Lira-7000.10
245030-Regina Barcellos-2449.54
738517-Augusta Paio-669.00
326221-Dulce Froes-14756.30
650313-Romo Paranage-16186.49
40184-Zungela Ipiranga-21471.12
227963-Anind Zarco-8072.66
737351-Odilia Camello-14465.42
485311-Branco Saraba-14211.72
380838-Oliveira Senchez-20609.14
798245-Tarrataca Soares-7749.48
286348-Gaudancio Fiees-6197.10
616029-Carminda Morais-7924.48
427796-Regina Barcellos-17227.75
867227-Tabalipa Duarte-19534.25
167410-Marilda Leio-16439.81
188809-Delfina Perdigon-18232.09
569069-Fulvio Villegas-18469.47
377794-Leonidas Mafra-15019.48
773163-Flor Portella-15353.29
311939-Honorina Lira-2396.44
376980-Feledcia Peassego-5469.30
395926-Adelina Quadros-18205.46
314545-Delfina Garcia de Gondim-18519.74
379577-Clara Alcantara-7953.58
93766-Honorina Lira-770.41
952181-Flor Portella-20482.30
76262-Tabalipa Duarte-15383.16
742507-Ubaldo Mainha-1112.10
97565-Tarrataca Soares-1369.83
882809-Regina Barcellos-13742.95
132913-Odilia Bello-2281.88
92906-Eurico Siqueira-12385.84
501307-Letedcia Gago-1774.15
200687-Judite Damasceno-6677.95
841361-Lina Andrade-334.05
463513-Delfina Garcia de Gondim-4213.57
327809-Melinda Roserio-4914.33
138897-Guaraci Damasceno-16901.76
414792-Gaudancio Fiees-11437.90
536334-Dulce Froes-9131.89
301766-Heleedsa Marins-17733.22
997438-Flor Portella-489.31
755731-Sofras Cuaresma-8274.32
4440-Almor Caiado-15366.33
610794-Estanislau Beserra-19824.74
258555-Jonatas Felgueiras-16614.54
169235-Spnia ou Sonia Guerreiro-2492.98
879199-Oliveira Carmona-17404.37
315299-Dulce Froes-11943.68
734345-Ximena Castilho-1464.21
964628-Delfina Garcia de Gondim-9837.23
383129-Micaela Chavez-21057.20
385774-Manuel Capiperibe-10379.92
319811-Taercio Mafra-17799.97
532114-Estanislau Beserra-8321.24
665505-Henrique Bento-4188.99
155813-Neeamia Arruda-4410.68
79300-Esperada Cardoso-2894.64
694827-Honorina Lira-752.95
616310-Zulmira Becerra-20830.30
726559-Antonio Castelo-12445.11
674839-Augusta Paio-20828.94
37704-Almerinda Palmeira-15417.96
865518-Quintino Alcantara-19461.16
809912-Joaquim Rufino-18161.64
261304-Rodolfo Paz-11853.46
683206-Fulvio Villegas-4750.18
887075-Lina Andrade-1766.14
560865-Delfim Higuera-19803.09
603016-Telma Villalobos-5874.41
66214-Emiliana Foquio-12061.68
768578-Anind Zarco-13148.43
191193-Angilica Galante-9623.97
122496-Moaci Mendoa-9762.62
566926-Filomena Barrios-7455.89
651630-Polibe Olivares-1053.66
118811-Clara Alcantara-7170.49
170408-Celeste Duarte-6824.53
685620-Zungela Ipiranga-17420.14
979747-Spnia ou Sonia Guerreiro-7951.33
336190-Silvio Mata-1357.16
719576-Cleusa Goes-7474.84
996684-Mercia Caeira-4411.92
585992-Delfina Garcia de Gondim-2548.31
807310-Andreia Moita-19683.98
709104-Spnia ou Sonia Guerreiro-21190.49
956880-Oliveira Carmona-11256.84
739155-Feledcia Peassego-15768.55
135228-Clara Alcantara-16145.40
839928-Clarindo Areosa-13140.37
502267-Esperada Cardoso-6108.89
332454-Edgar Carvalheiro-7496.09
521678-Odete Vasques-16656.05
623997-Leonidas Mafra-6057.08
988577-Clarindo Areosa-16635.15
941683-Camila Gabeira-2127.40
777322-Polibe Olivares-17336.97
145996-Filomena Barrios-2589.53
483838-Polibe Olivares-2600.88
351712-Manuel Capiperibe-15699.28
352635-Esperada Cardoso-4809.46
585525-Flamednia Leiria-3467.95
786257-Regina Barcellos-3348.33
695080-Armindo Castalo-14074.57
434490-Aludsio Sosa-2459.62
87765-Almor Caiado-18909.04
306535-Dulce Froes-51.98
209611-Moaci Mendoa-17483.44
483753-Romo Paranage-13603.44
814582-Odilia Camello-5832.12
181844-Emedlio Pimentel-2120.81
954435-Jorgina Bogalho-3826.66
335578-Adelino Barra-18424.53
838310-Gaudancio Fiees-7376.64
48623-Odilia Bello-16180.99
290179-Domingos Pas-97.03
272082-Lurdes Cotrim-1790.09
467566-Feledcia Peassego-11042.19
615784-Antonio Castelo-672.19
851966-Trajano Fagundes-8300.33
532392-Manuel Capiperibe-4117.32
159328-Letedcia Gago-15706.86
581582-Lurdes Cotrim-7615.38
837183-Ximena Castilho-17973.76
66481-Odilia Bello-9889.41
258053-Micaela Chavez-21472.31
869935-Fulvio Villegas-11900.20
679449-Sidfnio Frois-19984.88
348942-Delfina Perdigon-5366.20
878606-Jonatas Felgueiras-13594.72
103799-Edgar Carvalheiro-17420.04
926214-Telma Villalobos-176.80
415023-Dulce Froes-8282.61
872836-Rodolfo Paz-2136.15
994733-Jussara Varanda-17286.81
731558-Liana Cardim-13244.56
171075-Zulmira Becerra-8918.42
619820-Almor Caiado-4360.38
803756-Trajano Fagundes-17053.87
690286-Heleedsa Marins-17652.65
126694-Heleedsa Marins-11988.86
294826-Quintiliano Sousa de Arronches-2183.28
665469-Eurico Siqueira-13537.43
574200-Sofras Cuaresma-51.32
375681-Melinda Roserio-12051.27
634888-Urbano Rodrigues-1293.75
125648-Mercia Caeira-10825.46
669098-Tabalipa Duarte-20961.66
700102-Almor Caiado-21269.70
350795-Odilia Bello-12421.76
989496-Flor Portella-2718.19
632245-Dulce Froes-17751.14
471074-Tibefarcio Colao-8802.96
571214-Telma Villalobos-4963.86
802552-Celeste Duarte-2732.78
715216-Manuel Capiperibe-11999.13
83612-Domingos Pas-11285.55
810379-Camila Gabeira-12492.24
574967-Manuel Capiperibe-14129.25
242670-Trajano Fagundes-87.92
692094-Nuno Balsemeo-5437.81
543391-Daniel Vieyra-4649.30
206422-Almerinda Palmeira-19374.01
128914-Quintino Alcantara-14944.88
700056-Tabalipa Duarte-14972.91
881877-Estanislau Beserra-15270.06
954991-Ermelinda Quintela-7606.06
574121-Silvio Mata-899.33
391791-Sofras Cuaresma-20985.08
179054-Dulce Froes-20492.67
658899-Daniel Vieyra-17074.75
958021-Melinda Roserio-1245.35
371246-Domingos Pas-18137.42
113100-Antonio Viegas-16863.87
725079-Taercio Mafra-18950.87
131919-Taercio Mafra-14974.85
452158-Angelica Aranha-6229.56
327796-Heleedsa Marins-3540.47
460634-Armanda Amorim-6394.39
1720-Zulmira Becerra-14586.18
850903-Domingos Pas-19062.77
481329-Jorgina Bogalho-1067.51
557945-Henrique Bento-21301.22
35475-Armindo Castalo-2667.52
517837-Elisa Themes-14554.77
807583-Dulce Froes-16746.09
103577-Cleusa Goes-21240.61
522135-Esperada Cardoso-17849.05
357285-Flor Portella-19063.66
733049-Jonatas Felgueiras-17538.84
892099-Mercia Caeira-13362.51
526529-Zungela Ipiranga-11972.49
212434-Domingos Pas-18018.07
639884-Lurdes Cotrim-7923.58
970498-Odete Vasques-18108.76
904331-Joaquim Rufino-20596.84
839614-Tibefarcio Colao-9183.04
731338-Regina Barcellos-12948.26
669977-Almor Caiado-11317.00
563673-Ximena Castilho-3799.49
75130-Ubaldo Mainha-10888.41
379597-Danilo Olaio-6708.84
435097-Almor Caiado-13980.96
129227-Jussara Varanda-7892.53
91440-Urbano Rodrigues-5307.40
14111-Celeste Duarte-3701.60
578215-Cleusa Goes-18050.00
719560-Artur Grillo-11632.47
765940-Tarrataca Soares-9464.34
210695-Branco Saraba-17939.97
539193-Trajano Fagundes-8695.89
635040-Honorina Lira-794.85
979567-Ubaldo Mainha-16779.20
647070-Clarindo Areosa-13525.66
189377-Judite Damasceno-15176.57
607973-Basilio Pedroso-14811.88
743147-Flor Portella-7702.82
182123-Antonio Castelo-15090.02
447037-Liana Cardim-11872.84
927878-Rodolfo Paz-17114.95
357695-Edgar Carvalheiro-5405.50
144941-Elisa Themes-11581.85
816144-Sara Lameiras-4666.81
583739-Lina Andrade-2678.45
120314-Delfina Perdigon-13540.34
912720-Lurdes Cotrim-12411.58
348936-Anfnia Seixas-19889.01
301281-Neuza Francia-2206.00
17444-Neuza Francia-15260.47
167404-Basilio Pedroso-5944.91
831185-Jonatas Felgueiras-21008.49
600269-Tarrataca Soares-6915.10
337903-Tarrataca Soares-13323.26
511886-Antonio Castelo-11264.26
767799-Manuel Capiperibe-8630.63
197080-Estanislau Beserra-10729.76
813842-Antonio Viegas-21263.25
229003-Anfnia Seixas-15331.42
645771-Tibefarcio Colao-4566.76
862792-Leonidas Mafra-19908.44
90760-Carminda Morais-14871.91
868868-Celeste Duarte-19627.91
832158-Mercia Caeira-13496.46
992899-Jonatas Felgueiras-13256.74
998163-Liana Cardim-10959.58
37325-Emedlia Silvera-306.71
267416-Guida Juca-17584.85
882527-Trajano Fagundes-6072.31
130188-Sara Lameiras-2333.93
908380-Delfina Perdigon-18242.55
694038-Lina Andrade-6488.63
844857-Armindo Castalo-15427.32
22130-Cassandra Varejo-13690.80
525649-Moaci Mendoa-5945.89
455505-Antonio Castelo-16345.87
964717-Tarrataca Soares-15481.41
966004-Lina Andrade-15764.08
291952-Emedlia Silvera-15608.07
276546-Elisa Themes-17219.38
453581-Oliveira Senchez-14383.62
474111-Quintiliano Sousa de Arronches-13045.73
202023-Zungela Ipiranga-12739.34
237588-Edgar Carvalheiro-20379.56
918709-Melinda Roserio-6339.98
789975-Antonio Castelo-3359.70
135539-Emedlia Silvera-20069.35
152480-Cleusa Goes-2774.17
654640-Flor Portella-15687.09
903727-Joaquim Rufino-9715.02
545512-Trajano Fagundes-10899.55
442787-Odilia Bello-17674.29
719016-Armanda Amorim-1961.48
243068-Sara Lameiras-4863.85
847100-Aludsio Sosa-18403.04
556716-Romo Paranage-12886.10
853727-Delfina Perdigon-20747.46
808162-Regina Barcellos-20818.98
687439-Emedlio Pimentel-9210.70
890435-Esperada Cardoso-13469.73
30988-Oliveira Carmona-14455.19
50181-Cassandra Varejo-8934.78
158405-Telma Villalobos-3397.13
200517-Heleedsa Marins-13269.56
715001-Neuza Francia-9293.20
743857-Marilda Leio-18888.77
742591-Heleedsa Marins-15452.47
675920-Augusta Paio-14465.71
542552-Oliveira Carmona-10217.75
118089-Anind Zarco-18316.65
711779-Angelica Aranha-13032.13
777205-Flor Portella-8747.79
272126-Zungela Ipiranga-18509.38
914916-Celeste Duarte-12106.54
459517-Guida Juca-9918.86
308286-Telma Villalobos-18286.30
283901-Lina Andrade-19093.72
521903-Urbano Rodrigues-10935.65
174770-Clarindo Areosa-18061.07
897144-Elisa Themes-13207.42
109104-Emedlio Pimentel-6089.70
356163-Carminda Morais-7607.47
81107-Lina Andrade-13960.19
519306-Nuno Balsemeo-5634.50
430180-Rodolfo Paz-8969.10
660828-Adelino Barra-20892.18
800670-Armanda Amorim-11340.18
187082-Ubaldo Mainha-1060.57
144578-Quintino Alcantara-10872.31
393301-Jussara Varanda-7036.45
823687-Antonio Castelo-3022.70
466723-Cleusa Goes-13286.26
405294-Armanda Amorim-3812.24
797806-Cassandra Varejo-20947.43
844776-Trajano Fagundes-13536.90
293909-Andreia Moita-12348.67
889062-Camila Gabeira-14796.68
856474-Esperada Cardoso-14858.55
421121-Polibe Olivares-5525.16
576500-Antonio Castelo-18489.09
506107-Almor Caiado-7642.49
405370-Anfnia Seixas-7492.32
51494-Clarindo Areosa-5311.54
232958-Urbano Rodrigues-19609.51
864678-Adelina Quadros-19543.12
406172-Elisa Themes-15031.23
198429-Tabalipa Duarte-2885.28
8999-Daniel Vieyra-2199.01
876137-Feledcia Peassego-2433.22
974613-Antonio Castelo-174.15
234277-Mercia Caeira-8629.21
764232-Honorina Lira-12413.27
436993-Delfina Perdigon-19133.78
817317-Micaela Chavez-21276.11
973565-Domingos Pas-2999.92
819565-Andreia Moita-16223.98
48850-Gaudancio Fiees-17415.97
462090-Lurdes Cotrim-17916.06
730016-Zulmira Becerra-18784.82
29909-Spnia ou Sonia Guerreiro-9419.73
755072-Sara Lameiras-18332.07
212840-Adelino Barra-5594.88
935343-Artur Grillo-5969.25
295172-Sofras Cuaresma-1792.58
122837-Emiliana Foquio-14012.32
295820-Anind Zarco-13215.68
75325-Leonidas Mafra-11751.33
415823-Lina Andrade-2941.11
141084-Zulmira Becerra-1643.58
188583-Almerinda Palmeira-13383.88
651170-Dulce Froes-13701.43
551306-Urbano Rodrigues-10238.72
778007-Almor Caiado-10488.07
899121-Quintino Alcantara-19761.02
663958-Odete Vasques-14717.42
904493-Delfina Perdigon-14900.38
59601-Feledcia Peassego-13866.29
327711-Flor Portella-14500.45
717823-Augusta Paio-19001.86
589722-Guida Juca-8328.91
950724-Adelino Barra-4130.58
35108-Zulmira Becerra-15036.10
607104-Silvio Mata-10509.04
620059-Zulmira Becerra-9683.20
374938-Zungela Ipiranga-12359.84
878009-Celeste Duarte-64.04
465190-Mercia Caeira-10494.64
185331-Tarrataca Soares-18117.92
533228-Ubaldo Mainha-19375.10
722543-Sidfnio Frois-11576.16
815891-Ubaldo Mainha-4140.83
568344-Micaela Chavez-15401.18
192742-Taercio Mafra-8002.41
140780-Flor Portella-9388.61
707630-Andreia Moita-21352.36
16130-Liana Cardim-14956.31
878451-Artur Grillo-3416.12
886270-Elisa Themes-19957.97
939059-Oliveira Senchez-3098.47
210606-Estanislau Beserra-18905.70
856790-Dulce Froes-16339.02
77838-Regina Barcellos-9099.87
425055-Ermelinda Quintela-7426.96
676449-Adelino Barra-333.53
247493-Jonatas Felgueiras-7580.60
318499-Odete Vasques-935.93
793958-Quintiliano Sousa de Arronches-16774.71
249825-Moaci Mendoa-4538.74
497458-Sara Lameiras-203.29
771033-Ubaldo Mainha-1295.40
176624-Honorina Lira-16143.97
664955-Joaquim Rufino-5929.91
787487-Guaraci Damasceno-7164.16
151324-Oliveira Carmona-8880.93
892878-Sidfnio Frois-20763.40
870734-Cleusa Goes-12221.75
995605-Mercia Caeira-4794.85
249034-Rodolfo Paz-8977.35
300000-Angelica Aranha-21412.32
714435-Ermelinda Quintela-18525.20
698531-Antonio Castelo-11892.13
100882-Clarindo Areosa-5653.94
6186-Telma Villalobos-15211.82
90833-Leonidas Mafra-5618.49
44660-Cassandra Varejo-7737.42
575296-Regina Barcellos-21446.13
182521-Honorina Lira-18751.25
777488-Zungela Ipiranga-3068.90
246469-Andreia Moita-15831.90
561227-Urbano Rodrigues-17189.05
899665-Antonio Castelo-4571.20
151276-Emiliana Foquio-15792.21
393900-Urbano Rodrigues-17002.27
568942-Romo Paranage-15628.34
836501-Zungela Ipiranga-12003.95
960421-Heleedsa Marins-13709.70
775553-Letedcia Gago-206.69
75857-Adelina Quadros-9744.46
111156-Ubaldo Mainha-3912.09
895262-Odilia Camello-4387.71
231910-Spnia ou Sonia Guerreiro-12466.70
265022-Dulce Froes-1343.38
208608-Armindo Castalo-19897.32
850156-Rodolfo Paz-10868.17
340990-Anfnia Seixas-4611.70
573989-Silvio Mata-416.47
452591-Sara Lameiras-10504.22
456048-Neeamia Arruda-18194.98
349748-Delfina Perdigon-10991.25
950043-Melinda Roserio-10305.37
971369-Melinda Roserio-13187.69
112256-Flor Portella-10055.50
989939-Odilia Camello-6562.75
610604-Guida Juca-17921.26
65086-Cleusa Goes-6799.83
430747-Odilia Camello-2410.73
766533-Delfim Higuera-4725.26
287669-Estanislau Beserra-11019.82
255290-Angilica Galante-2888.48
432219-Feledcia Peassego-17637.98
379683-Elisa Themes-8032.86
513699-Joaquim Rufino-119.14
985544-Quintino Alcantara-9689.04
705469-Armindo Castalo-10795.15
758769-Esperada Cardoso-19065.80
465593-Aludsio Sosa-3555.27
335418-Manuel Capiperibe-20922.94
627445-Cassandra Varejo-6950.98
933884-Danilo Olaio-14333.53
882243-Delfina Garcia de Gondim-4033.02
367784-Zungela Ipiranga-1911.98
138770-Quintino Alcantara-20437.11
460222-Guida Juca-18002.13
57100-Odete Vasques-14504.35
295913-Dulce Froes-20811.94
34003-Estanislau Beserra-20061.76
845360-Elisa Themes-12670.27
666222-Guaraci Damasceno-9141.71
501694-Adelina Quadros-6196.21
668820-Daniel Vieyra-14825.04
