307044-Nuno Balsemeo-3162.50
888297-Heleedsa Marins-13258.28
300235-Oliveira Carmona-7913.15
508249-Letedcia Gago-20962.86
905638-Quintiliano Sousa de Arronches-13980.89
108117-Liana Cardim-7309.32
578653-Telma Villalobos-1520.12
583445-Cleusa Goes-4526.23
425009-Danilo Olaio-8311.44
526167-Lina Andrade-6179.22
694411-Zulmira Becerra-10401.09
985802-Esperada Cardoso-3045.14
984751-Clara Alcantara-1213.30
448325-Rebeca Neto-853.55
508334-Ximena Castilho-5012.60
775263-Domingos Pas-18233.68
504823-Melinda Roserio-1194.63
445565-Tabalipa Duarte-20540.47
172490-Adelina Quadros-20884.72
799268-Feledcia Peassego-6745.14
116728-Angilica Galante-8892.09
54878-Oliveira Senchez-14061.95
821316-Quintino Alcantara-3666.96
902938-Romo Paranage-18981.44
302769-Daniel Vieyra-10371.69
791666-Ermelinda Quintela-17859.44
728648-Almerinda Palmeira-11839.65
161412-Micaela Chavez-79.27
733453-Ermelinda Quintela-10521.00
449953-Polibe Olivares-14028.99
605146-Quintino Alcantara-6005.32
869206-Domingos Pas-10385.87
646781-Sofras Cuaresma-18954.08
754459-Branco Saraba-18148.27
216841-Emedlia Silvera-7456.47
455919-Branco Saraba-859.55
63456-Clara Alcantara-5666.83
134459-Fulvio Villegas-1923.61
285076-Anfnia Seixas-15630.94
907613-Telma Villalobos-12150.61
560941-Almerinda Palmeira-19136.66
423119-Feledcia Peassego-4040.51
479949-Guaraci Damasceno-12856.98
748886-Flor Portella-3849.69
678255-Anfnia Seixas-20821.86
776390-Trajano Fagundes-4361.58
334908-Daniel Vieyra-15652.22
374982-Celeste Duarte-12938.72
825827-Clarindo Areosa-16761.58
892637-Domingos Pas-5055.81
374679-Sara Lameiras-6041.42
388681-Flamednia Leiria-7135.66
989522-Sara Lameiras-925.62
31222-Spnia ou Sonia Guerreiro-12553.11
900366-Edgar Carvalheiro-18049.89
932427-Urbano Rodrigues-6312.82
402720-Neuza Francia-16676.17
72597-Adelina Quadros-18029.92
103471-Liana Cardim-10453.34
745146-Edgar Carvalheiro-4467.43
447576-Fulvio Villegas-14101.17
332259-Domingos Pas-2410.22
268402-Marilda Leio-1255.28
419138-Sara Lameiras-8115.60
538925-Anfnia Seixas-19664.60
877309-Quintino Alcantara-409.09
857505-Almor Caiado-15633.12
575673-Marilda Leio-6579.00
166273-Almerinda Palmeira-18120.04
947085-Quintino Alcantara-1462.65
309369-Elisa Themes-11707.13
297714-Odilia Camello-3565.62
884296-Emedlio Pimentel-2553.46
516360-Celeste Duarte-52.82
975495-Cleusa Goes-21388.21
939956-Jussara Varanda-1482.14
186135-Leonidas Mafra-9120.72
48938-Leonidas Mafra-17006.47
936053-Romo Paranage-16603.30
156955-Honorina Lira-3197.94
120633-Ximena Castilho-3321.03
718118-Angelica Aranha-1539.17
338092-Branco Saraba-4988.01
2780-Carminda Morais-14593.18
710702-Ximena Castilho-21432.93
911278-Sofras Cuaresma-607.50
504233-Quintiliano Sousa de Arronches-1379.36
924991-Ubaldo Mainha-18949.85
762502-Estanislau Beserra-6924.37
603884-Mercia Caeira-18705.94
710635-Micaela Chavez-15812.31
46684-Delfina Perdigon-12344.65
944290-Tarrataca Soares-10713.20
704560-Manuel Capiperibe-12173.23
230279-Delfina Perdigon-3365.50
93076-Jorgina Bogalho-3954.61
170261-Armanda Amorim-14349.65
835691-Manuel Capiperibe-7234.07
665038-Micaela Chavez-10661.69
824577-Oliveira Senchez-21277.73
777745-Odete Vasques-19070.00
350262-Esperada Cardoso-15745.63
839843-Urbano Rodrigues-14870.24
130784-Spnia ou Sonia Guerreiro-18997.28
739446-Regina Barcellos-6704.75
674028-Joaquim Rufino-20855.68
841781-Anfnia Seixas-19982.54
461546-Letedcia Gago-13206.06
582260-Anind Zarco-17532.71
623625-Taercio Mafra-6616.12
291652-Neuza Francia-5129.07
706976-Rebeca Neto-16392.57
587714-Edgar Carvalheiro-20470.97
788310-Fulvio Villegas-877.44
827898-Ermelinda Quintela-15154.83
933530-Letedcia Gago-20311.57
983782-Tibofarcio Camacho-16955.15
515591-Basilio Pedroso-6464.93
970301-Edgar Carvalheiro-7790.76
594061-Quintiliano Sousa de Arronches-6382.16
507107-Mercia Caeira-20945.07
420076-Odete Vasques-2867.31
928707-Camila Gabeira-7443.18
460939-Heleedsa Marins-2436.23
237684-Delfim Higuera-19.67
5573-Sofras Cuaresma-3559.01
341330-Quintiliano Sousa de Arronches-17008.85
964274-Artur Grillo-11769.17
193742-Melinda Roserio-16548.87
211126-Esperada Cardoso-20534.81
841003-Branco Saraba-2055.04
377470-Odilia Bello-1654.41
687141-Feledcia Peassego-13603.69
609859-Daniel Vieyra-9823.47
276409-Angelica Aranha-9311.01
942588-Camila Gabeira-18771.06
282426-Micaela Chavez-16109.64
137703-Almor Caiado-21309.28
2669-Taercio Mafra-4626.38
943233-Gaudancio Fiees-5068.49
615724-Andreia Moita-7776.90
795441-Trajano Fagundes-17880.68
222066-Estanislau Beserra-8822.71
966959-Daniel Vieyra-1073.98
334784-Zulmira Becerra-16986.74
669791-Trajano Fagundes-7291.33
905509-Clara Alcantara-13774.15
542074-Daniel Vieyra-10440.70
611429-Nuno Balsemeo-3755.89
567523-Taercio Mafra-1510.48
37121-Nuno Balsemeo-10086.64
494627-Neuza Francia-7479.76
392820-Angilica Galante-18031.98
693111-Leonidas Mafra-6236.81
823736-Nuno Balsemeo-17480.16
571435-Odete Vasques-8832.02
941780-Heleedsa Marins-5326.24
792454-Dulce Froes-2496.82
571379-Silvio Mata-12112.94
505001-Oliveira Carmona-7773.78
288096-Spnia ou Sonia Guerreiro-10014.15
278018-Fulvio Villegas-20889.09
335886-Branco Saraba-20578.18
181545-Joaquim Rufino-1210.28
908504-Cassandra Varejo-15558.52
342226-Sara Lameiras-8509.39
908949-Jonatas Felgueiras-20308.81
891099-Jussara Varanda-2641.90
459082-Emedlia Silvera-19767.61
615568-Estanislau Beserra-11887.83
336494-Branco Saraba-5545.87
204881-Celeste Duarte-8518.65
565226-Zulmira Becerra-17212.01
639595-Silvio Mata-18973.83
394948-Antonio Viegas-14878.08
682420-Oliveira Carmona-436.66
688156-Branco Saraba-4415.75
801312-Augusta Paio-19114.66
113019-Flamednia Leiria-12024.42
234706-Odilia Camello-8375.73
217546-Almor Caiado-9679.10
131363-Zungela Ipiranga-4546.31
987136-Elisa Themes-457.13
661334-Armindo Castalo-15443.52
363420-Urbano Rodrigues-12792.64
433483-Leonidas Mafra-9984.62
442957-Clara Alcantara-15851.51
849974-Edgar Carvalheiro-14244.68
446989-Delfina Perdigon-7660.98
838085-Trajano Fagundes-8213.32
11910-Aludsio Sosa-2200.66
772914-Ximena Castilho-21111.98
399113-Neuza Francia-21411.85
742747-Silvio Mata-2203.62
985360-Jorgina Bogalho-7647.26
551808-Flor Portella-10351.59
784319-Tibofarcio Camacho-18826.02
591841-Henrique Bento-10429.69
381825-Edgar Carvalheiro-9279.32
129706-Neuza Francia-13667.70
451052-Almor Caiado-14007.82
682356-Joaquim Rufino-15845.55
61205-Esperada Cardoso-6224.70
636473-Liana Cardim-2357.29
80460-Joaquim Rufino-1742.31
304465-Polibe Olivares-19257.83
507261-Anfnia Seixas-12390.84
860652-Basilio Pedroso-7031.92
198654-Branco Saraba-820.90
634286-Honorina Lira-5782.20
402254-Guida Juca-8816.71
752809-Leonidas Mafra-19603.53
817314-Romo Paranage-21214.14
66552-Andreia Moita-14105.67
194563-Eurico Siqueira-13721.64
48415-Emedlio Pimentel-11379.85
61591-Almerinda Palmeira-17064.92
709752-Antonio Viegas-3678.69
326521-Ubaldo Mainha-6940.68
875238-Silvio Mata-13037.02
710342-Romo Paranage-8706.21
843742-Emiliana Foquio-17623.73
532000-Tibofarcio Camacho-17951.91
206935-Clara Alcantara-9627.74
94940-Branco Saraba-16329.68
730433-Delfina Perdigon-2755.33
665221-Henrique Bento-731.11
683623-Delfim Higuera-7608.21
410185-Angelica Aranha-12341.47
226732-Odete Vasques-2735.39
262971-Ubaldo Mainha-13932.49
969953-Delfina Garcia de Gondim-16990.93
546387-Oliveira Senchez-6281.41
53478-Oliveira Carmona-9503.48
644053-Tarrataca Soares-7539.59
914922-Cassandra Varejo-2132.06
170552-Taercio Mafra-12538.71
434554-Cassandra Varejo-8200.71
567582-Cassandra Varejo-17624.81
768288-Leonidas Mafra-20157.08
187312-Telma Villalobos-104.88
743259-Armanda Amorim-9234.58
672587-Esperada Cardoso-2725.20
308962-Guida Juca-1790.90
718936-Henrique Bento-20537.34
129778-Tarrataca Soares-8261.66
557198-Ximena Castilho-19293.36
95492-Edgar Carvalheiro-6272.87
970764-Adelino Barra-15828.54
509536-Jussara Varanda-11951.39
70694-Rebeca Neto-7678.43
397284-Anfnia Seixas-11715.86
333048-Daniel Vieyra-20212.59
409987-Odilia Bello-8170.84
351387-Cleusa Goes-6693.19
252189-Zungela Ipiranga-10634.49
359178-Quintiliano Sousa de Arronches-1275.23
853927-Antonio Viegas-821.34
420059-Quintiliano Sousa de Arronches-16881.05
984113-Sofras Cuaresma-18846.15
256468-Aludsio Sosa-9452.02
532799-Emedlia Silvera-2631.15
783060-Joaquim Rufino-15374.48
37286-Edgar Carvalheiro-11013.75
381658-Adelina Quadros-20527.26
492935-Zulmira Becerra-8504.95
769686-Taercio Mafra-20028.54
382463-Emiliana Foquio-3212.24
798526-Telma Villalobos-9206.44
585455-Sara Lameiras-12686.28
511540-Odete Vasques-12334.01
796797-Ubaldo Mainha-8254.50
668132-Carminda Morais-9682.33
314484-Dulce Froes-19342.71
561168-Rodolfo Paz-17551.69
127120-Odilia Camello-3371.78
142118-Filomena Barrios-6539.48
679712-Estanislau Beserra-3398.46
868098-Ubaldo Mainha-221.61
161689-Basilio Pedroso-12837.47
586372-Andreia Moita-10247.75
729195-Ximena Castilho-130.88
471090-Zulmira Becerra-15677.56
694162-Ermelinda Quintela-12675.87
292045-Spnia ou Sonia Guerreiro-20771.48
616126-Odete Vasques-3707.91
467651-Filomena Barrios-15069.34
173094-Regina Barcellos-13181.30
102733-Flor Portella-20339.98
192980-Marilda Leio-10476.76
911596-Delfim Higuera-2437.79
547753-Tabalipa Duarte-5675.08
634250-Rodolfo Paz-1344.95
470501-Marilda Leio-4821.89
93790-Armindo Castalo-5644.81
885777-Sara Lameiras-2866.14
372101-Cleusa Goes-4990.81
806095-Quintino Alcantara-10572.55
86575-Romo Paranage-1348.74
528419-Delfim Higuera-8000.67
233434-Flor Portella-264.95
713162-Letedcia Gago-11950.42
280750-Armindo Castalo-8361.93
120684-Romo Paranage-20656.63
547447-Fulvio Villegas-3752.74
154912-Silvio Mata-18151.59
37495-Quintino Alcantara-2800.48
886372-Branco Saraba-7188.54
864902-Tabalipa Duarte-13239.41
357536-Eurico Siqueira-21174.69
525963-Estanislau Beserra-882.19
472907-Flor Portella-5559.32
443917-Zungela Ipiranga-13862.13
910082-Angilica Galante-19993.33
565564-Andreia Moita-15153.97
702409-Elisa Themes-20115.52
969447-Manuel Capiperibe-17111.06
801626-Esperada Cardoso-21209.92
921095-Ermelinda Quintela-2643.73
397883-Angilica Galante-3227.31
941323-Armanda Amorim-11962.57
495715-Quintino Alcantara-9812.46
92459-Guaraci Damasceno-2452.07
398510-Adelina Quadros-12701.17
368017-Joaquim Rufino-2431.99
127474-Basilio Pedroso-20239.01
562660-Polibe Olivares-4563.87
529322-Liana Cardim-3347.05
866261-Ximena Castilho-5686.26
660050-Camila Gabeira-12930.24
922758-Almor Caiado-11604.81
920522-Zungela Ipiranga-1974.93
850152-Armanda Amorim-17465.86
508752-Angilica Galante-2015.01
500652-Nuno Balsemeo-19228.69
406005-Tibofarcio Camacho-8435.13
379721-Melinda Roserio-9260.75
975649-Manuel Capiperibe-3031.21
80161-Jonatas Felgueiras-18409.87
558158-Sofras Cuaresma-4211.64
767176-Ermelinda Quintela-3086.03
749531-Letedcia Gago-15915.23
978130-Spnia ou Sonia Guerreiro-5308.90
929594-Delfina Garcia de Gondim-6603.98
997653-Ermelinda Quintela-18318.99
264224-Odilia Camello-12658.21
948067-Branco Saraba-9737.18
18631-Emedlio Pimentel-5192.10
793894-Mercia Caeira-20232.90
711302-Heleedsa Marins-14553.64
652387-Feledcia Peassego-12856.48
591176-Angilica Galante-5629.14
507033-Danilo Olaio-2684.08
41473-Guida Juca-6473.38
76653-Odete Vasques-8223.35
980590-Almor Caiado-10366.00
913464-Letedcia Gago-11665.48
437933-Melinda Roserio-16685.66
83321-Edgar Carvalheiro-7298.77
715889-Leonidas Mafra-10665.88
28390-Melinda Roserio-18242.40
427232-Almerinda Palmeira-20158.31
381991-Clarindo Areosa-18388.55
226469-Telma Villalobos-8924.13
469418-Leonidas Mafra-15254.89
127841-Honorina Lira-13659.86
607745-Marilda Leio-12574.16
321554-Angelica Aranha-21258.54
244918-Flor Portella-21269.37
490702-Emedlia Silvera-9541.70
100712-Artur Grillo-11761.98
358476-Branco Saraba-9541.42
46231-Letedcia Gago-18795.23
625754-Clarindo Areosa-1882.66
575696-Tarrataca Soares-8357.36
344654-Henrique Bento-13588.64
229557-Delfim Higuera-8759.88
178472-Esperada Cardoso-3608.26
693679-Nuno Balsemeo-3325.87
601775-Tibofarcio Camacho-6670.78
97710-Judite Damasceno-6721.78
350224-Henrique Bento-16335.37
950493-Tarrataca Soares-19665.83
921903-Ximena Castilho-19397.25
305926-Cleusa Goes-528.17
695567-Flor Portella-14231.62
71418-Anfnia Seixas-6449.08
379645-Edgar Carvalheiro-10320.86
574535-Odilia Camello-21057.80
706705-Basilio Pedroso-3008.98
8396-Odete Vasques-9789.96
24351-Judite Damasceno-16693.46
698153-Neeamia Arruda-928.13
895442-Tarrataca Soares-2357.35
875391-Angelica Aranha-8430.41
591067-Delfina Perdigon-12927.36
170311-Anfnia Seixas-8033.24
253572-Manuel Capiperibe-6322.20
162404-Gaudancio Fiees-7577.94
174429-Letedcia Gago-11595.01
747645-Delfim Higuera-6440.26
15468-Odilia Camello-3875.67
336375-Armanda Amorim-13442.65
240244-Jussara Varanda-10986.76
901885-Clarindo Areosa-19865.52
864291-Antonio Castelo-5486.59
21172-Branco Saraba-2913.46
569382-Odilia Camello-20906.00
720096-Armanda Amorim-20122.78
166995-Anind Zarco-3889.69
511852-Adelino Barra-352.33
368731-Ximena Castilho-16232.49
571504-Zulmira Becerra-3441.01
587017-Feledcia Peassego-3118.58
853524-Delfina Garcia de Gondim-13187.60
160599-Romo Paranage-12701.40
203811-Zungela Ipiranga-15891.62
87280-Feledcia Peassego-7732.47
190653-Eurico Siqueira-20019.68
88465-Cassandra Varejo-9386.51
3774-Fulvio Villegas-316.79
461327-Estanislau Beserra-2600.48
969125-Lina Andrade-11456.19
258023-Delfina Perdigon-6337.23
739817-Edgar Carvalheiro-11075.76
289897-Domingos Pas-12627.37
982979-Adelina Quadros-2444.57
538430-Jorgina Bogalho-10035.44
209824-Judite Damasceno-20247.35
675916-Henrique Bento-19183.40
111136-Henrique Bento-18438.60
779481-Romo Paranage-2978.37
212773-Odete Vasques-19628.06
747385-Polibe Olivares-17405.81
139915-Leonidas Mafra-7298.37
808599-Spnia ou Sonia Guerreiro-9171.27
617729-Rebeca Neto-7036.26
104829-Almor Caiado-3806.81
355634-Rodolfo Paz-20388.91
573888-Quintiliano Sousa de Arronches-12480.83
959290-Zulmira Becerra-5447.11
23693-Guaraci Damasceno-21114.90
135827-Odilia Camello-11292.19
867198-Oliveira Senchez-894.83
837527-Trajano Fagundes-14516.23
383985-Anfnia Seixas-919.48
183524-Angilica Galante-15755.66
439955-Emedlio Pimentel-10491.87
240558-Feledcia Peassego-14335.42
808692-Manuel Capiperibe-4356.33
716469-Clarindo Areosa-11415.92
367-Moaci Mendoa-14356.16
121715-Rodolfo Paz-15777.52
82340-Emiliana Foquio-5661.35
623915-Judite Damasceno-11819.73
2609-Odilia Camello-2378.73
24670-Odilia Camello-11440.56
673077-Almor Caiado-19974.96
2614-Carminda Morais-16542.53
739455-Clarindo Areosa-21390.62
75870-Camila Gabeira-10752.95
122993-Leonidas Mafra-3068.12
176659-Danilo Olaio-1314.50
965993-Tibefarcio Colao-3645.32
722027-Ermelinda Quintela-5991.56
133734-Mercia Caeira-15651.58
977007-Celeste Duarte-20321.83
902281-Romo Paranage-5563.73
530736-Jorgina Bogalho-18133.75
701655-Branco Saraba-13996.31
505278-Adelino Barra-5632.23
417249-Jorgina Bogalho-19963.46
461259-Odilia Bello-13680.39
256785-Edgar Carvalheiro-19550.05
