309061-Joaquim Rufino-9844.99
782927-Heleedsa Marins-8446.82
44874-Filomena Barrios-19101.03
509501-Quintino Alcantara-3718.91
481606-Tibefarcio Colao-20277.65
629012-Guida Juca-10101.52
256316-Liana Cardim-19401.01
508400-Gaudancio Fiees-11703.82
682674-Anind Zarco-16570.54
929755-Quintino Alcantara-11776.58
854729-Feledcia Peassego-21245.48
583200-Mercia Caeira-6978.47
373101-Marilda Leio-19148.92
9843-Sara Lameiras-15709.18
50573-Spnia ou Sonia Guerreiro-2029.16
858217-Oliveira Senchez-370.61
990565-Jonatas Felgueiras-13753.17
696276-Taercio Mafra-3433.42
732822-Spnia ou Sonia Guerreiro-16620.25
175931-Dulce Froes-18869.55
719061-Liana Cardim-18133.26
458154-Armindo Castalo-14744.25
879121-Taercio Mafra-8793.15
919385-Delfina Garcia de Gondim-6678.41
366920-Neuza Francia-20468.92
579907-Odilia Bello-4572.66
461434-Flor Portella-3777.73
960342-Basilio Pedroso-13704.69
841636-Augusta Paio-6437.18
293323-Neeamia Arruda-5924.11
919307-Joaquim Rufino-14821.30
93166-Eurico Siqueira-1021.04
630531-Regina Barcellos-15919.83
576278-Melinda Roserio-14194.19
439906-Odilia Bello-21037.86
735727-Zulmira Becerra-13778.82
92751-Feledcia Peassego-2518.60
767296-Armanda Amorim-6658.20
784112-Angelica Aranha-16426.62
858579-Sara Lameiras-5444.72
887748-Odilia Camello-6963.91
759053-Camila Gabeira-20754.84
55693-Emedlio Pimentel-10846.31
183473-Tibofarcio Camacho-17862.07
152237-Moaci Mendoa-14561.64
45262-Guida Juca-2974.16
688060-Branco Saraba-4945.09
620253-Rodolfo Paz-12752.76
21765-Delfina Perdigon-8355.76
658124-Aludsio Sosa-8374.35
705259-Emedlia Silvera-10203.23
882233-Sara Lameiras-10500.82
679903-Marilda Leio-2536.54
461039-Odilia Camello-16578.37
177730-Filomena Barrios-16355.06
196896-Ermelinda Quintela-860.67
614796-Sidfnio Frois-17617.55
892866-Rebeca Neto-5978.92
991447-Spnia ou Sonia Guerreiro-1124.30
268528-Danilo Olaio-9490.88
17432-Lurdes Cotrim-15527.94
157467-Almerinda Palmeira-12581.92
814503-Emedlia Silvera-1673.88
102718-Taercio Mafra-20198.49
598392-Tibofarcio Camacho-17925.44
290486-Adelino Barra-15892.57
882023-Cleusa Goes-6403.88
498460-Zungela Ipiranga-13452.81
390739-Tibefarcio Colao-747.89
375678-Lurdes Cotrim-6190.57
795504-Telma Villalobos-13750.75
54318-Honorina Lira-8917.48
394820-Neuza Francia-12445.63
389055-Oliveira Senchez-13706.66
736850-Micaela Chavez-9087.80
106793-Almerinda Palmeira-13150.71
544146-Emedlio Pimentel-7394.69
736970-Tabalipa Duarte-18239.68
338222-Spnia ou Sonia Guerreiro-15488.75
369666-Artur Grillo-7497.67
5780-Danilo Olaio-2640.79
435470-Andreia Moita-11121.33
57321-Estanislau Beserra-490.44
583941-Estanislau Beserra-16234.33
476369-Emedlio Pimentel-10506.86
428686-Moaci Mendoa-21137.93
637788-Cleusa Goes-6038.54
234825-Filomena Barrios-4301.07
145365-Adelina Quadros-429.62
328153-Eurico Siqueira-17023.31
568067-Sidfnio Frois-20623.37
915245-Guaraci Damasceno-5282.89
494450-Rodolfo Paz-5058.63
152889-Clarindo Areosa-149.63
993281-Mercia Caeira-10754.39
614017-Aludsio Sosa-11848.68
821935-Tabalipa Duarte-19325.06
15412-Taercio Mafra-18112.57
176554-Oliveira Carmona-189.19
212454-Odilia Bello-9252.47
531494-Honorina Lira-8543.31
445531-Zungela Ipiranga-11812.46
976178-Celeste Duarte-6502.57
67311-Ermelinda Quintela-5059.26
107987-Odilia Camello-21189.20
835054-Flor Portella-21030.50
871659-Jussara Varanda-17733.88
761947-Flamednia Leiria-18694.04
275593-Urbano Rodrigues-20675.80
234467-Almor Caiado-17693.09
40939-Rodolfo Paz-17243.57
217142-Joaquim Rufino-493.19
165842-Quintino Alcantara-38.11
493415-Taercio Mafra-16368.79
783804-Filomena Barrios-1295.03
513378-Lina Andrade-8273.38
627174-Micaela Chavez-15492.10
246629-Romo Paranage-7514.88
155624-Jorgina Bogalho-10117.64
983172-Rebeca Neto-2255.14
57427-Aludsio Sosa-950.72
462808-Liana Cardim-5352.89
630913-Fulvio Villegas-20744.55
56191-Taercio Mafra-9234.65
924237-Domingos Pas-13922.48
711980-Cassandra Varejo-2612.78
582492-Clara Alcantara-8629.05
841357-Clara Alcantara-8346.68
20339-Melinda Roserio-19878.24
295992-Cleusa Goes-463.23
397124-Polibe Olivares-2303.81
371580-Odete Vasques-12468.44
148539-Liana Cardim-21294.74
253236-Augusta Paio-13810.47
752982-Cleusa Goes-16549.71
239412-Artur Grillo-7752.00
580285-Delfim Higuera-8447.82
647259-Cassandra Varejo-14896.23
202281-Telma Villalobos-2841.60
520945-Edgar Carvalheiro-14434.56
870422-Adelino Barra-2943.70
291650-Dulce Froes-7087.41
1773-Oliveira Carmona-5884.06
166633-Lurdes Cotrim-20846.59
828700-Elisa Themes-3919.29
739076-Tarrataca Soares-20821.68
927491-Sofras Cuaresma-15402.65
21118-Telma Villalobos-3154.28
299290-Emiliana Foquio-13066.31
917632-Clara Alcantara-12306.68
859316-Emedlia Silvera-3130.55
181770-Delfim Higuera-7963.46
347801-Antonio Castelo-10683.48
21028-Sidfnio Frois-10560.31
741289-Tibofarcio Camacho-16828.60
949174-Antonio Viegas-461.15
356663-Augusta Paio-7020.43
62600-Domingos Pas-2185.80
391990-Rebeca Neto-15778.79
881524-Danilo Olaio-3253.13
859898-Taercio Mafra-8021.73
691533-Armindo Castalo-10913.54
264361-Leonidas Mafra-2922.19
759624-Emedlia Silvera-5342.40
430560-Micaela Chavez-10509.81
30151-Odilia Bello-13499.30
314162-Neeamia Arruda-588.03
379229-Ermelinda Quintela-1698.66
872611-Guaraci Damasceno-10252.58
996591-Tarrataca Soares-7616.56
304817-Adelina Quadros-8225.16
184063-Delfina Perdigon-15022.07
893277-Armanda Amorim-13619.88
466935-Clara Alcantara-9902.64
588022-Oliveira Carmona-3242.11
568888-Zungela Ipiranga-19032.41
181312-Tabalipa Duarte-13670.71
320081-Polibe Olivares-2559.67
555370-Jussara Varanda-10328.40
186469-Lurdes Cotrim-7093.52
614659-Artur Grillo-5161.74
731959-Jorgina Bogalho-7663.58
720141-Joaquim Rufino-1087.67
927005-Regina Barcellos-17592.34
373579-Neeamia Arruda-3313.39
801153-Lurdes Cotrim-18029.08
675253-Augusta Paio-19250.89
352541-Henrique Bento-13999.25
895617-Guida Juca-4459.97
212824-Esperada Cardoso-6411.83
185686-Guida Juca-1633.15
674100-Nuno Balsemeo-19620.46
402305-Celeste Duarte-6862.83
601958-Liana Cardim-9232.10
581738-Cassandra Varejo-10595.84
288559-Cassandra Varejo-21463.85
236220-Elisa Themes-12385.76
771587-Delfim Higuera-5424.45
273889-Ubaldo Mainha-2278.57
615738-Rodolfo Paz-13200.70
826428-Quintino Alcantara-2857.72
210776-Spnia ou Sonia Guerreiro-949.62
952847-Emedlio Pimentel-1023.65
978620-Flamednia Leiria-16699.67
238680-Quintiliano Sousa de Arronches-14930.65
353752-Basilio Pedroso-20433.53
376372-Lurdes Cotrim-9291.06
4205-Gaudancio Fiees-16648.78
73684-Adelino Barra-2116.68
140180-Elisa Themes-18972.84
390161-Henrique Bento-9886.26
470992-Cassandra Varejo-1493.53
598279-Urbano Rodrigues-1458.23
8515-Rodolfo Paz-10868.01
145058-Andreia Moita-4365.56
381487-Feledcia Peassego-6739.10
518956-Heleedsa Marins-14542.86
232717-Tibefarcio Colao-4078.07
391663-Delfina Perdigon-10818.81
924117-Joaquim Rufino-17750.21
526550-Angilica Galante-9809.27
901000-Estanislau Beserra-10103.98
237921-Neeamia Arruda-16779.97
939617-Odilia Bello-15225.21
640750-Jussara Varanda-14671.83
890356-Telma Villalobos-4240.81
526049-Henrique Bento-5396.00
267698-Augusta Paio-9048.32
403242-Melinda Roserio-20622.24
206572-Gaudancio Fiees-20921.48
809776-Feledcia Peassego-1671.91
555636-Polibe Olivares-8680.92
138575-Filomena Barrios-21423.30
544144-Oliveira Senchez-19447.86
783669-Mercia Caeira-19454.27
63124-Honorina Lira-14898.33
252615-Esperada Cardoso-4738.76
761217-Flamednia Leiria-19741.44
560432-Marilda Leio-12130.63
756648-Adelina Quadros-5497.86
490046-Spnia ou Sonia Guerreiro-18815.96
150787-Danilo Olaio-19021.51
726215-Spnia ou Sonia Guerreiro-7608.06
298257-Basilio Pedroso-7508.67
908133-Flor Portella-8116.51
217252-Edgar Carvalheiro-13797.14
607103-Neeamia Arruda-9814.83
596642-Jonatas Felgueiras-10712.44
934937-Esperada Cardoso-20568.04
13652-Tibofarcio Camacho-7250.77
240552-Odilia Camello-9985.67
174891-Tibofarcio Camacho-17107.18
201317-Sidfnio Frois-17244.44
74104-Danilo Olaio-5702.59
249221-Sidfnio Frois-19181.67
367417-Carminda Morais-7929.01
835402-Neeamia Arruda-19135.08
179223-Tabalipa Duarte-15246.21
182932-Spnia ou Sonia Guerreiro-5310.72
249770-Estanislau Beserra-9950.86
619013-Sofras Cuaresma-7138.43
584087-Nuno Balsemeo-20020.18
216978-Odete Vasques-14327.35
172615-Domingos Pas-11483.26
995141-Odilia Camello-9460.91
984577-Neeamia Arruda-6239.75
687697-Celeste Duarte-16718.10
873466-Moaci Mendoa-2685.06
819455-Heleedsa Marins-5356.89
86094-Emedlia Silvera-15389.39
946385-Oliveira Carmona-16805.58
857670-Jussara Varanda-6946.58
519793-Angelica Aranha-4833.91
626264-Manuel Capiperibe-18075.64
508046-Filomena Barrios-11230.76
73272-Eurico Siqueira-13890.60
539193-Tibefarcio Colao-18377.48
512914-Neuza Francia-13031.38
140133-Oliveira Senchez-8564.73
839434-Andreia Moita-4070.76
624469-Guida Juca-6800.22
768495-Quintino Alcantara-5263.96
930051-Esperada Cardoso-16569.16
343157-Moaci Mendoa-15010.59
598271-Silvio Mata-6290.83
944614-Edgar Carvalheiro-9591.56
265954-Delfim Higuera-11366.96
430399-Feledcia Peassego-9277.25
584467-Anfnia Seixas-18568.65
943794-Cleusa Goes-1602.21
241799-Quintiliano Sousa de Arronches-11278.45
613847-Adelina Quadros-11786.14
644025-Neuza Francia-1670.60
582016-Adelina Quadros-16734.03
600434-Sara Lameiras-4035.18
694420-Silvio Mata-15984.63
848553-Emedlia Silvera-15872.45
783232-Zulmira Becerra-20416.75
855573-Gaudancio Fiees-10827.76
401383-Delfina Garcia de Gondim-13937.20
539459-Rebeca Neto-2184.78
699836-Quintino Alcantara-13850.92
256536-Delfina Garcia de Gondim-12932.52
245704-Tabalipa Duarte-4263.51
809957-Carminda Morais-5919.51
457340-Basilio Pedroso-7656.45
777479-Mercia Caeira-1890.10
793214-Nuno Balsemeo-6997.94
533812-Tibofarcio Camacho-14536.49
655758-Angilica Galante-11595.67
514838-Clarindo Areosa-2246.23
219169-Silvio Mata-14763.23
537248-Quintino Alcantara-11460.96
431828-Spnia ou Sonia Guerreiro-8908.58
729716-Delfina Perdigon-641.84
545535-Flor Portella-14426.41
856603-Armanda Amorim-16904.19
412523-Armindo Castalo-19442.12
160045-Estanislau Beserra-9842.62
683636-Guida Juca-6674.34
443444-Neuza Francia-11539.49
681267-Quintiliano Sousa de Arronches-14241.68
527305-Oliveira Senchez-5092.22
625583-Quintiliano Sousa de Arronches-7236.54
590822-Tabalipa Duarte-15933.83
507104-Tibofarcio Camacho-13744.45
68848-Oliveira Carmona-16653.02
157313-Nuno Balsemeo-19057.14
523026-Rebeca Neto-19898.74
570617-Ximena Castilho-8530.74
185117-Angelica Aranha-20365.18
422337-Edgar Carvalheiro-14637.15
982115-Antonio Viegas-5197.59
153690-Melinda Roserio-4979.01
699119-Spnia ou Sonia Guerreiro-18244.92
428359-Gaudancio Fiees-7965.15
798750-Lina Andrade-3271.00
104124-Ximena Castilho-6052.58
137695-Rebeca Neto-1832.97
949626-Ximena Castilho-5148.68
679323-Armanda Amorim-6120.53
390681-Fulvio Villegas-6994.75
270165-Sidfnio Frois-1059.74
371375-Antonio Viegas-21251.27
642492-Angelica Aranha-12053.43
296879-Antonio Castelo-17057.71
912777-Melinda Roserio-7740.86
346789-Domingos Pas-1007.07
495086-Oliveira Carmona-16298.44
550417-Spnia ou Sonia Guerreiro-20507.94
680067-Micaela Chavez-20309.90
843831-Regina Barcellos-5768.97
722976-Marilda Leio-12601.67
877512-Spnia ou Sonia Guerreiro-2950.55
933022-Sara Lameiras-5526.97
996681-Ermelinda Quintela-14789.94
575592-Filomena Barrios-1534.23
771308-Cleusa Goes-3887.70
708438-Joaquim Rufino-19432.65
459064-Angilica Galante-3643.32
77451-Ermelinda Quintela-8000.12
748716-Guida Juca-9918.56
411548-Daniel Vieyra-2560.95
48063-Romo Paranage-12599.73
811951-Quintino Alcantara-2064.22
951386-Angelica Aranha-10674.19
862023-Armanda Amorim-3445.11
858966-Angilica Galante-5122.82
562690-Eurico Siqueira-285.07
143594-Tibofarcio Camacho-12239.66
518601-Anfnia Seixas-3185.60
399738-Antonio Viegas-718.25
177687-Tabalipa Duarte-11832.36
638964-Quintino Alcantara-16112.84
154946-Filomena Barrios-13336.12
884477-Eurico Siqueira-15555.64
608083-Delfina Perdigon-18354.26
754895-Delfim Higuera-7998.01
671702-Artur Grillo-6968.80
369943-Camila Gabeira-10090.24
916386-Odilia Bello-16395.43
958396-Ubaldo Mainha-3244.59
888858-Camila Gabeira-19356.36
398046-Joaquim Rufino-12907.92
396176-Filomena Barrios-8324.63
816271-Branco Saraba-11133.47
655011-Basilio Pedroso-14649.55
520692-Rodolfo Paz-20407.10
668271-Tabalipa Duarte-10818.98
322538-Filomena Barrios-5317.85
942556-Ximena Castilho-7547.01
638480-Telma Villalobos-4031.76
642675-Clarindo Areosa-4690.65
915745-Cassandra Varejo-12084.63
473050-Mercia Caeira-17338.59
642892-Eurico Siqueira-1041.92
893009-Guida Juca-16818.46
601778-Honorina Lira-3688.84
595459-Letedcia Gago-9725.52
985800-Antonio Viegas-13738.74
400042-Zulmira Becerra-6493.33
873139-Elisa Themes-12649.72
321181-Delfim Higuera-11451.31
405504-Cassandra Varejo-14730.46
797776-Tarrataca Soares-17125.20
652944-Delfina Perdigon-10496.79
855484-Regina Barcellos-10400.88
46184-Delfim Higuera-13716.90
947235-Taercio Mafra-6968.02
263045-Honorina Lira-18597.88
363555-Melinda Roserio-15747.04
165153-Antonio Viegas-14810.93
658939-Dulce Froes-19034.15
217418-Heleedsa Marins-4823.37
238638-Camila Gabeira-6561.34
635127-Quintino Alcantara-11097.87
223156-Joaquim Rufino-8091.59
174088-Joaquim Rufino-12192.05
8616-Basilio Pedroso-856.69
911362-Delfim Higuera-6379.32
688514-Sofras Cuaresma-12602.95
315330-Elisa Themes-5599.77
913940-Marilda Leio-10876.36
159723-Zulmira Becerra-11648.53
452073-Anfnia Seixas-20000.92
780391-Basilio Pedroso-10322.43
303921-Angilica Galante-5129.83
915674-Emiliana Foquio-21241.57
733778-Urbano Rodrigues-19396.82
353694-Aludsio Sosa-9321.10
277574-Carminda Morais-4753.15
421811-Spnia ou Sonia Guerreiro-12186.30
659544-Ubaldo Mainha-1320.60
828308-Odilia Camello-5082.20
849958-Tarrataca Soares-16726.72
5919-Elisa Themes-10429.69
949135-Esperada Cardoso-18162.73
567794-Dulce Froes-7377.05
391728-Tibefarcio Colao-13264.39
884524-Augusta Paio-21317.92
825580-Andreia Moita-7185.86
62099-Quintiliano Sousa de Arronches-8090.08
275587-Tarrataca Soares-17366.67
641334-Daniel Vieyra-11100.12
376759-Silvio Mata-15588.62
204148-Esperada Cardoso-15918.68
791334-Melinda Roserio-1713.33
361472-Augusta Paio-2539.01
605003-Trajano Fagundes-9112.93
563247-Camila Gabeira-816.94
114862-Basilio Pedroso-5505.19
497419-Quintino Alcantara-14305.82
