546734-Spnia ou Sonia Guerreiro-10598.06
803677-Sara Lameiras-20136.50
929233-Rebeca Neto-9517.53
610581-Edgar Carvalheiro-825.62
512210-Armindo Castalo-11873.31
36440-Liana Cardim-23.87
404988-Tarrataca Soares-6173.45
598292-Jussara Varanda-853.13
641534-Tarrataca Soares-4067.61
8757-Daniel Vieyra-12179.11
869424-Feledcia Peassego-20041.17
907430-Leonidas Mafra-10244.54
120536-Heleedsa Marins-15793.83
941815-Andreia Moita-7515.10
296799-Odilia Camello-5285.38
673864-Flamednia Leiria-20625.75
610776-Edgar Carvalheiro-4274.96
941565-Silvio Mata-15810.95
126173-Zungela Ipiranga-20687.36
119314-Adelino Barra-3542.61
602740-Micaela Chavez-2836.47
198933-Spnia ou Sonia Guerreiro-130.71
996143-Feledcia Peassego-9531.91
62845-Quintiliano Sousa de Arronches-9026.50
175150-Oliveira Carmona-17299.46
134475-Melinda Roserio-3851.36
480570-Filomena Barrios-5757.47
171603-Melinda Roserio-1252.05
175389-Celeste Duarte-10743.31
456040-Emedlia Silvera-17074.51
647293-Danilo Olaio-16985.70
955859-Zulmira Becerra-16842.85
750898-Liana Cardim-13657.97
928939-Emedlio Pimentel-16948.60
616916-Melinda Roserio-6065.52
359743-Jonatas Felgueiras-14356.86
193859-Daniel Vieyra-20371.67
524253-Marilda Leio-8808.55
949217-Clara Alcantara-1995.47
142991-Guaraci Damasceno-4000.03
597978-Micaela Chavez-5526.50
699956-Basilio Pedroso-5141.22
356355-Artur Grillo-13088.73
236766-Leonidas Mafra-2213.18
766654-Honorina Lira-1504.52
242818-Odilia Bello-16248.11
371827-Marilda Leio-2645.22
248104-Letedcia Gago-7920.46
329567-Tibefarcio Colao-4935.11
742389-Mercia Caeira-14376.54
638588-Spnia ou Sonia Guerreiro-18312.52
104553-Mercia Caeira-19579.52
371921-Urbano Rodrigues-18308.25
436836-Micaela Chavez-2555.78
394846-Almor Caiado-2823.45
388397-Sara Lameiras-14935.88
101021-Delfim Higuera-21269.60
980584-Odete Vasques-6107.24
231393-Sofras Cuaresma-13650.53
512485-Filomena Barrios-11693.12
312604-Quintino Alcantara-17309.51
279044-Nuno Balsemeo-4535.72
851311-Branco Saraba-11689.44
813007-Emiliana Foquio-9478.97
93073-Judite Damasceno-14852.92
824776-Trajano Fagundes-12401.96
884211-Antonio Viegas-16482.97
465238-Sidfnio Frois-4517.94
608462-Odilia Bello-6790.26
263099-Judite Damasceno-3820.55
572142-Cleusa Goes-21083.67
649920-Guaraci Damasceno-21156.46
196390-Tibefarcio Colao-9180.14
84259-Quintiliano Sousa de Arronches-19718.27
550293-Anind Zarco-12034.36
877500-Ermelinda Quintela-9107.77
792345-Estanislau Beserra-5711.78
183007-Daniel Vieyra-4491.60
297591-Andreia Moita-13367.68
982016-Oliveira Senchez-15800.31
978670-Heleedsa Marins-4691.20
442494-Mercia Caeira-19827.70
994393-Urbano Rodrigues-16364.82
489938-Sidfnio Frois-12610.83
882315-Zulmira Becerra-11121.50
82724-Spnia ou Sonia Guerreiro-14720.27
995913-Eurico Siqueira-16868.20
206552-Sidfnio Frois-17360.02
727929-Feledcia Peassego-828.16
275087-Zulmira Becerra-2397.98
876862-Ximena Castilho-12287.77
362211-Neuza Francia-4857.36
10178-Rodolfo Paz-6117.30
188426-Jorgina Bogalho-6282.20
193610-Clarindo Areosa-14831.03
151508-Eurico Siqueira-3667.02
886896-Jussara Varanda-6666.98
316688-Quintiliano Sousa de Arronches-18839.04
906124-Telma Villalobos-1751.48
780018-Cassandra Varejo-5144.23
685116-Odete Vasques-11363.00
709914-Branco Saraba-20016.62
537034-Jonatas Felgueiras-9311.89
846516-Sofras Cuaresma-9903.78
755321-Quintiliano Sousa de Arronches-20035.71
813744-Gaudancio Fiees-8792.39
415637-Rebeca Neto-6756.42
353344-Micaela Chavez-19639.59
293521-Regina Barcellos-8983.81
566463-Romo Paranage-9631.61
121483-Gaudancio Fiees-15908.47
486307-Odilia Camello-11030.73
70724-Domingos Pas-14826.10
901832-Lurdes Cotrim-709.73
953217-Judite Damasceno-2767.28
623546-Anind Zarco-10645.42
995544-Leonidas Mafra-17589.57
65124-Heleedsa Marins-18993.11
555189-Melinda Roserio-10741.21
193669-Heleedsa Marins-15136.87
772003-Zulmira Becerra-13103.25
650701-Moaci Mendoa-16928.11
708326-Neuza Francia-9993.98
955056-Silvio Mata-19893.00
95669-Daniel Vieyra-9957.70
323775-Anfnia Seixas-16493.93
790884-Romo Paranage-219.05
900242-Zungela Ipiranga-10749.70
1243-Tarrataca Soares-2500.42
967307-Tibofarcio Camacho-20172.36
127508-Regina Barcellos-4485.24
134259-Polibe Olivares-9751.75
213825-Urbano Rodrigues-13038.83
419593-Adelina Quadros-2183.54
598079-Odilia Camello-8564.50
20956-Eurico Siqueira-9267.74
985618-Aludsio Sosa-13085.65
907700-Flor Portella-5299.81
173252-Odilia Camello-5549.82
559441-Clarindo Areosa-1344.66
149084-Polibe Olivares-2315.94
63664-Romo Paranage-2897.28
305840-Manuel Capiperibe-14119.42
462688-Henrique Bento-7858.78
919688-Liana Cardim-6299.92
662761-Tibefarcio Colao-12210.13
315454-Lina Andrade-14759.99
873310-Odete Vasques-10064.23
401455-Danilo Olaio-17115.96
487780-Eurico Siqueira-3706.72
809604-Manuel Capiperibe-6448.21
655280-Flor Portella-16968.85
191863-Almerinda Palmeira-9247.07
127677-Judite Damasceno-14751.69
417780-Tabalipa Duarte-10426.05
157839-Delfim Higuera-6227.85
671631-Emedlio Pimentel-18651.00
782744-Zulmira Becerra-4964.90
358715-Liana Cardim-18868.91
433493-Artur Grillo-19913.79
458033-Angelica Aranha-6797.05
592548-Manuel Capiperibe-5478.76
454944-Leonidas Mafra-4235.85
775398-Ubaldo Mainha-16107.12
973504-Celeste Duarte-326.47
163693-Lina Andrade-8408.04
883272-Andreia Moita-6669.92
601509-Armanda Amorim-8197.75
258807-Clarindo Areosa-18291.34
28418-Moaci Mendoa-21025.67
469785-Micaela Chavez-17745.42
731991-Flor Portella-10766.51
911405-Estanislau Beserra-2986.22
281163-Marilda Leio-8523.97
336659-Mercia Caeira-13763.71
513932-Antonio Viegas-3530.51
475744-Tarrataca Soares-11509.34
53901-Lina Andrade-9510.52
121713-Zungela Ipiranga-7598.27
596988-Dulce Froes-1413.72
967506-Guida Juca-16138.42
42871-Artur Grillo-15270.90
994716-Oliveira Senchez-15780.01
47607-Spnia ou Sonia Guerreiro-5437.99
812870-Joaquim Rufino-20471.36
740989-Lurdes Cotrim-6881.66
957099-Ubaldo Mainha-13846.42
681889-Esperada Cardoso-17066.96
698101-Tibefarcio Colao-33.34
848100-Micaela Chavez-3089.31
598083-Oliveira Carmona-3198.98
889732-Oliveira Senchez-7159.41
831946-Edgar Carvalheiro-20449.36
912373-Jorgina Bogalho-4355.00
390061-Sofras Cuaresma-17933.12
754865-Adelino Barra-18560.54
170478-Anfnia Seixas-14645.27
36526-Nuno Balsemeo-12857.25
954516-Fulvio Villegas-21394.23
699609-Anind Zarco-15597.88
816574-Quintiliano Sousa de Arronches-16493.86
291548-Nuno Balsemeo-20352.76
372875-Rebeca Neto-16466.24
971960-Ubaldo Mainha-7820.53
369965-Elisa Themes-2939.59
903551-Lina Andrade-15587.14
635704-Spnia ou Sonia Guerreiro-6344.01
493114-Angelica Aranha-8194.37
78736-Delfim Higuera-9173.92
481581-Adelino Barra-16880.91
331341-Angelica Aranha-11254.24
79171-Ubaldo Mainha-8432.32
767941-Romo Paranage-2211.21
908721-Filomena Barrios-8370.93
549116-Neuza Francia-10874.63
534702-Angelica Aranha-8718.83
573762-Delfim Higuera-8785.19
139749-Clara Alcantara-3445.28
463608-Emiliana Foquio-9766.07
210735-Angelica Aranha-6306.05
261936-Andreia Moita-17629.37
215294-Joaquim Rufino-3985.32
960541-Danilo Olaio-15483.00
329623-Armindo Castalo-8147.25
267618-Armindo Castalo-7807.90
164586-Basilio Pedroso-10923.25
291744-Oliveira Senchez-14578.99
819572-Heleedsa Marins-11945.55
784594-Liana Cardim-15880.19
657680-Judite Damasceno-4827.46
138439-Tibofarcio Camacho-15860.08
43444-Zungela Ipiranga-1047.39
180596-Heleedsa Marins-2217.00
955474-Clarindo Areosa-14360.29
823687-Artur Grillo-2348.13
671552-Liana Cardim-12069.78
886268-Augusta Paio-16162.70
652596-Cleusa Goes-20970.89
430945-Feledcia Peassego-13213.90
332756-Trajano Fagundes-2065.64
355962-Emiliana Foquio-4407.03
315554-Nuno Balsemeo-10017.46
807053-Guaraci Damasceno-5854.43
114754-Zungela Ipiranga-15603.99
147378-Nuno Balsemeo-4687.39
486744-Danilo Olaio-5454.10
151204-Rebeca Neto-5148.13
230871-Aludsio Sosa-12554.65
381847-Polibe Olivares-9644.13
551388-Delfina Garcia de Gondim-6182.62
466581-Carminda Morais-8476.18
422068-Judite Damasceno-12679.33
600438-Tarrataca Soares-1302.57
478585-Gaudancio Fiees-11303.71
902484-Ubaldo Mainha-7880.35
139754-Fulvio Villegas-20315.22
871333-Augusta Paio-16581.89
872612-Elisa Themes-11259.37
995869-Urbano Rodrigues-16293.19
509345-Mercia Caeira-4613.86
587073-Joaquim Rufino-2523.69
367492-Eurico Siqueira-4407.91
410398-Elisa Themes-11313.92
896387-Edgar Carvalheiro-3983.87
297285-Antonio Viegas-18252.89
436781-Sidfnio Frois-13519.45
986426-Artur Grillo-1853.33
865193-Mercia Caeira-20892.05
209326-Augusta Paio-5707.18
966122-Almor Caiado-12462.27
501041-Polibe Olivares-273.31
653693-Moaci Mendoa-16496.98
255985-Trajano Fagundes-6726.25
114970-Antonio Viegas-19765.21
345403-Liana Cardim-6793.35
127365-Moaci Mendoa-15447.72
947601-Angilica Galante-8232.74
957315-Armanda Amorim-11771.40
420082-Silvio Mata-17143.49
717749-Letedcia Gago-12518.31
401704-Adelino Barra-4078.49
454880-Tarrataca Soares-300.19
299346-Oliveira Senchez-13862.75
51892-Adelina Quadros-3119.06
191102-Antonio Viegas-847.68
135813-Judite Damasceno-14928.95
542131-Clarindo Areosa-1253.59
765038-Esperada Cardoso-19353.16
226202-Quintino Alcantara-16062.53
405140-Feledcia Peassego-7674.87
811197-Urbano Rodrigues-20278.89
547798-Ximena Castilho-13448.60
15139-Emedlio Pimentel-13066.76
590914-Fulvio Villegas-8972.44
720566-Anfnia Seixas-5149.51
668677-Telma Villalobos-19850.87
421083-Odilia Bello-2171.46
447858-Celeste Duarte-18389.11
614196-Aludsio Sosa-3496.53
645775-Emedlio Pimentel-6150.58
25068-Cleusa Goes-17338.70
253116-Flor Portella-15859.34
499966-Antonio Castelo-18209.49
21602-Oliveira Carmona-9640.56
965699-Estanislau Beserra-9917.77
677660-Neeamia Arruda-4359.62
284850-Dulce Froes-8413.83
767574-Sara Lameiras-8838.31
566795-Ermelinda Quintela-17404.45
651651-Edgar Carvalheiro-8306.07
707187-Quintiliano Sousa de Arronches-15536.32
684163-Odilia Bello-224.02
521107-Angelica Aranha-5619.02
550071-Jussara Varanda-2634.39
822945-Clarindo Areosa-15864.05
47185-Mercia Caeira-3205.99
874954-Ubaldo Mainha-1064.00
364737-Elisa Themes-10691.68
765220-Augusta Paio-8492.51
818958-Quintiliano Sousa de Arronches-10529.03
447442-Judite Damasceno-3001.26
461871-Adelina Quadros-6188.10
410043-Melinda Roserio-12063.32
823450-Domingos Pas-12218.82
809357-Guaraci Damasceno-15627.05
571980-Cleusa Goes-5962.68
296348-Almor Caiado-3076.59
919895-Jonatas Felgueiras-9140.24
374128-Anind Zarco-21067.89
273243-Liana Cardim-20881.25
812072-Heleedsa Marins-14730.88
982979-Judite Damasceno-19955.50
555431-Augusta Paio-9464.77
29396-Zulmira Becerra-1468.17
942826-Oliveira Senchez-5606.26
777774-Feledcia Peassego-10321.98
211898-Manuel Capiperibe-19974.94
562754-Cassandra Varejo-29.30
81562-Henrique Bento-2273.05
851471-Tibofarcio Camacho-1160.94
524130-Danilo Olaio-4999.06
839432-Edgar Carvalheiro-7848.89
965186-Romo Paranage-9934.45
938853-Emiliana Foquio-16874.74
794152-Urbano Rodrigues-9829.33
870379-Silvio Mata-4662.27
214721-Polibe Olivares-4579.56
734835-Lurdes Cotrim-10645.18
279107-Oliveira Carmona-12076.00
612757-Romo Paranage-17364.51
103800-Marilda Leio-15564.92
199678-Oliveira Senchez-9678.48
845911-Mercia Caeira-5893.29
485245-Angelica Aranha-16272.68
941132-Cleusa Goes-10085.79
22928-Basilio Pedroso-2959.65
302614-Liana Cardim-856.96
109242-Jussara Varanda-6854.31
330003-Moaci Mendoa-8617.10
371729-Guida Juca-5738.39
507663-Armindo Castalo-19099.43
549879-Anfnia Seixas-20481.43
481354-Flor Portella-8365.05
373873-Sofras Cuaresma-13689.90
740480-Quintiliano Sousa de Arronches-16449.32
556704-Jorgina Bogalho-774.71
116673-Henrique Bento-19937.73
115932-Romo Paranage-8013.99
149939-Celeste Duarte-7982.45
300258-Clara Alcantara-641.33
902006-Clarindo Areosa-8626.41
512019-Almerinda Palmeira-15461.91
969729-Trajano Fagundes-7521.89
273025-Rodolfo Paz-16215.63
360762-Heleedsa Marins-15468.19
27092-Ximena Castilho-15108.93
658745-Antonio Castelo-19800.09
986796-Carminda Morais-12646.41
262430-Domingos Pas-4293.08
732052-Clara Alcantara-6816.08
73826-Quintiliano Sousa de Arronches-16105.10
358849-Melinda Roserio-4775.38
303151-Letedcia Gago-3980.24
752644-Odete Vasques-19612.97
708925-Nuno Balsemeo-3521.75
113126-Daniel Vieyra-8742.02
988175-Jorgina Bogalho-16758.61
636686-Armindo Castalo-6953.64
716957-Melinda Roserio-7656.26
526287-Danilo Olaio-6008.74
985461-Filomena Barrios-7749.48
85791-Rodolfo Paz-10503.07
377155-Henrique Bento-13276.10
373612-Urbano Rodrigues-2958.79
449035-Aludsio Sosa-14715.88
343905-Andreia Moita-572.18
163982-Almor Caiado-4252.06
993235-Ximena Castilho-2743.59
463948-Odilia Camello-4060.76
758765-Almerinda Palmeira-16186.02
177943-Jonatas Felgueiras-18285.88
590785-Armanda Amorim-18986.73
574718-Carminda Morais-12275.67
66768-Nuno Balsemeo-5674.57
372664-Guaraci Damasceno-15399.06
369521-Almor Caiado-13967.66
568078-Silvio Mata-16489.30
627081-Jussara Varanda-21289.23
566030-Romo Paranage-19539.04
647355-Heleedsa Marins-15531.79
86757-Quintiliano Sousa de Arronches-16083.57
990766-Flor Portella-15824.64
718230-Nuno Balsemeo-19530.39
55949-Anind Zarco-9706.22
272919-Elisa Themes-5965.11
594419-Basilio Pedroso-11828.80
133574-Domingos Pas-14564.48
878560-Dulce Froes-9455.92
982415-Edgar Carvalheiro-3456.74
162098-Honorina Lira-4223.21
976599-Armanda Amorim-17764.08
378676-Liana Cardim-8879.15
970472-Polibe Olivares-9546.34
129142-Armindo Castalo-11566.90
261002-Augusta Paio-17899.62
298735-Telma Villalobos-310.73
618952-Tibofarcio Camacho-2322.07
385634-Quintiliano Sousa de Arronches-6710.85
592017-Trajano Fagundes-16220.68
218401-Micaela Chavez-13437.46
23552-Gaudancio Fiees-14547.23
218117-Trajano Fagundes-16361.01
876528-Clara Alcantara-16390.72
89856-Guida Juca-5437.17
924869-Fulvio Villegas-10649.78
786937-Manuel Capiperibe-4477.94
529227-Joaquim Rufino-889.29
236171-Jussara Varanda-16373.14
534848-Celeste Duarte-7794.23
507642-Tarrataca Soares-16166.41
318259-Jonatas Felgueiras-14071.81
53457-Guaraci Damasceno-17593.99
187650-Manuel Capiperibe-21082.76
988124-Carminda Morais-1118.82
478124-Domingos Pas-10358.07
930569-Polibe Olivares-11815.94
972583-Delfim Higuera-17321.23
221388-Marilda Leio-19963.59
555543-Branco Saraba-7724.10
473816-Cleusa Goes-5534.34
654657-Emedlia Silvera-17617.53
558313-Melinda Roserio-18788.06
79812-Cassandra Varejo-17925.10
189626-Elisa Themes-3100.15
16897-Augusta Paio-7354.93
822627-Silvio Mata-5639.40
938255-Edgar Carvalheiro-19739.12
466382-Almerinda Palmeira-9026.50
341698-Odilia Bello-1687.22
639867-Sidfnio Frois-13941.96
579291-Angilica Galante-16278.50
732578-Spnia ou Sonia Guerreiro-1769.25
285142-Neeamia Arruda-8250.05
629863-Oliveira Senchez-9161.94
856596-Andreia Moita-9942.11
406563-Jonatas Felgueiras-21240.34
550349-Flamednia Leiria-4584.89
333533-Nuno Balsemeo-3814.71
992287-Eurico Siqueira-13828.13
61459-Danilo Olaio-20944.53
565043-Celeste Duarte-19855.49
854002-Delfina Perdigon-3157.97
949089-Adelino Barra-9920.83
70658-Guaraci Damasceno-18277.12
206833-Telma Villalobos-7870.85
352090-Armanda Amorim-10534.92
436999-Filomena Barrios-16610.42
434142-Judite Damasceno-468.92
597613-Melinda Roserio-3548.84
999305-Trajano Fagundes-12099.46
80332-Micaela Chavez-10180.27
44405-Mercia Caeira-15408.81
933487-Lina Andrade-3623.47
827388-Neuza Francia-14224.17
915736-Odilia Bello-7361.41
731778-Tibofarcio Camacho-11864.93
98143-Angilica Galante-11899.30
953085-Lurdes Cotrim-5728.80
795691-Henrique Bento-2379.94
451307-Zulmira Becerra-3539.93
76152-Taercio Mafra-1675.90
765869-Feledcia Peassego-13066.35
253036-Rodolfo Paz-18005.68
822797-Delfim Higuera-3269.12
137717-Antonio Castelo-20968.28
21690-Emiliana Foquio-16620.76
430333-Angilica Galante-11466.90
364941-Clarindo Areosa-10091.60
224454-Aludsio Sosa-16309.55
452104-Tibofarcio Camacho-999.23
625702-Lurdes Cotrim-6579.99
859349-Tarrataca Soares-9957.65
974342-Aludsio Sosa-14290.18
436123-Anind Zarco-8023.57
315350-Zungela Ipiranga-9434.95
367914-Celeste Duarte-4920.33
396848-Silvio Mata-5014.63
871855-Eurico Siqueira-4853.45
743431-Elisa Themes-4905.69
92835-Sofras Cuaresma-8720.21
952078-Feledcia Peassego-6921.63
401492-Artur Grillo-9690.23
485481-Polibe Olivares-10959.97
170238-Emiliana Foquio-14354.33
250446-Manuel Capiperibe-12622.65
190897-Regina Barcellos-13126.33
207019-Edgar Carvalheiro-6255.46
913305-Polibe Olivares-3909.34
811898-Delfim Higuera-11816.77
665783-Delfina Perdigon-10882.87
442621-Silvio Mata-4647.55
218562-Flor Portella-16261.57
275829-Tibefarcio Colao-15841.58
351105-Augusta Paio-21393.29
299891-Feledcia Peassego-14710.95
743554-Delfina Garcia de Gondim-16762.86
736486-Neuza Francia-1220.10
676318-Marilda Leio-1024.39
477047-Tarrataca Soares-4792.51
846774-Judite Damasceno-7359.17
753955-Zulmira Becerra-9723.60
824294-Silvio Mata-18465.78
917138-Jonatas Felgueiras-593.70
523183-Augusta Paio-13347.22
78550-Odilia Camello-325.38
898591-Delfina Garcia de Gondim-13912.81
351220-Almerinda Palmeira-16080.18
865988-Elisa Themes-11842.10
831103-Marilda Leio-6052.04
957292-Delfina Garcia de Gondim-3615.67
402798-Manuel Capiperibe-13253.21
86997-Antonio Viegas-20411.45
444083-Tabalipa Duarte-13305.79
475891-Clara Alcantara-2896.18
352659-Guida Juca-3536.97
841184-Delfina Garcia de Gondim-6375.95
616012-Guaraci Damasceno-3064.63
916866-Emedlio Pimentel-21333.29
140699-Odilia Bello-666.76
132114-Emiliana Foquio-17306.34
40542-Almor Caiado-17710.37
824956-Mercia Caeira-6526.40
187567-Neeamia Arruda-16.00
920555-Angelica Aranha-14020.76
891377-Trajano Fagundes-5509.45
399926-Cleusa Goes-10667.86
706106-Oliveira Senchez-3309.19
546405-Moaci Mendoa-6128.36
597141-Lina Andrade-20149.76
851713-Zulmira Becerra-7216.25
673247-Emedlia Silvera-17636.65
332051-Neuza Francia-18184.90
168770-Ermelinda Quintela-5851.94
67839-Henrique Bento-2706.31
101497-Celeste Duarte-620.39
831942-Quintiliano Sousa de Arronches-21394.39
157767-Urbano Rodrigues-14516.61
462894-Emiliana Foquio-17542.08
96961-Odete Vasques-20838.05
407421-Clara Alcantara-8981.73
384272-Neuza Francia-7063.62
397607-Odete Vasques-6862.11
50775-Eurico Siqueira-7313.80
304213-Branco Saraba-249.64
150163-Clarindo Areosa-10040.65
457636-Angilica Galante-18748.97
35113-Heleedsa Marins-11275.71
47662-Ximena Castilho-12160.34
895796-Spnia ou Sonia Guerreiro-21261.31
752919-Telma Villalobos-17770.55
718441-Tibefarcio Colao-18994.39
865610-Henrique Bento-21168.37
19381-Daniel Vieyra-9344.04
883673-Tibefarcio Colao-5012.25
862690-Jussara Varanda-718.91
396865-Armindo Castalo-1973.49
886124-Telma Villalobos-19443.84
36574-Antonio Viegas-13489.48
910971-Filomena Barrios-11713.60
106458-Guida Juca-12791.13
474748-Danilo Olaio-2463.48
721793-Antonio Castelo-19842.13
179643-Odilia Bello-18687.49
533420-Heleedsa Marins-4851.49
334612-Telma Villalobos-2515.28
717420-Mercia Caeira-12299.25
513785-Anfnia Seixas-12648.11
881476-Artur Grillo-18078.48
799738-Camila Gabeira-3182.75
365532-Filomena Barrios-10273.81
986281-Angilica Galante-5383.73
78959-Emiliana Foquio-17050.94
524823-Filomena Barrios-9187.90
374647-Delfim Higuera-10583.24
448996-Almor Caiado-11.75
414386-Fulvio Villegas-8988.92
728453-Marilda Leio-13314.06
459015-Jussara Varanda-2788.04
137381-Camila Gabeira-11046.04
175699-Eurico Siqueira-16399.69
843241-Augusta Paio-15144.72
858448-Domingos Pas-4800.67
603282-Trajano Fagundes-6535.92
613476-Cleusa Goes-8219.66
772704-Carminda Morais-14864.15
976359-Spnia ou Sonia Guerreiro-5713.46
104956-Tabalipa Duarte-4215.91
44619-Neeamia Arruda-8340.50
348274-Emedlio Pimentel-10101.87
443245-Spnia ou Sonia Guerreiro-21213.63
919637-Odilia Bello-11517.23
768552-Basilio Pedroso-4950.97
228135-Sara Lameiras-21357.01
478028-Ximena Castilho-14998.31
568004-Liana Cardim-12201.20
832675-Anind Zarco-15480.96
989462-Augusta Paio-15662.01
68502-Sidfnio Frois-3917.62
951271-Emedlia Silvera-19801.10
953859-Ermelinda Quintela-2070.70
