752712-Clara Alcantara-18174.75
817168-Romo Paranage-3048.35
249897-Gaudancio Fiees-8607.90
70579-Sidfnio Frois-14332.85
717077-Heleedsa Marins-18085.91
149099-Jussara Varanda-3940.40
594734-Filomena Barrios-5898.18
202725-Silvio Mata-2723.20
470758-Tibofarcio Camacho-20276.62
819034-Adelina Quadros-13369.29
609734-Ximena Castilho-15093.08
890517-Sidfnio Frois-2956.42
118699-Elisa Themes-19008.92
444697-Zulmira Becerra-14634.79
287433-Mercia Caeira-19271.96
458482-Manuel Capiperibe-3438.61
98590-Esperada Cardoso-1309.73
236732-Joaquim Rufino-5931.75
583218-Heleedsa Marins-6076.46
42561-Jussara Varanda-1439.81
948513-Telma Villalobos-15645.91
72610-Trajano Fagundes-6099.98
547747-Gaudancio Fiees-3246.33
812732-Delfina Perdigon-10530.78
362830-Esperada Cardoso-14193.65
537050-Honorina Lira-4663.40
234912-Zulmira Becerra-11454.39
266803-Nuno Balsemeo-7621.92
618755-Adelino Barra-6832.91
148956-Branco Saraba-19013.34
124163-Cassandra Varejo-4977.99
407954-Eurico Siqueira-21038.71
850199-Antonio Castelo-5819.35
184445-Dulce Froes-10877.48
513975-Sidfnio Frois-7596.27
555865-Cassandra Varejo-14061.64
459216-Fulvio Villegas-12739.16
335114-Angilica Galante-9526.99
902637-Tabalipa Duarte-7148.34
599838-Romo Paranage-4404.99
794807-Tarrataca Soares-14666.23
97280-Liana Cardim-10075.48
881420-Polibe Olivares-15063.98
814984-Quintiliano Sousa de Arronches-5690.99
342667-Anfnia Seixas-18066.13
235552-Filomena Barrios-7036.85
468472-Tabalipa Duarte-18991.44
656369-Feledcia Peassego-12289.96
35977-Heleedsa Marins-14338.98
706865-Micaela Chavez-9740.14
744299-Ximena Castilho-21408.09
64088-Emiliana Foquio-564.23
287900-Carminda Morais-17733.04
447128-Judite Damasceno-11736.36
354506-Antonio Castelo-14579.78
405567-Esperada Cardoso-18982.14
621009-Romo Paranage-8131.99
268450-Eurico Siqueira-14958.55
131043-Spnia ou Sonia Guerreiro-4134.07
827545-Odilia Bello-3966.31
23262-Basilio Pedroso-11993.75
842359-Feledcia Peassego-11719.55
725494-Esperada Cardoso-2707.60
522865-Odete Vasques-12252.07
418919-Carminda Morais-8280.78
443983-Odilia Bello-19864.83
153921-Guida Juca-18116.21
524303-Filomena Barrios-15774.05
406595-Branco Saraba-890.53
187082-Letedcia Gago-2088.80
498306-Urbano Rodrigues-2299.03
135075-Delfina Garcia de Gondim-16187.46
194668-Liana Cardim-10879.88
74858-Odete Vasques-1440.27
590629-Tarrataca Soares-15034.46
601000-Danilo Olaio-5304.06
341524-Daniel Vieyra-760.76
280673-Odilia Camello-20396.01
591167-Branco Saraba-12075.24
308985-Leonidas Mafra-11612.27
657342-Antonio Viegas-7272.42
896891-Celeste Duarte-20463.77
91719-Domingos Pas-8800.88
46078-Aludsio Sosa-11491.63
723450-Henrique Bento-18797.53
994691-Rebeca Neto-2348.71
749018-Romo Paranage-2602.12
640143-Eurico Siqueira-6214.93
452868-Trajano Fagundes-6670.84
318238-Elisa Themes-8103.93
63796-Regina Barcellos-14480.50
712806-Jorgina Bogalho-16319.47
623979-Guaraci Damasceno-3865.55
39161-Gaudancio Fiees-1301.18
964866-Delfim Higuera-20878.41
852716-Anind Zarco-6453.52
663048-Armindo Castalo-20841.01
33430-Flor Portella-17732.58
37222-Telma Villalobos-12902.27
564667-Celeste Duarte-7240.62
319201-Gaudancio Fiees-2836.42
831833-Marilda Leio-1988.71
237638-Zulmira Becerra-20884.95
731285-Melinda Roserio-5980.50
903984-Edgar Carvalheiro-1665.32
346363-Tibefarcio Colao-1499.01
143071-Celeste Duarte-10785.64
668336-Gaudancio Fiees-8811.13
686480-Tibofarcio Camacho-15971.51
305022-Oliveira Carmona-1392.32
316595-Andreia Moita-19635.51
378542-Ubaldo Mainha-13548.99
420457-Branco Saraba-3596.53
501355-Joaquim Rufino-20053.84
216372-Jorgina Bogalho-9988.05
772604-Clara Alcantara-13671.51
197448-Eurico Siqueira-11978.11
239922-Tibofarcio Camacho-7509.95
540168-Armindo Castalo-6481.98
583759-Judite Damasceno-15565.03
205285-Guida Juca-21388.20
468542-Delfim Higuera-16957.15
86338-Flor Portella-18591.35
231707-Zungela Ipiranga-8681.53
427459-Esperada Cardoso-10003.69
154812-Tibefarcio Colao-486.58
782834-Neeamia Arruda-8058.55
490926-Sara Lameiras-10610.95
312518-Delfina Perdigon-4401.52
801183-Heleedsa Marins-2332.52
521589-Micaela Chavez-11644.57
309289-Oliveira Senchez-13699.26
996116-Filomena Barrios-10485.29
852412-Micaela Chavez-1412.77
93112-Antonio Castelo-13937.04
654902-Manuel Capiperibe-6773.75
884147-Manuel Capiperibe-2896.74
923916-Sara Lameiras-13091.65
958899-Quintiliano Sousa de Arronches-3219.94
708280-Delfina Perdigon-10727.95
477082-Mercia Caeira-15533.17
65547-Zungela Ipiranga-15796.26
401275-Neeamia Arruda-3591.39
872017-Henrique Bento-3989.91
495482-Esperada Cardoso-15570.84
520746-Telma Villalobos-5372.56
687708-Regina Barcellos-8541.40
710170-Fulvio Villegas-15580.64
344406-Regina Barcellos-12525.39
130583-Henrique Bento-5857.64
685164-Anfnia Seixas-11142.41
180731-Andreia Moita-6818.22
634882-Celeste Duarte-9842.24
617603-Zulmira Becerra-17330.96
876953-Silvio Mata-16491.08
840391-Rodolfo Paz-17326.28
695433-Odete Vasques-20323.16
741266-Domingos Pas-12065.43
436111-Tabalipa Duarte-3164.03
641544-Domingos Pas-19495.34
158746-Almor Caiado-20442.19
992956-Oliveira Senchez-17649.16
453461-Oliveira Carmona-3340.67
569083-Telma Villalobos-9476.85
192233-Feledcia Peassego-15995.62
899671-Silvio Mata-15359.19
862653-Tibefarcio Colao-14341.30
965324-Cassandra Varejo-15838.72
164306-Judite Damasceno-11468.24
385794-Clarindo Areosa-4449.82
403477-Jonatas Felgueiras-5511.41
145380-Odilia Camello-8711.34
226107-Odilia Camello-8371.04
46933-Polibe Olivares-8081.89
963523-Sidfnio Frois-11833.81
504065-Emedlio Pimentel-13722.81
189303-Clara Alcantara-19121.44
706947-Daniel Vieyra-15096.25
767167-Tibefarcio Colao-17227.90
230721-Almor Caiado-16566.92
260896-Lurdes Cotrim-18970.95
510153-Danilo Olaio-14107.57
191926-Jorgina Bogalho-8794.99
457451-Augusta Paio-12875.46
891627-Manuel Capiperibe-730.26
920464-Delfina Perdigon-10325.30
868000-Adelina Quadros-16037.20
462374-Guida Juca-16714.27
928500-Almor Caiado-2947.10
251544-Aludsio Sosa-20849.41
40348-Romo Paranage-4017.18
486361-Eurico Siqueira-15842.28
66187-Anfnia Seixas-9549.36
749641-Liana Cardim-9953.94
138508-Sidfnio Frois-5058.02
908671-Delfim Higuera-10857.22
476152-Celeste Duarte-21235.90
703604-Artur Grillo-7585.69
72705-Oliveira Senchez-7220.14
231408-Antonio Viegas-10132.65
598212-Trajano Fagundes-20773.06
576594-Quintiliano Sousa de Arronches-1703.09
828286-Tibofarcio Camacho-4583.75
579395-Andreia Moita-16311.24
393206-Zungela Ipiranga-2017.79
716890-Anind Zarco-16486.88
603569-Camila Gabeira-9016.80
209842-Almor Caiado-20203.84
242657-Tibofarcio Camacho-719.73
501884-Odilia Bello-10742.04
218246-Jorgina Bogalho-2413.19
652639-Ubaldo Mainha-16178.96
831568-Daniel Vieyra-1722.40
946960-Guaraci Damasceno-10788.20
972617-Quintino Alcantara-13302.13
800168-Edgar Carvalheiro-9994.46
350077-Esperada Cardoso-11190.50
6695-Adelino Barra-11452.59
748750-Neuza Francia-6020.19
504742-Urbano Rodrigues-19315.20
42566-Emedlia Silvera-7762.55
886220-Celeste Duarte-18329.08
554767-Tibefarcio Colao-2432.56
598044-Liana Cardim-12572.03
765692-Sara Lameiras-15751.75
228922-Zulmira Becerra-17029.75
380055-Emedlia Silvera-5788.42
727945-Manuel Capiperibe-3263.65
976198-Henrique Bento-17041.13
197519-Clara Alcantara-11391.35
623315-Feledcia Peassego-17921.77
884502-Joaquim Rufino-14455.80
41323-Dulce Froes-2696.51
438416-Clara Alcantara-8702.49
171527-Quintino Alcantara-5835.31
633862-Jussara Varanda-17587.60
25961-Anfnia Seixas-17496.56
500448-Antonio Castelo-14579.01
234462-Augusta Paio-7563.93
987012-Armindo Castalo-18645.91
776334-Quintiliano Sousa de Arronches-15617.30
337028-Manuel Capiperibe-891.31
805380-Moaci Mendoa-12121.73
529311-Moaci Mendoa-8081.27
972133-Liana Cardim-21032.99
106463-Danilo Olaio-21329.33
732471-Adelina Quadros-18964.75
683880-Carminda Morais-3654.92
516443-Feledcia Peassego-8327.26
978910-Romo Paranage-17527.13
576023-Esperada Cardoso-7620.06
383053-Heleedsa Marins-7843.43
253515-Emedlia Silvera-15051.48
291233-Ermelinda Quintela-10201.94
94251-Camila Gabeira-5866.83
911910-Lurdes Cotrim-17797.89
522188-Camila Gabeira-20075.21
788788-Clara Alcantara-18487.22
472360-Feledcia Peassego-16297.54
549101-Odete Vasques-9072.50
732884-Emedlio Pimentel-8203.42
163374-Delfina Perdigon-10137.25
725075-Judite Damasceno-7854.95
975662-Telma Villalobos-4053.03
837199-Marilda Leio-7433.97
30269-Adelina Quadros-2358.25
672383-Angilica Galante-6413.47
305853-Ubaldo Mainha-15621.36
431127-Dulce Froes-1611.25
282668-Delfina Perdigon-14896.74
363840-Henrique Bento-9699.23
450976-Daniel Vieyra-1636.03
397458-Camila Gabeira-13073.28
8664-Fulvio Villegas-13183.04
813907-Clarindo Areosa-10046.57
301670-Marilda Leio-3222.04
94770-Flor Portella-14038.76
925678-Manuel Capiperibe-18511.82
994625-Flamednia Leiria-20296.13
818056-Oliveira Carmona-6244.12
923937-Trajano Fagundes-15357.76
855588-Spnia ou Sonia Guerreiro-12307.43
28765-Jonatas Felgueiras-4936.57
696983-Estanislau Beserra-8296.66
184180-Clara Alcantara-11114.80
551903-Rebeca Neto-19257.81
261119-Moaci Mendoa-7573.93
834015-Liana Cardim-17613.18
26677-Rebeca Neto-3438.29
376873-Mercia Caeira-2821.64
884647-Guida Juca-3360.88
831941-Letedcia Gago-13259.43
898480-Cleusa Goes-21179.72
776636-Jussara Varanda-13501.85
991127-Gaudancio Fiees-15753.69
862802-Angilica Galante-13894.38
938281-Esperada Cardoso-10282.15
406299-Adelina Quadros-11330.49
56358-Spnia ou Sonia Guerreiro-11185.92
352289-Romo Paranage-11459.69
60409-Augusta Paio-5573.70
544557-Tabalipa Duarte-3227.18
288414-Danilo Olaio-6056.17
205790-Adelina Quadros-5659.10
272645-Almerinda Palmeira-15219.01
851943-Antonio Castelo-1832.80
212650-Eurico Siqueira-11672.18
965889-Emedlio Pimentel-15826.25
70041-Anfnia Seixas-11331.97
487028-Anind Zarco-18485.50
583962-Judite Damasceno-581.26
768430-Trajano Fagundes-15926.71
896018-Melinda Roserio-12404.76
511845-Odete Vasques-16426.82
829245-Letedcia Gago-14814.71
32399-Gaudancio Fiees-18683.22
673210-Augusta Paio-4340.51
45502-Emedlio Pimentel-835.34
983290-Neuza Francia-4306.04
513252-Ermelinda Quintela-18190.91
12260-Mercia Caeira-2361.91
397666-Angelica Aranha-3129.60
501411-Antonio Castelo-12278.56
221975-Judite Damasceno-8038.84
852346-Gaudancio Fiees-3912.29
900003-Romo Paranage-15652.62
227749-Neeamia Arruda-14204.51
290217-Urbano Rodrigues-9850.13
493705-Micaela Chavez-13919.96
894573-Armindo Castalo-16125.10
361462-Cleusa Goes-6450.38
438429-Branco Saraba-11944.36
219087-Quintiliano Sousa de Arronches-14359.37
475498-Sofras Cuaresma-19751.59
929804-Estanislau Beserra-12305.28
371003-Tibofarcio Camacho-7239.44
134685-Leonidas Mafra-6386.89
466206-Regina Barcellos-21419.79
331455-Eurico Siqueira-3739.89
800472-Aludsio Sosa-7628.83
876637-Delfina Garcia de Gondim-8622.45
143914-Nuno Balsemeo-7302.00
370731-Odete Vasques-19594.19
453108-Zungela Ipiranga-14954.11
935594-Daniel Vieyra-9808.57
163785-Judite Damasceno-18972.28
653728-Ermelinda Quintela-18178.79
594987-Ermelinda Quintela-11768.61
65767-Flamednia Leiria-577.09
49359-Clara Alcantara-10385.10
542663-Augusta Paio-16433.86
590643-Esperada Cardoso-21085.30
590965-Adelino Barra-5994.17
12336-Manuel Capiperibe-4913.87
625787-Dulce Froes-4408.39
283664-Aludsio Sosa-8390.02
885970-Artur Grillo-11036.56
176808-Domingos Pas-5077.67
962745-Judite Damasceno-363.50
737488-Adelino Barra-10813.99
911962-Emiliana Foquio-9604.58
331278-Elisa Themes-3185.65
950216-Basilio Pedroso-3501.56
20569-Angilica Galante-3436.85
501483-Flor Portella-1268.27
839115-Camila Gabeira-9301.10
920819-Neuza Francia-13299.96
397633-Leonidas Mafra-19651.73
252115-Moaci Mendoa-6826.52
815721-Silvio Mata-39.06
888923-Neuza Francia-6918.18
864709-Gaudancio Fiees-14611.49
886995-Eurico Siqueira-8946.16
326511-Odete Vasques-9516.37
669070-Eurico Siqueira-9801.38
850266-Oliveira Carmona-19609.77
33884-Domingos Pas-14964.14
873652-Taercio Mafra-14043.28
997262-Almor Caiado-7140.97
470481-Jorgina Bogalho-16309.12
342667-Moaci Mendoa-8983.18
189187-Anind Zarco-1596.99
600685-Carminda Morais-15235.86
168126-Guida Juca-12944.29
420197-Lina Andrade-21110.98
15389-Estanislau Beserra-1194.64
721015-Tarrataca Soares-4534.98
423045-Cleusa Goes-20693.72
814639-Oliveira Carmona-11798.86
374895-Zulmira Becerra-21163.56
324948-Fulvio Villegas-16652.15
609466-Judite Damasceno-7869.21
559727-Anfnia Seixas-19475.21
125946-Delfina Garcia de Gondim-12022.06
845046-Basilio Pedroso-10421.42
185806-Odete Vasques-15941.58
536397-Anfnia Seixas-16408.79
817638-Joaquim Rufino-3648.18
427162-Leonidas Mafra-18786.33
649789-Urbano Rodrigues-4225.24
784887-Judite Damasceno-2953.65
754085-Zungela Ipiranga-414.91
