20461-Quintiliano Sousa de Arronches-4562.53
620213-Estanislau Beserra-19084.52
866633-Judite Damasceno-13610.92
893436-Flamednia Leiria-13168.49
11744-Delfina Garcia de Gondim-13301.84
6139-Honorina Lira-21181.97
519758-Quintino Alcantara-7916.35
330782-Moaci Mendoa-12771.54
627736-Honorina Lira-528.51
107955-Moaci Mendoa-845.07
649439-Telma Villalobos-2149.48
630884-Delfina Garcia de Gondim-4299.85
719316-Antonio Castelo-18538.52
43871-Cleusa Goes-8172.61
811766-Zungela Ipiranga-8872.73
981494-Danilo Olaio-12642.79
921097-Filomena Barrios-19887.99
873227-Urbano Rodrigues-20771.30
683646-Rebeca Neto-20542.74
607949-Zulmira Becerra-17608.98
751667-Quintino Alcantara-6070.64
303557-Clara Alcantara-12926.95
656237-Henrique Bento-15044.14
100748-Mercia Caeira-6149.74
910772-Polibe Olivares-6577.86
421023-Quintiliano Sousa de Arronches-6142.84
128349-Emedlio Pimentel-19512.05
987543-Quintiliano Sousa de Arronches-3435.95
516991-Angilica Galante-8592.78
897923-Tibefarcio Colao-13008.86
269221-Celeste Duarte-13666.38
104752-Romo Paranage-4714.58
925226-Antonio Castelo-11941.14
113628-Armanda Amorim-6007.31
563396-Domingos Pas-81.58
286272-Flamednia Leiria-7465.79
321101-Angelica Aranha-6392.24
154937-Urbano Rodrigues-4777.28
634915-Edgar Carvalheiro-15392.45
905122-Neeamia Arruda-17291.43
589867-Odilia Camello-11319.28
338588-Emiliana Foquio-21100.33
298522-Elisa Themes-7984.75
672633-Sofras Cuaresma-11985.88
537497-Anfnia Seixas-19801.52
188528-Jonatas Felgueiras-18829.54
123571-Andreia Moita-237.92
780077-Henrique Bento-5389.47
547625-Esperada Cardoso-12105.82
77157-Heleedsa Marins-19454.87
525678-Elisa Themes-2095.93
612151-Camila Gabeira-9049.32
156486-Edgar Carvalheiro-10292.30
331271-Clarindo Areosa-20869.03
237256-Manuel Capiperibe-3979.57
301565-Danilo Olaio-9151.45
945222-Tibofarcio Camacho-21052.69
329279-Trajano Fagundes-16245.65
441281-Marilda Leio-19641.13
314571-Jussara Varanda-18357.06
330720-Artur Grillo-3927.48
791654-Lurdes Cotrim-11493.61
802124-Romo Paranage-2820.33
803708-Emedlio Pimentel-11323.65
393684-Tabalipa Duarte-61.18
135446-Cassandra Varejo-12064.20
864324-Cleusa Goes-11848.81
385067-Andreia Moita-5807.27
852613-Marilda Leio-20191.68
901876-Dulce Froes-5969.99
470683-Quintino Alcantara-1908.46
116197-Delfina Garcia de Gondim-19326.38
209710-Melinda Roserio-14899.56
49744-Odete Vasques-18087.60
792580-Spnia ou Sonia Guerreiro-19401.54
8421-Celeste Duarte-17168.06
369441-Delfina Garcia de Gondim-8741.86
515565-Augusta Paio-15835.71
743222-Emedlio Pimentel-889.40
83686-Delfina Garcia de Gondim-18958.42
163169-Tibefarcio Colao-3598.29
474647-Marilda Leio-21329.45
179327-Anfnia Seixas-16776.71
400991-Melinda Roserio-232.38
503615-Honorina Lira-14040.30
724454-Tarrataca Soares-19230.39
365075-Almor Caiado-3479.24
403404-Edgar Carvalheiro-9314.40
685071-Delfim Higuera-10031.83
135007-Heleedsa Marins-3797.83
584135-Jussara Varanda-8969.46
395880-Anfnia Seixas-7999.37
361895-Danilo Olaio-12381.17
284304-Silvio Mata-3460.34
483169-Rebeca Neto-14035.38
352172-Trajano Fagundes-1217.78
26761-Heleedsa Marins-20021.44
920316-Nuno Balsemeo-17870.63
868849-Micaela Chavez-572.65
274028-Guaraci Damasceno-9794.00
37729-Zulmira Becerra-8555.00
630636-Adelina Quadros-20238.96
685298-Quintino Alcantara-21222.58
927776-Joaquim Rufino-4930.59
407814-Tabalipa Duarte-10925.42
917994-Dulce Froes-15658.94
983087-Almerinda Palmeira-14824.37
488888-Delfina Garcia de Gondim-17163.57
434610-Danilo Olaio-17037.43
563476-Sidfnio Frois-15335.33
991875-Quintiliano Sousa de Arronches-9540.87
366625-Almerinda Palmeira-3252.34
678725-Clara Alcantara-17799.19
623856-Gaudancio Fiees-5533.63
603008-Tibefarcio Colao-9637.71
636148-Leonidas Mafra-1202.06
447732-Tarrataca Soares-20931.89
402834-Ermelinda Quintela-7881.94
453914-Silvio Mata-14316.29
253341-Marilda Leio-7317.08
968825-Oliveira Carmona-12157.00
700854-Celeste Duarte-16330.67
328956-Camila Gabeira-6362.62
247730-Tibofarcio Camacho-16108.86
708776-Quintino Alcantara-6080.05
227968-Melinda Roserio-11786.41
157478-Sofras Cuaresma-12970.89
40420-Zulmira Becerra-8180.08
280757-Clara Alcantara-15284.62
780044-Clara Alcantara-13382.32
328659-Ximena Castilho-12267.17
964333-Heleedsa Marins-20494.18
350406-Delfim Higuera-15352.63
655824-Armanda Amorim-18065.11
324715-Leonidas Mafra-12087.36
281246-Adelina Quadros-8344.80
443410-Danilo Olaio-1021.54
310647-Silvio Mata-4941.95
888197-Armanda Amorim-15794.75
94320-Regina Barcellos-7667.72
8842-Polibe Olivares-17371.00
139992-Delfim Higuera-11495.81
854393-Sofras Cuaresma-14769.32
830772-Clara Alcantara-2041.04
692985-Estanislau Beserra-319.45
593095-Cleusa Goes-19242.26
618195-Eurico Siqueira-17061.86
248721-Delfina Garcia de Gondim-14710.13
403859-Clara Alcantara-20069.01
21171-Marilda Leio-4505.12
386703-Melinda Roserio-18285.21
469280-Zungela Ipiranga-9141.77
2459-Tibefarcio Colao-14880.31
798844-Anfnia Seixas-20388.62
622518-Taercio Mafra-20300.71
698609-Quintiliano Sousa de Arronches-20696.64
738734-Clara Alcantara-11887.99
449426-Artur Grillo-6845.64
871107-Jonatas Felgueiras-13749.68
768181-Branco Saraba-4935.05
437044-Odilia Camello-15258.92
722709-Odilia Camello-14038.78
105860-Augusta Paio-293.97
420552-Rodolfo Paz-10851.95
838961-Sidfnio Frois-20828.18
718508-Romo Paranage-20835.17
824085-Delfim Higuera-19217.72
631808-Trajano Fagundes-16997.38
968674-Nuno Balsemeo-19116.09
722882-Camila Gabeira-19893.77
988752-Clara Alcantara-5523.30
291477-Angelica Aranha-14850.53
771051-Adelino Barra-16421.59
798218-Trajano Fagundes-3530.96
203751-Almor Caiado-21169.35
680635-Clara Alcantara-5231.69
854669-Delfina Garcia de Gondim-17909.94
344048-Armanda Amorim-11841.42
881141-Honorina Lira-1736.27
902511-Clarindo Areosa-7663.50
945681-Tibofarcio Camacho-12653.38
881004-Branco Saraba-13516.30
210462-Judite Damasceno-19394.01
936516-Flor Portella-2217.15
858009-Guaraci Damasceno-3849.19
630164-Leonidas Mafra-1641.16
918886-Angelica Aranha-16289.71
495614-Augusta Paio-16733.15
326126-Zulmira Becerra-9817.12
281529-Marilda Leio-9291.31
130004-Elisa Themes-20090.77
308596-Regina Barcellos-14524.74
56365-Danilo Olaio-6632.01
479171-Taercio Mafra-18181.38
481215-Lurdes Cotrim-17075.12
450514-Augusta Paio-2666.58
589224-Telma Villalobos-17265.77
237783-Lurdes Cotrim-15665.89
27998-Quintiliano Sousa de Arronches-14864.32
961248-Aludsio Sosa-12502.30
727711-Melinda Roserio-6998.76
865196-Rodolfo Paz-3877.01
632476-Lina Andrade-17987.57
316954-Angilica Galante-1327.53
716848-Augusta Paio-377.50
35909-Spnia ou Sonia Guerreiro-14832.01
471124-Ximena Castilho-6973.07
393514-Clara Alcantara-16185.44
147127-Quintino Alcantara-11360.89
613104-Augusta Paio-15710.50
726660-Jonatas Felgueiras-15422.94
433477-Gaudancio Fiees-1676.76
614558-Joaquim Rufino-9463.08
513070-Domingos Pas-15226.25
549177-Polibe Olivares-21183.42
613592-Tabalipa Duarte-9708.94
852831-Cleusa Goes-3918.82
669428-Urbano Rodrigues-20102.75
591703-Micaela Chavez-10569.39
945781-Emedlia Silvera-6610.68
562248-Neuza Francia-17517.95
538404-Ximena Castilho-20432.28
731902-Almor Caiado-8403.59
682755-Basilio Pedroso-9538.72
902837-Quintiliano Sousa de Arronches-20544.21
357013-Zungela Ipiranga-15545.51
44853-Gaudancio Fiees-18684.04
522878-Lina Andrade-4275.90
577926-Adelino Barra-9461.82
721643-Zulmira Becerra-6156.44
915278-Anind Zarco-6862.06
435598-Ubaldo Mainha-18577.44
115096-Tibefarcio Colao-2229.93
618951-Angilica Galante-18756.75
264119-Honorina Lira-5060.95
251096-Estanislau Beserra-4469.68
648496-Leonidas Mafra-10340.13
927442-Angelica Aranha-8170.52
514154-Jonatas Felgueiras-14146.30
523055-Tibefarcio Colao-18153.52
116306-Clarindo Areosa-14427.83
20566-Antonio Castelo-18392.19
669314-Almerinda Palmeira-10248.50
677106-Zungela Ipiranga-20934.69
557014-Emiliana Foquio-1252.50
890917-Emedlia Silvera-15335.01
776057-Feledcia Peassego-8466.66
581615-Daniel Vieyra-6041.09
977021-Spnia ou Sonia Guerreiro-6686.24
70330-Eurico Siqueira-20971.47
807322-Polibe Olivares-12557.79
750245-Antonio Castelo-20438.00
470209-Feledcia Peassego-619.85
666411-Oliveira Senchez-4456.63
54310-Rodolfo Paz-20012.20
53097-Dulce Froes-3406.27
503432-Rodolfo Paz-13134.03
482873-Odilia Camello-3455.01
30650-Cassandra Varejo-119.94
208337-Oliveira Senchez-12590.65
253929-Spnia ou Sonia Guerreiro-4073.88
599058-Moaci Mendoa-2906.55
162969-Liana Cardim-6191.25
93462-Liana Cardim-16157.92
9490-Cleusa Goes-8613.62
175171-Angilica Galante-10094.15
357954-Zungela Ipiranga-3594.35
206335-Angilica Galante-20929.18
164108-Tabalipa Duarte-5844.65
261781-Zungela Ipiranga-15436.73
22408-Emedlio Pimentel-3434.44
562295-Camila Gabeira-5740.43
418362-Antonio Viegas-19272.05
776273-Melinda Roserio-11328.15
280432-Delfina Perdigon-2843.41
36909-Flamednia Leiria-16545.16
903916-Tarrataca Soares-3343.91
690216-Lina Andrade-14655.97
493775-Rodolfo Paz-13572.77
775263-Tibofarcio Camacho-6780.56
637714-Dulce Froes-15250.78
888450-Delfina Garcia de Gondim-8591.57
794068-Guaraci Damasceno-7240.91
341130-Regina Barcellos-11818.68
679695-Almor Caiado-5306.64
896776-Heleedsa Marins-7717.01
529120-Heleedsa Marins-981.22
596509-Sidfnio Frois-19708.12
614522-Dulce Froes-2928.22
581103-Lina Andrade-15185.97
253647-Guida Juca-4647.51
853378-Edgar Carvalheiro-18336.40
12058-Romo Paranage-16209.50
892657-Judite Damasceno-4458.08
588637-Manuel Capiperibe-20714.87
625840-Delfim Higuera-9169.00
695789-Lina Andrade-1389.46
156438-Manuel Capiperibe-970.59
730474-Esperada Cardoso-7366.73
98358-Domingos Pas-4947.71
521870-Emedlia Silvera-9150.24
23418-Flamednia Leiria-1933.94
198003-Odete Vasques-10514.06
463985-Delfina Perdigon-11212.99
113991-Emedlia Silvera-15358.88
428453-Branco Saraba-4320.30
960632-Odete Vasques-16117.26
98093-Silvio Mata-11143.98
80107-Polibe Olivares-4056.45
367745-Neeamia Arruda-8427.43
768975-Anfnia Seixas-9562.65
437863-Rebeca Neto-1238.05
746506-Liana Cardim-13520.03
521677-Fulvio Villegas-10699.83
620858-Celeste Duarte-4596.14
207393-Ermelinda Quintela-515.59
210762-Taercio Mafra-6175.19
643733-Filomena Barrios-1081.34
651872-Micaela Chavez-4942.14
333348-Fulvio Villegas-20685.81
301969-Guida Juca-20548.67
778678-Neeamia Arruda-9178.21
165909-Trajano Fagundes-4910.84
475720-Angelica Aranha-2481.22
84418-Antonio Castelo-6347.43
580639-Clara Alcantara-15749.50
622928-Micaela Chavez-18381.61
907074-Jorgina Bogalho-15633.21
589517-Adelina Quadros-8474.89
917082-Tibefarcio Colao-4273.39
504479-Armanda Amorim-7976.41
357227-Ubaldo Mainha-7259.36
15096-Emedlio Pimentel-4056.18
192441-Angelica Aranha-8880.94
353248-Spnia ou Sonia Guerreiro-11471.78
127859-Anfnia Seixas-5712.75
977433-Fulvio Villegas-17398.98
346250-Mercia Caeira-19698.05
848755-Lurdes Cotrim-2279.11
565055-Jussara Varanda-12148.28
379248-Nuno Balsemeo-14783.33
576660-Marilda Leio-19746.90
595156-Branco Saraba-6802.21
213944-Flor Portella-10944.14
954703-Emedlio Pimentel-21397.67
438290-Odilia Bello-21284.11
388451-Sara Lameiras-11119.05
499596-Celeste Duarte-18552.51
964516-Polibe Olivares-1716.17
918729-Micaela Chavez-8501.82
211937-Emiliana Foquio-16645.61
146107-Domingos Pas-3746.54
532623-Clara Alcantara-457.65
537392-Jonatas Felgueiras-11689.79
636136-Telma Villalobos-18449.34
429625-Emedlio Pimentel-5608.89
498497-Mercia Caeira-10392.77
982032-Guida Juca-8232.93
787306-Sofras Cuaresma-14762.58
503834-Quintino Alcantara-16981.76
48700-Nuno Balsemeo-19163.88
442734-Clarindo Areosa-7810.51
43164-Sidfnio Frois-11655.83
381438-Filomena Barrios-13281.21
133647-Almerinda Palmeira-92.73
169389-Jorgina Bogalho-5037.03
132877-Judite Damasceno-12352.01
1544-Jonatas Felgueiras-17961.83
637993-Clara Alcantara-20089.71
407330-Nuno Balsemeo-21014.74
358260-Judite Damasceno-11410.39
870031-Zulmira Becerra-6059.99
552006-Armindo Castalo-3235.58
999343-Odilia Camello-9739.40
425985-Neeamia Arruda-15040.73
302987-Telma Villalobos-19062.43
584992-Lina Andrade-138.92
627747-Antonio Viegas-12338.93
996255-Carminda Morais-9790.48
622330-Manuel Capiperibe-15684.55
424700-Letedcia Gago-17048.13
648006-Silvio Mata-9052.00
922005-Dulce Froes-16917.52
295670-Moaci Mendoa-19627.51
790043-Ximena Castilho-7396.93
557612-Neeamia Arruda-20149.96
544354-Camila Gabeira-20545.81
732414-Melinda Roserio-18977.25
103825-Almor Caiado-2202.38
478596-Daniel Vieyra-6458.60
844210-Angilica Galante-5778.01
249367-Cassandra Varejo-19324.50
169505-Tibofarcio Camacho-11958.88
131436-Angelica Aranha-16811.83
65654-Andreia Moita-4214.90
73103-Flor Portella-17210.47
323172-Polibe Olivares-17885.92
981443-Angelica Aranha-18593.24
533107-Tibefarcio Colao-15819.44
648863-Anind Zarco-8179.39
736040-Delfina Garcia de Gondim-16687.84
636547-Jussara Varanda-9805.49
253119-Silvio Mata-15067.19
621410-Eurico Siqueira-14233.67
773468-Esperada Cardoso-17044.32
102574-Adelina Quadros-17065.05
460770-Basilio Pedroso-11883.45
916698-Guaraci Damasceno-1638.43
98105-Almor Caiado-20143.76
33949-Liana Cardim-12765.41
830210-Daniel Vieyra-16662.77
427938-Leonidas Mafra-5934.30
991493-Guida Juca-11106.83
959232-Oliveira Carmona-6148.21
626824-Angilica Galante-10685.94
267962-Flamednia Leiria-10642.13
989314-Almor Caiado-4691.90
302531-Angilica Galante-13381.07
456378-Nuno Balsemeo-12737.21
71034-Urbano Rodrigues-4962.72
625093-Artur Grillo-17991.02
995471-Rebeca Neto-14650.46
398829-Augusta Paio-14265.54
37378-Lurdes Cotrim-7320.30
558904-Polibe Olivares-10626.57
29063-Neeamia Arruda-6924.41
4606-Elisa Themes-13424.30
841410-Guaraci Damasceno-5062.49
520917-Moaci Mendoa-432.22
608939-Esperada Cardoso-15352.93
721635-Neeamia Arruda-15054.34
144101-Filomena Barrios-16224.30
480180-Lina Andrade-7193.45
15695-Antonio Castelo-3028.99
888408-Esperada Cardoso-17964.58
355437-Delfim Higuera-4620.03
35706-Sara Lameiras-1535.24
422691-Nuno Balsemeo-20593.65
433090-Tabalipa Duarte-20484.03
648656-Tibofarcio Camacho-21350.12
168747-Tabalipa Duarte-14482.50
790868-Anind Zarco-16543.94
459310-Leonidas Mafra-11993.90
714622-Tarrataca Soares-11939.22
483333-Odilia Camello-1053.27
424971-Daniel Vieyra-11496.82
323851-Sara Lameiras-10962.34
652934-Almor Caiado-4141.74
231105-Tibefarcio Colao-4416.07
547445-Cassandra Varejo-3047.72
156636-Sara Lameiras-4999.40
716477-Zungela Ipiranga-6787.31
706085-Guaraci Damasceno-1587.07
556995-Telma Villalobos-3664.22
306585-Trajano Fagundes-20339.05
30110-Silvio Mata-19288.46
756635-Sofras Cuaresma-7436.86
7118-Delfim Higuera-19683.39
139321-Armanda Amorim-18140.87
190513-Judite Damasceno-3241.51
769633-Filomena Barrios-11813.07
114668-Zungela Ipiranga-15960.24
369719-Branco Saraba-10432.46
14966-Antonio Viegas-2423.19
582456-Sofras Cuaresma-16436.26
993302-Emedlia Silvera-6011.73
86588-Tabalipa Duarte-18719.29
930725-Oliveira Senchez-13144.53
948404-Neuza Francia-9881.08
572717-Anfnia Seixas-7938.15
968671-Emedlia Silvera-7191.01
821365-Telma Villalobos-647.32
888964-Dulce Froes-4851.02
179834-Odete Vasques-10321.17
892244-Flor Portella-7522.16
25881-Dulce Froes-18982.09
522068-Almerinda Palmeira-13248.12
221008-Urbano Rodrigues-1282.59
259284-Marilda Leio-8702.07
900704-Flamednia Leiria-18447.80
692713-Anfnia Seixas-12092.65
308301-Urbano Rodrigues-16110.86
947591-Almerinda Palmeira-15814.92
349374-Danilo Olaio-12791.88
70645-Angilica Galante-10705.97
934341-Filomena Barrios-8421.39
970573-Branco Saraba-3751.77
452327-Branco Saraba-4133.98
386723-Clara Alcantara-7776.58
945786-Ubaldo Mainha-11345.58
836382-Tibefarcio Colao-18082.51
311791-Almerinda Palmeira-18325.59
35739-Regina Barcellos-6560.23
861593-Fulvio Villegas-14693.73
320672-Judite Damasceno-2199.60
995431-Guida Juca-6988.94
879174-Antonio Castelo-13598.64
607543-Sara Lameiras-19273.17
78561-Esperada Cardoso-15682.20
273335-Henrique Bento-12706.82
248230-Oliveira Senchez-18285.18
520974-Adelino Barra-18133.46
880228-Camila Gabeira-12898.99
731309-Manuel Capiperibe-7432.77
803106-Joaquim Rufino-12055.97
955160-Sara Lameiras-12815.93
762408-Estanislau Beserra-7219.88
263272-Clara Alcantara-8515.96
646055-Delfina Perdigon-17986.74
202745-Delfim Higuera-1384.64
834047-Angelica Aranha-20107.12
716322-Delfina Perdigon-347.50
674223-Tibefarcio Colao-1166.30
171694-Joaquim Rufino-16903.61
41756-Edgar Carvalheiro-17401.64
871408-Ubaldo Mainha-13366.36
111343-Elisa Themes-13219.14
215782-Artur Grillo-20711.78
153405-Anind Zarco-18503.40
827286-Ermelinda Quintela-14370.59
183213-Guida Juca-19658.93
573920-Emiliana Foquio-9501.26
827549-Heleedsa Marins-2223.17
496193-Cleusa Goes-4384.88
441445-Angelica Aranha-9205.30
500329-Zungela Ipiranga-18884.01
151925-Adelino Barra-18935.13
791758-Delfim Higuera-1482.45
543724-Lina Andrade-7273.98
486384-Tibofarcio Camacho-9042.26
893073-Neeamia Arruda-19494.09
528373-Neeamia Arruda-13964.99
913260-Fulvio Villegas-10588.43
411609-Augusta Paio-788.56
303785-Taercio Mafra-13472.97
360191-Rodolfo Paz-17747.97
85043-Antonio Castelo-4954.66
208044-Cleusa Goes-3787.74
541524-Filomena Barrios-1288.34
215184-Guaraci Damasceno-15443.20
980827-Branco Saraba-4687.30
639796-Liana Cardim-10602.58
424766-Henrique Bento-12061.71
42663-Spnia ou Sonia Guerreiro-10230.99
148831-Clara Alcantara-539.19
785025-Silvio Mata-387.96
339006-Oliveira Senchez-1668.81
922117-Oliveira Carmona-17600.89
750142-Heleedsa Marins-4471.47
492836-Lina Andrade-2258.78
461135-Flor Portella-3858.59
838252-Jorgina Bogalho-7454.99
747163-Odete Vasques-1074.40
499066-Adelino Barra-8414.83
106505-Branco Saraba-12386.32
10927-Quintiliano Sousa de Arronches-719.33
745365-Rebeca Neto-13772.72
429040-Quintino Alcantara-6057.10
402766-Adelino Barra-529.77
210267-Lurdes Cotrim-4464.70
337927-Guida Juca-5429.31
711523-Sara Lameiras-1442.86
859429-Sofras Cuaresma-6470.33
662200-Henrique Bento-9625.32
596853-Zulmira Becerra-11696.38
934471-Odete Vasques-4681.66
584300-Henrique Bento-6329.11
598679-Henrique Bento-118.56
218358-Trajano Fagundes-11312.59
501211-Odilia Bello-19724.69
146072-Silvio Mata-19323.24
166472-Andreia Moita-14795.51
685856-Tabalipa Duarte-16744.11
645341-Tabalipa Duarte-15755.90
603943-Filomena Barrios-587.03
194141-Delfina Garcia de Gondim-14726.37
717312-Delfim Higuera-15612.21
28814-Camila Gabeira-4913.36
50764-Polibe Olivares-230.71
49657-Judite Damasceno-6035.72
34681-Antonio Castelo-3112.35
434268-Flamednia Leiria-16794.01
635725-Andreia Moita-11586.04
869865-Camila Gabeira-10037.65
635754-Sofras Cuaresma-20563.69
556248-Clarindo Areosa-12600.80
642276-Armindo Castalo-8343.13
155555-Sara Lameiras-88.58
8774-Manuel Capiperibe-15369.09
637402-Jorgina Bogalho-11764.75
251708-Celeste Duarte-15215.10
705971-Anfnia Seixas-9674.61
711715-Letedcia Gago-18060.96
161072-Gaudancio Fiees-3894.82
199890-Domingos Pas-19751.18
941376-Angilica Galante-12901.91
319999-Urbano Rodrigues-9503.49
952765-Honorina Lira-15885.05
922000-Clara Alcantara-10690.30
446062-Almor Caiado-5231.84
58868-Artur Grillo-19234.36
906489-Urbano Rodrigues-7596.58
671750-Aludsio Sosa-6588.86
556859-Quintino Alcantara-11480.47
207157-Letedcia Gago-16552.47
226587-Sofras Cuaresma-917.05
358346-Taercio Mafra-775.41
803394-Angelica Aranha-10264.94
106897-Urbano Rodrigues-12824.16
319619-Tabalipa Duarte-8683.78
523923-Feledcia Peassego-3879.53
754489-Moaci Mendoa-1523.76
445585-Anfnia Seixas-18410.48
749290-Odilia Camello-1701.21
51820-Rebeca Neto-4383.28
472577-Lurdes Cotrim-4070.71
600515-Taercio Mafra-13364.30
77909-Fulvio Villegas-19132.33
576667-Flamednia Leiria-21463.40
105563-Anind Zarco-14251.76
334703-Feledcia Peassego-9262.16
515797-Augusta Paio-234.87
354815-Tibofarcio Camacho-18319.33
79824-Danilo Olaio-17151.98
368249-Camila Gabeira-627.66
903628-Heleedsa Marins-9972.39
660041-Quintino Alcantara-15138.39
957488-Adelino Barra-4154.34
748733-Celeste Duarte-14380.10
472128-Lurdes Cotrim-13556.32
573737-Delfim Higuera-6914.83
628778-Sara Lameiras-13689.99
576446-Polibe Olivares-20003.54
572137-Antonio Castelo-10969.50
689064-Moaci Mendoa-19543.19
650734-Zulmira Becerra-19327.38
167384-Zulmira Becerra-11239.15
146414-Angelica Aranha-17528.72
358516-Emiliana Foquio-5511.37
426937-Cleusa Goes-9486.10
187650-Clara Alcantara-16661.83
680930-Micaela Chavez-9443.28
144913-Oliveira Senchez-10829.05
57889-Manuel Capiperibe-17754.77
685500-Zulmira Becerra-10446.82
79566-Manuel Capiperibe-14763.33
229016-Odilia Bello-13300.17
218014-Nuno Balsemeo-19421.63
640821-Adelino Barra-9310.38
590455-Lurdes Cotrim-4429.81
688831-Anfnia Seixas-19031.69
270654-Tabalipa Duarte-19428.50
368071-Lurdes Cotrim-5855.11
819547-Cleusa Goes-18105.69
737609-Henrique Bento-8907.71
490507-Marilda Leio-363.67
498221-Armanda Amorim-2445.96
937146-Polibe Olivares-8818.14
248416-Jussara Varanda-2159.71
697118-Cleusa Goes-18325.62
271731-Urbano Rodrigues-6447.67
545992-Ximena Castilho-16390.38
148681-Armanda Amorim-18894.06
172594-Mercia Caeira-12487.41
673518-Oliveira Senchez-8139.95
373221-Guida Juca-3920.02
922436-Esperada Cardoso-19155.01
488549-Flamednia Leiria-659.54
734325-Cassandra Varejo-8912.02
534632-Andreia Moita-6474.16
316409-Celeste Duarte-2832.04
783657-Flamednia Leiria-14647.50
100954-Emedlio Pimentel-8414.15
445918-Delfina Perdigon-16435.88
876438-Domingos Pas-13517.77
78013-Tibofarcio Camacho-10106.67
646561-Daniel Vieyra-20965.89
811100-Andreia Moita-16445.94
305995-Jorgina Bogalho-15968.45
772067-Cassandra Varejo-7368.96
316124-Neeamia Arruda-16552.12
626997-Marilda Leio-19599.96
975340-Esperada Cardoso-14466.13
761929-Lina Andrade-7005.76
289958-Adelina Quadros-15324.52
329740-Micaela Chavez-5380.46
855431-Moaci Mendoa-20486.93
914308-Neeamia Arruda-20140.21
927165-Urbano Rodrigues-13158.43
142419-Lina Andrade-1701.31
773539-Elisa Themes-4094.47
124960-Antonio Castelo-5310.74
226324-Guida Juca-265.66
742662-Almor Caiado-7853.28
879274-Guida Juca-19086.18
793326-Angelica Aranha-20629.48
374391-Quintiliano Sousa de Arronches-16403.20
61258-Adelino Barra-4087.50
375179-Odete Vasques-5816.77
534127-Anfnia Seixas-9028.20
589088-Odilia Bello-20195.93
372821-Edgar Carvalheiro-20677.18
668985-Sidfnio Frois-3644.61
578533-Camila Gabeira-20462.04
580088-Anfnia Seixas-1665.99
550088-Feledcia Peassego-3723.93
566546-Andreia Moita-15267.67
792375-Rodolfo Paz-14313.45
555028-Nuno Balsemeo-17307.20
160500-Rebeca Neto-18742.54
413561-Quintino Alcantara-4513.59
597633-Esperada Cardoso-12647.32
372417-Clara Alcantara-19794.01
713254-Celeste Duarte-18944.96
