202692-Armanda Amorim-3399.34
871714-Cleusa Goes-19522.35
353061-Odilia Bello-16960.73
741145-Andreia Moita-13204.08
986520-Sara Lameiras-10907.50
885665-Guida Juca-12660.78
284886-Nuno Balsemeo-2227.50
404138-Esperada Cardoso-6521.74
398690-Jonatas Felgueiras-11799.12
594070-Edgar Carvalheiro-7075.25
206763-Tibofarcio Camacho-9281.83
701281-Odilia Camello-5925.71
875705-Lina Andrade-20519.24
362430-Emedlio Pimentel-14921.82
289235-Edgar Carvalheiro-3346.85
698770-Adelina Quadros-7435.70
58018-Urbano Rodrigues-1133.71
598288-Flamednia Leiria-19577.75
867426-Regina Barcellos-1326.91
42334-Delfim Higuera-5632.85
406267-Delfina Garcia de Gondim-12164.91
7110-Ubaldo Mainha-18441.93
842484-Oliveira Senchez-5725.85
267444-Joaquim Rufino-11159.47
617132-Henrique Bento-10327.53
716365-Artur Grillo-19834.52
893565-Basilio Pedroso-8790.26
336813-Anind Zarco-3581.41
953956-Telma Villalobos-20510.08
999388-Ubaldo Mainha-7545.67
569916-Antonio Viegas-6944.89
839796-Liana Cardim-12954.96
164391-Armindo Castalo-2148.55
445818-Heleedsa Marins-12961.23
908870-Cassandra Varejo-15647.40
572773-Armindo Castalo-21114.56
806839-Polibe Olivares-20548.66
412307-Delfina Garcia de Gondim-16177.19
793315-Liana Cardim-14521.90
381257-Cleusa Goes-5907.05
253852-Anind Zarco-18882.75
134215-Judite Damasceno-19781.15
723626-Sofras Cuaresma-14527.96
897791-Armanda Amorim-2167.58
19140-Odete Vasques-19096.67
409612-Flor Portella-4237.56
767977-Sofras Cuaresma-7975.63
152253-Tibefarcio Colao-9969.75
677082-Angilica Galante-8322.85
726241-Antonio Viegas-4361.82
858417-Romo Paranage-3719.53
479877-Heleedsa Marins-18560.87
114083-Lina Andrade-2903.27
87168-Tabalipa Duarte-5422.25
215632-Estanislau Beserra-15802.44
83904-Marilda Leio-1421.70
924700-Danilo Olaio-3589.38
147937-Guida Juca-9620.90
90429-Sofras Cuaresma-1622.83
255188-Edgar Carvalheiro-105.26
608899-Sara Lameiras-12613.84
270533-Adelino Barra-3143.81
47182-Fulvio Villegas-6124.95
135942-Edgar Carvalheiro-2230.98
498983-Angilica Galante-4423.14
528822-Gaudancio Fiees-6873.98
314586-Artur Grillo-9223.22
179464-Sara Lameiras-10544.70
19413-Spnia ou Sonia Guerreiro-5540.77
660450-Sara Lameiras-8733.32
967482-Heleedsa Marins-4554.58
743417-Tibofarcio Camacho-11887.28
122470-Branco Saraba-7562.92
828267-Melinda Roserio-6109.44
758599-Flamednia Leiria-9694.43
448958-Quintino Alcantara-15939.72
308956-Lurdes Cotrim-7608.03
106570-Elisa Themes-14149.82
510406-Emedlia Silvera-2585.18
681193-Danilo Olaio-2711.78
894228-Carminda Morais-18891.46
491577-Taercio Mafra-11894.06
985821-Jussara Varanda-280.44
458338-Leonidas Mafra-8428.73
545354-Fulvio Villegas-20286.31
946149-Angelica Aranha-8705.97
744627-Jorgina Bogalho-18059.05
381840-Basilio Pedroso-8985.28
489374-Trajano Fagundes-12580.39
190361-Cassandra Varejo-8992.36
223639-Rodolfo Paz-19801.31
714459-Armanda Amorim-14671.39
449705-Artur Grillo-18221.24
476560-Sara Lameiras-15100.99
447318-Almor Caiado-7541.61
377315-Romo Paranage-21441.07
279021-Nuno Balsemeo-20723.68
499726-Regina Barcellos-14612.66
218895-Flor Portella-13652.72
939588-Andreia Moita-1909.79
354960-Taercio Mafra-9592.02
432493-Lurdes Cotrim-19779.17
915606-Adelino Barra-1408.83
443120-Edgar Carvalheiro-4993.59
359655-Branco Saraba-15168.07
907458-Almor Caiado-20151.84
568193-Neeamia Arruda-14409.79
650815-Delfina Garcia de Gondim-5549.95
261895-Armanda Amorim-7722.14
428191-Leonidas Mafra-2036.70
830896-Flor Portella-12680.25
880590-Eurico Siqueira-15594.58
585204-Filomena Barrios-1198.90
930557-Almor Caiado-12723.33
374989-Emedlia Silvera-15646.92
496558-Sara Lameiras-8781.16
241414-Aludsio Sosa-832.01
354183-Honorina Lira-9858.52
765763-Taercio Mafra-1896.30
449176-Polibe Olivares-11000.58
111134-Odete Vasques-3214.05
975278-Liana Cardim-19812.86
788771-Jorgina Bogalho-11043.87
968613-Mercia Caeira-16603.18
24068-Tabalipa Duarte-8642.09
886104-Mercia Caeira-16177.06
964739-Tibefarcio Colao-17699.47
22643-Sara Lameiras-12458.18
75894-Nuno Balsemeo-15065.84
859740-Guaraci Damasceno-17700.33
313769-Daniel Vieyra-796.60
792940-Trajano Fagundes-16896.36
246099-Micaela Chavez-21354.24
588852-Gaudancio Fiees-15579.09
780671-Branco Saraba-4564.50
181211-Zungela Ipiranga-3478.52
181578-Taercio Mafra-10998.17
899022-Odilia Camello-20058.39
984358-Neuza Francia-14734.32
183128-Esperada Cardoso-2748.08
956227-Flamednia Leiria-7611.22
134552-Rebeca Neto-20529.15
115045-Sofras Cuaresma-14146.77
999262-Andreia Moita-11137.82
201409-Ximena Castilho-2750.79
129178-Trajano Fagundes-4632.60
279129-Delfina Garcia de Gondim-4089.58
376324-Leonidas Mafra-1953.74
807649-Emiliana Foquio-8083.58
822517-Honorina Lira-2900.58
902808-Ermelinda Quintela-18880.14
126951-Augusta Paio-16286.65
19282-Flor Portella-14932.96
335868-Quintiliano Sousa de Arronches-4388.12
78025-Rodolfo Paz-1255.29
269822-Urbano Rodrigues-14176.59
313715-Filomena Barrios-16379.38
690795-Manuel Capiperibe-4088.30
423705-Tibefarcio Colao-11236.38
588339-Henrique Bento-9939.77
77143-Spnia ou Sonia Guerreiro-17898.80
687532-Quintiliano Sousa de Arronches-14435.23
728800-Branco Saraba-16445.42
963396-Carminda Morais-2333.95
980174-Romo Paranage-9154.73
76155-Oliveira Senchez-19997.42
432552-Zulmira Becerra-16865.72
263646-Fulvio Villegas-10757.80
468460-Filomena Barrios-257.20
31352-Lina Andrade-98.24
651802-Silvio Mata-13029.01
802389-Marilda Leio-3711.05
134019-Oliveira Senchez-14148.34
278088-Jussara Varanda-15537.98
717507-Armanda Amorim-19017.78
202741-Tibofarcio Camacho-5863.70
862968-Sofras Cuaresma-2183.19
460967-Quintino Alcantara-12065.83
889412-Polibe Olivares-15990.51
472306-Moaci Mendoa-565.99
548518-Henrique Bento-11642.51
504504-Mercia Caeira-3675.70
499920-Sidfnio Frois-14427.04
554047-Henrique Bento-15879.82
486403-Tarrataca Soares-12422.16
924067-Sidfnio Frois-5309.35
104159-Sara Lameiras-8717.98
373096-Regina Barcellos-17552.58
421675-Ermelinda Quintela-14426.64
706303-Gaudancio Fiees-10576.53
298969-Letedcia Gago-15942.01
309520-Antonio Viegas-5472.22
941839-Elisa Themes-15077.22
892024-Fulvio Villegas-18252.76
672526-Marilda Leio-17332.79
747167-Delfim Higuera-21472.03
675752-Angilica Galante-7718.24
439887-Angelica Aranha-14411.97
303220-Neeamia Arruda-9361.35
217857-Estanislau Beserra-14298.41
731504-Regina Barcellos-7846.56
12313-Daniel Vieyra-3034.82
862675-Filomena Barrios-3574.24
416609-Angelica Aranha-2138.32
984906-Oliveira Carmona-14265.05
768721-Lurdes Cotrim-16022.52
487148-Liana Cardim-13274.44
3155-Adelino Barra-8204.00
810413-Clarindo Areosa-12877.04
281983-Guida Juca-334.38
922874-Filomena Barrios-14091.69
765254-Anfnia Seixas-1366.98
829979-Augusta Paio-8785.61
649673-Ximena Castilho-7824.94
745680-Letedcia Gago-14364.79
637106-Sidfnio Frois-19352.47
248019-Melinda Roserio-6622.51
682578-Emedlia Silvera-6367.70
830231-Oliveira Carmona-14665.81
112654-Clara Alcantara-2993.79
752502-Delfim Higuera-3403.02
565097-Fulvio Villegas-10360.67
343606-Esperada Cardoso-7864.14
62573-Fulvio Villegas-10990.63
614022-Letedcia Gago-16518.09
670479-Estanislau Beserra-20304.46
11815-Oliveira Carmona-872.10
281079-Melinda Roserio-8888.93
983566-Carminda Morais-15817.23
873440-Leonidas Mafra-9543.52
717615-Odete Vasques-4366.21
247594-Esperada Cardoso-8131.86
959339-Tarrataca Soares-2400.46
748229-Manuel Capiperibe-12221.09
547226-Moaci Mendoa-18257.23
824884-Quintiliano Sousa de Arronches-13299.10
866275-Angelica Aranha-13369.21
158549-Moaci Mendoa-10267.19
221213-Andreia Moita-12197.02
897385-Almerinda Palmeira-10560.92
436343-Almerinda Palmeira-5693.26
277314-Zungela Ipiranga-11685.74
701904-Judite Damasceno-8430.49
56446-Emiliana Foquio-4713.14
474260-Emedlio Pimentel-8358.61
701026-Branco Saraba-12256.86
406555-Moaci Mendoa-14285.52
806162-Gaudancio Fiees-21067.11
615128-Eurico Siqueira-17494.49
663685-Rebeca Neto-18233.46
64487-Elisa Themes-4802.99
602742-Rodolfo Paz-2080.92
327193-Odilia Bello-20427.94
581448-Trajano Fagundes-3283.67
977134-Eurico Siqueira-4588.41
95571-Clarindo Areosa-19385.42
639940-Rodolfo Paz-3554.65
622058-Tarrataca Soares-917.88
323004-Antonio Castelo-20364.03
726345-Neeamia Arruda-13285.83
254576-Clarindo Areosa-10701.64
592610-Telma Villalobos-16977.66
20743-Artur Grillo-18770.94
498316-Sidfnio Frois-18481.91
806261-Artur Grillo-6856.85
975453-Clarindo Areosa-2152.97
830776-Spnia ou Sonia Guerreiro-17669.37
754857-Micaela Chavez-2350.75
906247-Clarindo Areosa-9413.98
22510-Camila Gabeira-8106.41
1031-Adelina Quadros-8988.96
278154-Quintiliano Sousa de Arronches-17754.88
647545-Guaraci Damasceno-3140.25
327459-Branco Saraba-16525.23
374344-Celeste Duarte-19673.30
778810-Heleedsa Marins-20943.05
725533-Neeamia Arruda-11116.52
653772-Guaraci Damasceno-4479.24
853337-Domingos Pas-623.46
488412-Manuel Capiperibe-17043.69
706330-Carminda Morais-7548.86
87931-Ermelinda Quintela-19891.64
268660-Zungela Ipiranga-13203.28
543007-Delfina Perdigon-7911.72
525124-Cassandra Varejo-7300.63
708497-Melinda Roserio-15958.41
672346-Sidfnio Frois-10320.83
605667-Moaci Mendoa-15417.37
97815-Taercio Mafra-10691.07
504497-Elisa Themes-16505.95
552060-Angilica Galante-3198.18
11431-Emedlia Silvera-2944.22
475220-Anfnia Seixas-11246.91
447820-Gaudancio Fiees-3927.50
976601-Delfim Higuera-20942.75
835122-Nuno Balsemeo-4725.00
31538-Guaraci Damasceno-376.89
363923-Heleedsa Marins-4092.94
136189-Tabalipa Duarte-18223.92
770935-Tibofarcio Camacho-9234.13
257968-Daniel Vieyra-6704.82
663727-Filomena Barrios-19624.93
233663-Odete Vasques-1324.85
648024-Angilica Galante-19369.32
234270-Carminda Morais-4384.25
883097-Delfina Perdigon-18992.60
406019-Ermelinda Quintela-19712.92
495867-Melinda Roserio-17661.72
355468-Jussara Varanda-17318.25
321808-Guaraci Damasceno-19305.96
883299-Zungela Ipiranga-19193.70
778977-Emiliana Foquio-3055.50
96771-Tarrataca Soares-12257.84
621695-Branco Saraba-17054.32
896754-Gaudancio Fiees-3881.82
447074-Heleedsa Marins-1515.82
13855-Telma Villalobos-4439.88
269444-Angilica Galante-1500.00
819508-Melinda Roserio-8113.56
278215-Letedcia Gago-13496.77
150062-Odete Vasques-12680.77
19813-Armanda Amorim-8863.72
898899-Basilio Pedroso-4989.85
746189-Urbano Rodrigues-12306.07
558558-Gaudancio Fiees-13265.04
796256-Fulvio Villegas-7334.67
294405-Marilda Leio-20714.81
117247-Jorgina Bogalho-10832.67
112354-Leonidas Mafra-3256.03
964971-Cleusa Goes-16208.81
413328-Tarrataca Soares-15975.48
748099-Emedlia Silvera-9260.84
633011-Joaquim Rufino-15689.83
818079-Micaela Chavez-15112.45
434975-Sidfnio Frois-5423.20
750673-Quintiliano Sousa de Arronches-12481.16
648270-Quintiliano Sousa de Arronches-12329.27
533786-Odilia Camello-3205.61
419439-Quintiliano Sousa de Arronches-2771.89
660697-Heleedsa Marins-6871.54
95721-Sidfnio Frois-13335.68
124162-Emedlio Pimentel-19883.16
524997-Spnia ou Sonia Guerreiro-8094.65
911350-Delfina Garcia de Gondim-11702.83
421267-Domingos Pas-4812.35
435151-Ermelinda Quintela-12779.85
432780-Joaquim Rufino-15646.33
428009-Augusta Paio-17851.67
690282-Sofras Cuaresma-20895.87
71811-Daniel Vieyra-11417.64
334461-Gaudancio Fiees-2913.76
660997-Mercia Caeira-8065.00
71233-Zungela Ipiranga-14260.25
980420-Manuel Capiperibe-5014.53
651100-Adelino Barra-14108.74
641831-Moaci Mendoa-11858.25
265220-Heleedsa Marins-5597.75
815672-Nuno Balsemeo-16042.03
926788-Domingos Pas-11074.09
743625-Estanislau Beserra-15424.81
714802-Nuno Balsemeo-2353.32
253649-Melinda Roserio-9309.93
624616-Angilica Galante-2605.80
977067-Adelina Quadros-19405.61
612729-Armanda Amorim-10397.28
999283-Oliveira Senchez-2478.86
371049-Clara Alcantara-8131.52
892650-Danilo Olaio-18209.67
581520-Basilio Pedroso-14444.10
889802-Branco Saraba-21081.54
961841-Regina Barcellos-2043.85
926064-Estanislau Beserra-13616.39
873928-Sidfnio Frois-11257.80
879487-Adelino Barra-3062.73
821387-Nuno Balsemeo-734.02
153599-Odete Vasques-9084.02
827626-Tibofarcio Camacho-19417.73
276248-Emedlio Pimentel-4431.82
443826-Celeste Duarte-3452.80
20642-Dulce Froes-15901.69
594859-Flor Portella-10246.48
500939-Andreia Moita-10875.74
916231-Spnia ou Sonia Guerreiro-4379.64
911967-Emedlia Silvera-5018.43
468568-Micaela Chavez-17806.65
269838-Quintino Alcantara-13903.35
957609-Tibefarcio Colao-5166.79
313453-Anind Zarco-18669.55
636689-Flor Portella-6029.15
886811-Romo Paranage-21269.36
323794-Moaci Mendoa-15390.47
629738-Lurdes Cotrim-12220.64
90996-Tarrataca Soares-21069.81
332183-Honorina Lira-1594.09
846718-Jorgina Bogalho-16148.77
280036-Jorgina Bogalho-10706.64
115066-Sidfnio Frois-9221.38
239211-Antonio Viegas-19824.51
545119-Mercia Caeira-17776.04
130664-Micaela Chavez-17520.07
401998-Clarindo Areosa-18663.31
320964-Daniel Vieyra-1774.77
329978-Letedcia Gago-1945.68
302967-Letedcia Gago-8959.00
119418-Polibe Olivares-4402.63
633423-Emiliana Foquio-10485.43
965877-Angelica Aranha-14816.58
9813-Domingos Pas-15338.98
492423-Flor Portella-16484.43
922942-Odilia Camello-230.90
289308-Ximena Castilho-3954.92
219083-Liana Cardim-16428.13
213208-Branco Saraba-5576.59
220618-Antonio Viegas-18729.62
120575-Celeste Duarte-17955.98
930703-Neeamia Arruda-21062.31
888138-Emedlia Silvera-20477.13
15896-Armanda Amorim-21367.23
594726-Anind Zarco-20927.32
294023-Neeamia Arruda-3711.71
516948-Delfina Garcia de Gondim-12464.61
70945-Almor Caiado-19626.80
618456-Letedcia Gago-15944.09
734125-Delfina Perdigon-1011.46
750135-Odilia Bello-19372.67
545909-Estanislau Beserra-1277.14
885130-Romo Paranage-381.18
882865-Tibofarcio Camacho-4431.34
811029-Oliveira Senchez-11777.29
182037-Jorgina Bogalho-18720.23
