461016-Eurico Siqueira-5690.47
214945-Lurdes Cotrim-9179.44
357987-Almerinda Palmeira-2160.28
469756-Quintino Alcantara-9799.77
480086-Neeamia Arruda-21447.98
283209-Letedcia Gago-8032.74
479515-Leonidas Mafra-8620.15
667748-Neuza Francia-9938.00
419044-Oliveira Carmona-18942.55
475114-Romo Paranage-9447.96
661748-Estanislau Beserra-8842.96
9183-Spnia ou Sonia Guerreiro-14135.11
543997-Sidfnio Frois-6263.85
717699-Sara Lameiras-633.71
256629-Letedcia Gago-3678.52
247299-Taercio Mafra-20111.35
380608-Gaudancio Fiees-10871.31
427366-Tibefarcio Colao-5103.15
952286-Lina Andrade-7587.34
995261-Delfina Perdigon-8202.09
148895-Anfnia Seixas-19738.71
198234-Sara Lameiras-15223.96
708074-Guida Juca-17799.40
246210-Neeamia Arruda-3461.74
761793-Polibe Olivares-7604.31
591351-Flor Portella-21096.78
211697-Delfim Higuera-505.75
847495-Manuel Capiperibe-10670.02
282987-Telma Villalobos-19209.55
489547-Edgar Carvalheiro-15984.66
8328-Oliveira Carmona-7371.32
823138-Joaquim Rufino-3488.46
665273-Delfim Higuera-13515.54
892722-Almerinda Palmeira-18138.00
491591-Angelica Aranha-5680.79
458320-Lurdes Cotrim-19066.70
559764-Cleusa Goes-1903.98
308144-Andreia Moita-5762.46
371206-Odilia Bello-19105.29
167996-Adelino Barra-17925.34
689980-Delfina Garcia de Gondim-11670.59
598907-Telma Villalobos-9183.99
903959-Danilo Olaio-3125.80
665487-Cleusa Goes-21234.73
117541-Neuza Francia-21194.81
484047-Antonio Viegas-6684.55
561360-Judite Damasceno-19290.15
213736-Eurico Siqueira-5458.40
868541-Moaci Mendoa-13242.11
994413-Tibefarcio Colao-7278.95
102966-Gaudancio Fiees-17245.85
343095-Filomena Barrios-19931.84
429385-Antonio Castelo-9086.05
586264-Jussara Varanda-2507.86
59940-Filomena Barrios-3659.04
612208-Heleedsa Marins-20143.88
350771-Odilia Bello-8634.66
487325-Eurico Siqueira-12586.79
385717-Moaci Mendoa-21195.48
812584-Tabalipa Duarte-10720.59
290176-Flamednia Leiria-18621.62
343174-Andreia Moita-9320.21
794716-Delfim Higuera-7779.67
826427-Spnia ou Sonia Guerreiro-6040.69
847382-Feledcia Peassego-766.46
865524-Tarrataca Soares-19112.58
855525-Almerinda Palmeira-15721.25
860798-Zulmira Becerra-13971.29
222190-Tabalipa Duarte-19625.14
794556-Flamednia Leiria-8838.43
778596-Melinda Roserio-21011.34
347940-Rodolfo Paz-3389.93
617845-Spnia ou Sonia Guerreiro-8107.88
8624-Letedcia Gago-16816.14
185764-Carminda Morais-7799.78
266805-Filomena Barrios-2253.60
252146-Tabalipa Duarte-6862.15
703148-Liana Cardim-19440.76
349899-Adelina Quadros-2498.15
60939-Polibe Olivares-12226.09
830682-Quintiliano Sousa de Arronches-12953.88
794798-Jussara Varanda-452.52
780031-Zulmira Becerra-16128.70
732118-Cassandra Varejo-4643.95
753675-Cleusa Goes-11455.81
420995-Andreia Moita-18748.48
378989-Melinda Roserio-3716.16
462078-Cassandra Varejo-17943.19
673937-Mercia Caeira-9591.85
432989-Neeamia Arruda-21332.46
35466-Cassandra Varejo-20935.94
287895-Antonio Castelo-5549.05
533450-Adelina Quadros-5966.85
83200-Armindo Castalo-8494.17
247220-Telma Villalobos-19171.71
905597-Cleusa Goes-17291.08
407502-Aludsio Sosa-490.03
157518-Sofras Cuaresma-5964.65
983739-Branco Saraba-4736.55
624706-Tabalipa Duarte-16430.88
874975-Trajano Fagundes-6936.40
545848-Ximena Castilho-18739.28
952559-Edgar Carvalheiro-12279.78
745659-Ermelinda Quintela-17140.61
933772-Moaci Mendoa-7188.25
219014-Taercio Mafra-11697.30
868190-Armanda Amorim-11446.54
133447-Liana Cardim-13298.12
717932-Flor Portella-15217.95
520602-Odete Vasques-19704.20
569690-Marilda Leio-17508.12
728584-Almor Caiado-108.74
792081-Trajano Fagundes-10908.26
56565-Emedlia Silvera-1610.88
737802-Zulmira Becerra-19810.22
105821-Antonio Viegas-12537.57
97967-Quintiliano Sousa de Arronches-20016.26
576879-Antonio Viegas-3012.75
37339-Emiliana Foquio-945.10
669635-Melinda Roserio-1930.30
390406-Celeste Duarte-5826.00
751470-Delfim Higuera-12093.29
557073-Tibefarcio Colao-4806.37
857018-Neuza Francia-11406.93
734505-Neeamia Arruda-18914.31
436756-Ermelinda Quintela-3550.54
869366-Ubaldo Mainha-4081.52
472543-Adelina Quadros-20997.28
403805-Tarrataca Soares-17312.82
130539-Rodolfo Paz-19239.52
793803-Marilda Leio-258.58
784925-Rodolfo Paz-10256.10
649752-Regina Barcellos-3546.83
857196-Flor Portella-13885.40
152916-Manuel Capiperibe-15462.75
470686-Judite Damasceno-15467.12
62223-Lurdes Cotrim-4120.97
795718-Zungela Ipiranga-14345.70
320970-Quintiliano Sousa de Arronches-16489.74
839559-Filomena Barrios-4296.21
388440-Armindo Castalo-18944.14
53655-Angilica Galante-13517.16
47436-Odilia Camello-9598.82
194568-Antonio Viegas-18097.39
518912-Adelina Quadros-19148.92
307327-Zulmira Becerra-11088.79
149281-Manuel Capiperibe-6454.58
142742-Clara Alcantara-3787.70
897293-Tabalipa Duarte-6100.91
933922-Trajano Fagundes-14339.30
438616-Jorgina Bogalho-8958.35
285430-Estanislau Beserra-17258.88
774889-Regina Barcellos-8384.52
431362-Camila Gabeira-8616.47
144572-Odilia Bello-7886.82
649024-Armanda Amorim-3635.06
381474-Delfim Higuera-20886.55
211289-Melinda Roserio-20773.14
611011-Carminda Morais-2817.28
500799-Sofras Cuaresma-5806.62
527544-Tibefarcio Colao-6031.00
968698-Angilica Galante-3749.02
641889-Leonidas Mafra-9216.77
713221-Delfina Perdigon-4506.25
523539-Armindo Castalo-3502.86
742111-Polibe Olivares-194.51
355975-Odilia Bello-10048.33
427354-Manuel Capiperibe-15710.44
268318-Gaudancio Fiees-10051.71
199837-Joaquim Rufino-9561.88
577823-Danilo Olaio-18537.16
307067-Dulce Froes-12972.01
924874-Cleusa Goes-6383.59
511384-Sidfnio Frois-8370.72
744814-Branco Saraba-15555.96
660427-Danilo Olaio-4138.54
598256-Anfnia Seixas-6682.10
191228-Emiliana Foquio-8166.38
131143-Nuno Balsemeo-12379.06
798941-Anfnia Seixas-3946.22
128545-Trajano Fagundes-18682.00
558571-Oliveira Senchez-1120.24
890802-Henrique Bento-11469.48
416479-Ubaldo Mainha-15164.60
566963-Dulce Froes-20822.04
519532-Quintino Alcantara-14853.81
406858-Adelino Barra-894.96
126768-Dulce Froes-21306.87
923254-Delfim Higuera-10963.35
890976-Armanda Amorim-15631.34
47085-Odilia Camello-19642.62
435479-Adelino Barra-7553.37
541206-Jussara Varanda-4587.44
6157-Taercio Mafra-19961.61
59904-Guaraci Damasceno-15232.44
709635-Delfina Garcia de Gondim-15377.64
213813-Basilio Pedroso-20591.71
444767-Sofras Cuaresma-19448.13
313498-Heleedsa Marins-6182.53
604677-Almerinda Palmeira-12321.44
518141-Joaquim Rufino-4477.08
148066-Danilo Olaio-1186.59
285167-Almerinda Palmeira-15422.01
403375-Anfnia Seixas-10617.23
981369-Dulce Froes-16617.83
280317-Emiliana Foquio-6030.09
960645-Guida Juca-4467.39
653313-Rodolfo Paz-18611.84
549551-Neeamia Arruda-13680.14
780500-Sidfnio Frois-2051.35
661455-Sofras Cuaresma-9146.53
320959-Branco Saraba-10698.01
317585-Anind Zarco-7826.03
574839-Angilica Galante-12000.06
992848-Liana Cardim-16909.87
171280-Heleedsa Marins-427.84
629666-Jorgina Bogalho-20357.45
774866-Polibe Olivares-13169.14
733648-Ximena Castilho-169.80
461969-Guaraci Damasceno-13797.61
850805-Tibofarcio Camacho-5259.38
947243-Heleedsa Marins-15672.59
186760-Quintino Alcantara-9640.93
659620-Dulce Froes-13226.68
855628-Andreia Moita-3441.77
351039-Urbano Rodrigues-16993.49
855488-Sidfnio Frois-4834.95
99142-Ermelinda Quintela-9032.70
43118-Filomena Barrios-6085.20
517268-Guaraci Damasceno-2174.98
126267-Liana Cardim-9623.49
388258-Romo Paranage-11432.96
967659-Flamednia Leiria-8789.99
149638-Tibefarcio Colao-17116.59
853921-Feledcia Peassego-4080.31
545526-Clara Alcantara-7773.82
537474-Neeamia Arruda-12752.37
274058-Emedlia Silvera-2008.53
441295-Heleedsa Marins-15628.96
588737-Sidfnio Frois-2869.29
13236-Quintiliano Sousa de Arronches-8730.56
376247-Lina Andrade-20884.44
515082-Anind Zarco-7079.28
747325-Daniel Vieyra-18090.78
164169-Odilia Camello-1494.48
758462-Anfnia Seixas-17149.93
701484-Sofras Cuaresma-1060.47
655606-Almor Caiado-16533.21
395693-Estanislau Beserra-12312.79
139043-Guida Juca-10043.84
896679-Odilia Bello-2049.14
3056-Angelica Aranha-15062.90
921769-Adelina Quadros-333.21
839577-Sidfnio Frois-10450.69
932454-Tarrataca Soares-15692.33
56028-Odilia Bello-19499.91
77689-Delfina Perdigon-17392.09
336574-Urbano Rodrigues-14203.81
448177-Liana Cardim-18967.77
971968-Marilda Leio-16294.32
425216-Almor Caiado-8358.45
934188-Flamednia Leiria-4783.65
919847-Micaela Chavez-17002.86
833499-Armindo Castalo-10856.42
824784-Romo Paranage-3460.91
780325-Armindo Castalo-20371.47
729298-Rodolfo Paz-4937.41
241879-Jussara Varanda-12860.78
75776-Oliveira Senchez-3200.42
704987-Tarrataca Soares-13060.14
718250-Sara Lameiras-2359.56
161505-Silvio Mata-1304.06
894649-Anfnia Seixas-9303.26
949114-Manuel Capiperibe-11961.60
588579-Nuno Balsemeo-5895.01
460861-Letedcia Gago-14072.81
840775-Emiliana Foquio-10695.27
946156-Emedlio Pimentel-18297.69
948964-Basilio Pedroso-10463.61
244891-Melinda Roserio-20980.66
972980-Edgar Carvalheiro-16943.00
62616-Tarrataca Soares-399.78
516854-Trajano Fagundes-7888.73
773815-Heleedsa Marins-18268.22
673078-Tabalipa Duarte-20514.11
663448-Andreia Moita-8843.88
833657-Cassandra Varejo-2757.45
228691-Mercia Caeira-19646.91
217828-Tarrataca Soares-9291.56
765596-Honorina Lira-12134.01
327612-Artur Grillo-1518.91
845444-Sara Lameiras-7279.53
769634-Jorgina Bogalho-12724.70
536379-Silvio Mata-13382.44
462828-Henrique Bento-20109.17
890117-Delfim Higuera-14890.97
114922-Regina Barcellos-18099.30
382895-Feledcia Peassego-13196.75
419562-Moaci Mendoa-13044.10
333403-Emiliana Foquio-20841.75
829406-Romo Paranage-6700.19
142173-Guaraci Damasceno-15928.65
916856-Branco Saraba-6881.51
80810-Honorina Lira-10336.87
583148-Augusta Paio-16781.50
12450-Rebeca Neto-10635.56
345929-Adelino Barra-5971.88
908009-Moaci Mendoa-13485.71
677550-Liana Cardim-8525.06
119868-Adelina Quadros-1553.56
963502-Jorgina Bogalho-13551.86
214137-Almerinda Palmeira-18513.28
901684-Silvio Mata-16837.61
92053-Adelino Barra-16413.58
526357-Flor Portella-14034.58
394024-Andreia Moita-8739.86
358504-Tibefarcio Colao-9373.32
286157-Clara Alcantara-18692.40
889323-Camila Gabeira-13394.34
902182-Branco Saraba-2770.71
123034-Clarindo Areosa-20430.34
363139-Judite Damasceno-3467.65
467941-Taercio Mafra-2111.83
239779-Ubaldo Mainha-7612.75
215032-Fulvio Villegas-11878.01
340177-Guida Juca-13541.95
538034-Delfina Perdigon-6020.70
923526-Odilia Bello-7413.56
395900-Branco Saraba-9442.45
374718-Domingos Pas-3676.64
709735-Zulmira Becerra-10957.87
230359-Almor Caiado-16511.50
111465-Flor Portella-14791.34
753559-Estanislau Beserra-12678.90
786507-Filomena Barrios-20511.05
760752-Nuno Balsemeo-12119.62
754152-Almerinda Palmeira-19615.00
563582-Tibofarcio Camacho-6019.40
646106-Jussara Varanda-6293.36
162923-Adelino Barra-7487.11
750253-Rodolfo Paz-11154.20
887952-Joaquim Rufino-9371.67
306507-Branco Saraba-20652.79
391252-Lurdes Cotrim-18885.48
266943-Tarrataca Soares-20483.35
459937-Guaraci Damasceno-18006.12
847908-Esperada Cardoso-20193.66
305710-Jonatas Felgueiras-14944.46
635854-Odilia Camello-20950.92
211309-Lurdes Cotrim-8657.71
450611-Edgar Carvalheiro-2310.38
993144-Moaci Mendoa-864.42
685697-Micaela Chavez-7787.49
28914-Cleusa Goes-3716.56
778927-Filomena Barrios-17739.23
150768-Melinda Roserio-18783.83
484615-Estanislau Beserra-20392.31
351206-Guaraci Damasceno-7110.53
641362-Manuel Capiperibe-7826.89
783687-Zungela Ipiranga-10509.00
636548-Filomena Barrios-18833.51
426032-Tarrataca Soares-808.61
382498-Urbano Rodrigues-15895.46
133764-Judite Damasceno-14460.92
949740-Anind Zarco-9183.87
616935-Zungela Ipiranga-20575.38
412451-Zulmira Becerra-17805.38
574090-Angilica Galante-20488.90
214490-Odete Vasques-13170.47
947052-Urbano Rodrigues-2143.48
