765079-Filomena Barrios-9715.51
887658-Daniel Vieyra-18110.14
448521-Urbano Rodrigues-19084.10
64733-Aludsio Sosa-4059.73
424139-Lina Andrade-1005.06
132793-Antonio Viegas-1742.95
406799-Regina Barcellos-17223.63
236347-Zulmira Becerra-9225.21
694934-Jorgina Bogalho-20259.53
902198-Guida Juca-16485.37
27706-Angelica Aranha-5027.82
272227-Edgar Carvalheiro-2281.86
245252-Antonio Viegas-9176.35
156848-Delfina Garcia de Gondim-6882.16
579205-Jorgina Bogalho-20946.40
989917-Spnia ou Sonia Guerreiro-18022.89
735527-Oliveira Senchez-3802.12
488059-Carminda Morais-10164.48
752057-Danilo Olaio-5976.60
812562-Augusta Paio-11655.62
430663-Sofras Cuaresma-3071.06
413869-Melinda Roserio-3523.78
444254-Branco Saraba-601.40
884664-Almor Caiado-20452.97
814744-Rodolfo Paz-15113.92
734397-Almor Caiado-20883.82
465536-Daniel Vieyra-10746.34
559412-Gaudancio Fiees-12831.22
690483-Adelino Barra-6803.91
291261-Judite Damasceno-19712.03
428776-Branco Saraba-7511.50
864713-Jussara Varanda-6740.80
486730-Ximena Castilho-14035.25
743347-Eurico Siqueira-5529.26
732003-Tabalipa Duarte-6757.40
360484-Andreia Moita-18724.75
310639-Adelino Barra-224.57
956564-Aludsio Sosa-11430.16
567310-Neeamia Arruda-18617.06
354163-Urbano Rodrigues-20569.98
702969-Silvio Mata-12299.43
157786-Ximena Castilho-20308.08
990841-Augusta Paio-3928.11
963739-Urbano Rodrigues-15285.54
749679-Oliveira Carmona-18312.86
444220-Ximena Castilho-12481.63
37277-Anind Zarco-15814.74
264379-Sidfnio Frois-10639.46
129935-Filomena Barrios-7120.30
902356-Manuel Capiperibe-11233.84
877852-Leonidas Mafra-13160.87
3438-Carminda Morais-15972.45
725688-Marilda Leio-1717.52
488855-Almerinda Palmeira-13947.16
661251-Urbano Rodrigues-8689.82
606677-Danilo Olaio-1059.43
26826-Flamednia Leiria-11939.80
387235-Delfina Perdigon-9127.61
796371-Danilo Olaio-5454.07
912013-Esperada Cardoso-7723.09
58127-Mercia Caeira-14171.87
147137-Emedlia Silvera-10837.07
43757-Fulvio Villegas-4459.49
267420-Fulvio Villegas-9074.38
561474-Daniel Vieyra-8736.15
657922-Quintiliano Sousa de Arronches-10202.22
917248-Liana Cardim-10722.49
166443-Carminda Morais-10521.52
362073-Carminda Morais-21029.49
104151-Cleusa Goes-17913.77
230489-Elisa Themes-269.52
960408-Regina Barcellos-1870.99
451696-Neuza Francia-76.59
178841-Manuel Capiperibe-20289.26
654638-Anind Zarco-13370.04
112416-Sidfnio Frois-19106.62
996393-Emiliana Foquio-7030.96
892904-Clarindo Areosa-14432.62
33624-Sara Lameiras-9001.41
97543-Jonatas Felgueiras-19332.45
987019-Anfnia Seixas-13709.92
63552-Adelina Quadros-5294.68
846933-Zungela Ipiranga-10059.20
95553-Odete Vasques-8246.15
781915-Neuza Francia-13802.70
599976-Tabalipa Duarte-13943.82
640060-Jussara Varanda-9728.95
445346-Camila Gabeira-13097.88
403069-Judite Damasceno-11703.38
825952-Trajano Fagundes-10999.52
142360-Odilia Camello-18709.39
894070-Manuel Capiperibe-6055.19
260922-Zulmira Becerra-5348.82
286673-Polibe Olivares-21049.78
755096-Flor Portella-19282.76
744017-Polibe Olivares-8783.92
395005-Andreia Moita-21230.32
658012-Spnia ou Sonia Guerreiro-2919.94
699483-Ximena Castilho-7323.97
365137-Honorina Lira-12522.23
308183-Polibe Olivares-14953.65
759108-Andreia Moita-14887.76
161970-Neuza Francia-14195.53
1169-Emedlia Silvera-12953.56
971897-Nuno Balsemeo-9976.27
212441-Rodolfo Paz-18633.71
351569-Aludsio Sosa-15082.83
385674-Odilia Camello-6354.57
724014-Marilda Leio-6881.57
400211-Jorgina Bogalho-4190.38
544514-Jonatas Felgueiras-17613.46
143942-Regina Barcellos-17911.05
262048-Delfim Higuera-10377.84
262116-Honorina Lira-5073.01
756051-Odete Vasques-10242.73
558474-Lurdes Cotrim-18214.86
236655-Angilica Galante-21458.37
979712-Moaci Mendoa-8227.39
200285-Anind Zarco-13094.63
850501-Tibefarcio Colao-4813.80
207254-Angelica Aranha-15859.24
961962-Rodolfo Paz-515.85
492343-Rebeca Neto-7788.47
575670-Fulvio Villegas-76.25
47673-Anfnia Seixas-19903.81
630744-Micaela Chavez-654.56
617957-Tibofarcio Camacho-15536.93
887965-Flamednia Leiria-21356.72
131483-Letedcia Gago-21033.89
531644-Silvio Mata-417.56
969936-Quintino Alcantara-14979.63
270894-Micaela Chavez-15249.25
193628-Honorina Lira-16114.17
900107-Judite Damasceno-10295.09
907852-Lina Andrade-10745.57
705113-Eurico Siqueira-5967.04
504331-Oliveira Senchez-14593.22
657074-Oliveira Senchez-8757.26
549017-Armanda Amorim-16288.58
420526-Henrique Bento-1119.06
671812-Taercio Mafra-10388.76
363743-Adelino Barra-18761.47
640260-Honorina Lira-1198.57
763411-Odete Vasques-11027.57
511665-Melinda Roserio-10371.81
157425-Angelica Aranha-9474.03
259165-Jorgina Bogalho-5074.23
569893-Neeamia Arruda-18630.80
69320-Neuza Francia-15421.46
474084-Armanda Amorim-8540.83
634686-Tibofarcio Camacho-2802.71
758380-Branco Saraba-14066.34
839834-Odete Vasques-21372.75
338685-Sidfnio Frois-11035.54
346957-Henrique Bento-4605.83
428673-Elisa Themes-512.56
214579-Guaraci Damasceno-20885.15
838984-Spnia ou Sonia Guerreiro-16836.02
706205-Flor Portella-9721.87
431374-Dulce Froes-20576.62
62486-Domingos Pas-6868.12
85829-Daniel Vieyra-5050.87
255947-Rebeca Neto-8899.27
799170-Fulvio Villegas-13052.66
99255-Delfina Perdigon-6331.29
580405-Telma Villalobos-20955.58
496790-Neuza Francia-19942.89
320037-Tibefarcio Colao-17886.44
739924-Emedlia Silvera-2068.67
821820-Augusta Paio-10252.98
986251-Edgar Carvalheiro-608.77
421381-Domingos Pas-4999.63
7306-Manuel Capiperibe-20712.19
384286-Edgar Carvalheiro-5995.34
832083-Leonidas Mafra-14826.33
862364-Antonio Viegas-14627.30
632554-Taercio Mafra-14872.27
950875-Artur Grillo-20635.47
387219-Estanislau Beserra-7598.03
10906-Tibofarcio Camacho-12656.25
812373-Delfina Garcia de Gondim-1401.28
426306-Ubaldo Mainha-19585.49
127436-Lurdes Cotrim-16850.73
271951-Zulmira Becerra-14569.73
198535-Feledcia Peassego-2303.22
254145-Filomena Barrios-6131.84
867456-Regina Barcellos-5093.33
802102-Anind Zarco-20072.84
897068-Antonio Castelo-3481.87
342207-Sara Lameiras-7991.98
601598-Letedcia Gago-11230.11
254079-Micaela Chavez-20064.37
352774-Edgar Carvalheiro-18070.81
186336-Emedlio Pimentel-14148.69
70286-Cleusa Goes-21350.68
587527-Quintiliano Sousa de Arronches-3058.38
351169-Emedlio Pimentel-1702.22
858002-Clara Alcantara-15750.24
428062-Delfim Higuera-20139.21
801273-Telma Villalobos-16937.80
799456-Oliveira Senchez-16398.98
441566-Camila Gabeira-19131.52
632631-Henrique Bento-8660.21
929015-Sidfnio Frois-5697.24
198652-Judite Damasceno-16237.94
789976-Neeamia Arruda-12158.98
565353-Tibefarcio Colao-8087.65
190041-Neeamia Arruda-18896.23
614915-Manuel Capiperibe-795.68
227194-Moaci Mendoa-4333.69
37785-Celeste Duarte-20691.68
859060-Jussara Varanda-8321.26
150031-Melinda Roserio-8282.75
521781-Armanda Amorim-15952.04
278965-Ubaldo Mainha-2949.19
136471-Anfnia Seixas-14527.09
315740-Tibefarcio Colao-13867.91
716932-Domingos Pas-6064.97
658501-Delfina Perdigon-11191.12
37515-Almerinda Palmeira-11253.39
712534-Sidfnio Frois-14243.77
285155-Sara Lameiras-9917.53
42163-Artur Grillo-18339.03
819979-Armindo Castalo-14629.41
321291-Marilda Leio-12937.36
132738-Filomena Barrios-13138.73
841847-Oliveira Senchez-18291.88
832492-Jorgina Bogalho-8624.22
446322-Taercio Mafra-21360.80
144103-Romo Paranage-12216.34
210758-Almor Caiado-19603.46
962094-Tarrataca Soares-16971.48
839677-Andreia Moita-1977.07
508844-Almor Caiado-4755.27
382257-Nuno Balsemeo-9528.48
691272-Anind Zarco-11059.81
709515-Emedlia Silvera-33.39
35042-Zungela Ipiranga-6011.71
857895-Melinda Roserio-4941.34
309341-Flor Portella-19092.78
100224-Antonio Castelo-9850.05
784679-Sofras Cuaresma-19379.67
221768-Clara Alcantara-13053.23
77874-Esperada Cardoso-20628.32
391129-Ximena Castilho-15107.31
440499-Flamednia Leiria-20914.22
878807-Tarrataca Soares-9626.48
21795-Quintino Alcantara-16586.83
102746-Telma Villalobos-4910.57
263810-Letedcia Gago-7263.66
575206-Romo Paranage-13424.67
749469-Jorgina Bogalho-16162.51
71754-Jorgina Bogalho-3919.90
616928-Zulmira Becerra-16510.67
688618-Zungela Ipiranga-4139.75
608116-Daniel Vieyra-1219.32
24511-Camila Gabeira-20888.11
779652-Jorgina Bogalho-17013.49
706031-Sara Lameiras-19694.51
766321-Jussara Varanda-7342.32
620978-Almerinda Palmeira-13648.07
997112-Delfina Perdigon-15265.56
856817-Daniel Vieyra-7691.44
39770-Taercio Mafra-14377.61
571168-Ximena Castilho-18604.50
349620-Zulmira Becerra-8425.74
66397-Liana Cardim-16375.99
431016-Augusta Paio-21013.79
994869-Neeamia Arruda-6876.01
132205-Sofras Cuaresma-378.84
119660-Jonatas Felgueiras-20615.04
90162-Guida Juca-13010.18
828392-Taercio Mafra-18418.75
72469-Celeste Duarte-6944.31
383915-Mercia Caeira-20690.02
670212-Delfina Garcia de Gondim-10338.68
888211-Jorgina Bogalho-18279.34
433070-Dulce Froes-11188.82
842938-Estanislau Beserra-5653.93
220559-Celeste Duarte-6585.25
829745-Edgar Carvalheiro-21246.45
762053-Anind Zarco-20112.51
766953-Adelina Quadros-19345.96
916199-Marilda Leio-1391.85
826721-Guaraci Damasceno-4235.69
219840-Almerinda Palmeira-10542.39
187320-Almor Caiado-56.44
753674-Cleusa Goes-15140.77
731257-Augusta Paio-8384.36
309748-Manuel Capiperibe-20956.57
771821-Nuno Balsemeo-17250.03
254806-Tibefarcio Colao-10912.81
755814-Angelica Aranha-17210.48
164366-Feledcia Peassego-884.81
487530-Flamednia Leiria-19263.07
845529-Angelica Aranha-5050.44
71631-Edgar Carvalheiro-9622.31
748587-Rodolfo Paz-6405.01
823763-Mercia Caeira-16412.32
775678-Micaela Chavez-3570.58
285593-Lina Andrade-11208.30
440463-Lina Andrade-16990.85
363155-Lurdes Cotrim-12453.57
398413-Artur Grillo-16015.21
618706-Estanislau Beserra-13145.25
407949-Letedcia Gago-3058.87
436356-Flamednia Leiria-17569.59
624840-Jussara Varanda-10532.24
890121-Polibe Olivares-14610.48
107841-Fulvio Villegas-13983.40
498558-Tabalipa Duarte-15236.25
