35114-Tibefarcio Colao-4948.06
69037-Sofras Cuaresma-2155.63
623753-Estanislau Beserra-17505.21
174867-Romo Paranage-7430.10
111928-Flamednia Leiria-6687.00
333365-Jorgina Bogalho-17475.48
467029-Quintiliano Sousa de Arronches-9928.47
435699-Angelica Aranha-7187.90
132938-Andreia Moita-11825.28
911481-Armindo Castalo-20574.05
508135-Neeamia Arruda-19818.32
325105-Anind Zarco-17804.18
534542-Esperada Cardoso-15475.58
551981-Branco Saraba-15242.49
373515-Tabalipa Duarte-9828.78
650058-Quintino Alcantara-11332.11
568111-Jussara Varanda-5881.94
978241-Judite Damasceno-14096.30
63847-Armanda Amorim-13142.79
600204-Sofras Cuaresma-5107.07
414217-Filomena Barrios-9342.15
649339-Spnia ou Sonia Guerreiro-19285.40
447199-Silvio Mata-7015.91
765937-Letedcia Gago-17571.43
610907-Jussara Varanda-5620.33
156195-Odete Vasques-15466.83
765773-Basilio Pedroso-12407.68
738580-Armanda Amorim-15787.46
501786-Zungela Ipiranga-5263.26
792598-Mercia Caeira-14539.26
5184-Nuno Balsemeo-6348.57
82978-Domingos Pas-12465.06
578665-Edgar Carvalheiro-13569.53
148704-Mercia Caeira-5692.36
967961-Neeamia Arruda-17738.46
181068-Quintiliano Sousa de Arronches-13445.19
121391-Adelino Barra-10288.01
255959-Micaela Chavez-18195.40
20472-Quintiliano Sousa de Arronches-1405.58
580571-Flor Portella-14693.50
847739-Delfina Perdigon-14208.72
846461-Jorgina Bogalho-19769.55
901844-Delfina Garcia de Gondim-6230.50
548428-Feledcia Peassego-10541.99
854548-Armanda Amorim-4996.83
193717-Dulce Froes-20898.64
215995-Cleusa Goes-5155.02
38548-Heleedsa Marins-6597.58
606913-Lina Andrade-17847.78
501290-Clara Alcantara-9098.75
838235-Neuza Francia-6932.39
31964-Flor Portella-20690.86
248170-Esperada Cardoso-5235.04
934050-Sara Lameiras-10530.52
855543-Filomena Barrios-11199.07
623556-Celeste Duarte-12861.01
426987-Flamednia Leiria-9508.33
547963-Odilia Camello-13548.72
725064-Delfim Higuera-19294.79
943725-Jorgina Bogalho-10534.96
545599-Neeamia Arruda-1808.51
19520-Zungela Ipiranga-20938.83
448464-Daniel Vieyra-15966.47
960154-Delfina Garcia de Gondim-460.98
154238-Domingos Pas-1589.53
547732-Zulmira Becerra-15615.77
321705-Micaela Chavez-13035.20
597548-Delfina Garcia de Gondim-4135.84
147574-Letedcia Gago-7113.09
475901-Delfina Garcia de Gondim-1897.69
679454-Emiliana Foquio-3183.15
638676-Jonatas Felgueiras-3703.35
200027-Adelino Barra-1752.99
781705-Urbano Rodrigues-3562.60
899433-Emiliana Foquio-19674.14
956815-Delfina Perdigon-12134.78
598514-Augusta Paio-1843.16
105931-Melinda Roserio-15429.14
484912-Domingos Pas-16540.61
342369-Celeste Duarte-1550.53
728649-Armanda Amorim-1032.49
449283-Clara Alcantara-444.04
568939-Heleedsa Marins-20476.04
852140-Dulce Froes-1939.02
232936-Almerinda Palmeira-19788.02
83223-Leonidas Mafra-20797.58
510204-Camila Gabeira-17828.73
457219-Delfim Higuera-20389.79
504935-Manuel Capiperibe-20554.64
862066-Zungela Ipiranga-16143.23
988687-Filomena Barrios-17690.52
430399-Armindo Castalo-5530.17
723074-Marilda Leio-601.03
798823-Carminda Morais-18869.55
650506-Liana Cardim-17847.04
916009-Augusta Paio-20597.87
692119-Ermelinda Quintela-21262.97
267837-Tibofarcio Camacho-11402.71
273417-Jonatas Felgueiras-16627.76
856431-Flamednia Leiria-1101.54
976430-Quintino Alcantara-9671.43
861924-Ximena Castilho-2570.90
151589-Angilica Galante-4978.13
561805-Anfnia Seixas-18646.12
874276-Adelina Quadros-4187.79
504787-Artur Grillo-2752.11
410155-Edgar Carvalheiro-4999.03
188892-Neeamia Arruda-12771.71
979635-Taercio Mafra-20024.44
234592-Sidfnio Frois-348.17
845187-Manuel Capiperibe-19717.93
507365-Flor Portella-14741.72
186762-Guaraci Damasceno-7338.40
485021-Danilo Olaio-17984.01
737931-Armanda Amorim-5667.92
211131-Leonidas Mafra-11652.97
987846-Cleusa Goes-13787.07
578278-Rebeca Neto-8424.12
956000-Honorina Lira-15953.92
109594-Judite Damasceno-13981.43
933830-Eurico Siqueira-18649.88
901045-Honorina Lira-4700.12
957989-Jussara Varanda-20611.98
827736-Armanda Amorim-2562.00
825463-Heleedsa Marins-12369.38
601675-Celeste Duarte-3456.65
105085-Adelino Barra-17896.53
995109-Odilia Camello-12527.48
88640-Edgar Carvalheiro-20227.04
626391-Emedlio Pimentel-14673.30
981146-Danilo Olaio-18442.63
645686-Romo Paranage-19731.64
998289-Jorgina Bogalho-21111.23
190544-Fulvio Villegas-6084.67
300608-Neuza Francia-14772.92
202757-Danilo Olaio-8414.10
918131-Rebeca Neto-11235.15
340532-Artur Grillo-6760.27
691557-Heleedsa Marins-7761.15
950841-Domingos Pas-12787.42
352977-Feledcia Peassego-712.39
259504-Gaudancio Fiees-12728.85
694138-Tibofarcio Camacho-20628.83
327291-Daniel Vieyra-10275.90
160336-Nuno Balsemeo-21128.91
447556-Taercio Mafra-15906.10
400083-Joaquim Rufino-6260.44
522114-Clarindo Areosa-5979.01
908280-Romo Paranage-2011.09
998229-Sofras Cuaresma-10310.60
934259-Emiliana Foquio-1909.29
650200-Nuno Balsemeo-16931.89
47098-Guaraci Damasceno-17128.83
82942-Cassandra Varejo-1637.27
101819-Almerinda Palmeira-15968.87
896490-Filomena Barrios-8068.51
134036-Basilio Pedroso-2867.67
886840-Clarindo Areosa-18262.89
666363-Esperada Cardoso-2357.14
561246-Guaraci Damasceno-18327.12
714231-Emiliana Foquio-16421.63
106466-Cleusa Goes-15083.29
899988-Andreia Moita-12568.93
93087-Quintino Alcantara-8514.92
876307-Estanislau Beserra-9005.94
66610-Jonatas Felgueiras-7340.07
383104-Lurdes Cotrim-11931.41
743920-Delfim Higuera-12540.28
522295-Danilo Olaio-15926.94
893434-Andreia Moita-8377.72
840881-Urbano Rodrigues-2680.02
717615-Estanislau Beserra-21021.09
299492-Regina Barcellos-11705.25
280649-Neuza Francia-16836.18
988379-Clarindo Areosa-3740.11
583018-Odilia Bello-15020.77
544827-Andreia Moita-2159.77
273888-Dulce Froes-14367.21
808667-Neeamia Arruda-14672.43
57445-Jonatas Felgueiras-5086.53
534803-Oliveira Senchez-17394.94
174999-Armanda Amorim-10557.28
177290-Ermelinda Quintela-1505.44
556070-Adelino Barra-7368.24
459690-Odilia Camello-8308.12
440913-Angelica Aranha-20293.96
461637-Flor Portella-8444.57
106843-Judite Damasceno-18577.31
296074-Liana Cardim-4530.56
695695-Zungela Ipiranga-11611.13
383304-Odilia Bello-15196.48
556779-Lina Andrade-10233.39
355292-Trajano Fagundes-11805.17
195181-Delfim Higuera-11005.89
169535-Tabalipa Duarte-16350.49
154660-Cassandra Varejo-15370.06
733518-Rebeca Neto-15404.68
772862-Quintino Alcantara-6910.91
565668-Fulvio Villegas-2429.03
601528-Anfnia Seixas-17885.99
290227-Polibe Olivares-18709.82
988999-Filomena Barrios-7580.55
931811-Henrique Bento-5519.27
418156-Delfina Garcia de Gondim-2756.39
728683-Heleedsa Marins-16128.08
851772-Emedlio Pimentel-6424.79
886792-Anind Zarco-10142.12
894924-Delfim Higuera-7965.02
150054-Cassandra Varejo-14260.67
460851-Lurdes Cotrim-751.85
884760-Judite Damasceno-15474.76
472936-Dulce Froes-11399.81
916730-Zungela Ipiranga-20559.13
877080-Adelino Barra-1508.47
426409-Telma Villalobos-4565.76
57110-Estanislau Beserra-16564.28
693746-Liana Cardim-14848.31
314306-Feledcia Peassego-7862.42
25633-Flamednia Leiria-14183.92
640154-Oliveira Carmona-16868.53
369915-Sara Lameiras-6052.54
598222-Tibefarcio Colao-18407.27
881853-Melinda Roserio-21216.44
608804-Tibefarcio Colao-4810.37
974258-Aludsio Sosa-1669.80
147748-Eurico Siqueira-6670.37
316640-Celeste Duarte-13707.31
698099-Daniel Vieyra-16710.45
97692-Emedlio Pimentel-1115.87
564735-Zungela Ipiranga-12302.27
217109-Clara Alcantara-3731.14
861393-Elisa Themes-15587.12
2937-Oliveira Senchez-12501.10
57201-Zulmira Becerra-21467.19
475045-Rodolfo Paz-2292.09
952450-Oliveira Senchez-14053.57
890242-Neuza Francia-20226.74
658863-Mercia Caeira-9478.88
185941-Zungela Ipiranga-11249.86
105177-Silvio Mata-18325.51
393776-Tibefarcio Colao-9982.84
936498-Neuza Francia-1696.62
238984-Adelino Barra-4866.65
185259-Esperada Cardoso-18577.22
168757-Emiliana Foquio-1387.13
648591-Domingos Pas-811.82
165518-Moaci Mendoa-11940.72
413286-Adelino Barra-6672.48
222553-Delfina Garcia de Gondim-14344.34
618953-Filomena Barrios-6190.55
758991-Camila Gabeira-20554.49
12583-Spnia ou Sonia Guerreiro-20539.02
494303-Trajano Fagundes-3076.57
86004-Joaquim Rufino-10858.42
429194-Letedcia Gago-5745.27
465428-Marilda Leio-10881.76
375158-Melinda Roserio-11463.42
475024-Delfina Perdigon-21197.55
979477-Silvio Mata-13844.94
469857-Celeste Duarte-11996.29
510900-Sofras Cuaresma-6479.04
868770-Zungela Ipiranga-1024.33
372158-Ximena Castilho-11219.28
56703-Judite Damasceno-6615.30
463256-Odilia Camello-8679.59
99565-Dulce Froes-19704.25
401728-Lina Andrade-10793.16
292693-Oliveira Senchez-2173.08
947674-Flamednia Leiria-3322.87
36260-Neeamia Arruda-4017.57
179982-Sofras Cuaresma-1107.84
805319-Ermelinda Quintela-4576.53
332418-Flamednia Leiria-16120.25
516615-Judite Damasceno-19130.82
59521-Antonio Castelo-10710.61
646247-Flor Portella-13721.61
892678-Eurico Siqueira-7500.79
513390-Lurdes Cotrim-3988.88
888965-Liana Cardim-9858.36
274661-Artur Grillo-17978.72
289430-Clara Alcantara-13065.68
724967-Joaquim Rufino-15673.74
593856-Tabalipa Duarte-3392.22
390400-Rebeca Neto-772.55
233306-Rebeca Neto-18673.15
35417-Tibofarcio Camacho-19889.61
778513-Emedlio Pimentel-15303.70
837754-Oliveira Carmona-16378.83
720867-Silvio Mata-1362.89
374626-Antonio Castelo-5575.64
301592-Neeamia Arruda-19538.53
12666-Guaraci Damasceno-6780.94
376618-Filomena Barrios-11276.88
281958-Andreia Moita-1295.95
785390-Feledcia Peassego-4928.28
350169-Cleusa Goes-9378.64
592212-Sofras Cuaresma-12876.42
429601-Tarrataca Soares-4739.96
638675-Liana Cardim-8617.17
199814-Tarrataca Soares-6356.08
149277-Almerinda Palmeira-1974.26
667046-Emiliana Foquio-18054.39
74793-Nuno Balsemeo-16223.32
221288-Liana Cardim-12601.30
106793-Jorgina Bogalho-4844.32
823534-Branco Saraba-3662.98
17758-Filomena Barrios-1304.07
98495-Daniel Vieyra-5268.36
579137-Clarindo Areosa-19544.75
832296-Zungela Ipiranga-11041.91
165337-Carminda Morais-19213.41
867691-Leonidas Mafra-14175.24
664325-Neuza Francia-11601.15
665448-Tabalipa Duarte-14883.36
745107-Zulmira Becerra-3319.59
169312-Delfina Perdigon-17057.83
973481-Cleusa Goes-11563.17
419775-Celeste Duarte-2139.32
862300-Fulvio Villegas-5165.11
538275-Emedlia Silvera-528.60
305974-Almerinda Palmeira-15280.25
16046-Augusta Paio-4534.09
681156-Danilo Olaio-18020.73
194276-Daniel Vieyra-2592.55
837364-Branco Saraba-2495.17
912162-Ubaldo Mainha-1182.02
801543-Dulce Froes-8031.76
97720-Augusta Paio-14445.96
230293-Emedlia Silvera-3689.74
837938-Aludsio Sosa-5855.13
669525-Manuel Capiperibe-5823.35
841627-Antonio Castelo-5568.67
53994-Esperada Cardoso-1670.65
381421-Armindo Castalo-10352.59
561546-Guaraci Damasceno-1266.13
701164-Gaudancio Fiees-730.41
140159-Quintino Alcantara-12408.43
412643-Sofras Cuaresma-16129.41
617110-Trajano Fagundes-17161.71
332697-Quintiliano Sousa de Arronches-13575.25
908053-Spnia ou Sonia Guerreiro-16411.95
508515-Guaraci Damasceno-1935.53
34479-Marilda Leio-5796.07
150269-Jonatas Felgueiras-18119.88
521335-Moaci Mendoa-10840.66
409134-Telma Villalobos-8752.83
499332-Anfnia Seixas-7439.40
765410-Ximena Castilho-18463.53
143496-Delfina Perdigon-1014.86
495889-Joaquim Rufino-3208.19
877218-Zungela Ipiranga-4097.27
77105-Oliveira Carmona-18962.35
660652-Flamednia Leiria-9387.86
309016-Sofras Cuaresma-14869.36
732824-Odilia Camello-16524.58
769442-Domingos Pas-16848.67
331032-Gaudancio Fiees-17023.66
768194-Letedcia Gago-3606.48
145943-Quintino Alcantara-12517.92
694572-Urbano Rodrigues-4498.04
801076-Neuza Francia-6876.81
102276-Anind Zarco-4002.74
956150-Quintino Alcantara-1444.51
933045-Moaci Mendoa-872.77
898030-Feledcia Peassego-12640.10
445355-Honorina Lira-16537.79
276185-Trajano Fagundes-13296.26
563383-Fulvio Villegas-15323.95
719592-Gaudancio Fiees-17275.41
845570-Emedlio Pimentel-14837.52
306719-Flor Portella-110.69
494739-Antonio Viegas-10981.71
434499-Rodolfo Paz-6436.44
160478-Carminda Morais-13745.77
339296-Emiliana Foquio-8079.91
975938-Tibefarcio Colao-279.53
512241-Romo Paranage-20572.29
414834-Camila Gabeira-11973.09
481831-Ximena Castilho-14420.28
340377-Adelina Quadros-7453.90
2713-Regina Barcellos-15756.97
346058-Emedlio Pimentel-477.08
480220-Taercio Mafra-2051.43
65853-Heleedsa Marins-8393.03
928325-Emiliana Foquio-12896.42
800459-Delfim Higuera-10611.35
968051-Letedcia Gago-18386.47
278485-Clara Alcantara-10295.78
499955-Regina Barcellos-11420.60
262052-Anfnia Seixas-12804.00
292053-Anind Zarco-18944.03
391033-Guaraci Damasceno-15242.65
177622-Silvio Mata-5702.62
91616-Almerinda Palmeira-13243.28
615118-Mercia Caeira-17262.56
129804-Nuno Balsemeo-8925.73
597383-Moaci Mendoa-4770.57
294040-Guida Juca-18093.36
332215-Antonio Viegas-21268.36
398795-Adelino Barra-10096.14
855704-Andreia Moita-20889.06
526013-Neuza Francia-10808.14
420812-Jussara Varanda-12309.91
941898-Flamednia Leiria-10355.99
766101-Anfnia Seixas-18692.14
265420-Emiliana Foquio-2448.61
383091-Artur Grillo-4854.58
180409-Delfina Garcia de Gondim-3532.68
555858-Henrique Bento-10456.01
507620-Polibe Olivares-18569.99
859721-Jussara Varanda-13853.71
131226-Mercia Caeira-12064.14
184546-Judite Damasceno-13678.35
499901-Letedcia Gago-20747.76
659497-Domingos Pas-20190.59
75306-Angilica Galante-3428.41
580492-Cassandra Varejo-2547.40
143106-Oliveira Carmona-14459.21
557987-Filomena Barrios-6509.93
325089-Leonidas Mafra-11595.00
706465-Dulce Froes-21043.60
26872-Basilio Pedroso-10850.08
160991-Moaci Mendoa-17731.92
286445-Augusta Paio-4442.08
527554-Basilio Pedroso-5698.68
499436-Esperada Cardoso-17289.43
331896-Almor Caiado-5190.40
622316-Domingos Pas-17121.83
181090-Artur Grillo-6752.58
856785-Odete Vasques-16825.83
48195-Guida Juca-14488.05
611026-Joaquim Rufino-20628.32
103995-Jussara Varanda-3105.10
947913-Liana Cardim-17177.96
568328-Armanda Amorim-8778.40
280397-Carminda Morais-18073.39
316835-Clara Alcantara-4561.88
609791-Rebeca Neto-16048.10
823321-Delfina Garcia de Gondim-13115.07
545987-Armindo Castalo-6218.81
769058-Neuza Francia-13929.29
868607-Taercio Mafra-7150.56
492211-Armanda Amorim-19421.60
824418-Delfina Garcia de Gondim-21471.08
848777-Zulmira Becerra-12571.93
257489-Jonatas Felgueiras-12914.73
125860-Antonio Castelo-4453.06
34382-Emiliana Foquio-11209.16
642514-Zungela Ipiranga-4692.56
508242-Henrique Bento-12888.02
473007-Guida Juca-4440.87
759627-Odilia Bello-394.72
878622-Flor Portella-11599.64
23686-Delfina Perdigon-12837.89
481266-Taercio Mafra-8551.54
778916-Andreia Moita-4439.28
416073-Almor Caiado-17790.54
757336-Flor Portella-10846.04
425022-Angelica Aranha-727.63
600221-Angilica Galante-15662.71
172423-Mercia Caeira-8052.61
673471-Silvio Mata-13860.21
747096-Neeamia Arruda-10764.16
980940-Camila Gabeira-1869.56
355621-Guida Juca-4354.37
923115-Neuza Francia-5522.16
480172-Adelino Barra-1971.48
343627-Basilio Pedroso-19739.05
123271-Ximena Castilho-10448.47
675129-Odilia Bello-8689.63
28837-Judite Damasceno-20681.36
986156-Basilio Pedroso-17403.26
899343-Adelina Quadros-6005.89
293312-Clarindo Areosa-5910.86
992482-Melinda Roserio-17114.42
845630-Neeamia Arruda-9238.81
626599-Adelina Quadros-16673.62
977600-Camila Gabeira-922.22
449368-Liana Cardim-16143.45
168065-Daniel Vieyra-2605.36
190989-Artur Grillo-16145.65
958443-Delfim Higuera-18255.51
779112-Emedlio Pimentel-9329.67
498912-Ermelinda Quintela-967.77
690587-Antonio Castelo-6007.69
319051-Adelino Barra-11526.15
679573-Augusta Paio-487.58
671873-Jonatas Felgueiras-12157.35
602343-Celeste Duarte-14431.85
379654-Basilio Pedroso-8038.69
120379-Zungela Ipiranga-8640.60
513294-Estanislau Beserra-2815.35
748221-Clara Alcantara-4423.14
88610-Neeamia Arruda-2753.29
999047-Zulmira Becerra-21150.20
384211-Antonio Viegas-21018.55
650864-Cassandra Varejo-7880.51
279179-Sara Lameiras-5182.40
645487-Lurdes Cotrim-11188.42
356709-Anfnia Seixas-14872.21
120677-Trajano Fagundes-3448.58
449876-Odilia Camello-19073.71
846816-Micaela Chavez-14726.36
727190-Clara Alcantara-17887.25
867960-Camila Gabeira-12992.40
294310-Branco Saraba-17156.24
851872-Filomena Barrios-18142.75
650893-Estanislau Beserra-11150.71
701676-Edgar Carvalheiro-18577.16
453589-Delfina Garcia de Gondim-13615.89
74698-Jussara Varanda-20347.10
272344-Delfina Garcia de Gondim-11966.76
488617-Oliveira Carmona-6730.39
535335-Dulce Froes-13967.67
911409-Emedlia Silvera-13171.51
823779-Almerinda Palmeira-10349.61
107848-Elisa Themes-17028.13
443190-Ubaldo Mainha-12219.81
534382-Tibefarcio Colao-8081.99
467414-Almor Caiado-19046.52
621942-Telma Villalobos-10202.43
151049-Angelica Aranha-11665.16
568029-Esperada Cardoso-4775.21
621104-Armindo Castalo-15430.56
431587-Guaraci Damasceno-3434.84
482174-Urbano Rodrigues-11413.08
157076-Moaci Mendoa-17434.15
139861-Edgar Carvalheiro-7903.75
193356-Oliveira Senchez-9479.09
479400-Liana Cardim-11873.77
354703-Trajano Fagundes-8485.15
972646-Cassandra Varejo-2761.82
266752-Basilio Pedroso-13777.50
600191-Zungela Ipiranga-13308.88
216504-Tibofarcio Camacho-19243.20
500003-Artur Grillo-1623.18
745000-Sofras Cuaresma-20554.75
319718-Guaraci Damasceno-8281.31
391402-Flamednia Leiria-18903.25
661729-Almerinda Palmeira-6573.20
584288-Jussara Varanda-6381.91
782834-Lurdes Cotrim-17201.64
980654-Fulvio Villegas-8049.47
215422-Ermelinda Quintela-7130.64
22473-Basilio Pedroso-6937.97
313216-Neeamia Arruda-20642.96
911430-Henrique Bento-15645.58
957667-Tibefarcio Colao-8973.94
862415-Filomena Barrios-12847.85
192758-Trajano Fagundes-13874.47
416112-Honorina Lira-9625.48
154419-Almor Caiado-10303.31
75081-Antonio Castelo-6098.28
262478-Antonio Castelo-1785.59
337716-Moaci Mendoa-12795.82
248732-Quintiliano Sousa de Arronches-21088.95
477702-Eurico Siqueira-16603.23
214404-Odilia Camello-16772.80
565997-Letedcia Gago-8026.59
274891-Clara Alcantara-21318.52
304136-Oliveira Senchez-4097.85
524787-Augusta Paio-7799.39
425842-Anind Zarco-13710.14
274054-Polibe Olivares-14132.76
702317-Neuza Francia-901.31
927135-Quintiliano Sousa de Arronches-14733.79
964865-Augusta Paio-14303.73
76857-Odilia Camello-20165.88
582831-Zulmira Becerra-19126.70
874188-Romo Paranage-8614.61
645362-Quintino Alcantara-16677.65
964289-Trajano Fagundes-6748.07
613804-Filomena Barrios-17502.32
90913-Branco Saraba-14040.23
643741-Armanda Amorim-3492.42
778409-Spnia ou Sonia Guerreiro-14271.69
840838-Neeamia Arruda-2596.50
709754-Jussara Varanda-5587.27
891879-Telma Villalobos-10743.09
733278-Basilio Pedroso-9437.00
459412-Dulce Froes-15543.46
453690-Emiliana Foquio-17213.10
903235-Dulce Froes-3274.40
366777-Emiliana Foquio-1300.47
623146-Judite Damasceno-13076.91
10058-Lurdes Cotrim-8449.86
292598-Emiliana Foquio-8508.26
948467-Melinda Roserio-8380.53
708422-Daniel Vieyra-3364.61
171164-Quintino Alcantara-1487.10
578880-Trajano Fagundes-2591.70
784764-Fulvio Villegas-10776.24
280898-Judite Damasceno-12365.27
42181-Regina Barcellos-21068.94
826315-Ubaldo Mainha-8070.33
851969-Cleusa Goes-17220.43
562630-Estanislau Beserra-20303.36
923164-Lina Andrade-10148.01
526780-Melinda Roserio-6920.25
439957-Guaraci Damasceno-8271.96
53235-Feledcia Peassego-1342.92
528328-Danilo Olaio-2810.77
829526-Zulmira Becerra-19423.57
570632-Guaraci Damasceno-4259.16
358913-Flamednia Leiria-14307.42
354460-Henrique Bento-10111.11
335684-Judite Damasceno-5941.90
143423-Danilo Olaio-4396.29
520135-Clarindo Areosa-11061.56
357700-Elisa Themes-15205.96
905747-Oliveira Senchez-4791.65
623688-Rodolfo Paz-16836.94
481566-Ermelinda Quintela-4130.40
866264-Oliveira Carmona-12896.10
177264-Quintino Alcantara-1484.85
5007-Honorina Lira-4448.40
908609-Leonidas Mafra-8761.76
147964-Domingos Pas-1458.35
704242-Sara Lameiras-12393.56
285865-Fulvio Villegas-1982.30
580350-Filomena Barrios-14661.35
650225-Cassandra Varejo-10072.75
312958-Cleusa Goes-20467.57
849447-Armindo Castalo-15261.40
785521-Artur Grillo-15523.17
496551-Polibe Olivares-7848.38
318154-Oliveira Senchez-9457.47
329313-Ximena Castilho-19178.95
485895-Judite Damasceno-4211.15
798330-Melinda Roserio-14424.01
706575-Odilia Bello-15139.82
296570-Celeste Duarte-7701.48
96642-Ermelinda Quintela-16394.61
936319-Branco Saraba-17693.11
386232-Armindo Castalo-15856.12
837998-Basilio Pedroso-3716.25
129727-Rodolfo Paz-12859.44
597102-Antonio Viegas-6277.89
899899-Rodolfo Paz-9842.75
74605-Nuno Balsemeo-13140.73
478921-Letedcia Gago-9902.96
18594-Odilia Camello-4921.09
866367-Urbano Rodrigues-15032.06
471104-Carminda Morais-1416.59
215421-Augusta Paio-19920.45
309286-Manuel Capiperibe-7603.99
241355-Basilio Pedroso-11865.29
920236-Sara Lameiras-19991.26
10247-Gaudancio Fiees-11965.42
215628-Tibofarcio Camacho-181.33
338598-Marilda Leio-8096.12
959507-Angelica Aranha-7421.47
728581-Tibofarcio Camacho-8230.13
475129-Zungela Ipiranga-9514.85
48600-Spnia ou Sonia Guerreiro-5062.16
234515-Quintiliano Sousa de Arronches-10395.26
562130-Flamednia Leiria-11887.67
833246-Manuel Capiperibe-18996.87
893530-Elisa Themes-7952.14
745228-Anfnia Seixas-4439.46
186671-Angelica Aranha-1408.01
924434-Almerinda Palmeira-13997.60
771440-Armindo Castalo-6960.05
340683-Delfina Garcia de Gondim-18164.80
568482-Neeamia Arruda-880.45
357421-Fulvio Villegas-13912.80
545499-Delfim Higuera-18028.42
778794-Gaudancio Fiees-4611.91
654408-Armanda Amorim-1416.01
72241-Liana Cardim-18283.47
623250-Jonatas Felgueiras-3930.50
302709-Armanda Amorim-11209.74
129211-Henrique Bento-2092.62
485476-Neeamia Arruda-13086.03
326256-Tabalipa Duarte-2656.87
383326-Oliveira Senchez-12200.45
965971-Tibefarcio Colao-6371.07
831898-Jonatas Felgueiras-18508.85
901345-Adelino Barra-4180.56
700909-Delfim Higuera-18301.28
446220-Clarindo Areosa-18102.68
475876-Judite Damasceno-11680.87
298441-Quintino Alcantara-6457.33
609791-Ermelinda Quintela-10662.18
434112-Quintino Alcantara-12335.44
787300-Trajano Fagundes-16539.28
936576-Angilica Galante-12194.10
444068-Mercia Caeira-11187.58
659376-Emedlio Pimentel-11041.76
959678-Zulmira Becerra-19708.77
